"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
100	0,7572387	0,4252845	0,1312777	0,6807948	0,1974890	0,5908305	0,4044233	0,3688991	0,2090288	0,4776200	0,1830721	0,2244880	0,1611753	0,1155841	0,1333532	0,0332525
120	0,6902969	0,3873253	0,1494726	0,6699220	0,2151771	0,4032916	0,4167116	0,6062385	0,1538738	0,4149720	0,2181009	0,3060406	0,0644477	0,1146132	0,1313736	0,0301591
140	1,0057850	0,3746610	0,1615870	0,6812640	0,2158724	0,5234807	0,4170162	0,5901000	0,1970857	0,4715021	0,2533497	0,3259678	0,0906568	0,1121312	0,0822457	0,0230566
160	0,6822667	0,4313777	0,2227960	0,6364900	0,2568656	0,4797526	0,3476856	0,5631063	0,2251015	0,5664552	0,3048268	0,3385135	0,0594869	0,1172447	0,0738000	0,0300612
180	0,8261118	0,4487236	0,1414224	0,6624723	0,2712261	0,5990001	0,3755734	0,7084044	0,2984468	0,4988291	0,2157631	0,3576429	0,0531448	0,1115758	0,1133500	0,0304014
200	0,7455118	0,4488035	0,2519373	0,5570498	0,2214401	0,5444621	0,3657867	0,7350108	0,3129095	0,4594473	0,2342469	0,4833055	0,0348535	0,1271538	0,0832253	0,0364271
220	0,7698250	0,4140924	0,1185243	0,6300367	0,2644589	0,7044551	0,4767736	0,6384937	0,3320473	0,5054078	0,2131136	0,3628667	0,0308207	0,0741234	0,0859073	0,0346648
240	0,8002199	0,4235824	0,1824725	0,6324841	0,2362729	0,5383077	0,4722739	0,6904458	0,2680248	0,4410390	0,2095465	0,5243418	0,0411653	0,1230243	0,1209951	0,0416693
260	0,7864379	0,5018196	0,1706659	0,6239948	0,2415931	0,5240042	0,4124677	0,6305006	0,3665201	0,4919703	0,2252941	0,4151622	0,0250317	0,1450930	0,1119472	0,0527723
280	0,7274945	0,4402500	0,2110609	0,6939394	0,2476357	0,5934445	0,4036632	0,6468868	0,3023241	0,7003833	0,2781599	0,5056670	0,0341745	0,1477750	0,1559761	0,0290454
300	0,7535668	0,4224422	0,2237825	0,7788426	0,2511486	0,5771039	0,3846301	0,6248070	0,2616919	0,7256199	0,3228590	0,4539709	0,0452139	0,0939860	0,1189136	0,0302552
320	0,8827617	0,4508167	0,1796507	0,7528472	0,1920926	0,6395239	0,3957360	0,7130260	0,1614328	0,6147802	0,3210608	0,5368339	0,0181966	0,1612690	0,1443140	0,0631379
340	0,7852262	0,5453575	0,1020877	0,7950677	0,2226988	0,5258212	0,4110216	0,8998940	0,2291255	0,5854264	0,2801368	0,4806579	0,0096128	0,1425051	0,1162532	0,0230420
360	0,7215255	0,5110066	0,1489000	0,7794715	0,2351849	0,5427074	0,4563555	0,5888337	0,1670314	0,4973148	0,2438891	0,4630097	0,0260555	0,1700492	0,1502065	0,0396745
380	0,9327443	0,3956602	0,1518704	0,8583034	0,2723196	0,4772080	0,3336067	0,9054619	0,2278366	0,5643068	0,3102740	0,4764559	0,0181903	0,1051400	0,1722414	0,0363757
400	0,7500780	0,4530462	0,2487327	0,5865758	0,2483283	0,5550947	0,4900036	0,6979925	0,2186430	0,5380856	0,2766857	0,6056859	0,0187965	0,1208180	0,1245082	0,0249468
420	0,8168097	0,5717784	0,2066791	0,6580322	0,2741441	0,5050184	0,3685928	0,6074580	0,2061286	0,5399687	0,3499256	0,5836327	0,0466197	0,1076833	0,1553898	0,0169266
440	0,8750167	0,3500581	0,2643015	0,7352982	0,2421272	0,6421740	0,4218114	0,6758240	0,2217075	0,5229207	0,2958772	0,5635181	0,0406403	0,0946181	0,1813437	0,0284945
460	0,8125298	0,4174651	0,1903058	0,6528484	0,2415044	0,5673871	0,4113403	0,8106799	0,2272129	0,5177435	0,2656618	0,5636553	0,0175618	0,0899835	0,1734607	0,0277110
480	0,6019941	0,4338889	0,2047158	0,6890037	0,2247718	0,5910637	0,3874181	0,6662899	0,1631724	0,6458595	0,2935429	0,5444593	0,0172827	0,0888791	0,1455661	0,0234406
