"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
740	0,7884102	0,8692837	0,6152078	0,0230524	0,0425253	0,9018308	0,1011147	0,9144677	0,0689829	0,0354880	0,0752187	0,0574488	0,1759988	1,1358604	0,0052204	0,9656850
760	0,7755673	0,9312693	0,6613219	0,0191435	0,0332938	0,9641983	0,0972621	0,9339867	0,0692857	0,0477002	0,0943669	0,0510970	0,1694804	1,0581263	0,0047792	1,0075431
780	0,7562141	0,9414942	0,7131504	0,0115263	0,0447685	0,9462848	0,0917560	1,0190220	0,0842630	0,0482648	0,0999409	0,0365398	0,1256071	1,0477934	0,0096153	0,9470373
800	0,7522936	0,8857774	0,6706454	0,0225836	0,0521238	0,9643207	0,0757927	0,9848250	0,0810853	0,0594239	0,1022950	0,0356401	0,1269845	1,0212895	0,0152112	0,9101532
820	0,7298653	0,8624084	0,6835441	0,0282735	0,0425971	0,9363752	0,0926838	0,9962843	0,0708942	0,0537861	0,1177863	0,0221581	0,1499505	0,9446411	0,0096238	1,0691857
840	0,6943798	0,8446288	0,6512216	0,0397301	0,0406168	1,0086990	0,0805918	1,0444948	0,0755451	0,0290431	0,1022822	0,0219147	0,1218306	0,9501818	0,0087394	1,0790501
860	0,7404113	0,9266749	0,5892182	0,0374214	0,0379805	1,0252052	0,0830082	1,0575392	0,0608754	0,0406353	0,0982021	0,0260856	0,1457240	0,9585871	0,0070601	1,0741871
880	0,7193621	0,8553188	0,5568682	0,0445498	0,0398654	1,0659787	0,0647022	1,0314512	0,0630309	0,0401712	0,1018225	0,0268279	0,1741109	1,0271113	0,0068238	1,0930781
900	0,7368519	0,8841393	0,5583695	0,0562607	0,0453416	1,0365726	0,0775060	1,0483432	0,0591252	0,0507351	0,0714168	0,0169017	0,1638214	1,0759927	0,0091818	1,1100227
920	0,7243801	0,8992142	0,6073613	0,0470482	0,0349148	1,0197158	0,0798639	1,0089660	0,0881635	0,0396602	0,0585592	0,0199873	0,1953301	0,9722255	0,0013356	1,0556476
940	0,7379306	0,9076939	0,5994611	0,0392198	0,0254260	1,0760998	0,1021500	1,0393811	0,0750356	0,0455581	0,0532990	0,0230561	0,2014007	0,9433865	0,0009676	1,0455410
960	0,8464192	0,9512964	0,5831710	0,0339357	0,0260542	1,0175512	0,0830952	1,0429847	0,0737177	0,0493150	0,0643036	0,0219533	0,1674032	0,9305874	0,0003228	1,0788089
980	0,7987911	0,9380954	0,6052556	0,0239622	0,0481070	1,0089185	0,0767682	1,0203568	0,0672496	0,0428910	0,0759034	0,0190990	0,1616462	0,9066617	0,0029186	1,0827706
1000	0,8073911	0,9446431	0,6205419	0,0259729	0,0461741	0,9617725	0,0622792	1,0468268	0,0661778	0,0543007	0,0726199	0,0228002	0,1482934	0,9378694	0,0043746	1,0279800
1020	0,8234516	0,9475559	0,6761422	0,0347084	0,0452001	0,9700662	0,0511060	1,0532711	0,0754434	0,0733865	0,0680489	0,0349427	0,1706590	0,9705602	0,0046253	0,9538702
1040	0,7688319	0,9986240	0,6561095	0,0333726	0,0547832	0,9352118	0,0775541	1,0439153	0,0646710	0,0766488	0,0626656	0,0366114	0,1756964	0,9378078	0,0049825	0,9333785
1060	0,8043833	0,9744157	0,6359213	0,0381445	0,0473763	0,9805018	0,0783854	0,9877042	0,0794378	0,0804583	0,0730699	0,0378398	0,1563505	0,9558943	0,0071848	0,9601158
1080	0,7785896	0,9273896	0,5520221	0,0293045	0,0526527	0,9782703	0,0488855	0,9461293	0,0564974	0,0544310	0,0789163	0,0316161	0,1127887	0,9098826	0,0096003	0,9742020
1100	0,7671413	0,9711297	0,5793701	0,0213837	0,0403975	0,9828817	0,0427779	0,9950371	0,0594629	0,0670489	0,0739738	0,0405456	0,1274406	0,9720154	0,0108179	1,0002637

0	0,7481054	0,8350477	0,7072648	0,0351994	0,0305130	1,0165021	0,1092707	0,9689308	0,0795370	0,0790270	0,0521901	0,0206896	0,1570893	1,0221352	0,0023986	0,9739668
20	0,7959196	0,8867972	0,5803073	0,0234428	0,0392887	1,0413809	0,1290296	0,9092507	0,1557725	0,1047928	0,0586614	0,0548721	0,0999195	0,9125511	0,0132408	1,0022840
40	0,7946392	0,8271561	0,6473969	0,0422737	0,0695675	1,0320032	0,1016326	0,9121568	0,3552599	0,0868956	0,0628316	0,1040138	0,1176512	0,8297652	0,0203222	0,9610090
60	0,7679384	0,8679887	0,6328379	0,0383059	0,1081219	0,9566300	0,1209585	0,8773145	0,5494484	0,1248847	0,0694636	0,1889084	0,1299120	0,6977999	0,0169574	0,9217070
80	0,6911591	0,9346245	0,6716440	0,0463009	0,1611807	1,0023556	0,1315450	0,9094360	0,6036422	0,1516334	0,0715452	0,2712614	0,1519697	0,5871545	0,0166419	0,9744827
