"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
80	1,0000000	0,6826066	0,8866766	0,1864041	1,0000000	0,1325797	0,4737000	0,9990959	0,3277004	0,3095864	0,9346989	0,0862617	0,9599944	0,6050998	0,7020166	0,9812336
100	1,0000000	0,6822642	0,8797149	0,1929467	1,0000000	0,1282547	0,4736665	0,9990786	0,3527164	0,3128906	0,9317079	0,0617479	0,9632757	0,6050479	0,7020288	0,9807909
120	1,0000000	0,6819131	0,8754959	0,1990758	1,0000000	0,1241838	0,4736315	0,9990624	0,3701875	0,3160349	0,9288873	0,0478834	0,9652372	0,6049523	0,7019659	0,9803924
140	1,0000000	0,6815791	0,8729389	0,2044106	1,0000000	0,1206298	0,4735977	0,9990480	0,3824090	0,3188124	0,9264171	0,0397802	0,9663817	0,6048255	0,7018392	0,9800583
160	1,0000000	0,6812767	0,8713893	0,2088112	1,0000000	0,1176915	0,4735664	0,9990359	0,3909664	0,3211353	0,9243684	0,0348447	0,9670300	0,6046806	0,7016644	0,9797924
180	1,0000000	0,6810117	0,8704502	0,2122955	1,0000000	0,1153593	0,4735384	0,9990261	0,3969603	0,3229985	0,9227384	0,0317010	0,9673835	0,6045286	0,7014584	0,9795889
200	1,0000000	0,6807848	0,8698810	0,2149672	1,0000000	0,1135657	0,4735139	0,9990181	0,4011582	0,3244446	0,9214831	0,0296125	0,9675658	0,6043785	0,7012367	0,9794379
220	1,0000000	0,6805935	0,8695361	0,2169636	1,0000000	0,1122200	0,4734927	0,9990119	0,4040970	0,3255379	0,9205415	0,0281764	0,9676519	0,6042363	0,7010122	0,9793285
240	1,0000000	0,6804340	0,8693270	0,2184245	1,0000000	0,1112298	0,4734745	0,9990070	0,4061530	0,3263469	0,9198500	0,0271643	0,9676859	0,6041056	0,7007947	0,9792508
260	1,0000000	0,6803017	0,8692003	0,2194750	1,0000000	0,1105127	0,4734591	0,9990032	0,4075901	0,3269349	0,9193512	0,0264402	0,9676934	0,6039883	0,7005908	0,9791965
280	1,0000000	0,6801926	0,8691236	0,2202195	1,0000000	0,1099997	0,4734461	0,9990003	0,4085938	0,3273560	0,9189967	0,0259184	0,9676884	0,6038850	0,7004045	0,9791592
300	1,0000000	0,6801028	0,8690770	0,2207406	1,0000000	0,1096364	0,4734351	0,9989979	0,4092940	0,3276537	0,9187478	0,0255417	0,9676788	0,6037953	0,7002377	0,9791337
320	1,0000000	0,6800290	0,8690488	0,2211015	1,0000000	0,1093811	0,4734259	0,9989961	0,4097820	0,3278620	0,9185751	0,0252704	0,9676683	0,6037183	0,7000907	0,9791165
340	1,0000000	0,6799684	0,8690317	0,2213491	1,0000000	0,1092027	0,4734183	0,9989947	0,4101219	0,3280063	0,9184562	0,0250759	0,9676587	0,6036527	0,6999629	0,9791050
360	1,0000000	0,6799186	0,8690214	0,2215177	1,0000000	0,1090785	0,4734119	0,9989936	0,4103583	0,3281055	0,9183752	0,0249372	0,9676507	0,6035972	0,6998530	0,9790974
380	1,0000000	0,6798777	0,8690151	0,2216316	1,0000000	0,1089921	0,4734065	0,9989927	0,4105226	0,3281731	0,9183202	0,0248391	0,9676443	0,6035506	0,6997592	0,9790924
400	1,0000000	0,6798441	0,8690113	0,2217081	1,0000000	0,1089321	0,4734021	0,9989920	0,4106367	0,3282190	0,9182833	0,0247700	0,9676394	0,6035116	0,6996796	0,9790891
420	1,0000000	0,6798164	0,8690090	0,2217592	1,0000000	0,1088903	0,4733984	0,9989914	0,4107158	0,3282499	0,9182585	0,0247218	0,9676358	0,6034790	0,6996126	0,9790869
440	1,0000000	0,6797937	0,8690076	0,2217932	1,0000000	0,1088611	0,4733954	0,9989909	0,4107707	0,3282706	0,9182421	0,0246884	0,9676331	0,6034519	0,6995564	0,9790855
460	1,0000000	0,6797750	0,8690068	0,2218156	1,0000000	0,1088406	0,4733929	0,9989905	0,4108087	0,3282844	0,9182312	0,0246653	0,9676311	0,6034294	0,6995094	0,9790846
480	1,0000000	0,6797597	0,8690062	0,2218304	1,0000000	0,1088261	0,4733908	0,9989902	0,4108351	0,3282936	0,9182240	0,0246496	0,9676297	0,6034107	0,6994703	0,9790840
500	1,0000000	0,6797470	0,8690059	0,2218401	1,0000000	0,1088157	0,4733891	0,9989900	0,4108533	0,3282997	0,9182192	0,0246388	0,9676288	0,6033953	0,6994377	0,9790836
520	1,0000000	0,6797366	0,8690057	0,2218464	1,0000000	0,1088082	0,4733876	0,9989898	0,4108659	0,3283037	0,9182161	0,0246315	0,9676281	0,6033825	0,6994107	0,9790834
540	1,0000000	0,6797280	0,8690056	0,2218506	1,0000000	0,1088027	0,4733865	0,9989896	0,4108746	0,3283064	0,9182141	0,0246266	0,9676276	0,6033719	0,6993883	0,9790832
560	1,0000000	0,6797209	0,8690056	0,2218533	1,0000000	0,1087986	0,4733855	0,9989895	0,4108806	0,3283081	0,9182128	0,0246233	0,9676272	0,6033632	0,6993697	0,9790831
580	1,0000000	0,6797648	0,9206118	0,2209557	1,0000000	0,1093846	0,4733902	0,9989918	0,3039949	0,3278510	0,9186322	0,2234765	0,9427693	0,6033569	0,6993549	0,9791491
600	1,0000000	0,6799822	0,9518874	0,2169815	1,0000000	0,1120049	0,4734134	0,9990023	0,2298586	0,3258221	0,9204844	0,3321309	0,9274001	0,6033661	0,6993522	0,9794336
620	1,0000000	0,6803417	0,9708417	0,2106189	1,0000000	0,1162300	0,4734511	0,9990195	0,1781253	0,3225712	0,9234371	0,3947347	0,9184062	0,6034136	0,6993842	0,9798768
640	1,0000000	0,6807645	0,9823288	0,2034149	1,0000000	0,1210316	0,4734949	0,9990391	0,1419154	0,3188861	0,9267668	0,4355551	0,9134494	0,6035101	0,6994713	0,9803654
660	1,0000000	0,6811906	0,9892905	0,1965170	1,0000000	0,1256327	0,4735387	0,9990583	0,1165381	0,3153500	0,9299447	0,4668670	0,9109292	0,6036502	0,6996209	0,9808210
680	1,0000000	0,6815863	0,9935096	0,1905213	1,0000000	0,1296284	0,4735797	0,9990754	0,0987460	0,3122663	0,9327004	0,4940365	0,9098123	0,6038205	0,6998267	0,9812066
700	1,0000000	0,6819367	0,9960665	0,1856236	1,0000000	0,1328878	0,4736164	0,9990897	0,0862737	0,3097365	0,9349478	0,5188137	0,9094606	0,6040059	0,7000743	0,9815133
720	1,0000000	0,6822381	0,9976162	0,1817914	1,0000000	0,1354354	0,4736485	0,9991014	0,0775342	0,3077469	0,9367046	0,5413491	0,9094947	0,6041937	0,7003463	0,9817471
740	1,0000000	0,6824927	0,9985553	0,1788859	1,0000000	0,1373663	0,4736763	0,9991105	0,0714140	0,3062296	0,9380360	0,5613139	0,9096984	0,6043746	0,7006264	0,9819198
760	1,0000000	0,6827055	0,9991244	0,1767356	1,0000000	0,1387967	0,4737001	0,9991177	0,0671314	0,3050996	0,9390214	0,5784258	0,9099547	0,6045426	0,7009014	0,9820443
780	1,0000000	0,6828820	0,9994694	0,1751744	1,0000000	0,1398376	0,4737203	0,9991232	0,0641369	0,3042736	0,9397370	0,5926224	0,9102050	0,6046945	0,7011617	0,9821325
800	1,0000000	0,6830277	0,9996784	0,1740585	1,0000000	0,1405846	0,4737374	0,9991275	0,0620451	0,3036790	0,9402487	0,6040581	0,9104238	0,6048291	0,7014013	0,9821940
820	1,0000000	0,6831476	0,9998051	0,1732713	1,0000000	0,1411147	0,4737518	0,9991307	0,0605851	0,3032564	0,9406101	0,6130349	0,9106033	0,6049464	0,7016171	0,9822363
840	1,0000000	0,6832462	0,9998819	0,1727221	1,0000000	0,1414876	0,4737638	0,9991332	0,0595670	0,3029594	0,9408624	0,6199255	0,9107447	0,6050474	0,7018080	0,9822651
860	1,0000000	0,6833273	0,9999284	0,1723427	1,0000000	0,1417481	0,4737739	0,9991351	0,0588578	0,3027526	0,9410369	0,6251134	0,9108528	0,6051336	0,7019746	0,9822846
880	1,0000000	0,6833938	0,9999566	0,1720827	1,0000000	0,1419290	0,4737823	0,9991366	0,0583641	0,3026098	0,9411566	0,6289543	0,9109337	0,6052067	0,7021183	0,9822976
900	1,0000000	0,6834484	0,9999737	0,1719059	1,0000000	0,1420543	0,4737893	0,9991378	0,0580208	0,3025120	0,9412381	0,6317566	0,9109932	0,6052681	0,7022411	0,9823063
920	1,0000000	0,6834933	0,9999841	0,1717864	1,0000000	0,1421409	0,4737952	0,9991387	0,0577823	0,3024453	0,9412932	0,6337751	0,9110365	0,6053197	0,7023454	0,9823120
940	1,0000000	0,6835302	0,9999903	0,1717062	1,0000000	0,1422006	0,4738000	0,9991394	0,0576167	0,3024002	0,9413303	0,6352125	0,9110675	0,6053627	0,7024334	0,9823158
960	1,0000000	0,6835605	0,9999941	0,1716526	1,0000000	0,1422419	0,4738040	0,9991400	0,0575018	0,3023698	0,9413551	0,6362260	0,9110895	0,6053985	0,7025073	0,9823183
980	1,0000000	0,6835854	0,9999965	0,1716170	1,0000000	0,1422706	0,4738073	0,9991404	0,0574222	0,3023494	0,9413716	0,6369341	0,9111051	0,6054283	0,7025690	0,9823199
1000	1,0000000	0,6836059	0,9999979	0,1715934	1,0000000	0,1422905	0,4738100	0,9991408	0,0573670	0,3023359	0,9413826	0,6374248	0,9111159	0,6054530	0,7026206	0,9823209
1020	1,0000000	0,6836228	0,9999987	0,1715779	1,0000000	0,1423045	0,4738123	0,9991411	0,0573289	0,3023268	0,9413898	0,6377625	0,9111235	0,6054734	0,7026634	0,9823216
1040	1,0000000	0,6836367	0,9999992	0,1715677	1,0000000	0,1423143	0,4738142	0,9991413	0,0573024	0,3023208	0,9413945	0,6379932	0,9111288	0,6054903	0,7026990	0,9823220
1060	1,0000000	0,6836481	0,9999995	0,1715610	1,0000000	0,1423214	0,4738157	0,9991415	0,0572842	0,3023169	0,9413977	0,6381500	0,9111324	0,6055042	0,7027285	0,9823223
1080	1,0000000	0,6836575	0,9999997	0,1715566	1,0000000	0,1423265	0,4738170	0,9991417	0,0572716	0,3023143	0,9413997	0,6382559	0,9111349	0,6055158	0,7027529	0,9823225
1100	1,0000000	0,6836653	0,9999998	0,1715538	1,0000000	0,1423302	0,4738180	0,9991418	0,0572628	0,3023126	0,9414010	0,6383271	0,9111366	0,6055253	0,7027731	0,9823226

0	1,0000000	0,6830891	1,0000000	0,1715488	1,0000000	0,1421904	0,4737391	0,9991325	0,0572430	0,3023098	0,9414032	0,6384526	0,9111362	0,6048106	0,7012435	0,9823228
20	1,0000000	0,6830189	0,7253184	0,1583094	1,0000000	0,1399785	0,4737347	0,5814729	0,0891107	0,3039657	0,9598330	0,6422901	0,9101855	0,6049413	0,7015286	0,9820492
40	1,0000000	0,6820984	0,5588497	0,1666734	1,0000000	0,1277984	0,4736388	0,3442622	0,1138717	0,3132317	0,9692122	0,6535559	0,9051773	0,6049929	0,7017263	0,9806752
60	1,0000000	0,6797850	0,4579625	0,1998277	1,0000000	0,1040307	0,4733909	0,2095364	0,1367957	0,3344410	0,9718449	0,6530269	0,8948187	0,6048312	0,7017263	0,9779406
80	1,0000000	0,6755733	0,3968207	0,2564360	1,0000000	0,0759329	0,4729302	0,1330159	0,1623543	0,3700828	0,9691115	0,6161235	0,8791527	0,6042676	0,7013302	0,9739036
100	1,0000000	0,6690763	0,3597661	0,3299006	1,0000000	0,0516414	0,4722091	0,0895525	0,1938744	0,4194350	0,9621229	0,5333028	0,8590724	0,6030832	0,7002688	0,9687937
120	1,0000000	0,6602434	0,3373094	0,4099227	1,0000000	0,0339380	0,4712224	0,0648634	0,2324514	0,4777817	0,9521934	0,4238323	0,8361023	0,6010613	0,6982310	0,9629838
140	1,0000000	0,6494900	0,3236997	0,4865976	1,0000000	0,0220830	0,4700220	0,0508369	0,2764588	0,5382258	0,9408548	0,3188147	0,8120769	0,5980426	0,6949194	0,9569374
160	1,0000000	0,6376015	0,3154517	0,5534811	1,0000000	0,0144676	0,4686994	0,0428659	0,3224662	0,5946177	0,9295339	0,2357428	0,7887420	0,5939815	0,6901214	0,9511149
