"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
40	0,7456453	0,6908686	0,0889157	0,2445225	0,7511911	0,1612927	0,8802469	0,6801204	0,9009867	0,6286117	0,0943441	0,6334328	0,4037522	0,4720033	0,6045862	0,5168258
60	0,7749160	0,4976666	0,1071215	0,2440277	0,7270736	0,1811095	0,8536120	0,5756860	0,9112787	0,5641432	0,1049721	0,6226783	0,3884826	0,4490150	0,6414074	0,5367453
80	0,8213086	0,3503337	0,0740318	0,2465379	0,7138873	0,1943243	0,8501931	0,5678446	0,9783005	0,6060668	0,1021769	0,5662207	0,3527768	0,4560972	0,6564782	0,5255659
100	0,7709510	0,2371426	0,0864998	0,2512861	0,6926476	0,1723189	0,8632505	0,6020608	1,0243821	0,5122384	0,1151854	0,5519302	0,3248057	0,4076623	0,6562983	0,4928067
120	0,7830605	0,1668641	0,0760104	0,2758790	0,6413162	0,1366590	0,8824325	0,5581855	0,9932330	0,4797046	0,1007105	0,5954592	0,3172241	0,4093203	0,6359143	0,4837695
140	0,6900741	0,1445146	0,0685759	0,2827380	0,6531100	0,1532486	0,9158070	0,6029263	0,9855976	0,4779198	0,1326424	0,5638609	0,3200380	0,4242392	0,6037947	0,4801739
160	0,5784493	0,0897648	0,0606462	0,2759120	0,6972864	0,1692063	0,8705496	0,6230208	0,9342746	0,4974485	0,1400392	0,5760364	0,3555066	0,4610747	0,6103858	0,4839037
180	0,5673621	0,0511662	0,0774424	0,2732464	0,8380799	0,1685312	0,8909722	0,6081658	1,0072387	0,4987608	0,1481022	0,5836886	0,3354564	0,4792467	0,6587921	0,5217281
200	0,5619026	0,0684173	0,0617850	0,2492995	0,8507424	0,1938823	0,8703054	0,6098689	0,9562049	0,5077550	0,1420038	0,5918559	0,3661746	0,5104538	0,5814375	0,5567536
220	0,5689480	0,0768969	0,0718086	0,2484177	0,9470297	0,1705244	0,8652466	0,6034188	0,8911088	0,5173697	0,1277940	0,5748326	0,3777831	0,6203446	0,6246464	0,5776398
