"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
740	0,7601799	0,4679134	0,4237811	0,5976165	0,0476979	0,0694512	0,2841303	0,0120710	0,3128187	0,2954988	0,0101927	0,5339479	0,3270473	0,5799309	0,6205419	0,1441534
760	0,6882690	0,3628297	0,4680125	0,5817657	0,0360495	0,0947085	0,3081584	0,0041582	0,3137838	0,2846041	0,0091060	0,4140453	0,4069428	0,5673172	0,7297998	0,1290062
780	0,6036673	0,4171272	0,4870529	0,6943262	0,0132415	0,0703636	0,2948777	0,0074111	0,2811033	0,3580074	0,0036077	0,4625748	0,3621836	0,7250276	0,6582017	0,0862436
800	0,6493502	0,3747342	0,5144092	0,6588943	0,0165332	0,0374280	0,3422149	0,0079746	0,2758265	0,2569975	0,0079292	0,5775251	0,3214968	0,6265948	0,6585054	0,1230399
820	0,6995484	0,4850545	0,4595106	0,5735301	0,0165519	0,0577590	0,3492190	0,0020744	0,3266293	0,2631494	0,0126390	0,4209663	0,3836922	0,5881774	0,5675146	0,1094218
840	0,6442185	0,4245410	0,5044824	0,5395727	0,0239697	0,0768091	0,3364529	0,0199035	0,2951994	0,3232677	0,0179514	0,5202523	0,4386869	0,5259285	0,7000135	0,1353936
860	0,6239883	0,4367230	0,4767032	0,6256825	0,0228917	0,0380784	0,3265746	0,0073712	0,2833738	0,3087606	0,0061339	0,5166687	0,4166807	0,4826411	0,7461928	0,0863748
880	0,8067969	0,6362898	0,5141354	0,6020021	0,0239582	0,0682792	0,3476323	0,0046654	0,2550157	0,3099885	0,0106651	0,4549175	0,4344353	0,6259034	0,8377560	0,1280710
900	0,7269026	0,4411184	0,4351966	0,5901744	0,0098865	0,0452855	0,2793775	0,0054687	0,2943434	0,2888334	0,0111967	0,5455118	0,4182897	0,5858443	0,7460963	0,1190538
920	0,6239245	0,5247845	0,4229451	0,7112458	0,0365530	0,0555586	0,2802480	0,0027565	0,2716527	0,2178076	0,0102138	0,5031199	0,3776875	0,5513632	0,6638883	0,1066737
940	0,8513688	0,5023471	0,5434461	0,5795327	0,0316699	0,0416150	0,2479712	0,0021440	0,2978296	0,2987426	0,0127527	0,3927110	0,4410343	0,4253941	0,5367460	0,1109927
960	0,6816702	0,5405776	0,3779946	0,4648136	0,0174304	0,0579407	0,2077998	0,0036529	0,2344073	0,2638823	0,0069190	0,4776445	0,3616705	0,5400650	0,7876122	0,1704323
980	0,6588345	0,3856193	0,4496201	0,6440335	0,0089956	0,0404613	0,1994996	0,0009635	0,2619870	0,1921101	0,0062364	0,3635000	0,4495996	0,5497568	0,7447935	0,0935214
1000	0,7972660	0,4610580	0,5270774	0,6318238	0,0192496	0,0643682	0,2904701	0,0015455	0,2346828	0,2065778	0,0054170	0,6318167	0,3762495	0,5651301	0,6782704	0,0900213
1020	0,7568679	0,4567510	0,5535317	0,6796769	0,0084567	0,0498245	0,3113178	0,0020759	0,3131358	0,2558371	0,0158113	0,4086014	0,3282313	0,5650807	0,6356703	0,1618395
1040	0,6759711	0,5271751	0,4634813	0,6032009	0,0177772	0,0857211	0,2581153	0,0057604	0,2552578	0,2382277	0,0065455	0,3822863	0,3690716	0,5387202	0,6407938	0,1529651
1060	0,6702261	0,4741767	0,4219227	0,6089233	0,0352957	0,0538723	0,2243864	0,0040255	0,2719015	0,2534789	0,0091280	0,3889529	0,4764138	0,5192470	0,6267789	0,1556140
1080	0,6888286	0,4247128	0,4600899	0,6297361	0,0276674	0,0857309	0,2166782	0,0032236	0,2140589	0,2002785	0,0072164	0,5670399	0,2535352	0,6524794	0,7700181	0,1322249
1100	0,6972484	0,4087859	0,4603295	0,5542859	0,0222926	0,0572298	0,2687045	0,0052812	0,2392602	0,2049201	0,0247701	0,4627275	0,3446664	0,6125267	0,7942080	0,1801895

