yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP	Time	Experiment
1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	80	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	100	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	120	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	140	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	160	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	180	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	200	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	220	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	240	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	260	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	280	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	300	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	320	4
1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	340	4
1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	360	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	380	4
1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	400	4
1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	420	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	440	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	460	4
1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	480	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	500	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	520	4
1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	540	4
1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	560	4
1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	580	4
