"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
1080	0,8481790	0,6004675	0,4503098	0,3785099	0,9807383	0,2950593	0,6333109	0,2674025	0,4108360	0,9999026	0,1776165	0,0273009	0,0116696	0,3021294	0,1218252	0,3024269
1100	0,8788274	0,5796204	0,4415820	0,3211010	0,9850288	0,3111994	0,6485775	0,3107320	0,4265959	1,0105914	0,2072592	0,0238842	0,0083988	0,2678525	0,1491154	0,3584407

0	0,8360879	0,5986869	0,4247729	0,3078706	0,9601988	0,2401325	0,7407693	0,2975510	0,3355675	0,9680479	0,2224896	0,0389599	0,0019486	0,3154852	0,1214798	0,2543569
20	0,8635696	0,5659321	0,4050573	0,3427851	0,9206619	0,2389539	0,6173480	0,3329957	0,4078878	1,0375512	0,2097824	0,0320989	0,0129713	0,3707868	0,1842507	0,2944812
40	0,8779318	0,5542575	0,3089307	0,2754184	0,9635563	0,2507904	0,5142118	0,3323781	0,3780287	0,8201660	0,1446902	0,0284315	0,0091085	0,3126874	0,1921835	0,3369926
60	0,7577771	0,4736836	0,2098903	0,2291628	0,9745545	0,2529487	0,3776224	0,3208593	0,3505024	0,7434723	0,1065942	0,0194858	0,0051238	0,2546474	0,1477147	0,2978169
80	0,7956420	0,5011192	0,1354095	0,2329052	0,8892259	0,2970683	0,3264548	0,3374059	0,2769277	0,6774937	0,0946796	0,0330534	0,0045885	0,2355772	0,1241021	0,2985789
100	0,8076190	0,5256830	0,1500150	0,2629382	0,9319186	0,3606051	0,2364097	0,3347794	0,2378913	0,5363051	0,0535614	0,0298608	0,0060467	0,2125456	0,1616132	0,2749778
120	0,8560560	0,4596385	0,1101866	0,2875928	0,9488645	0,3589746	0,2038894	0,4282580	0,2049534	0,5204661	0,0328834	0,0349392	0,0049068	0,1804989	0,1062194	0,2653485
140	0,9359633	0,4999858	0,1110153	0,2990249	0,9943563	0,3543658	0,2110643	0,4690126	0,1829124	0,5272314	0,0253932	0,0651161	0,0031466	0,1503802	0,0780828	0,2750013
160	0,8967381	0,4924605	0,1036655	0,2904091	1,0351656	0,3096203	0,2114562	0,4561129	0,1941311	0,5163266	0,0210125	0,0578577	0,0015346	0,1437824	0,0588086	0,2720983
180	0,9681443	0,5363386	0,0970039	0,2884444	1,0325410	0,2635441	0,2596743	0,4436387	0,1595218	0,4574901	0,0094266	0,0441756	0,0025307	0,1341544	0,0384755	0,2530105
200	0,9982731	0,5832331	0,0988993	0,2753107	1,0502825	0,2239829	0,2576290	0,4083388	0,1402959	0,4226866	0,0016468	0,0398787	0,0011268	0,1149615	0,0377069	0,2496767
220	0,8781827	0,5966408	0,0781019	0,2606471	1,0355748	0,2431494	0,1782944	0,3789287	0,1245385	0,4324925	0,0082577	0,0314401	0,0018924	0,0929712	0,0383191	0,2713611
240	0,7968036	0,5509541	0,0754102	0,2513088	1,0229652	0,1828547	0,1867705	0,3546533	0,1350745	0,3733058	0,0060375	0,0242537	0,0018373	0,0820490	0,0325922	0,2784167
260	0,7953424	0,5299768	0,0888711	0,2578950	1,0021256	0,2201091	0,1674183	0,3676160	0,1451212	0,3638784	0,0063712	0,0112763	0,0013509	0,0791813	0,0302863	0,2412710
280	0,8432109	0,5623841	0,0683529	0,2506360	0,9777256	0,2177719	0,1475541	0,3735537	0,1023732	0,3876192	0,0166802	0,0138079	0,0036958	0,1061143	0,0357221	0,2614100
300	0,8847810	0,6046629	0,0660175	0,2723243	1,0010638	0,2065167	0,1493317	0,3905262	0,0963329	0,3330504	0,0093453	0,0204260	0,0027195	0,1078606	0,0561013	0,2796773
320	0,8354605	0,6039611	0,0822941	0,2943576	1,0097341	0,2272230	0,1991788	0,3550369	0,1349114	0,3112783	0,0020729	0,0240086	0,0001402	0,1073643	0,0557925	0,2463208
340	0,8543701	0,5610014	0,0856930	0,2828160	0,9556690	0,2319434	0,1661293	0,3552355	0,1096936	0,2946966	0,0119790	0,0146824	0,0004683	0,0959567	0,0674299	0,2571964
360	0,8614185	0,5890704	0,0895532	0,2652809	0,9686332	0,2256036	0,1521296	0,3414616	0,1373007	0,3079728	0,0136967	0,0200549	0,0000000	0,0563299	0,0720224	0,3239347
380	0,9090659	0,6204234	0,0547671	0,2063275	0,9643711	0,2373884	0,1745950	0,3228928	0,1364264	0,3081842	0,0037648	0,0117319	0,0014869	0,0568766	0,0458156	0,2994542
400	0,9632833	0,6158595	0,0662237	0,2094195	0,9569084	0,2704833	0,1611834	0,3523010	0,1413467	0,3063925	0,0029575	0,0237656	0,0045986	0,0596687	0,0406738	0,2766608
420	0,8737411	0,6289097	0,0678248	0,2444798	0,9881363	0,2462751	0,1724946	0,3289606	0,1415506	0,2603715	0,0036718	0,0215238	0,0049524	0,0760786	0,0424906	0,2708083
440	0,8184773	0,5988662	0,0678597	0,2778324	0,9625201	0,2109843	0,1954761	0,3415711	0,0965504	0,2641800	0,0021467	0,0263256	0,0044129	0,0689051	0,0299725	0,2787983
460	0,8871414	0,5607328	0,0450714	0,2711059	1,0161293	0,2336603	0,1927047	0,3408311	0,1169596	0,2566347	0,0031690	0,0154172	0,0019088	0,0721022	0,0365348	0,2850432
480	0,9074040	0,5046002	0,0456835	0,2878634	1,0254936	0,2209647	0,1944203	0,2931344	0,0945602	0,2218753	0,0023649	0,0205353	0,0008940	0,0556786	0,0439572	0,3064783
500	0,9686070	0,5317934	0,0559369	0,2906105	0,9885774	0,2043163	0,1708348	0,2960869	0,0894073	0,1896430	0,0035178	0,0207213	0,0011766	0,0510632	0,0312293	0,2684036
520	0,8848559	0,5561710	0,0578591	0,2723198	0,9512757	0,1916134	0,1754207	0,3413960	0,0935955	0,1903617	0,0020075	0,0290684	0,0002668	0,0466730	0,0173218	0,2725354
540	1,0905108	0,5430136	0,0667989	0,2978004	0,9597593	0,2014984	0,1850558	0,3569799	0,0914648	0,2158869	0,0092210	0,0416713	0,0005105	0,0516023	0,0263239	0,3011369
560	1,0687265	0,5420051	0,0890285	0,2275568	0,9362828	0,1895549	0,1416592	0,4001054	0,0683643	0,2257651	0,0180849	0,0481188	0,0015204	0,0582796	0,0345606	0,3087888
580	1,0361853	0,5558075	0,1414317	0,2374508	1,0147022	0,1572658	0,2748853	0,4175128	0,0790212	0,3110320	0,0168095	0,0304261	0,0024700	0,0526101	0,0265178	0,2848789
600	0,9794624	0,5698796	0,2152313	0,2420977	0,9636013	0,1587927	0,4255092	0,4262098	0,0967908	0,5091184	0,0133878	0,0249342	0,0019228	0,0797775	0,0225822	0,3047366
620	0,8293300	0,5413119	0,2580318	0,2275346	0,9667314	0,1234941	0,5635825	0,4005257	0,1080127	0,6140075	0,0265278	0,0180388	0,0000000	0,1255595	0,0280896	0,2832956
640	0,8601568	0,5499882	0,3142687	0,2510144	0,9747911	0,1307476	0,6700870	0,4200644	0,1186826	0,7861758	0,0435658	0,0095038	0,0017230	0,1552533	0,0321810	0,2495104
660	1,0100749	0,4963837	0,3140529	0,2648456	0,9927741	0,1721399	0,7488438	0,3764161	0,1286262	0,8263507	0,0798254	0,0264786	0,0032011	0,1832476	0,0614532	0,2402733
680	0,9577282	0,4948870	0,3993791	0,2698364	0,9513975	0,1906789	0,7396433	0,3502582	0,1239270	0,9378897	0,0910956	0,0404558	0,0021525	0,1778989	0,0751024	0,2152672
700	0,9465139	0,5140917	0,4261800	0,2691217	1,0076420	0,1661970	0,7124957	0,3254908	0,1527034	0,9441600	0,0968003	0,0234581	0,0039265	0,2226822	0,0805516	0,2136997
720	0,8830472	0,5239911	0,4222691	0,2411137	1,0674541	0,1666448	0,7307379	0,3276391	0,1840994	1,0021250	0,1538275	0,0416538	0,0058877	0,2064605	0,0927960	0,1962478
740	0,8059182	0,5576341	0,3908146	0,2337012	1,0858332	0,2240876	0,7377350	0,3204292	0,2319182	1,1164401	0,1355857	0,0456006	0,0040062	0,2086528	0,0855489	0,2092505
760	0,8129487	0,5950219	0,4180299	0,2130000	1,1185436	0,2503718	0,7773615	0,3278640	0,2868170	1,0557664	0,1334400	0,0437379	0,0033796	0,2112100	0,1184465	0,2434626
780	0,8687755	0,5284070	0,4661820	0,2114454	1,0711732	0,2361614	0,7436793	0,3620766	0,2772522	1,1176618	0,1188095	0,0298981	0,0009601	0,2119540	0,1306790	0,2638865
800	0,9254448	0,5837593	0,4807868	0,1973575	1,0546899	0,2192269	0,8420913	0,3819840	0,3172105	1,1362632	0,1787226	0,0282230	0,0038174	0,2202670	0,1114695	0,2490505
820	0,9043814	0,5623553	0,4322703	0,2112561	1,0557725	0,1991231	0,7299563	0,3829692	0,3140904	1,1349244	0,2344292	0,0385802	0,0017251	0,2781734	0,1170813	0,2409424
840	0,8672984	0,5415331	0,4207921	0,2473630	1,1024422	0,1860627	0,7420259	0,3531384	0,3008875	1,0511346	0,1860446	0,0454637	0,0008712	0,2979683	0,1494494	0,2509104
860	0,8676129	0,5821702	0,4116481	0,2630633	1,0784223	0,2161536	0,7979804	0,3666653	0,2991692	1,0694693	0,1905556	0,0428315	0,0028854	0,3037563	0,1600023	0,2632157
880	0,8057326	0,5658799	0,4860373	0,2936125	1,0933237	0,2274648	0,8142976	0,3655466	0,3302585	1,0576267	0,1849942	0,0401724	0,0040210	0,3480475	0,1671265	0,3021092
900	0,9082179	0,5589928	0,4488739	0,3191682	1,0554404	0,2426588	0,7575681	0,3311375	0,3186626	1,0466412	0,2211105	0,0353986	0,0034009	0,3329201	0,1745901	0,2709557
920	0,8961637	0,5804683	0,4994946	0,3342327	1,0228480	0,2767821	0,7335968	0,2833704	0,3149584	1,0637064	0,2141807	0,0361812	0,0078819	0,3536151	0,1685421	0,2565510
940	0,9232451	0,6065182	0,4783351	0,3531560	1,0060299	0,2514379	0,7327357	0,3121764	0,2841876	0,9579207	0,2072234	0,0212848	0,0068566	0,3620909	0,1662050	0,2757954
960	0,8175185	0,6511514	0,4190767	0,3787522	1,0142622	0,2214851	0,6165408	0,3401950	0,2957419	1,0105852	0,1914766	0,0198265	0,0054604	0,3581022	0,1819948	0,2694181
980	0,8206369	0,5744086	0,4272650	0,3261525	0,9686112	0,2161767	0,7050647	0,3756403	0,3455143	0,9669712	0,1981591	0,0248342	0,0074165	0,3465138	0,1576697	0,2872761
1000	0,8845139	0,5777867	0,3955117	0,3458239	0,9810052	0,2266897	0,6857931	0,3574839	0,2997724	0,9858115	0,2115482	0,0183772	0,0053922	0,3952818	0,1527319	0,2849294
1020	0,8726843	0,5517838	0,3907534	0,3646162	1,0282200	0,2384129	0,6667831	0,3808039	0,3364867	0,9851450	0,1982672	0,0231326	0,0049541	0,3660940	0,1586482	0,2805702
