"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
940	1,0000000	0,6722263	0,9993832	0,1737454	1,0000000	0,1387633	0,4726979	0,9981085	0,0623803	0,3060641	0,9401552	0,5764430	0,9099051	0,5942347	0,6759372	0,9821857
960	1,0000000	0,6742313	0,9996073	0,1729986	1,0000000	0,1396377	0,4729037	0,9984050	0,0608772	0,3048755	0,9405887	0,5930868	0,9102950	0,5962164	0,6806144	0,9822336
980	1,0000000	0,6758886	0,9997505	0,1725027	1,0000000	0,1402812	0,4730710	0,9986140	0,0598078	0,3040571	0,9408726	0,6056261	0,9105635	0,5978554	0,6844982	0,9822649
1000	1,0000000	0,6772576	0,9998417	0,1721745	1,0000000	0,1407579	0,4732072	0,9987617	0,0590492	0,3034960	0,9410582	0,6149298	0,9107477	0,5992095	0,6877158	0,9822853
1020	1,0000000	0,6783879	0,9998998	0,1719581	1,0000000	0,1411138	0,4733183	0,9988664	0,0585125	0,3031127	0,9411793	0,6217424	0,9108737	0,6003273	0,6903767	0,9822985
1040	1,0000000	0,6793207	0,9999367	0,1718158	1,0000000	0,1413817	0,4734089	0,9989410	0,0581337	0,3028517	0,9412581	0,6266744	0,9109597	0,6012494	0,6925745	0,9823071
1060	1,0000000	0,6800903	0,9999600	0,1717225	1,0000000	0,1415853	0,4734831	0,9989944	0,0578670	0,3026746	0,9413094	0,6302094	0,9110182	0,6020098	0,6943880	0,9823127
1080	1,0000000	0,6807250	0,9999748	0,1716615	1,0000000	0,1417416	0,4735438	0,9990328	0,0576795	0,3025547	0,9413427	0,6327209	0,9110579	0,6026367	0,6958833	0,9823163
1100	1,0000000	0,6812484	0,9999841	0,1716218	1,0000000	0,1418626	0,4735936	0,9990606	0,0575480	0,3024738	0,9413643	0,6344913	0,9110848	0,6031533	0,6971156	0,9823186

0	1,0000000	0,6824549	1,0000000	0,1715493	1,0000000	0,1421279	0,4737072	0,9991218	0,0572415	0,3023198	0,9414026	0,6382793	0,9111324	0,6043422	0,6999406	0,9823226
20	1,0000000	0,6826714	0,9882636	0,1716577	1,0000000	0,1421040	0,4737271	0,9991253	0,0809626	0,3023491	0,9413562	0,5761188	0,9185319	0,6045587	0,7004593	0,9823154
40	1,0000000	0,6828213	0,9655799	0,1726898	1,0000000	0,1415350	0,4737386	0,9991266	0,1297513	0,3026822	0,9409090	0,4607645	0,9312531	0,6047353	0,7008847	0,9822461
60	1,0000000	0,6828797	0,9423428	0,1753995	1,0000000	0,1399398	0,4737381	0,9991242	0,1834290	0,3036307	0,9397217	0,3477129	0,9427626	0,6048721	0,7012288	0,9820648
