"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
340	0,1063558	0,8246805	0,6220839	0,9606812	0,0344601	0,9744794	0,3966038	0,3336572	0,0030310	0,9443240	0,0462502	0,9868179	0,9261835	0,7634272	0,0003161	0,3492441
360	0,1051632	0,8259545	0,6220839	0,9607009	0,0336961	0,9812915	0,3968271	0,3336523	0,0030295	0,9444632	0,0456302	0,9868536	0,9263374	0,7636950	0,0003097	0,3492956
380	0,1042425	0,8268748	0,6220839	0,9607155	0,0331708	0,9860364	0,3969914	0,3336511	0,0030287	0,9445594	0,0451504	0,9868794	0,9264477	0,7638788	0,0003057	0,3493298
400	0,1035345	0,8275385	0,6220839	0,9607263	0,0328107	0,9893231	0,3971117	0,3336516	0,0030283	0,9446257	0,0447801	0,9868980	0,9265265	0,7640045	0,0003032	0,3493525
420	0,1029921	0,8280171	0,6220839	0,9607343	0,0325644	0,9915898	0,3971995	0,3336525	0,0030281	0,9446712	0,0444948	0,9869112	0,9265828	0,7640901	0,0003016	0,3493671
440	0,1025781	0,8283627	0,6220839	0,9607402	0,0323964	0,9931475	0,3972634	0,3336532	0,0030280	0,9447023	0,0442754	0,9869206	0,9266227	0,7641479	0,0003006	0,3493764
460	0,1022630	0,8286130	0,6220839	0,9607445	0,0322820	0,9942149	0,3973096	0,3336537	0,0030279	0,9447234	0,0441069	0,9869273	0,9266511	0,7641868	0,0002999	0,3493821
480	0,1020240	0,8287948	0,6220839	0,9607477	0,0322043	0,9949446	0,3973431	0,3336539	0,0030279	0,9447377	0,0439777	0,9869321	0,9266712	0,7642127	0,0002995	0,3493854
500	0,1018433	0,8289275	0,6220839	0,9607500	0,0321516	0,9954426	0,3973673	0,3336540	0,0030278	0,9447474	0,0438788	0,9869355	0,9266853	0,7642300	0,0002993	0,3493874
520	0,1017068	0,8290247	0,6220839	0,9607517	0,0321159	0,9957819	0,3973849	0,3336540	0,0030278	0,9447539	0,0438031	0,9869379	0,9266954	0,7642415	0,0002991	0,3493885
540	0,1016041	0,8290963	0,6220839	0,9607530	0,0320917	0,9960128	0,3973976	0,3336540	0,0030278	0,9447583	0,0437453	0,9869396	0,9267024	0,7642491	0,0002990	0,3493891
560	0,1015269	0,8291493	0,6220839	0,9607539	0,0320754	0,9961697	0,3974068	0,3336539	0,0030278	0,9447612	0,0437012	0,9869408	0,9267075	0,7642543	0,0002990	0,3493895
580	0,1238091	0,8291341	0,6220839	0,9635287	0,0994919	0,9955683	0,3971097	0,3483538	0,0046856	0,9446359	0,0482741	0,9868800	0,9265934	0,7637556	0,0013349	0,3490134
600	0,1679492	0,8284625	0,6220839	0,9690914	0,2376300	0,9787589	0,3944309	0,3729796	0,0074643	0,9433629	0,0583984	0,9863070	0,9254445	0,7590043	0,0033025	0,3457660
620	0,2143229	0,8258402	0,6220839	0,9749467	0,3832069	0,9096152	0,3881677	0,3922446	0,0098330	0,9399202	0,0702928	0,9848630	0,9224139	0,7470138	0,0052752	0,3384477
640	0,2548362	0,8198889	0,6220839	0,9791698	0,4882798	0,7916990	0,3794118	0,4030351	0,0114902	0,9344166	0,0819685	0,9827157	0,9176720	0,7291128	0,0069248	0,3286025
660	0,2870826	0,8099697	0,6220839	0,9797612	0,5325207	0,6584355	0,3700003	0,4072889	0,0125469	0,9278079	0,0925313	0,9803351	0,9120610	0,7089103	0,0081897	0,3184118
680	0,3113223	0,7965155	0,6220839	0,9769390	0,5327078	0,5358239	0,3613767	0,4078846	0,0131899	0,9211999	0,1016782	0,9781564	0,9064941	0,6898006	0,0091120	0,3094292
700	0,3288880	0,7807341	0,6220839	0,9731224	0,5141452	0,4359713	0,3542783	0,4070243	0,0135745	0,9153835	0,1093980	0,9764142	0,9016020	0,6738205	0,0097629	0,3023542
720	0,3413570	0,7640795	0,6220839	0,9703327	0,4950219	0,3613948	0,3488584	0,4059456	0,0138056	0,9107184	0,1158069	0,9751497	0,8976615	0,6616215	0,0102122	0,2972414
740	0,3501591	0,7478357	0,6220839	0,9691395	0,4835596	0,3093052	0,3449275	0,4051472	0,0139471	0,9072246	0,1210653	0,9742913	0,8946803	0,6529259	0,0105173	0,2937924
760	0,3564304	0,7329153	0,6220839	0,9691696	0,4802093	0,2745784	0,3421636	0,4047088	0,0140356	0,9047338	0,1253393	0,9737311	0,8925201	0,6470289	0,0107219	0,2915892
780	0,3610000	0,7198295	0,6220839	0,9698004	0,4817343	0,2518626	0,3402441	0,4045391	0,0140915	0,9030148	0,1287847	0,9733695	0,8909951	0,6431558	0,0108577	0,2902373
800	0,3644341	0,7087554	0,6220839	0,9705358	0,4846664	0,2368461	0,3389067	0,4045181	0,0141267	0,9018486	0,1315412	0,9731322	0,8899307	0,6406481	0,0109471	0,2894270
820	0,3671008	0,6996357	0,6220839	0,9711152	0,4869336	0,2266306	0,3379620	0,4045552	0,0141486	0,9010607	0,1337314	0,9729709	0,8891876	0,6390207	0,0110054	0,2889438
840	0,3692304	0,6922757	0,6220839	0,9714775	0,4879478	0,2194978	0,3372832	0,4046001	0,0141617	0,9005257	0,1354610	0,9728567	0,8886648	0,6379491	0,0110432	0,2886519
860	0,3709647	0,6864195	0,6220839	0,9716715	0,4879980	0,2144808	0,3367884	0,4046328	0,0141695	0,9001587	0,1368196	0,9727736	0,8882933	0,6372294	0,0110676	0,2884712
880	0,3723919	0,6818014	0,6220839	0,9717735	0,4876186	0,2110016	0,3364245	0,4046505	0,0141738	0,8999048	0,1378818	0,9727122	0,8880273	0,6367375	0,0110832	0,2883563
900	0,3735700	0,6781762	0,6220839	0,9718410	0,4872192	0,2086572	0,3361563	0,4046572	0,0141762	0,8997281	0,1387092	0,9726669	0,8878358	0,6363980	0,0110932	0,2882818
920	0,3745407	0,6753336	0,6220839	0,9719019	0,4869821	0,2071281	0,3359591	0,4046579	0,0141775	0,8996052	0,1393515	0,9726337	0,8876981	0,6361634	0,0110995	0,2882334
940	0,3753368	0,6731011	0,6220839	0,9719616	0,4869150	0,2061554	0,3358148	0,4046563	0,0141782	0,8995200	0,1398488	0,9726098	0,8875993	0,6360021	0,0111035	0,2882022
960	0,3759859	0,6713423	0,6220839	0,9720160	0,4869486	0,2055418	0,3357097	0,4046544	0,0141786	0,8994613	0,1402330	0,9725927	0,8875288	0,6358923	0,0111060	0,2881824
980	0,3765120	0,6699511	0,6220839	0,9720603	0,4870104	0,2051497	0,3356334	0,4046531	0,0141788	0,8994212	0,1405291	0,9725806	0,8874786	0,6358183	0,0111076	0,2881701
1000	0,3769363	0,6688463	0,6220839	0,9720929	0,4870578	0,2048921	0,3355782	0,4046524	0,0141790	0,8993940	0,1407570	0,9725721	0,8874431	0,6357688	0,0111086	0,2881626
1020	0,3772771	0,6679658	0,6220839	0,9721151	0,4870788	0,2047182	0,3355382	0,4046521	0,0141790	0,8993757	0,1409320	0,9725660	0,8874180	0,6357358	0,0111092	0,2881582
1040	0,3775501	0,6672620	0,6220839	0,9721297	0,4870797	0,2045994	0,3355093	0,4046521	0,0141791	0,8993633	0,1410663	0,9725618	0,8874003	0,6357140	0,0111096	0,2881556
1060	0,3777684	0,6666984	0,6220839	0,9721395	0,4870716	0,2045188	0,3354884	0,4046521	0,0141791	0,8993550	0,1411691	0,9725587	0,8873878	0,6356994	0,0111099	0,2881540
