"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
480	1,0052584	0,5038162	0,0953770	0,2450077	0,9395807	0,1851583	0,1431931	0,3247385	0,1195624	0,1672143	0,0028774	0,0180771	0,0009962	0,0507609	0,0321393	0,3047863
500	0,9541955	0,5265309	0,0646006	0,2346162	0,9339039	0,2045680	0,1786968	0,3696893	0,0966374	0,1857034	0,0058251	0,0210402	0,0000000	0,0353189	0,0169164	0,2845329
520	0,9955718	0,5499304	0,0700626	0,2505579	0,9674715	0,2500887	0,1769323	0,4302791	0,0944530	0,2035023	0,0059549	0,0383134	0,0004596	0,0581074	0,0148495	0,3004514
540	0,9394050	0,5428359	0,0782980	0,2460709	0,9670177	0,1652008	0,1419742	0,4002852	0,0903718	0,2200687	0,0091975	0,0420477	0,0027534	0,0572467	0,0244922	0,3177487
560	0,9166706	0,5117284	0,0786315	0,2102808	1,0103183	0,1397115	0,1865248	0,4184590	0,0620556	0,2396961	0,0061676	0,0245320	0,0011524	0,0510308	0,0379545	0,2762348
580	0,9531606	0,5614719	0,2543526	0,2524048	1,0178926	0,1149654	0,4634627	0,4224415	0,0538034	0,5396910	0,0099052	0,0209853	0,0020313	0,0577240	0,0284424	0,2363563
600	0,9665548	0,5471576	0,3747085	0,2369697	0,9894857	0,1110043	0,6529698	0,4027701	0,0780804	0,7144379	0,0348086	0,0274311	0,0053485	0,1211806	0,0198641	0,2140949
620	0,9226838	0,5380987	0,3748411	0,2220865	0,9178628	0,1320033	0,7563403	0,3664835	0,0883881	0,8400630	0,0402058	0,0200453	0,0033632	0,1662641	0,0365356	0,2158328
640	0,9084405	0,4847706	0,3917760	0,2985073	0,9518540	0,1943170	0,7160786	0,3607204	0,1027766	0,9316370	0,0891173	0,0366529	0,0020710	0,1951578	0,0349828	0,2317766
660	0,9869239	0,5117295	0,4071163	0,2970491	0,9980592	0,2225629	0,7479696	0,3598159	0,1476154	0,8923310	0,1059082	0,0362500	0,0008086	0,2134376	0,0645541	0,2400726
680	0,9633775	0,5491276	0,4260281	0,2406839	0,9446333	0,1989475	0,7745732	0,3704622	0,1716714	0,9943514	0,1177765	0,0521883	0,0030109	0,2175907	0,0876182	0,2088557
700	0,8657912	0,5605111	0,4212170	0,2498859	0,9562150	0,1712612	0,7343391	0,3904859	0,2032520	0,9875683	0,1282931	0,0405276	0,0037228	0,2583250	0,0934403	0,1906709
720	0,8435468	0,5562947	0,3763946	0,2265010	1,0448591	0,1893625	0,7895700	0,3498358	0,2961850	1,0010723	0,1713275	0,0356931	0,0020848	0,2512026	0,1001308	0,2048359
740	0,8680247	0,5292807	0,4295416	0,2343272	1,0885841	0,2461103	0,7910186	0,3633890	0,2809264	1,1017456	0,1689428	0,0319642	0,0000000	0,2569745	0,1149692	0,2710152
760	0,8328020	0,5116080	0,5056809	0,2145819	1,0739726	0,2735819	0,8353676	0,3654922	0,3046957	1,0548694	0,1598338	0,0176509	0,0068191	0,2567921	0,1132687	0,2999640
780	0,9000773	0,5603015	0,4936404	0,2136112	1,0547738	0,2736093	0,8475706	0,3437433	0,2995277	1,1042624	0,2153326	0,0161845	0,0028069	0,2557800	0,1406254	0,2547451
800	0,8936793	0,5122202	0,4059023	0,2209320	0,9994004	0,2035294	0,8357197	0,3642161	0,3277164	1,0497040	0,2194390	0,0260033	0,0000000	0,3032369	0,1379615	0,2776318
820	0,9205328	0,4709698	0,4284878	0,2765909	1,0795350	0,1792018	0,7487219	0,3678807	0,2775028	1,0294033	0,2106655	0,0316626	0,0010831	0,3221948	0,1388432	0,2438307
840	0,9181763	0,5155535	0,4861180	0,2808738	1,0559196	0,1987396	0,7913089	0,3647323	0,2830555	1,0335510	0,1760095	0,0463522	0,0026232	0,2985779	0,1356962	0,2656878
860	0,8560503	0,5689986	0,5166324	0,2799695	1,0466716	0,2295182	0,8223131	0,3625277	0,2882488	0,9895621	0,1693120	0,0295046	0,0029651	0,3076189	0,1471534	0,2851784
880	0,8933210	0,5542405	0,4997605	0,2691298	1,0772797	0,2525767	0,7444285	0,3200911	0,3202936	1,0456885	0,2138150	0,0312954	0,0007357	0,2923676	0,1755850	0,3032903
900	0,9111033	0,5472022	0,4463096	0,3091667	0,9918107	0,2790389	0,7364865	0,3118593	0,3137500	1,0671535	0,2350494	0,0417803	0,0017830	0,2924955	0,1798380	0,2945872
920	0,8905427	0,5350555	0,4537434	0,3267744	1,0000980	0,2551821	0,6865861	0,3030011	0,3251707	1,0172202	0,2079770	0,0265483	0,0015643	0,3180273	0,1581344	0,2863892
940	0,8074596	0,5254807	0,4273860	0,3515241	1,0249474	0,2147781	0,6956566	0,3304374	0,3677396	0,9921674	0,1960965	0,0176385	0,0032326	0,3391370	0,1604114	0,2973204
960	0,7705012	0,4991383	0,4375644	0,3205073	1,0451761	0,2016029	0,6528996	0,3437493	0,3664095	0,9894352	0,1876233	0,0196586	0,0018494	0,3527785	0,1572150	0,2534334
980	0,7685589	0,5262062	0,4534189	0,3407894	0,9729651	0,2369477	0,7406625	0,3389782	0,3428782	0,9866239	0,2172764	0,0217433	0,0039007	0,3594578	0,1599015	0,3052112
1000	0,7818725	0,5228561	0,4268854	0,3313694	1,0966629	0,2363607	0,7251228	0,3556293	0,2995646	1,0080601	0,2049460	0,0211394	0,0047388	0,3350964	0,1546154	0,3036386
1020	0,7917999	0,5380071	0,4363704	0,3026014	1,0563376	0,2191513	0,7121427	0,3909415	0,3020664	1,0235525	0,1860831	0,0252618	0,0031131	0,2542166	0,1299204	0,2588187
1040	0,7367584	0,5338707	0,4039542	0,3340929	0,9749095	0,2474965	0,7626094	0,3668479	0,3108153	0,9381955	0,1732784	0,0107723	0,0000000	0,3095612	0,1422030	0,2529224
1060	0,8279796	0,5752455	0,4786397	0,2842320	0,9739494	0,3020523	0,7835139	0,3711891	0,3647755	0,9400134	0,1936386	0,0148317	0,0035690	0,2934557	0,1592519	0,2547697
1080	0,8650953	0,5223968	0,4746350	0,3270541	0,9803657	0,3134765	0,7698684	0,3312915	0,3482406	0,9400056	0,2135751	0,0230737	0,0064910	0,2864544	0,1324015	0,3146260
1100	0,8748536	0,5933571	0,4756883	0,3026683	1,0344369	0,3044353	0,7476837	0,3242387	0,3929435	0,9694232	0,2112207	0,0231588	0,0109595	0,2678531	0,1564437	0,2751885

0	0,8016550	0,5854463	0,4675161	0,3449086	1,0009285	0,2883042	0,7216852	0,3609168	0,3545963	0,9675988	0,2186726	0,0232954	0,0054050	0,2912893	0,1213646	0,3258233
20	0,9097686	0,2974348	0,4633686	0,2927374	0,9258909	0,2210005	0,6852565	0,3642210	0,3372944	0,5872546	0,1174552	0,0370891	0,0031786	0,2824405	0,1588370	0,2301903
40	0,8669777	0,1761532	0,4385556	0,2725952	0,9747551	0,3025005	0,7610509	0,4606286	0,3061488	0,3220237	0,0840005	0,0373558	0,0004114	0,3007492	0,1240315	0,2434959
60	0,8386138	0,0987076	0,4697997	0,2388093	1,0434823	0,4998182	0,8847700	0,5204314	0,2815921	0,2284400	0,0916523	0,0643545	0,0007471	0,2952888	0,0858799	0,2477594
80	0,8533255	0,0806724	0,5071376	0,2258621	1,0006013	0,6259451	0,9605248	0,6202997	0,3684498	0,1796430	0,0902618	0,0707520	0,0004530	0,3114591	0,1377289	0,2544828
100	0,9243016	0,0617499	0,4773800	0,2378081	0,9820827	0,8134099	1,0514000	0,6758000	0,4468434	0,1677181	0,0851814	0,0890751	0,0001630	0,3240239	0,1521765	0,2564800
120	0,9706030	0,0637359	0,4281143	0,2868904	0,9651449	0,9032081	1,0480391	0,7659642	0,4288121	0,1417686	0,0675967	0,1219380	0,0005381	0,3265785	0,1267915	0,2476487
140	0,9168060	0,0635047	0,3818136	0,2747255	1,1274463	0,9346438	1,0084967	0,8255273	0,3647267	0,1028638	0,0606960	0,1664625	0,0022097	0,3346671	0,1282043	0,2238103
160	0,8855657	0,0607210	0,4130787	0,2493490	1,0021737	0,9694631	1,0486691	0,8903891	0,3035257	0,1001849	0,0711897	0,2103706	0,0000000	0,3368777	0,1135046	0,2568479
180	0,8578989	0,0478242	0,4405131	0,2334362	1,0490462	0,9605442	1,0026105	0,9083288	0,3747107	0,0815450	0,0829799	0,2747524	0,0037839	0,3280097	0,1721874	0,2593689
200	0,8424752	0,0461305	0,5049360	0,2684123	1,0841197	0,9863854	1,0200801	0,9191890	0,3469633	0,0865648	0,1065636	0,2452064	0,0107627	0,3117349	0,1688633	0,2592054
220	0,9514182	0,0425448	0,4510603	0,2950248	1,0675846	0,9223231	1,0444359	0,9253940	0,3798569	0,0949052	0,1117943	0,2811407	0,0095766	0,3225820	0,1526735	0,2679249
240	0,9362675	0,0454609	0,4496231	0,3053711	1,0310378	0,9704620	1,0835209	0,9449331	0,3314286	0,0599003	0,0901431	0,2754432	0,0057070	0,2644616	0,1626654	0,2569104
260	0,9215539	0,0514726	0,4275125	0,2807717	0,9801843	0,9782269	1,0717047	0,9908925	0,3172136	0,0608892	0,0950704	0,2890514	0,0014225	0,2718594	0,1524812	0,2477655
280	0,9298229	0,0443611	0,4763752	0,2899056	1,0426951	1,0127509	1,0922578	0,9535199	0,3502252	0,0755575	0,0952318	0,3223242	0,0078107	0,2593559	0,1691385	0,2818219
300	0,9889280	0,0419315	0,4299436	0,2793508	1,0289174	0,9869104	0,9983598	0,9578511	0,3544244	0,1027529	0,0883344	0,3378044	0,0035766	0,2683703	0,1724912	0,3064461
320	0,9499373	0,0535066	0,4774030	0,2273166	1,0986876	1,0102196	1,0280147	1,0283043	0,3294404	0,0996472	0,0720336	0,3715218	0,0076460	0,2926700	0,1318423	0,3045575
340	0,9036683	0,0473862	0,4439388	0,2255132	1,0538094	0,9959780	1,0134612	1,0094261	0,3139878	0,0948300	0,0820596	0,3443874	0,0012641	0,2936778	0,1267900	0,2625513
360	0,8761696	0,0220189	0,4215081	0,2439080	1,0624555	1,0161695	1,0483144	1,0384044	0,2916384	0,0877835	0,1032188	0,3738081	0,0019385	0,2657776	0,0933036	0,2708677
380	0,8732825	0,0406229	0,4701780	0,2399227	1,0356983	0,9898552	1,0292762	1,0025083	0,2930212	0,0627197	0,0620449	0,3643694	0,0173537	0,2693377	0,0867837	0,2717698
400	0,7553276	0,0346752	0,4307802	0,2668353	1,0660791	0,9383223	1,0933361	1,0723911	0,2508028	0,0485887	0,0708466	0,3802928	0,0150927	0,2610686	0,1011256	0,2855781
420	0,8406378	0,0536846	0,4682165	0,2793264	1,0433229	0,9351082	1,0094190	1,0345849	0,2494614	0,0566027	0,0651215	0,3544226	0,0143013	0,2875706	0,1034355	0,2926130
440	0,8421380	0,0352740	0,5433796	0,2648888	0,9641845	0,9967357	1,0876342	1,0256943	0,2355532	0,0652823	0,0452810	0,3235471	0,0120401	0,2861316	0,1097775	0,3096511
460	0,8787722	0,0613562	0,5614421	0,2776167	0,9208264	1,0014082	1,0798352	0,9976020	0,2601413	0,0667949	0,0470453	0,3380737	0,0067895	0,2783593	0,1074634	0,3162012
480	0,8802746	0,0597013	0,5669947	0,2893134	0,9698566	1,0021363	1,0310189	1,0169938	0,3061030	0,0703238	0,0491463	0,3340575	0,0109058	0,2566230	0,1270346	0,3036167
500	0,8908364	0,0716047	0,4836165	0,3173758	0,9589947	0,9883375	0,9778005	1,0969201	0,3438071	0,0662671	0,0819148	0,3215045	0,0076485	0,2485404	0,1533946	0,3209091
520	0,8766657	0,0485731	0,4221920	0,3154065	0,9579758	0,9435272	1,0122867	1,0252794	0,3525920	0,0560600	0,1088747	0,3377214	0,0058644	0,2863147	0,1612401	0,3057359
540	0,8872844	0,0428971	0,4392329	0,3376814	0,9866895	1,0182612	1,0096851	0,9932067	0,3547889	0,0824767	0,1044218	0,3429333	0,0075794	0,3039756	0,1741064	0,3296498
