"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
800	0,7781370	0,8578262	0,6325184	0,0425866	0,0423313	0,9615470	0,0961403	0,9772581	0,0775966	0,0507346	0,0717262	0,0361175	0,1473299	0,9992639	0,0070136	0,9964629
820	0,7768051	0,8583626	0,6325184	0,0425866	0,0423313	0,9704243	0,0913413	0,9793374	0,0775966	0,0507346	0,0717262	0,0324306	0,1473299	0,9992639	0,0070136	0,9976189
840	0,7758874	0,8586974	0,6325184	0,0425866	0,0423313	0,9765430	0,0880566	0,9805837	0,0775966	0,0507346	0,0717262	0,0299225	0,1473299	0,9992639	0,0070136	0,9983894
860	0,7753111	0,8589426	0,6325184	0,0425866	0,0423313	0,9807374	0,0858096	0,9813269	0,0775966	0,0507346	0,0717262	0,0282215	0,1473299	0,9992639	0,0070136	0,9989000
880	0,7749827	0,8591457	0,6325184	0,0425866	0,0423313	0,9835991	0,0842730	0,9817681	0,0775966	0,0507346	0,0717262	0,0270706	0,1473299	0,9992639	0,0070136	0,9992369
900	0,7748168	0,8593222	0,6325184	0,0425866	0,0423313	0,9855436	0,0832225	0,9820291	0,0775966	0,0507346	0,0717262	0,0262935	0,1473299	0,9992639	0,0070136	0,9994582
920	0,7747470	0,8594744	0,6325184	0,0425866	0,0423313	0,9868601	0,0825045	0,9821830	0,0775966	0,0507346	0,0717262	0,0257696	0,1473299	0,9992639	0,0070136	0,9996030
940	0,7747275	0,8596011	0,6325184	0,0425866	0,0423313	0,9877486	0,0820137	0,9822735	0,0775966	0,0507346	0,0717262	0,0254168	0,1473299	0,9992639	0,0070136	0,9996975
960	0,7747300	0,8597022	0,6325184	0,0425866	0,0423313	0,9883465	0,0816783	0,9823265	0,0775966	0,0507346	0,0717262	0,0251795	0,1473299	0,9992639	0,0070136	0,9997590
980	0,7747389	0,8597792	0,6325184	0,0425866	0,0423313	0,9887478	0,0814491	0,9823576	0,0775966	0,0507346	0,0717262	0,0250200	0,1473299	0,9992639	0,0070136	0,9997989
1000	0,7747469	0,8598353	0,6325184	0,0425866	0,0423313	0,9890165	0,0812925	0,9823757	0,0775966	0,0507346	0,0717262	0,0249129	0,1473299	0,9992639	0,0070136	0,9998248
1020	0,7747517	0,8598745	0,6325184	0,0425866	0,0423313	0,9891961	0,0811854	0,9823863	0,0775966	0,0507346	0,0717262	0,0248409	0,1473299	0,9992639	0,0070136	0,9998414
1040	0,7747532	0,8599006	0,6325184	0,0425866	0,0423313	0,9893159	0,0811123	0,9823925	0,0775966	0,0507346	0,0717262	0,0247927	0,1473299	0,9992639	0,0070136	0,9998522
1060	0,7747524	0,8599174	0,6325184	0,0425866	0,0423313	0,9893956	0,0810623	0,9823960	0,0775966	0,0507346	0,0717262	0,0247603	0,1473299	0,9992639	0,0070136	0,9998591
1080	0,7747504	0,8599278	0,6325184	0,0425866	0,0423313	0,9894487	0,0810281	0,9823981	0,0775966	0,0507346	0,0717262	0,0247386	0,1473299	0,9992639	0,0070136	0,9998636
1100	0,7747479	0,8599339	0,6325184	0,0425866	0,0423313	0,9894839	0,0810048	0,9823993	0,0775966	0,0507346	0,0717262	0,0247240	0,1473299	0,9992639	0,0070136	0,9998664

0	0,7751538	0,8593762	0,6325255	0,0425863	0,0423272	0,9895934	0,0809544	0,9824156	0,0775963	0,0507328	0,0717257	0,0246654	0,1469960	0,9992697	0,0070078	0,9998720
20	0,7750417	0,8595620	0,6325180	0,0425894	0,0634257	0,9894545	0,0809544	0,9821223	0,1710593	0,0645644	0,0717290	0,0600486	0,1478529	0,9459870	0,0070567	0,9998672
40	0,7749464	0,8596804	0,6325158	0,0426772	0,1065785	0,9880125	0,0809555	0,9791899	0,3378714	0,0864194	0,0717877	0,1290978	0,1554389	0,8356397	0,0076884	0,9997863
60	0,7748733	0,8597573	0,6325159	0,0435027	0,1543042	0,9834550	0,0809680	0,9709845	0,4958186	0,1069994	0,0721175	0,2019097	0,1756585	0,7129714	0,0101512	0,9993532
80	0,7748216	0,8598089	0,6325168	0,0474718	0,1997824	0,9746927	0,0810387	0,9569981	0,6219229	0,1267788	0,0731785	0,2675487	0,2085141	0,5974316	0,0158642	0,9980203
100	0,7747875	0,8598450	0,6325175	0,0593830	0,2415270	0,9617008	0,0812871	0,9384370	0,7153016	0,1471738	0,0755922	0,3232351	0,2502362	0,4952561	0,0257428	0,9951047
120	0,7747664	0,8598711	0,6325181	0,0850333	0,2802211	0,9451713	0,0819246	0,9170715	0,7818812	0,1687042	0,0799780	0,3693823	0,2963287	0,4071137	0,0399873	0,9899889
140	0,7747543	0,8598905	0,6325183	0,1285897	0,3171057	0,9260405	0,0832621	0,8944462	0,8285298	0,1912836	0,0868610	0,4074664	0,3431658	0,3320067	0,0582974	0,9822146
160	0,7747477	0,8599051	0,6325184	0,1907211	0,3533248	0,9051697	0,0857278	0,8715933	0,8611204	0,2147035	0,0966714	0,4391582	0,3883911	0,2686373	0,0801827	0,9714631
180	0,7747444	0,8599160	0,6325185	0,2684238	0,3897265	0,8832109	0,0899067	0,8490569	0,8841355	0,2388530	0,1097863	0,4659906	0,4307489	0,2157104	0,1051709	0,9574974
200	0,7747429	0,8599240	0,6325185	0,3561732	0,4268282	0,8605963	0,0965912	0,8270377	0,9008034	0,2637284	0,1265577	0,4892475	0,4697518	0,1719649	0,1328824	0,9401268
220	0,7747421	0,8599298	0,6325184	0,4475610	0,4648232	0,8375889	0,1068146	0,8055475	0,9133624	0,2893561	0,1472998	0,5099435	0,5053690	0,1361817	0,1630110	0,9192186
240	0,7747418	0,8599339	0,6325184	0,5367213	0,5035992	0,8143516	0,1218193	0,7845320	0,9233114	0,3157056	0,1722307	0,5288383	0,5377946	0,1072037	0,1952588	0,8947507
260	0,7747415	0,8599367	0,6325184	0,6191996	0,5427731	0,7910109	0,1429084	0,7639517	0,9316108	0,3426278	0,2013840	0,5464639	0,5672978	0,0839589	0,2292663	0,8668857
280	0,7747413	0,8599386	0,6325184	0,6922391	0,5817554	0,7677044	0,1711530	0,7438250	0,9388372	0,3698318	0,2345205	0,5631567	0,5941395	0,0654783	0,2645634	0,8360308
300	0,7747411	0,8599398	0,6325184	0,7546421	0,6198417	0,7446063	0,2070194	0,7242399	0,9453038	0,3969021	0,2710779	0,5790930	0,6185368	0,0509060	0,3005594	0,8028538
320	0,7747409	0,8599406	0,6325184	0,8064101	0,6563163	0,7219321	0,2500692	0,7053428	0,9511562	0,4233479	0,3101879	0,5943268	0,6406577	0,0395021	0,3365724	0,7682376
340	0,7747407	0,8599411	0,6325184	0,8483320	0,6905456	0,6999260	0,2989023	0,6873143	0,9564462	0,4486696	0,3507626	0,6088289	0,6606315	0,0306381	0,3718891	0,7331831
360	0,7747406	0,8599414	0,6325184	0,8816198	0,7220441	0,6788391	0,3513939	0,6703389	0,9611850	0,4724230	0,3916246	0,6225237	0,6785654	0,0237898	0,4058337	0,6986892
380	0,7747405	0,8599415	0,6325184	0,9076360	0,7505044	0,6589047	0,4051207	0,6545788	0,9653756	0,4942666	0,4316456	0,6353204	0,6945601	0,0185263	0,4378298	0,6656428
400	0,7747404	0,8599416	0,6325184	0,9277141	0,7757967	0,6403170	0,4577966	0,6401543	0,9690296	0,5139842	0,4698564	0,6471370	0,7087205	0,0144986	0,4674408	0,6347443
420	0,7747403	0,8599417	0,6325184	0,9430579	0,7979441	0,6232179	0,5075782	0,6271347	0,9721727	0,5314860	0,5055139	0,6579153	0,7211612	0,0114277	0,4943852	0,6064741
440	0,7747403	0,8599417	0,6325184	0,9546975	0,8170886	0,6076908	0,5531987	0,6155368	0,9748433	0,5467908	0,5381224	0,6676280	0,7320080	0,0090928	0,5185312	0,5810972
460	0,7747403	0,8599417	0,6325184	0,9634808	0,8334532	0,5937622	0,5939573	0,6053304	0,9770881	0,5600019	0,5674196	0,6762798	0,7413954	0,0073211	0,5398761	0,5586915
480	0,7747403	0,8599418	0,6325184	0,9700864	0,8473076	0,5814082	0,6296246	0,5964480	0,9789583	0,5712791	0,5933401	0,6839034	0,7494630	0,0059785	0,5585187	0,5391891
500	0,7747403	0,8599418	0,6325184	0,9750456	0,8589413	0,5705641	0,6603163	0,5887948	0,9805047	0,5808147	0,6159706	0,6905546	0,7563511	0,0049615	0,5746296	0,5224193
520	0,7747403	0,8599418	0,6325184	0,9787679	0,8686427	0,5611351	0,6863712	0,5822593	0,9817758	0,5888132	0,6355044	0,6963049	0,7621967	0,0041911	0,5884245	0,5081481
540	0,7747403	0,8599418	0,6325184	0,9815646	0,8766858	0,5530066	0,7082508	0,5767223	0,9828155	0,5954775	0,6522004	0,7012359	0,7671303	0,0036072	0,6001414	0,4961093
560	0,7747403	0,8599418	0,6325184	0,9836701	0,8833214	0,5460532	0,7264654	0,5720639	0,9836627	0,6009990	0,6663515	0,7054333	0,7712733	0,0031639	0,6100240	0,4860289
580	0,7747403	0,8599418	0,6325184	0,9852569	0,8857445	0,5401652	0,7414562	0,5681948	0,9683236	0,5994537	0,6782243	0,6916318	0,7747255	0,0049736	0,6182721	0,4776705
600	0,7747403	0,8599418	0,6325184	0,9864300	0,8839475	0,5353743	0,7531753	0,5652097	0,9403057	0,5937145	0,6878223	0,6610221	0,7774952	0,0091583	0,6248154	0,4710290
620	0,7747403	0,8599418	0,6325184	0,9872572	0,8805333	0,5317516	0,7615152	0,5632152	0,9134990	0,5885879	0,6950719	0,6287423	0,7795640	0,0138832	0,6295395	0,4661614
640	0,7747403	0,8599418	0,6325184	0,9878013	0,8767038	0,5292565	0,7667586	0,5621495	0,8917001	0,5846089	0,7000957	0,6004733	0,7809742	0,0183012	0,6325503	0,4629582
660	0,7747403	0,8599418	0,6325184	0,9881238	0,8729870	0,5277469	0,7694572	0,5618351	0,8750778	0,5814733	0,7031920	0,5776631	0,7818209	0,0220854	0,6341230	0,4611692
680	0,7747403	0,8599418	0,6325184	0,9882811	0,8695916	0,5270304	0,7702375	0,5620602	0,8627290	0,5788802	0,7047419	0,5600285	0,7822214	0,0251694	0,6345944	0,4604850
700	0,7747403	0,8599418	0,6325184	0,9883212	0,8665781	0,5269086	0,7696769	0,5626314	0,8536172	0,5766532	0,7051302	0,5467098	0,7822919	0,0276056	0,6342870	0,4606017
720	0,7747403	0,8599418	0,6325184	0,9882825	0,8639421	0,5272033	0,7682497	0,5633956	0,8468646	0,5747038	0,7046998	0,5367696	0,7821339	0,0294912	0,6334724	0,4612569
740	0,7747403	0,8599418	0,6325184	0,9881945	0,8616528	0,5277680	0,7663167	0,5642427	0,8418054	0,5729876	0,7037319	0,5293824	0,7818292	0,0309313	0,6323603	0,4622417
760	0,7747403	0,8599418	0,6325184	0,9880785	0,8596716	0,5284896	0,7641372	0,5650997	0,8379582	0,5714784	0,7024437	0,5238860	0,7814398	0,0320218	0,6311033	0,4634004
780	0,7747403	0,8599418	0,6325184	0,9879495	0,8579594	0,5292856	0,7618883	0,5659219	0,8349837	0,5701558	0,7009946	0,5197746	0,7810105	0,0328438	0,6298061	0,4646233
800	0,7747403	0,8599418	0,6325184	0,9878175	0,8564802	0,5300985	0,7596850	0,5666846	0,8326447	0,5690010	0,6994965	0,5166730	0,7805721	0,0334625	0,6285365	0,4658371
820	0,7747403	0,8599418	0,6325184	0,9876890	0,8552022	0,5308906	0,7575970	0,5673768	0,8307753	0,5679955	0,6980239	0,5143079	0,7801449	0,0339288	0,6273357	0,4669958
840	0,7747403	0,8599418	0,6325184	0,9875678	0,8540976	0,5316384	0,7556629	0,5679957	0,8292591	0,5671220	0,6966238	0,5124820	0,7797412	0,0342814	0,6262261	0,4680733
860	0,7747403	0,8599418	0,6325184	0,9874559	0,8531424	0,5323293	0,7538999	0,5685434	0,8280132	0,5663642	0,6953229	0,5110537	0,7793678	0,0345496	0,6252174	0,4690569
880	0,7747403	0,8599418	0,6325184	0,9873542	0,8523160	0,5329575	0,7523117	0,5690247	0,8269780	0,5657072	0,6941341	0,5099215	0,7790279	0,0347552	0,6243114	0,4699430
900	0,7747403	0,8599418	0,6325184	0,9872629	0,8516006	0,5335220	0,7508932	0,5694457	0,8261101	0,5651379	0,6930610	0,5090124	0,7787218	0,0349141	0,6235045	0,4707335
920	0,7747403	0,8599418	0,6325184	0,9871814	0,8509811	0,5340251	0,7496345	0,5698129	0,8253768	0,5646446	0,6921012	0,5082735	0,7784486	0,0350383	0,6227906	0,4714337
940	0,7747403	0,8599418	0,6325184	0,9871093	0,8504444	0,5344703	0,7485231	0,5701323	0,8247536	0,5642172	0,6912487	0,5076664	0,7782063	0,0351362	0,6221620	0,4720505
960	0,7747403	0,8599418	0,6325184	0,9870457	0,8499793	0,5348625	0,7475455	0,5704099	0,8242213	0,5638467	0,6904955	0,5071627	0,7779925	0,0352144	0,6216104	0,4725919
980	0,7747403	0,8599418	0,6325184	0,9869899	0,8495760	0,5352067	0,7466880	0,5706510	0,8237650	0,5635256	0,6898328	0,5067413	0,7778045	0,0352775	0,6211277	0,4730657
1000	0,7747403	0,8599418	0,6325184	0,9869409	0,8492264	0,5355079	0,7459375	0,5708602	0,8233727	0,5632472	0,6892514	0,5063863	0,7776398	0,0353289	0,6207062	0,4734794
1020	0,7747403	0,8599418	0,6325184	0,9868981	0,8489231	0,5357709	0,7452817	0,5710417	0,8230346	0,5630057	0,6887426	0,5060854	0,7774956	0,0353713	0,6203387	0,4738400
1040	0,7747403	0,8599418	0,6325184	0,9868607	0,8486601	0,5360001	0,7447096	0,5711992	0,8227427	0,5627963	0,6882983	0,5058292	0,7773698	0,0354064	0,6200185	0,4741541
1060	0,7747403	0,8599418	0,6325184	0,9868281	0,8484318	0,5361998	0,7442109	0,5713358	0,8224903	0,5626146	0,6879106	0,5056101	0,7772601	0,0354358	0,6197399	0,4744274
1080	0,7747403	0,8599418	0,6325184	0,9867996	0,8482337	0,5363735	0,7437765	0,5714543	0,8222719	0,5624570	0,6875729	0,5054222	0,7771645	0,0354605	0,6194976	0,4746650
1100	0,7747403	0,8599418	0,6325184	0,9867749	0,8480617	0,5365246	0,7433984	0,5715571	0,8220827	0,5623202	0,6872789	0,5052607	0,7770813	0,0354815	0,6192869	0,4748715

0	0,7751538	0,8593762	0,6325255	0,0425863	0,0423272	0,9895934	0,0809544	0,9824156	0,0775963	0,0507328	0,0717257	0,0246654	0,1469960	0,9992697	0,0070078	0,9998720
20	0,7750491	0,8570462	0,6325180	0,1100325	0,0423283	0,9485717	0,0809544	0,9824110	0,1169781	0,0507333	0,1238268	0,0527147	0,1770976	0,9992681	0,0842531	0,9241747
40	0,7750323	0,8517122	0,6325158	0,2415975	0,0423292	0,8659153	0,0809544	0,9824078	0,1872627	0,0507337	0,2285181	0,1068511	0,2361576	0,9992670	0,2284459	0,7760292
