"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
1000	0,9996837	0,4165201	0,6247446	0,1194885	0,2520036	0,7767715	0,9131630	0,6903980	0,7032532	0,4063729	0,8464851	0,3924742	0,4679431	0,2736036	0,4123991	0,0330835
1020	0,9997870	0,4165120	0,6247446	0,1194885	0,2384973	0,7763278	0,9129277	0,6903198	0,7024105	0,4063729	0,8464851	0,3924742	0,4679431	0,2735642	0,4123991	0,0330835
1040	0,9998567	0,4165065	0,6247446	0,1194885	0,2264265	0,7759912	0,9127489	0,6902635	0,7017795	0,4063729	0,8464851	0,3924742	0,4679431	0,2735385	0,4123991	0,0330835
1060	0,9999036	0,4165028	0,6247446	0,1194885	0,2157266	0,7757371	0,9126134	0,6902234	0,7013101	0,4063729	0,8464851	0,3924742	0,4679431	0,2735218	0,4123991	0,0330835
1080	0,9999353	0,4165003	0,6247446	0,1194885	0,2063161	0,7755460	0,9125112	0,6901949	0,7009628	0,4063729	0,8464851	0,3924742	0,4679431	0,2735110	0,4123991	0,0330835
1100	0,9999565	0,4164986	0,6247446	0,1194885	0,1981010	0,7754028	0,9124343	0,6901749	0,7007071	0,4063729	0,8464851	0,3924742	0,4679431	0,2735040	0,4123991	0,0330835

0	1,0000000	0,4164950	0,6247446	0,1194885	0,1528325	0,7749976	0,9122823	0,6901266	0,7000079	0,4064347	0,8464851	0,3924606	0,4679445	0,2734966	0,4131750	0,0331008
20	1,0000000	0,4164950	0,6247446	0,1194885	0,1527010	0,7749960	0,8672161	0,6901276	0,7000139	0,4064180	0,8464851	0,3577850	0,4436049	0,2734946	0,4129811	0,0330958
40	1,0000000	0,4164950	0,6247446	0,1194885	0,1525925	0,7749949	0,7685473	0,6901282	0,7000180	0,4064057	0,8464851	0,2917101	0,3961130	0,2734933	0,4128352	0,0330923
60	1,0000000	0,4164950	0,6247446	0,1194885	0,1525032	0,7749940	0,6524052	0,6901286	0,7000208	0,4063968	0,8464851	0,2247904	0,3469143	0,2734925	0,4127255	0,0330897
80	1,0000000	0,4164950	0,6247446	0,1194885	0,1524295	0,7749934	0,5380907	0,6901288	0,7000228	0,4063903	0,8464851	0,1679609	0,3043439	0,2734919	0,4126433	0,0330879
100	1,0000000	0,4164950	0,6247446	0,1194885	0,1523688	0,7749929	0,4349147	0,6901290	0,7000241	0,4063856	0,8464851	0,1235215	0,2705637	0,2734916	0,4125816	0,0330867
120	1,0000000	0,4164950	0,6247446	0,1194885	0,1523188	0,7749926	0,3464498	0,6901291	0,7000251	0,4063822	0,8464851	0,0903620	0,2450892	0,2734913	0,4125354	0,0330857
140	1,0000000	0,4164950	0,6247446	0,1194885	0,1522777	0,7749924	0,2731318	0,6901291	0,7000257	0,4063796	0,8464851	0,0663386	0,2265103	0,2734912	0,4125008	0,0330851
160	1,0000000	0,4164950	0,6247446	0,1194885	0,1522437	0,7749922	0,2138178	0,6901292	0,7000262	0,4063778	0,8464851	0,0492751	0,2132764	0,2734911	0,4124749	0,0330846
180	1,0000000	0,4164950	0,6247446	0,1194885	0,1522158	0,7749921	0,1666920	0,6901292	0,7000265	0,4063765	0,8464851	0,0373215	0,2040129	0,2734910	0,4124556	0,0330843
200	1,0000000	0,4164950	0,6247446	0,1194885	0,1521928	0,7749920	0,1297712	0,6901292	0,7000267	0,4063755	0,8464851	0,0290304	0,1976151	0,2734910	0,4124412	0,0330841
220	1,0000000	0,4164950	0,6247446	0,1194885	0,1521738	0,7749919	0,1011676	0,6901292	0,7000268	0,4063748	0,8464851	0,0233215	0,1932429	0,2734909	0,4124304	0,0330839
