"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
920	0,5131877	0,7429084	0,0489242	0,1849470	0,4769048	0,2556659	0,6257388	0,4967188	0,5881575	0,4945169	0,0658853	0,3879754	0,3412093	0,3113291	0,5356069	0,3610666
940	0,4264989	0,8334582	0,0404670	0,1717537	0,4091759	0,1507984	0,6150476	0,5839178	0,7012615	0,3713776	0,0618187	0,4599350	0,2617187	0,3812002	0,4743358	0,3958639
960	0,5632398	0,8320264	0,0303693	0,1377510	0,5201241	0,1838487	0,6645500	0,4500731	0,5647330	0,4470438	0,0713987	0,3863259	0,2657319	0,3813864	0,5670267	0,3227166
980	0,4922407	0,8103000	0,0811718	0,1979855	0,4460404	0,1619789	0,7431468	0,4074844	0,6220855	0,3684215	0,0539689	0,4719641	0,2398494	0,4212973	0,4765530	0,3581623
1000	0,5301278	0,6391216	0,0322725	0,2031096	0,4545968	0,1403053	0,4970277	0,4570111	0,6916672	0,3911545	0,0927769	0,4315505	0,2037742	0,3895186	0,4458649	0,3286711
1020	0,4824953	0,7382954	0,0767454	0,2791592	0,5267991	0,1107280	0,5041969	0,4716018	0,5287218	0,3868881	0,1514491	0,4075558	0,2358851	0,4030372	0,5062323	0,4285821
1040	0,4633754	0,8194820	0,0532894	0,1663110	0,5907991	0,1222848	0,5565536	0,4150359	0,5837506	0,3725354	0,0996146	0,4442570	0,2812667	0,3535294	0,4890360	0,3613436
1060	0,5554378	0,7107234	0,0736516	0,2421600	0,5148860	0,1799720	0,5659501	0,4830856	0,5314248	0,3099092	0,1139474	0,4408700	0,2273202	0,3929839	0,5600349	0,3676061
1080	0,4154621	0,8007672	0,0512959	0,1782712	0,5518041	0,1612018	0,5507606	0,4180950	0,4583055	0,3616027	0,1014002	0,5091847	0,3513124	0,4124909	0,5000750	0,3993049
1100	0,5404845	0,7691826	0,0692348	0,1916775	0,4506029	0,1784136	0,4786964	0,4654307	0,5660699	0,3706161	0,1666338	0,4530513	0,3274287	0,3582786	0,5186788	0,4818236

