"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
160	0,4868473	0,0399061	0,0717226	0,2798192	0,7998781	0,1266086	0,8273359	0,6035387	1,0376268	0,5552448	0,1382790	0,5562496	0,3964444	0,4800612	0,6731112	0,5464677
180	0,4628608	0,0341996	0,0731325	0,2662649	0,8613954	0,1552487	0,8905529	0,7373487	0,9984117	0,6214214	0,1663194	0,6273942	0,4543021	0,5896091	0,6220179	0,6079868
200	0,4899152	0,0377782	0,0648225	0,2728979	0,8291332	0,1762427	0,9221907	0,6862949	0,9280549	0,6085330	0,1429801	0,6496184	0,5173777	0,6818507	0,6624960	0,5579143
220	0,5203614	0,0268105	0,0654567	0,3004107	0,8446792	0,2347281	0,8983370	0,6930959	0,9533546	0,6718402	0,1207396	0,6962803	0,5298644	0,7048795	0,6088710	0,5900280
240	0,5163106	0,0253811	0,0666715	0,2738742	0,9100415	0,1892028	0,9289571	0,6732883	0,9078834	0,6764582	0,1288939	0,6762820	0,5686695	0,7741022	0,6190219	0,5872666
260	0,5194525	0,0205339	0,0700658	0,2779191	0,9350565	0,2228822	0,9002641	0,6524488	0,9237361	0,6670796	0,1526601	0,6733494	0,5432989	0,6993445	0,5876757	0,6109842
280	0,4634487	0,0143724	0,0818006	0,3246241	0,9354531	0,2241206	0,9197053	0,6468576	0,9983882	0,6405953	0,1602667	0,7327628	0,5024681	0,7166585	0,5673324	0,6689480
300	0,5562026	0,0167414	0,0973160	0,2880205	0,9164606	0,2117104	0,8934144	0,5764216	0,9927287	0,6469900	0,1672345	0,7533658	0,5456903	0,7410737	0,5646708	0,6783775
320	0,5435074	0,0202111	0,1175407	0,2682773	0,9377210	0,2094427	0,9538549	0,5750120	0,9580690	0,6614665	0,2123989	0,6774641	0,5348639	0,6910199	0,5322222	0,6706406
340	0,4502191	0,0227216	0,1207022	0,2828645	0,9354255	0,1793372	0,9585588	0,5967844	0,9129055	0,7027458	0,2015344	0,6380236	0,5543528	0,7638051	0,5481663	0,6635075
360	0,4693755	0,0320852	0,1169477	0,2872183	0,9746409	0,2307015	0,9155187	0,7584311	0,9096001	0,6701173	0,1938691	0,6778165	0,5720821	0,7590501	0,5419022	0,6405733
380	0,4528022	0,0307944	0,1134828	0,2516784	0,9453713	0,2117686	0,9225000	0,6986186	0,9008968	0,7301551	0,1883894	0,7188890	0,5397755	0,7378396	0,5506358	0,6299609
400	0,4763780	0,0320802	0,1291537	0,2986455	0,9756697	0,2323658	0,8968310	0,7184431	0,8663974	0,7719828	0,1711705	0,7367432	0,5762874	0,8539979	0,5392969	0,6423722
