"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
980	0,8660522	0,3900236	0,4522729	0,1329849	0,0956422	0,5921094	0,8306087	0,5105310	0,4604192	0,2758002	0,6674477	0,3291765	0,3641240	0,2833968	0,3044160	0,0131609
1000	0,7911588	0,3116314	0,4748995	0,1022440	0,1944004	0,6324139	0,6823959	0,4448235	0,4953650	0,2561347	0,6228811	0,3138102	0,2769507	0,2528717	0,3119524	0,0204356
1020	0,8518008	0,3499818	0,4526883	0,0822275	0,0888372	0,6210107	0,6790293	0,4758585	0,4955932	0,2833103	0,6838435	0,3346318	0,3100659	0,2282182	0,3069856	0,0125856
1040	0,8521198	0,2536378	0,4830356	0,1126137	0,0885626	0,6302014	0,7473974	0,5123249	0,4918420	0,2784425	0,6727239	0,2830578	0,3312593	0,2520220	0,2987415	0,0139293
1060	0,7321242	0,2563789	0,5206689	0,0943486	0,1379692	0,5888948	0,6247469	0,5103960	0,4811116	0,3351566	0,6144934	0,2786128	0,3097085	0,2234611	0,3010739	0,0151482
1080	0,8692713	0,2849160	0,5329303	0,0797559	0,1162323	0,5945235	0,6545917	0,4094166	0,5476339	0,2553710	0,6304791	0,3580821	0,3853511	0,2557036	0,2837978	0,0337439
1100	0,7683293	0,2935499	0,4601068	0,0881347	0,1259848	0,7073081	0,6912395	0,4748294	0,5167337	0,2843384	0,5355750	0,3090773	0,3939010	0,2529070	0,3349001	0,0249626

0	0,6036737	0,3265001	0,4039104	0,0709216	0,0817493	0,6308517	0,6550692	0,4303713	0,5098418	0,2346894	0,6850178	0,3113800	0,3243086	0,2431041	0,3082399	0,0182780
20	0,7345042	0,3594867	0,4424057	0,1034652	0,1275548	0,6264681	0,7203888	0,3849729	0,5647465	0,2276590	0,6367669	0,3337966	0,2958105	0,3616872	0,3676820	0,0392232
40	0,6998035	0,3435638	0,5342193	0,0986589	0,3330766	0,4976430	0,7056321	0,4443463	0,5306456	0,3089063	0,5683420	0,4199438	0,3666394	0,3004892	0,3054886	0,0385787
60	0,5987245	0,3630807	0,5127127	0,1423988	0,3312840	0,6371907	0,7525249	0,2927796	0,4772008	0,2400596	0,6524115	0,3164643	0,2950393	0,3574775	0,3816172	0,0246289
80	0,6125256	0,2882734	0,4206532	0,0857348	0,3181477	0,6933214	0,6158408	0,1581964	0,3761187	0,2259360	0,5369356	0,2225327	0,3184001	0,3625968	0,3342404	0,0463686
100	0,5812260	0,3628014	0,3948740	0,1249978	0,4139622	0,6659246	0,6513809	0,1875466	0,3410852	0,3393372	0,6555669	0,2059261	0,4450679	0,4335238	0,2708349	0,0543205
120	0,6183613	0,3324061	0,4317083	0,0796406	0,4481422	0,5520212	0,6111194	0,0976026	0,2403467	0,2397892	0,5736234	0,3238518	0,3200173	0,4909229	0,3773156	0,0288383
