"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
740	0,6592799	0,3719232	0,3216358	0,6197374	0,7399765	0,2439873	0,2623473	0,1815421	0,5790055	0,9691789	0,8417512	0,3132207	0,7491557	0,2014362	0,8717776	0,3193931
760	0,6431680	0,3758130	0,3056310	0,6649185	0,7815065	0,2257457	0,2606965	0,1903091	0,5772292	0,9541076	0,8260406	0,3005631	0,7998607	0,2042871	0,8477646	0,3450276
780	0,6508297	0,3425621	0,3528208	0,6485801	0,6933357	0,1750874	0,2239181	0,1730215	0,6440792	0,9898745	0,7350608	0,3626809	0,7578480	0,1772850	0,8150458	0,2868691
800	0,6595567	0,3322352	0,3717066	0,6048168	0,6936671	0,1678265	0,2090835	0,1794040	0,5266491	0,9726434	0,7693904	0,3541813	0,7664701	0,1816478	0,8795105	0,2518909
820	0,6550278	0,3521691	0,4221149	0,6134761	0,6217405	0,1783417	0,2019673	0,1925263	0,4944855	0,9331217	0,7813877	0,3778615	0,7250783	0,1534480	0,9337949	0,2908860
840	0,6940629	0,3407126	0,4079912	0,6526393	0,7272787	0,1973972	0,2259555	0,1837324	0,5604440	0,9229034	0,7536943	0,3476223	0,7291565	0,1478338	0,9032306	0,3016906
860	0,7028819	0,3323427	0,3666235	0,6748176	0,6655046	0,2113005	0,2415846	0,2079532	0,5883398	0,9034167	0,7203502	0,3548717	0,7261441	0,1664197	0,8354454	0,2864679
880	0,7255876	0,3684584	0,3644424	0,6348938	0,6701576	0,1917686	0,1873267	0,2086334	0,5656304	0,9551800	0,7106126	0,3534175	0,7277982	0,2002390	0,8488774	0,2477766
900	0,7193404	0,3089800	0,3564437	0,6174297	0,6260410	0,1912206	0,1859436	0,2028727	0,5562204	1,0129780	0,7193201	0,3593536	0,7524518	0,1708944	0,8795471	0,2257357
920	0,7235449	0,3109578	0,4035176	0,5833409	0,6307414	0,2023389	0,1610587	0,1899742	0,5252726	0,9807115	0,7210620	0,3529502	0,7508360	0,1626061	0,8344820	0,2217616
940	0,7134613	0,2795232	0,3861742	0,6060677	0,6471659	0,2037557	0,2044380	0,1897193	0,5398361	1,0061013	0,7185448	0,3069713	0,7308528	0,1342085	0,8008562	0,2415963
960	0,7641857	0,3083322	0,4227253	0,6493093	0,6148675	0,2036830	0,2160631	0,1451770	0,5606334	0,9652971	0,7167293	0,3608241	0,7303923	0,1387019	0,8298310	0,1850405
980	0,7664493	0,3256394	0,3468501	0,6105158	0,6474795	0,1960345	0,2246122	0,1542668	0,6005186	0,9950988	0,7278724	0,3335921	0,7325010	0,1404320	0,8913216	0,2309085
1000	0,7740750	0,3164163	0,3806314	0,5845110	0,7208354	0,2135721	0,2225560	0,1671382	0,5858401	0,9447544	0,7359790	0,3488798	0,7331218	0,1418651	0,8414186	0,2338141
1020	0,7676703	0,3030633	0,3360738	0,5857327	0,7413111	0,1931496	0,1969958	0,1727847	0,5699177	0,9355491	0,7192267	0,4008397	0,6754400	0,1739966	0,8519856	0,2461959
1040	0,8330185	0,3254859	0,3389955	0,5799410	0,6855430	0,2305643	0,2105374	0,1711195	0,5515653	0,9642433	0,7993680	0,3750015	0,7433072	0,1922924	0,7436989	0,2429907
1060	0,7809538	0,3130084	0,3661494	0,5274054	0,6893694	0,2270565	0,2390626	0,1527593	0,5230818	0,9693939	0,7042330	0,3571900	0,7444770	0,1781009	0,7451829	0,2602459
1080	0,7083076	0,3078332	0,3589230	0,5096276	0,6623991	0,2515683	0,2282381	0,1356442	0,5263820	0,9790446	0,7763225	0,3226749	0,7868035	0,1629508	0,8162900	0,2530083
1100	0,7216250	0,3074648	0,3661900	0,4944836	0,6074037	0,2390856	0,1987887	0,1332606	0,5466490	0,9595489	0,7658840	0,3324930	0,8121009	0,1462433	0,8324678	0,2458861

0	0,6901887	0,3011659	0,3610637	0,5426894	0,7793742	0,1743977	0,1510436	0,2100146	0,5197872	0,9659991	0,7132291	0,3327858	0,7820050	0,1886105	0,9196860	0,2544122
20	0,7367862	0,3615519	0,3059787	0,6181350	0,7334780	0,2539721	0,4893529	0,2860540	0,6294979	0,9484456	0,7329616	0,2292579	0,7597750	0,2600604	0,7850354	0,2922814
40	0,7026950	0,3324210	0,2799665	0,6078048	0,6642224	0,2678600	0,6286308	0,4294734	0,6522163	0,9332372	0,7245903	0,2010667	0,7523435	0,2650120	0,8040866	0,2874336
60	0,6654817	0,3538017	0,3131365	0,6049528	0,6837457	0,2658050	0,6331498	0,4759370	0,5775549	0,8716131	0,6539079	0,1742752	0,7523623	0,2849917	0,8202807	0,3359461
80	0,6789184	0,3092593	0,3568393	0,5721132	0,6284775	0,2575042	0,7692686	0,4351584	0,5853104	0,8715841	0,7183893	0,1773162	0,7232182	0,2683708	0,7207707	0,2827145
100	0,7175652	0,3159335	0,3236341	0,5688011	0,7251122	0,2485767	0,7726266	0,4692240	0,6031441	0,8711893	0,7345567	0,1533564	0,7815534	0,2549285	0,7019202	0,2872043
120	0,7096999	0,3034736	0,3376016	0,5605742	0,6847929	0,2264880	0,7578062	0,5061138	0,6280551	0,9142311	0,7248768	0,1494797	0,7920146	0,2379865	0,6676986	0,2531431
140	0,7128102	0,2985602	0,3551306	0,5076342	0,7001709	0,2196348	0,7447597	0,4976476	0,6078892	0,9019168	0,6922666	0,1732310	0,7924270	0,2260090	0,7884502	0,2331570
160	0,7075770	0,3287325	0,3573303	0,5287245	0,6974005	0,1751047	0,8111499	0,5157245	0,5688008	0,9173102	0,6854830	0,1844825	0,8384922	0,2334176	0,7677079	0,2589453
180	0,6939120	0,3287771	0,4101686	0,5147818	0,7058714	0,2136638	0,8112730	0,5557239	0,5564259	0,9125871	0,7252485	0,1542120	0,8072670	0,2522328	0,7772968	0,2424189
200	0,6836497	0,4136202	0,4082548	0,5667920	0,7467903	0,2559002	0,8014286	0,5638458	0,6069645	0,9334113	0,7634323	0,1507016	0,8020448	0,2686180	0,7598906	0,2619300
220	0,6620118	0,4136723	0,3266239	0,6358830	0,7112979	0,2623998	0,7506811	0,5546849	0,6302981	0,8961284	0,8080888	0,1180397	0,7526873	0,2738134	0,7247532	0,2660930
240	0,6677658	0,4362597	0,3161158	0,6747924	0,7212599	0,2660080	0,6917789	0,5748199	0,6474933	0,9509805	0,7590808	0,1418642	0,7243609	0,2815212	0,7464492	0,2892436
260	0,7220771	0,4386299	0,3672696	0,6429859	0,7383079	0,2315920	0,7084853	0,5646733	0,6372423	0,9983357	0,7632016	0,1378545	0,7113522	0,2860990	0,7424967	0,3024991
