"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
200	0,1471051	0,7093891	0,3014037	0,2930593	0,0000000	0,4435025	0,0030527	0,0406601	0,0272408	0,0412210	0,1113273	0,2131032	0,1319767	0,0010517	0,0834065	0,0814172
220	0,1611029	0,7418612	0,2885244	0,2992007	0,0000231	0,3906211	0,0099718	0,0359622	0,0611888	0,0424091	0,1122100	0,1346337	0,1950323	0,0015317	0,1066181	0,0381128
240	0,1936259	0,8499938	0,2775539	0,2841110	0,0000240	0,3655586	0,0202242	0,0399993	0,0464919	0,0699765	0,1119217	0,1454238	0,1083081	0,0057741	0,0861859	0,0644083
260	0,1766032	0,8373692	0,3231750	0,3520513	0,0002674	0,3118509	0,0105118	0,0459466	0,0463885	0,0516957	0,0801075	0,2248885	0,1552560	0,0009923	0,1304485	0,0760573
280	0,1702882	0,8846619	0,2498292	0,2044911	0,0007632	0,3255025	0,0167881	0,0327676	0,0969672	0,0695944	0,0691353	0,2109035	0,1446051	0,0035442	0,1211459	0,1116931
300	0,1407383	0,8705579	0,2568945	0,2390041	0,0020455	0,3171491	0,0059982	0,0492070	0,0415499	0,0592980	0,0426371	0,1624448	0,1517296	0,0013102	0,0631479	0,0501331
320	0,2125472	0,7250873	0,2800281	0,2653248	0,0009767	0,3347215	0,0175808	0,0250828	0,0592374	0,0558574	0,0765324	0,1757553	0,1385916	0,0001352	0,1071094	0,0981876
340	0,1581429	0,7517774	0,2196116	0,2702555	0,0042639	0,3747506	0,0101165	0,0205946	0,0188866	0,0801789	0,1040727	0,1457752	0,1728836	0,0014441	0,1329501	0,0739264
360	0,1924057	0,6400585	0,2945607	0,2245858	0,0044046	0,3982540	0,0212610	0,0378691	0,0640575	0,0587199	0,1258016	0,1828638	0,1687388	0,0000913	0,0889090	0,0725594
380	0,2484477	0,7599087	0,3121050	0,2844514	0,0066981	0,3438358	0,0192143	0,0108067	0,0354249	0,0462222	0,0910940	0,2513573	0,1996555	0,0005928	0,1020653	0,1027886
400	0,2010105	0,6243560	0,2825345	0,1796917	0,0016539	0,3949795	0,0170226	0,0116621	0,0620914	0,0527459	0,0834767	0,1873683	0,1556453	0,0000951	0,1126308	0,0841697
420	0,1779618	0,7748178	0,4050267	0,1832081	0,0010197	0,3180323	0,0357495	0,0334449	0,0125745	0,0563035	0,0387466	0,2404636	0,2039396	0,0001685	0,1155296	0,0887138
440	0,1721408	0,6986365	0,2800851	0,2240834	0,0009110	0,3614398	0,0089898	0,0167190	0,0230141	0,0617488	0,0722227	0,2748962	0,1426655	0,0013899	0,1046404	0,0445984
460	0,1822668	0,7044340	0,3087921	0,2965635	0,0002827	0,3089877	0,0111154	0,0180860	0,0370129	0,0471417	0,1033606	0,2621087	0,1065771	0,0039953	0,1127189	0,0843065
480	0,1516011	0,7032256	0,3113956	0,1955517	0,0019109	0,2210382	0,0073532	0,0204839	0,0415205	0,0590139	0,0779375	0,1756155	0,1053712	0,0053117	0,1385005	0,0242211
500	0,1513764	0,7006751	0,3560315	0,2802591	0,0009978	0,2986257	0,0213639	0,0095654	0,0423063	0,0388018	0,0962506	0,3214445	0,1610859	0,0020205	0,0863367	0,0309570
520	0,1320440	0,6818731	0,3039296	0,2591815	0,0003269	0,3341954	0,0075954	0,0134289	0,0204590	0,0439966	0,0302221	0,2287153	0,1807008	0,0029092	0,0867498	0,0608696
540	0,1723529	0,7652063	0,4025353	0,1914383	0,0002303	0,3473297	0,0105795	0,0128812	0,0522425	0,0449454	0,0912079	0,2481075	0,1257478	0,0058137	0,0972142	0,0508655
560	0,1112429	0,8074090	0,2645797	0,2929229	0,0028241	0,2390423	0,0095767	0,0235499	0,0379190	0,0374700	0,1141460	0,2833382	0,1342562	0,0062130	0,0823805	0,0390332
580	0,1747327	0,8497083	0,2747729	0,2530602	0,0020821	0,3627558	0,0135682	0,0268885	0,0247753	0,0943859	0,0662560	0,1926677	0,1384577	0,0057544	0,0742532	0,0584066
600	0,1482745	0,7621475	0,3166296	0,2638386	0,0009536	0,4983661	0,0342790	0,0307393	0,0477863	0,1139064	0,1102026	0,1825780	0,1480834	0,0023029	0,0739064	0,0527552
620	0,2422865	0,6880079	0,2873342	0,2044428	0,0012532	0,4170799	0,0133280	0,0280593	0,0718925	0,2490851	0,0858036	0,2596764	0,0947130	0,0000000	0,0452614	0,0602348
640	0,1721975	0,8155236	0,2639304	0,3411418	0,0000955	0,4537662	0,0352273	0,0425494	0,0304105	0,2326947	0,1031521	0,2285121	0,1017707	0,0000016	0,0447628	0,0296907
660	0,1461035	0,7110377	0,3741683	0,2898628	0,0000578	0,3577162	0,0265270	0,0741159	0,0427099	0,2759227	0,0953050	0,1835912	0,1018316	0,0028432	0,0361004	0,0572771
680	0,2537437	0,6262951	0,3853154	0,2533998	0,0000000	0,3502158	0,0401761	0,0287747	0,0442371	0,2979413	0,1313572	0,1905506	0,0447897	0,0009119	0,0403587	0,0717505
700	0,2072017	0,7480954	0,3824686	0,2389758	0,0005317	0,2976242	0,0473116	0,0579254	0,0553552	0,4150369	0,0802241	0,2318292	0,0620558	0,0000041	0,0290701	0,0739203
720	0,1308514	0,6152328	0,2578246	0,2116805	0,0020481	0,2652885	0,0184860	0,0674632	0,0707894	0,2304335	0,0729209	0,1708123	0,0439799	0,0001218	0,0228780	0,1184988
740	0,1567789	0,7354727	0,2644417	0,2094663	0,0000000	0,3896377	0,0085679	0,0455577	0,0558796	0,3028249	0,0902501	0,3129310	0,0399875	0,0000000	0,0316453	0,0477845
760	0,1713619	0,6083773	0,3027727	0,2047108	0,0000481	0,3545071	0,0236653	0,0209449	0,0609424	0,3988818	0,0978614	0,2744730	0,0201975	0,0025080	0,0330947	0,0767719
780	0,1676052	0,6410017	0,2981912	0,2648806	0,0000816	0,4330377	0,0242216	0,0332470	0,0998854	0,3460670	0,1055259	0,2926400	0,0232378	0,0010807	0,0276778	0,1028779
800	0,1378611	0,6179181	0,2929651	0,2939895	0,0002039	0,3339980	0,0304510	0,0099389	0,0657725	0,3178954	0,1131607	0,2435602	0,0116351	0,0000000	0,0078384	0,0688805
820	0,1089308	0,7547641	0,2676006	0,2621309	0,0008297	0,3795773	0,0379031	0,0218604	0,0723180	0,3509298	0,0829244	0,2694009	0,0129496	0,0006518	0,0598293	0,0908695
840	0,1475376	0,7435521	0,2914775	0,2537672	0,0027893	0,2717280	0,0114557	0,0166935	0,0471002	0,3271423	0,0645450	0,2574549	0,0510387	0,0010206	0,0141758	0,0897940
860	0,1898789	0,7488765	0,3560639	0,2759209	0,0004970	0,3525760	0,0090817	0,0506042	0,0486378	0,3320374	0,0832788	0,2371970	0,0033430	0,0012434	0,0062866	0,0922063
880	0,2073955	0,7188350	0,3196356	0,2813206	0,0008345	0,3159873	0,0039911	0,0468987	0,0743537	0,3120637	0,0634713	0,2078977	0,0310883	0,0013462	0,0288070	0,0679142
900	0,1613628	0,6717035	0,2740597	0,1964716	0,0004502	0,2664333	0,0070267	0,0335785	0,1296366	0,2829317	0,0715505	0,1895545	0,0202337	0,0028123	0,0085797	0,0740744
