"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
840	0,7085920	0,3394743	0,4981793	0,0873679	0,1094465	0,5562786	0,7306159	0,5601502	0,4869868	0,2987700	0,6106497	0,3462248	0,3190753	0,2033256	0,3323995	0,0482161
860	0,6347600	0,2270260	0,4292298	0,1705333	0,0936624	0,5456912	0,5777936	0,5018206	0,5058942	0,3595181	0,6128600	0,3178132	0,3561680	0,1407847	0,3044221	0,0191163
880	0,7902946	0,4198706	0,4473168	0,1272200	0,0821000	0,5986520	0,7010394	0,4805248	0,5723943	0,2602603	0,5836361	0,2565613	0,4118163	0,2206289	0,2320691	0,0223934
900	0,8439545	0,3566337	0,4029658	0,0476943	0,0795095	0,5659815	0,5483742	0,6531540	0,4793925	0,2829360	0,6118682	0,3321359	0,3411737	0,1854438	0,2272352	0,0354926
920	0,7998867	0,2858950	0,4875841	0,0827630	0,0732072	0,5134220	0,6663658	0,5520829	0,4442260	0,2707062	0,6918721	0,3399738	0,4321662	0,1478087	0,2137698	0,0220541
940	0,7419402	0,2328491	0,3949876	0,0880906	0,1035461	0,5048991	0,7298284	0,5929249	0,4658775	0,3766844	0,6658496	0,3717614	0,3420329	0,2506031	0,3106820	0,0418041
960	0,7686786	0,3368830	0,5777453	0,1364122	0,1297241	0,6633367	0,6376831	0,4774595	0,5779607	0,2639364	0,7995466	0,3807422	0,2921345	0,1982740	0,2885674	0,0408145
980	0,7646200	0,3461533	0,4561816	0,1907707	0,1088043	0,6751217	0,7781396	0,5086606	0,4625855	0,3447216	0,7689041	0,3282860	0,3016338	0,1433063	0,3631560	0,0127228
1000	0,9197274	0,2728795	0,4291428	0,1278502	0,1790329	0,7679125	0,6777599	0,6097084	0,4443080	0,2323908	0,6435129	0,3365651	0,3776318	0,1765002	0,2766686	0,0156200
1020	0,8713764	0,2164650	0,4938840	0,0595382	0,1184076	0,5674039	0,7492002	0,5591510	0,4781464	0,3315906	0,7323511	0,2718558	0,3600582	0,1478505	0,3101288	0,0248901
