"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
20	1,0000000	0,5386061	0,2358756	0,9148470	0,3321867	0,4438681	0,1511816	0,1522915	0,2782969	0,0928687	0,3470634	0,0180987	0,4116386	0,1694325	0,1627087	0,0402848
40	1,0000000	0,5385891	0,2358774	0,9168344	0,3161143	0,4438746	0,3856996	0,2390083	0,2781601	0,0928676	0,3124174	0,0180992	0,4116131	0,1694346	0,1626777	0,0402590
60	1,0000000	0,5385780	0,2358783	0,9210201	0,3066067	0,4438792	0,5841631	0,3317240	0,2780623	0,0928672	0,2754635	0,0180996	0,4115959	0,1694361	0,1626567	0,0402404
80	1,0000000	0,5385708	0,2358787	0,9262826	0,3029288	0,4438824	0,7240142	0,4145846	0,2779925	0,0928671	0,2425411	0,0180999	0,4115843	0,1694373	0,1626427	0,0402271
100	1,0000000	0,5385661	0,2358788	0,9313703	0,3022150	0,4438848	0,8142795	0,4825303	0,2779428	0,0928671	0,2156509	0,0181002	0,4115765	0,1694383	0,1626333	0,0402176
120	1,0000000	0,5385631	0,2358787	0,9355652	0,3024795	0,4438864	0,8696077	0,5355026	0,2779074	0,0928672	0,1947858	0,0181003	0,4115713	0,1694389	0,1626270	0,0402108
140	1,0000000	0,5385610	0,2358786	0,9386762	0,3028369	0,4438875	0,9023877	0,5754586	0,2778821	0,0928672	0,1791348	0,0181004	0,4115678	0,1694394	0,1626227	0,0402059
160	1,0000000	0,5385596	0,2358785	0,9408214	0,3030474	0,4438884	0,9213475	0,6049053	0,2778642	0,0928673	0,1676734	0,0181005	0,4115654	0,1694398	0,1626199	0,0402025
180	1,0000000	0,5385586	0,2358784	0,9422296	0,3031247	0,4438889	0,9321195	0,6262390	0,2778514	0,0928673	0,1594289	0,0181006	0,4115638	0,1694400	0,1626179	0,0402000
200	1,0000000	0,5385579	0,2358784	0,9431255	0,3031332	0,4438893	0,9381559	0,6414946	0,2778423	0,0928673	0,1535799	0,0181007	0,4115628	0,1694402	0,1626165	0,0401982
220	1,0000000	0,5385573	0,2358783	0,9436852	0,3031199	0,4438896	0,9415017	0,6522929	0,2778359	0,0928673	0,1494757	0,0181007	0,4115620	0,1694403	0,1626156	0,0401970
240	1,0000000	0,5385570	0,2358783	0,9440313	0,3031059	0,4438897	0,9433398	0,6598738	0,2778313	0,0928672	0,1466216	0,0181007	0,4115615	0,1694403	0,1626149	0,0401961
260	1,0000000	0,5385567	0,2358783	0,9442442	0,3030972	0,4438899	0,9443423	0,6651606	0,2778281	0,0928672	0,1446514	0,0181007	0,4115612	0,1694404	0,1626145	0,0401955
280	1,0000000	0,5385565	0,2358783	0,9443744	0,3030929	0,4438900	0,9448857	0,6688274	0,2778258	0,0928672	0,1432998	0,0181008	0,4115610	0,1694404	0,1626142	0,0401950
300	1,0000000	0,5385564	0,2358783	0,9444536	0,3030912	0,4438900	0,9451787	0,6713589	0,2778241	0,0928672	0,1423775	0,0181008	0,4115608	0,1694404	0,1626140	0,0401947
320	1,0000000	0,5385563	0,2358784	0,9445015	0,3030906	0,4438901	0,9453360	0,6730999	0,2778230	0,0928672	0,1417510	0,0181008	0,4115607	0,1694404	0,1626138	0,0401945
340	1,0000000	0,5385562	0,2358784	0,9445301	0,3030904	0,4438901	0,9454201	0,6742934	0,2778221	0,0928672	0,1413272	0,0181008	0,4115606	0,1694405	0,1626137	0,0401943
360	1,0000000	0,5385562	0,2358784	0,9445471	0,3030903	0,4438901	0,9454649	0,6751092	0,2778216	0,0928672	0,1410414	0,0181008	0,4115606	0,1694405	0,1626136	0,0401942
380	1,0000000	0,5385562	0,2358784	0,9445571	0,3030902	0,4438901	0,9454888	0,6756656	0,2778211	0,0928672	0,1408493	0,0181008	0,4115606	0,1694405	0,1626136	0,0401941
400	1,0000000	0,5385561	0,2358784	0,9445629	0,3030901	0,4438901	0,9455014	0,6760442	0,2778209	0,0928672	0,1407206	0,0181008	0,4115605	0,1694405	0,1626136	0,0401940
420	1,0000000	0,5385561	0,2358784	0,9445663	0,3030901	0,4438901	0,9455081	0,6763014	0,2778206	0,0928672	0,1406345	0,0181008	0,4115605	0,1694405	0,1626135	0,0401940
440	1,0000000	0,5385561	0,2358784	0,9445682	0,3030901	0,4438901	0,9455116	0,6764758	0,2778205	0,0928672	0,1405770	0,0181008	0,4115605	0,1694405	0,1626135	0,0401940
460	1,0000000	0,5385561	0,2358784	0,9445693	0,3030900	0,4438901	0,9455134	0,6765940	0,2778204	0,0928672	0,1405388	0,0181008	0,4115605	0,1694405	0,1626135	0,0401940
480	1,0000000	0,5385561	0,2358784	0,9445699	0,3030900	0,4438901	0,9455144	0,6766739	0,2778203	0,0928672	0,1405133	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
500	1,0000000	0,5385561	0,2358784	0,9445703	0,3030900	0,4438901	0,9455149	0,6767279	0,2778203	0,0928672	0,1404964	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
520	1,0000000	0,5385561	0,2358784	0,9445704	0,3030900	0,4438902	0,9455152	0,6767644	0,2778202	0,0928672	0,1404852	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
540	1,0000000	0,5385561	0,2358784	0,9445706	0,3030900	0,4438902	0,9455153	0,6767890	0,2778202	0,0928672	0,1404778	0,0181008	0,4115605	0,1694405	0,1626135	0,0401939
