"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
960	1,0873401	0,7513842	1,0315522	0,1175911	1,0196082	0,1436424	0,4375064	0,9842769	0,0733450	0,3127052	0,8712423	0,6734703	0,9119629	0,5927382	0,6094020	0,9363864
980	1,0908221	0,7802341	0,9992893	0,1171079	1,0148213	0,1249407	0,5057850	0,9348823	0,0593628	0,3037918	0,8727397	0,7117492	0,9238778	0,5829468	0,6528170	0,8854765
1000	1,0510737	0,7656298	0,9918185	0,1169381	1,0077678	0,1457939	0,4677914	0,9694829	0,0600358	0,3002721	0,8968059	0,7399062	0,8894089	0,6216871	0,6864827	0,9588444
1020	0,9977247	0,7889229	0,9655101	0,1495955	0,9355184	0,1511532	0,4826529	0,9159034	0,0678139	0,3273859	0,8663638	0,7561231	0,9021154	0,5987640	0,7282508	0,9347314
1040	0,9925225	0,7318981	0,9608315	0,1409053	0,9283901	0,1796780	0,5079870	0,9372337	0,0488870	0,2825420	0,9001777	0,7649980	0,9869124	0,6773330	0,7714480	0,9581743
1060	1,0154385	0,6783160	0,9444740	0,1109979	0,9671110	0,1699991	0,4898982	0,9494755	0,0567790	0,3271405	0,9781815	0,7720914	0,9054615	0,5740875	0,7511724	0,9461289
1080	1,0311951	0,6167782	0,9502373	0,1408279	0,9486465	0,1667541	0,5410628	1,0108319	0,0715443	0,3264302	0,9652190	0,7699886	0,9420990	0,6022755	0,6982021	0,8376159
1100	1,0521158	0,6294409	0,9893569	0,1523845	0,9861427	0,1633060	0,5165061	0,9951651	0,0775998	0,2986814	0,9511829	0,8267968	0,9039393	0,5749865	0,7283437	0,9088320

0	0,9851113	0,7709064	0,9353354	0,2619588	1,0274794	0,1513846	0,4665870	1,0168457	0,0490436	0,3415107	0,8923247	0,7036610	0,8218056	0,6315514	0,7238413	1,0794851
20	1,0145124	0,6457104	1,0408185	0,1336740	1,0108064	0,1571320	0,5254617	1,0815641	0,0872098	0,3436243	0,9859480	0,5066781	0,8890469	0,6729888	0,7071791	0,8998896
40	1,0349087	0,6513449	0,9923933	0,1582319	0,9724613	0,1604071	0,5221643	1,0681388	0,1275586	0,3577868	0,9193477	0,4386130	0,9153047	0,6143869	0,6844268	0,9327471
60	1,0055262	0,6454360	0,9556379	0,1510381	1,0003264	0,1559945	0,5331100	1,0778020	0,1912386	0,3237641	0,9605867	0,3140777	0,8774185	0,5986514	0,6663267	0,9330425
80	0,9544902	0,6845801	0,8943183	0,1747019	1,0122611	0,1493206	0,5157924	1,1225448	0,2501167	0,3004528	0,9223394	0,2060538	0,8470669	0,5559412	0,6715005	0,9529537
