"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
100	0,2434355	0,6681701	0,6005470	1,0619463	0,1913271	0,3536715	0,3778145	0,3780622	0,0040980	0,9178480	0,0994035	0,9985076	1,0116511	0,5766990	0,0079347	0,2922054
120	0,1972356	0,6678032	0,6161396	1,1053523	0,1304022	0,3950949	0,3491880	0,3623327	0,0038641	0,8792451	0,0857950	0,9880183	1,0041003	0,6506202	0,0035296	0,2773763
140	0,1945112	0,6711039	0,6418703	1,1274266	0,0932635	0,4725477	0,3015039	0,3630547	0,0039259	0,8688875	0,0622501	0,9844575	0,9826462	0,6540087	0,0040219	0,2634010
160	0,1812523	0,7169990	0,6717544	1,1414403	0,0678809	0,5660967	0,2918456	0,3222213	0,0016793	0,8067430	0,0632395	0,8794704	0,9458157	0,6768121	0,0033803	0,3099435
180	0,1353743	0,7777905	0,6509166	1,1288679	0,0518816	0,6809410	0,2812406	0,3021353	0,0046201	0,8288516	0,0654831	0,9156013	0,9016044	0,7264816	0,0010724	0,3368937
200	0,1347445	0,8502979	0,6495441	1,0706967	0,0465347	0,6883864	0,3569021	0,2693414	0,0020781	0,7654825	0,0543155	0,9329124	0,9386382	0,7511060	0,0030166	0,3562384
220	0,1112597	0,8030863	0,6168988	1,0600949	0,0555551	0,7582125	0,3508636	0,3001006	0,0040434	0,8314666	0,0713781	0,9718994	0,9546899	0,7513362	0,0023193	0,3881901
240	0,1213882	0,8385982	0,6448461	1,0354233	0,0482151	0,7642546	0,4040762	0,3360729	0,0027219	0,8979067	0,0617855	0,9943536	0,9405023	0,7497712	0,0033022	0,4033025
260	0,0905089	0,7795053	0,6493415	0,9703752	0,0476179	0,8106841	0,4274929	0,3632002	0,0054011	0,9526350	0,0526661	1,0641911	0,9651717	0,7154111	0,0054775	0,3734485
280	0,1119845	0,7754641	0,6854791	0,9627815	0,0373268	0,8809584	0,4220532	0,3735216	0,0045113	0,9155022	0,0495053	1,0632134	0,9547931	0,6931070	0,0001056	0,3941389
300	0,1063171	0,7506195	0,6518604	0,9750648	0,0462707	0,9231271	0,3815534	0,3618477	0,0072427	0,9159111	0,0570559	0,9815781	1,0013896	0,6584226	0,0013974	0,3725027
320	0,1343203	0,8010457	0,5727667	1,0031718	0,0594346	0,9903537	0,3635058	0,3519880	0,0070185	0,9205296	0,0617894	0,9344134	1,0331207	0,7165643	0,0054560	0,3337973
340	0,1246015	0,8443151	0,5934031	1,0244577	0,0599839	0,9766338	0,3756878	0,3753428	0,0057151	0,9531906	0,0649232	0,8629112	1,0032228	0,6779101	0,0031059	0,3984675
360	0,1107538	0,9318572	0,5923674	1,0424733	0,0445345	1,0021627	0,3393430	0,3490950	0,0041999	0,9688099	0,0686361	0,9471750	0,9038049	0,6838104	0,0103858	0,3622052
380	0,0852195	0,9781623	0,5893549	0,9833750	0,0407611	1,0214854	0,3158267	0,3632258	0,0016032	0,9418701	0,0569342	1,0259557	0,9431157	0,7107928	0,0038887	0,3849910
400	0,1235745	0,9290626	0,5581723	0,9694824	0,0469062	0,9744823	0,3358462	0,3204677	0,0000000	0,9834694	0,0554141	0,9452308	1,0280941	0,7403650	0,0095676	0,3463057
420	0,1038576	0,9365956	0,5503956	0,9806691	0,0483958	0,9818008	0,3182761	0,2958751	0,0007663	0,8809141	0,0576495	0,9476981	0,9638064	0,7506897	0,0042386	0,3187405
440	0,1209027	0,8934354	0,5819928	0,9253748	0,0352898	0,9480411	0,3828583	0,3172072	0,0008059	0,9280124	0,0459007	0,8545154	0,9347111	0,7226457	0,0027342	0,3427192
460	0,1039709	0,8652074	0,5632880	0,9425331	0,0298887	0,9526903	0,3589135	0,3356694	0,0028809	0,9574786	0,0452925	0,9351255	0,9073226	0,7437633	0,0012166	0,3612431
480	0,1077586	0,8128086	0,5858106	0,9558236	0,0259908	1,0352079	0,3635983	0,3739424	0,0024465	1,0467821	0,0545635	0,9613400	0,9627394	0,7366643	0,0015160	0,3726449
500	0,0880853	0,8405771	0,6094488	0,9494406	0,0299076	1,0473129	0,3911092	0,3603254	0,0028269	0,9125000	0,0417355	0,8543781	0,9611617	0,7782359	0,0010842	0,3533256
520	0,1002712	0,8470967	0,5446480	0,9682633	0,0264069	1,0503668	0,3919428	0,3358252	0,0019781	0,9211130	0,0421024	0,8419969	1,0094041	0,7133259	0,0023904	0,3279268
540	0,1029754	0,8413108	0,5832539	0,9885982	0,0275965	1,0130013	0,4073634	0,3102845	0,0010100	0,8826482	0,0426257	0,9556493	0,9254234	0,7435890	0,0030857	0,3145415
560	0,1132949	0,8898013	0,5896636	0,9575014	0,0233344	1,0400281	0,4632385	0,2635484	0,0010737	0,9344460	0,0467205	0,9929207	0,9523573	0,8108665	0,0036376	0,3371296
580	0,1610428	0,7974493	0,6033995	0,9407417	0,0786229	1,0303057	0,4670473	0,3401683	0,0042660	1,0178978	0,0394656	0,9832535	1,0014099	0,7107814	0,0128785	0,3427091
600	0,1459197	0,8096271	0,5770903	0,9552515	0,2510323	1,0829098	0,3830743	0,4063931	0,0131928	0,9574253	0,0372811	0,9606770	0,9525733	0,7043568	0,0131944	0,3373492
620	0,1529450	0,8501094	0,5683488	0,9692343	0,3786329	1,0139230	0,3680665	0,4171835	0,0139202	0,9521418	0,0494672	1,0649646	0,9323670	0,6960881	0,0158105	0,3462026
640	0,2107994	0,8165539	0,5857177	0,9557093	0,5128132	0,8221679	0,3509452	0,4443171	0,0153582	0,9509350	0,0502394	1,0629276	0,8712547	0,6782943	0,0175280	0,2772780
660	0,2930358	0,8157585	0,5995316	0,9701543	0,5669978	0,7209227	0,4182331	0,4524017	0,0121804	0,9314067	0,0520536	1,0744647	0,8627761	0,6223065	0,0105798	0,2819869
680	0,2804236	0,8643636	0,5504692	0,9792611	0,5638880	0,6336795	0,3720728	0,4205133	0,0183233	0,9640447	0,0664787	1,1486015	0,8071469	0,6404317	0,0163308	0,2606025
700	0,3006776	0,8065580	0,5697546	0,9730697	0,5514660	0,4492246	0,3529499	0,4820128	0,0226159	1,0251825	0,0838906	1,1292028	0,7565743	0,6148921	0,0257361	0,2513542
720	0,3164761	0,7799186	0,5986367	1,0045251	0,4547217	0,3661540	0,3036118	0,4330594	0,0194605	1,0629954	0,0946232	1,0930767	0,7622270	0,6170710	0,0220056	0,2757294
740	0,2983408	0,7913836	0,6198254	1,0172118	0,4839254	0,3276317	0,3141722	0,3620270	0,0180142	0,9933206	0,0930370	0,9854273	0,8109641	0,5698670	0,0176197	0,2635035
760	0,2962797	0,8014598	0,5706445	0,9824491	0,5103965	0,2708791	0,3464697	0,3656757	0,0115976	0,9626747	0,0971842	1,0051110	0,8349058	0,6090643	0,0196073	0,2675973
780	0,3025239	0,8049095	0,6803535	1,0043554	0,5539741	0,2568630	0,3464128	0,4150698	0,0194854	0,9244930	0,1050634	1,0041991	0,7857024	0,6051517	0,0235686	0,2462986
800	0,3211028	0,8115960	0,6040950	0,9965385	0,4823524	0,2388702	0,3424515	0,4625137	0,0056282	0,8295471	0,1112370	1,1364994	0,7876842	0,6175272	0,0212437	0,2514409
820	0,3145230	0,7264277	0,5750035	0,9431791	0,4810223	0,2398740	0,4051157	0,4426009	0,0152271	0,7907386	0,1365586	1,0404471	0,7965041	0,5923580	0,0196538	0,2812179
840	0,3076078	0,7271870	0,5685761	1,0203286	0,5078546	0,2339952	0,3580453	0,4524646	0,0195573	0,7753701	0,1438611	1,0728829	0,8145634	0,5728081	0,0128506	0,2824847
860	0,3598279	0,7153324	0,5492144	0,9811360	0,4573941	0,2175454	0,3128879	0,4572725	0,0139873	0,8674106	0,1595950	1,0213541	0,8689090	0,6443428	0,0136386	0,2764825
880	0,3834150	0,7330951	0,5503943	0,9990764	0,4438186	0,2211160	0,3241756	0,4305633	0,0160836	0,8653663	0,1698066	0,9903997	0,9226120	0,6079496	0,0170014	0,2684991
900	0,3384335	0,7180461	0,6012620	0,9711389	0,4424383	0,2058600	0,3196306	0,3877719	0,0228121	0,8968834	0,1450658	1,0010394	0,9003234	0,6130723	0,0082326	0,2919702
920	0,3302853	0,7004985	0,5753123	1,0137632	0,4594722	0,2161485	0,3413415	0,3708864	0,0202725	0,9463468	0,1293606	1,0144566	0,9091137	0,6390861	0,0166314	0,2696052
940	0,3628199	0,6817178	0,5864654	0,9895767	0,5301113	0,2229204	0,3410170	0,3710866	0,0134711	0,9457203	0,1404281	1,0141390	0,8753659	0,6523272	0,0177961	0,2492953
960	0,3629468	0,6359671	0,6251630	1,0139110	0,5790592	0,2028277	0,3336273	0,3698379	0,0197702	0,9158963	0,1336074	1,0007725	0,8733902	0,7695664	0,0098576	0,2496680
980	0,3821128	0,6738865	0,6458539	1,0252840	0,5054145	0,1721854	0,3111093	0,3919593	0,0250702	0,9416459	0,1254537	0,9415067	0,9149653	0,8333726	0,0071351	0,2831008
1000	0,3293951	0,6000119	0,6349158	1,0289484	0,5264417	0,1871340	0,3778083	0,4688492	0,0187391	0,9201483	0,1335264	0,9649874	0,8685788	0,7933331	0,0023126	0,3070900
1020	0,3530680	0,6074164	0,6030281	1,0044035	0,4548293	0,1687495	0,3602605	0,4037309	0,0267123	0,9622585	0,1450350	1,0028150	0,9055526	0,8091720	0,0072780	0,3327949
1040	0,3581840	0,5761128	0,6092977	1,0136267	0,4641084	0,1970024	0,4038004	0,3770338	0,0180803	0,9767824	0,1456595	0,9360659	0,9467613	0,7632906	0,0082949	0,3541983
1060	0,2780866	0,5445980	0,5737296	0,9929616	0,4432085	0,2151480	0,3825369	0,3641270	0,0104075	0,8890673	0,1444034	0,8587611	0,9086935	0,7441002	0,0076862	0,3048722
1080	0,3304728	0,5802877	0,5607855	0,9570940	0,4878996	0,2225083	0,4108052	0,3724589	0,0137921	0,9396857	0,1402751	0,8571090	0,8819188	0,8413282	0,0026331	0,2921462
1100	0,3333653	0,6570886	0,6278467	0,9787798	0,5178346	0,2076502	0,3628533	0,4011487	0,0078354	0,8808024	0,1399753	0,9707744	0,9075587	0,8301091	0,0053683	0,2876399

0	0,4563836	0,6569254	0,6275925	0,9955480	0,4832859	0,1843241	0,3957313	0,4476964	0,0085664	0,9521242	0,1361506	0,9823080	0,9188061	0,6338424	0,0171187	0,2811143
20	0,3311149	0,6530874	0,6514693	0,9924796	0,4890398	0,2203627	0,3063061	0,3996656	0,0024760	0,9296961	0,1438883	0,9982065	0,8465242	0,5700424	0,0226289	0,2476497
40	0,3738199	0,6365636	0,5973210	0,9203262	0,5316702	0,2246334	0,3142056	0,4167854	0,0075014	0,8718858	0,1579795	0,9645556	0,7783001	0,5886661	0,0177058	0,2621565
60	0,3643976	0,6473653	0,5202570	0,9311862	0,5178664	0,2143722	0,3700448	0,3684854	0,0081506	0,8308788	0,1276167	1,0511516	0,7243923	0,6244050	0,0183559	0,2518869
80	0,3515720	0,6852387	0,4228276	0,9033509	0,5036974	0,1777273	0,3635123	0,4042458	0,0100382	0,7385992	0,1325490	0,9750564	0,6886910	0,6202306	0,0249853	0,2501923
100	0,3720678	0,7395306	0,3897845	0,8520635	0,5688465	0,2073779	0,3928701	0,3915845	0,0074445	0,7308578	0,1375719	1,1090503	0,6425099	0,6124266	0,0316602	0,2759618
120	0,3974542	0,7360990	0,3803304	0,8063577	0,5117525	0,2020173	0,3530639	0,3704816	0,0043228	0,6820111	0,1308683	1,0334424	0,6415632	0,6703533	0,0304979	0,2856525
140	0,4341114	0,7736727	0,3467707	0,8366778	0,4867139	0,1714787	0,3712075	0,3887405	0,0049172	0,6306114	0,1325227	0,9463389	0,6477677	0,6461648	0,0300455	0,3116895
160	0,4367928	0,7375462	0,3205314	0,8576691	0,4569419	0,1775041	0,3691368	0,4274435	0,0041654	0,6212913	0,1075926	0,9464757	0,6724641	0,7001478	0,0224612	0,3096490
180	0,4209789	0,6930261	0,3352541	0,8182175	0,4584092	0,1904654	0,3778183	0,4239789	0,0026368	0,6268351	0,1360715	1,0663687	0,6745749	0,6025408	0,0193475	0,2945698
200	0,4137511	0,6808203	0,3271706	0,8220429	0,5131192	0,2078956	0,3994852	0,4251231	0,0001680	0,6302696	0,1545723	1,0316726	0,6573735	0,6557355	0,0148898	0,2556959
220	0,3660220	0,6807356	0,3396927	0,8129011	0,5194277	0,2241592	0,3102832	0,4927155	0,0015649	0,6486142	0,1768970	1,1586513	0,6306475	0,6067652	0,0110434	0,2332761
240	0,4429513	0,6917240	0,3074198	0,8288057	0,5042009	0,1888815	0,3274726	0,4773625	0,0020701	0,5965600	0,1565045	1,0138603	0,5938199	0,5983270	0,0089743	0,2535205
260	0,3497683	0,6782823	0,3332616	0,8615285	0,4498660	0,1631149	0,3316931	0,4421072	0,0005950	0,5874930	0,1321747	0,9737958	0,6031999	0,6313047	0,0112077	0,2796314
280	0,3173756	0,6051403	0,3172772	0,7865119	0,5015158	0,1873706	0,2868137	0,4270412	0,0019253	0,5647049	0,1307588	1,0278468	0,6744184	0,6000107	0,0085188	0,2660465
300	0,2984216	0,5981469	0,3366964	0,7652150	0,5091775	0,2027903	0,3476278	0,4207603	0,0002268	0,6194228	0,1116939	0,9345281	0,6779723	0,6260192	0,0052907	0,2746401
320	0,3014699	0,5993453	0,3397706	0,7577549	0,5407448	0,1938326	0,3493795	0,3936215	0,0014156	0,6443504	0,1163011	0,9359618	0,6873617	0,5912364	0,0127576	0,2628137
340	0,2628727	0,6214573	0,2994743	0,7907522	0,5179063	0,2030574	0,3656320	0,3885524	0,0000496	0,6260722	0,1033445	0,9863120	0,6286684	0,5976941	0,0098071	0,2428664
360	0,3320411	0,6435864	0,3366264	0,7187952	0,5172141	0,2410168	0,3740483	0,4536956	0,0026945	0,6183700	0,1146256	0,9947619	0,5791302	0,6460046	0,0155789	0,2652110
380	0,3558212	0,6042638	0,3300812	0,8060704	0,4465793	0,2478882	0,3453787	0,3685476	0,0060992	0,6047291	0,1244204	0,9638549	0,6284387	0,6292789	0,0273446	0,2591445
400	0,3791981	0,6062181	0,3561070	0,8020407	0,4465697	0,2088309	0,3377870	0,3744484	0,0076186	0,5810845	0,1516657	0,9121649	0,6321273	0,6700562	0,0271207	0,3032715
420	0,4148106	0,6287401	0,3522365	0,8404053	0,5150517	0,2184347	0,3424132	0,3784361	0,0095298	0,6212021	0,1528350	1,0024400	0,6205518	0,6192974	0,0184883	0,2966023
440	0,4131180	0,6215703	0,3681842	0,7642224	0,5823057	0,2329756	0,3771496	0,3658140	0,0054095	0,6277783	0,1626253	0,9584638	0,6350222	0,5909882	0,0266021	0,3044032
460	0,3999079	0,6204372	0,3891952	0,7765247	0,5069524	0,2367944	0,4399717	0,4065879	0,0044711	0,6441113	0,1598098	0,9880113	0,5714323	0,6027307	0,0157681	0,2805388
480	0,3887146	0,6448140	0,3775962	0,8005582	0,4651731	0,2103657	0,3224102	0,3319741	0,0037253	0,6976640	0,1464856	1,0390770	0,5819427	0,6238684	0,0236933	0,2710221
500	0,3592426	0,6669865	0,3743592	0,8130534	0,4589219	0,2156903	0,3690269	0,3502312	0,0006190	0,6948215	0,1508504	0,9432337	0,6845266	0,6070634	0,0135419	0,3400484
520	0,3353985	0,6248469	0,3610723	0,7937643	0,4443826	0,2202932	0,3468703	0,4055584	0,0021466	0,6911314	0,1290066	0,9249957	0,7181666	0,6850319	0,0158379	0,3588389
540	0,3060690	0,6437889	0,3172734	0,7659179	0,4685094	0,2183273	0,3261628	0,3776516	0,0043834	0,7097122	0,1517470	0,8785298	0,5997489	0,7300265	0,0125739	0,3329348
