"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
740	0,6960523	0,4111587	0,3087023	0,3974496	0,6542341	0,3504232	0,4832332	0,3248671	0,6004826	0,8373411	0,1506366	0,0602468	0,0535310	0,3049283	0,2582401	0,1905570
760	0,5702402	0,4629198	0,3114926	0,3553731	0,6372263	0,3868425	0,5499520	0,3115590	0,5507351	0,7742763	0,2401575	0,0569939	0,0459682	0,2887601	0,2345193	0,2409415
780	0,5711752	0,3791347	0,3329093	0,2368426	0,7175107	0,2551892	0,5646239	0,2947336	0,3768204	0,7604556	0,2132303	0,0397052	0,0066675	0,2547979	0,1929401	0,2572877
800	0,7233115	0,4922215	0,3859071	0,2753267	0,7040214	0,2742449	0,5965602	0,2912835	0,3974469	0,6874722	0,2314532	0,0202556	0,0067435	0,2684675	0,0913143	0,2397392
820	0,6476427	0,4435242	0,4306615	0,2488712	0,7131105	0,2364883	0,5325953	0,3018534	0,3658976	0,5727894	0,2291372	0,0225958	0,0055322	0,3277500	0,1328212	0,2158707
840	0,5899926	0,4443926	0,3051395	0,2404281	0,6833472	0,2560999	0,6486835	0,2702753	0,4691270	0,6784044	0,2274208	0,0346566	0,0025354	0,2740155	0,1080604	0,2766278
860	0,6470390	0,4397520	0,3629885	0,1793575	0,8554665	0,2419442	0,4956029	0,2433112	0,3173082	0,7912631	0,2408277	0,0132791	0,0027464	0,2099334	0,0821815	0,2072897
880	0,6798425	0,5711520	0,3497732	0,2102907	0,7684550	0,1391403	0,5461709	0,2327781	0,2967868	0,6886136	0,1906582	0,0148486	0,0030063	0,2110495	0,1064304	0,2612544
900	0,5712904	0,4308901	0,3691537	0,2503462	0,6285541	0,2606655	0,4518199	0,2649789	0,4109381	0,6371154	0,1787222	0,0252704	0,0114380	0,2230380	0,1469257	0,2084515
920	0,5835143	0,3465165	0,3573106	0,2651663	0,8038275	0,2590661	0,4360912	0,2435753	0,2813738	0,6079102	0,2194210	0,0066156	0,0058329	0,2472116	0,1609838	0,2671162
940	0,5247509	0,4584202	0,2565884	0,2819573	0,7299199	0,2023961	0,5527892	0,1722542	0,2776650	0,6153247	0,1962635	0,0103286	0,0022156	0,2306502	0,1652128	0,2346509
960	0,4909624	0,3883113	0,3500903	0,2782397	0,7580074	0,2589794	0,4762812	0,2495650	0,3056470	0,5860835	0,1659672	0,0176259	0,0000139	0,2391763	0,1036411	0,2461793
980	0,5714832	0,4135713	0,3714020	0,2308827	0,8420409	0,2740114	0,4390720	0,2375614	0,2796800	0,8703536	0,1871601	0,0252428	0,0012380	0,2379209	0,1216912	0,1978306
1000	0,6881377	0,5278576	0,3584439	0,2243550	0,6757522	0,2772153	0,4279313	0,2356695	0,2736763	0,7580379	0,1646602	0,0168329	0,0001602	0,2173831	0,0725215	0,1970681
1020	0,8001000	0,5089510	0,2701454	0,2669417	0,6744132	0,2780081	0,4838009	0,2119116	0,2979430	0,8860330	0,1658340	0,0088286	0,0036164	0,2569518	0,1560761	0,2960558
1040	0,5101080	0,3327456	0,3141529	0,2481064	0,8373769	0,2764878	0,5058753	0,2154382	0,3092854	0,8322327	0,1825811	0,0106534	0,0041783	0,2488833	0,0959934	0,2928249
1060	0,5990659	0,4967468	0,3157724	0,2526005	0,7335533	0,2130201	0,4996659	0,1771585	0,3084598	0,7292495	0,1257123	0,0082800	0,0063625	0,2111362	0,1829591	0,2772556
1080	0,5748522	0,4476941	0,4218321	0,3260391	0,6655545	0,2190373	0,5399185	0,1605419	0,3460653	0,6681964	0,1396261	0,0384959	0,0055721	0,2073704	0,1062903	0,1740896
