"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
40	0,5416083	0,2878427	0,0543833	0,1848451	0,4790987	0,1062378	0,6088036	0,4583228	0,7955423	0,4051930	0,0864684	0,4648173	0,2103138	0,3069196	0,5183391	0,3570341
60	0,5605447	0,1069083	0,0538016	0,2411443	0,4355126	0,1301676	0,4846178	0,5019244	0,8509187	0,3913225	0,0665120	0,4093535	0,2051826	0,2861429	0,4596712	0,4857318
80	0,5250556	0,0756631	0,0643910	0,1789802	0,5289815	0,1189035	0,5463371	0,3544826	0,6168559	0,4052990	0,0736301	0,3434680	0,2685915	0,2720967	0,4535292	0,3311460
100	0,5528522	0,0865821	0,1043462	0,1942442	0,4237723	0,1037303	0,5728210	0,4173680	0,8581159	0,3140187	0,0965323	0,4265940	0,2468331	0,3826247	0,5553265	0,2698426
120	0,4815015	0,0323412	0,0492977	0,1520904	0,4502285	0,1249349	0,5370909	0,4097847	0,7486566	0,3861388	0,0940041	0,3984028	0,2072349	0,3055839	0,4057988	0,2998135
140	0,4753835	0,0384403	0,0593766	0,2658272	0,3963748	0,1158358	0,6907972	0,3326272	0,6930589	0,3493860	0,1329061	0,3553819	0,3163157	0,3617440	0,5089021	0,3320315
160	0,3906442	0,0988696	0,0291466	0,2271532	0,6654072	0,0966184	0,6019340	0,3904492	0,7175096	0,4247962	0,1280330	0,3875956	0,2471097	0,3332065	0,5909934	0,3935781
180	0,3436177	0,0147763	0,0423277	0,1513160	0,6662802	0,1772467	0,6632791	0,4767157	0,7293085	0,3817132	0,0885470	0,4428838	0,3926580	0,4478184	0,4631812	0,4499206
200	0,3998421	0,0146878	0,0609258	0,1820700	0,6576697	0,1239930	0,6302686	0,4870733	0,7075845	0,4813651	0,1116599	0,3412566	0,4221554	0,5900039	0,4286331	0,4908217
220	0,3749202	0,0434756	0,0445463	0,2485350	0,5961024	0,1737179	0,6932205	0,4850885	0,7861409	0,4505791	0,0739768	0,5405424	0,4048387	0,5203826	0,4618840	0,3904863
240	0,3443215	0,0131454	0,0519968	0,1859589	0,6243093	0,1151837	0,6347234	0,5127869	0,5662164	0,5446513	0,1032316	0,4741215	0,3721041	0,6132991	0,4263071	0,4276449
260	0,5016712	0,0114793	0,0655701	0,1651322	0,7138415	0,1476032	0,5965788	0,4304337	0,7305056	0,4965314	0,1153312	0,5383397	0,4836329	0,4840446	0,3710561	0,4820567
280	0,4056070	0,0094809	0,0448853	0,2344768	0,7430336	0,1599511	0,6465076	0,4605265	0,7662384	0,4766321	0,1412339	0,5769998	0,3890365	0,4655724	0,3962327	0,5669751
300	0,5044099	0,0161830	0,0657001	0,1941750	0,7281865	0,1528835	0,6661195	0,5403385	0,7227429	0,5763266	0,1708567	0,5109178	0,3585009	0,5605540	0,4155794	0,5528845
320	0,4343190	0,0091819	0,0762112	0,1763547	0,7157952	0,2164161	0,7482448	0,4012373	0,6524363	0,4638283	0,1620198	0,4965770	0,3829538	0,4582970	0,3057353	0,4544677
