"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
840	0,3723365	0,6759232	0,6220839	0,9723398	0,4889708	0,2056251	0,3365984	0,4046604	0,0141785	0,8994376	0,1408924	0,9727670	0,8878895	0,6365337	0,0111034	0,2882383
860	0,3735114	0,6734788	0,6220839	0,9721130	0,4874236	0,2047650	0,3362863	0,4046700	0,0141791	0,8994087	0,1410751	0,9727075	0,8877398	0,6362689	0,0111062	0,2882112
880	0,3744932	0,6716275	0,6220839	0,9720259	0,4866129	0,2043559	0,3360545	0,4046675	0,0141792	0,8993838	0,1412021	0,9726633	0,8876296	0,6360767	0,0111079	0,2881890
900	0,3753041	0,6701984	0,6220839	0,9720420	0,4864605	0,2042579	0,3358838	0,4046616	0,0141792	0,8993653	0,1412907	0,9726310	0,8875495	0,6359410	0,0111089	0,2881730
920	0,3759665	0,6690750	0,6220839	0,9720985	0,4866522	0,2043031	0,3357592	0,4046565	0,0141791	0,8993531	0,1413527	0,9726077	0,8874924	0,6358482	0,0111094	0,2881628
940	0,3765026	0,6681788	0,6220839	0,9721499	0,4869077	0,2043726	0,3356689	0,4046534	0,0141791	0,8993458	0,1413963	0,9725911	0,8874521	0,6357865	0,0111098	0,2881570
960	0,3769334	0,6674565	0,6220839	0,9721782	0,4870810	0,2044131	0,3356036	0,4046519	0,0141791	0,8993419	0,1414270	0,9725794	0,8874239	0,6357463	0,0111100	0,2881541
980	0,3772780	0,6668711	0,6220839	0,9721853	0,4871454	0,2044186	0,3355566	0,4046516	0,0141791	0,8993399	0,1414486	0,9725712	0,8874042	0,6357203	0,0111101	0,2881527
1000	0,3775527	0,6663955	0,6220839	0,9721807	0,4871362	0,2044040	0,3355226	0,4046517	0,0141791	0,8993390	0,1414639	0,9725654	0,8873905	0,6357035	0,0111102	0,2881522
1020	0,3777714	0,6660094	0,6220839	0,9721732	0,4870997	0,2043854	0,3354980	0,4046519	0,0141791	0,8993386	0,1414746	0,9725614	0,8873809	0,6356925	0,0111102	0,2881520
1040	0,3779456	0,6656964	0,6220839	0,9721679	0,4870673	0,2043722	0,3354802	0,4046521	0,0141792	0,8993384	0,1414821	0,9725585	0,8873741	0,6356852	0,0111103	0,2881519
1060	0,3780844	0,6654435	0,6220839	0,9721657	0,4870504	0,2043663	0,3354672	0,4046523	0,0141792	0,8993383	0,1414874	0,9725564	0,8873693	0,6356803	0,0111103	0,2881519
1080	0,3781952	0,6652396	0,6220839	0,9721659	0,4870474	0,2043658	0,3354578	0,4046523	0,0141792	0,8993381	0,1414911	0,9725549	0,8873659	0,6356769	0,0111103	0,2881518
