"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
40	0,5780649	0,6323848	0,3826125	0,0216359	0,0499417	0,8683818	0,0889622	0,6284419	0,2232507	0,0556182	0,0504837	0,0743247	0,0592119	0,6103899	0,0074903	0,7805114
60	0,6724449	0,5846949	0,5111764	0,0364259	0,0735317	0,7877462	0,1649824	0,4926191	0,3562817	0,0943135	0,0652347	0,1123777	0,1263489	0,5651769	0,0132947	0,6873168
80	0,4682978	0,6326021	0,4979222	0,0355783	0,1148703	0,7854141	0,1491072	0,6903007	0,4768185	0,1083367	0,0494816	0,2550388	0,1072645	0,5132271	0,0161509	0,7719470
100	0,5522957	0,7469472	0,5712428	0,0274614	0,1688840	0,6904905	0,0878520	0,6562809	0,5472744	0,1238033	0,0735591	0,1801225	0,1291007	0,3123071	0,0054998	0,7668982
120	0,5360352	0,8421349	0,6359634	0,0379147	0,2090725	0,6148437	0,0388862	0,6514418	0,5957181	0,0899247	0,0898911	0,2389738	0,1284331	0,3868131	0,0361703	0,8313248
140	0,4344685	0,6998683	0,6461401	0,0609274	0,2698784	0,6830173	0,0463973	0,6527586	0,6018145	0,1522739	0,0910614	0,2654267	0,2293174	0,3440940	0,0660545	0,7928437
160	0,3850980	0,7053426	0,5202495	0,1095730	0,3037539	0,6665849	0,0528109	0,7503350	0,6883028	0,2129590	0,0665977	0,3964564	0,2272808	0,2401732	0,0723952	0,9213728
180	0,4407567	0,6830476	0,4356583	0,1915911	0,2844304	0,6657799	0,0453117	0,6364226	0,8035937	0,1486597	0,0755937	0,4212324	0,3179321	0,1491471	0,1042799	0,6679575
200	0,6702278	0,7536616	0,5573546	0,2931883	0,3433610	0,6188927	0,0775370	0,6581246	0,7411212	0,2238883	0,0600547	0,3234442	0,3377871	0,1592279	0,1313707	0,6898549
220	0,5774648	0,7979044	0,5526428	0,4211585	0,4496337	0,6880896	0,0769672	0,6890973	0,7443959	0,1807191	0,1281871	0,4073072	0,3981972	0,0829323	0,1486588	0,7708284
240	0,4856114	0,5372309	0,4916776	0,4166297	0,4968119	0,6528770	0,1244316	0,6996361	0,8707648	0,2412846	0,1019643	0,4482408	0,3548355	0,0589920	0,1670020	0,8440427
260	0,5440881	0,7216544	0,4545714	0,4160585	0,4360625	0,7414077	0,1413395	0,5532049	0,7473113	0,3092981	0,1441654	0,5039754	0,4705551	0,0950336	0,2105109	0,7024484
280	0,5839593	0,7430088	0,5096931	0,5596312	0,4973153	0,5597376	0,2094882	0,4326019	0,6264952	0,3677918	0,2300420	0,4796946	0,5018041	0,0886287	0,2466389	0,5645298
300	0,5010415	0,6755817	0,5742946	0,6920889	0,4930030	0,5526720	0,2179829	0,4635215	0,5656752	0,4705929	0,1891069	0,4902752	0,5583068	0,0408785	0,2318004	0,4552064
320	0,5705736	0,6375359	0,5188876	0,6089639	0,4521416	0,6056288	0,2221460	0,4298236	0,8239492	0,3738347	0,2424607	0,4482654	0,5521746	0,0308734	0,2467351	0,6953030
340	0,6068671	0,6351318	0,3965668	0,6792163	0,6698546	0,4821134	0,2764767	0,4598312	0,8261935	0,4012401	0,2737542	0,5066929	0,5081915	0,0089330	0,2783890	0,6244522
360	0,7185834	0,7032581	0,5290867	0,6984962	0,6577913	0,4119427	0,3552838	0,5203919	0,8078600	0,3734479	0,3350886	0,5987796	0,5079675	0,0027803	0,3901931	0,5459349
380	0,6494838	0,5794079	0,3818324	0,7266275	0,5846959	0,4753413	0,4587882	0,4197774	0,7271622	0,4176630	0,4575496	0,6347925	0,5102057	0,0109863	0,4555296	0,5268996
400	0,6207104	0,6138349	0,5190812	0,7096061	0,6676068	0,4001413	0,4212625	0,4791632	0,8555046	0,4181607	0,3783857	0,5089303	0,5744536	0,0101588	0,3862857	0,5305729
420	0,5956192	0,5809021	0,5045229	0,7207557	0,6583381	0,5039062	0,4204513	0,4173843	0,7561065	0,3504587	0,4211004	0,4951695	0,6519393	0,0027726	0,4601616	0,4703499
440	0,6315880	0,6510945	0,4728505	0,6789284	0,5733389	0,4432086	0,4536488	0,4456959	0,6671014	0,4639796	0,4460500	0,5995987	0,5731286	0,0015282	0,4322010	0,3836176
460	0,7254551	0,5907374	0,4814749	0,7609677	0,5667572	0,5127655	0,4822962	0,5865982	0,6906890	0,6109191	0,5046669	0,5474555	0,4712064	0,0013281	0,4481205	0,3732182
480	0,6659548	0,6828629	0,4531733	0,7542752	0,6053651	0,4833777	0,6871906	0,5379935	0,7764823	0,4157021	0,4751949	0,5485853	0,4866406	0,0015068	0,5427081	0,3580512
500	0,6776673	0,6942430	0,4974382	0,7374058	0,7664529	0,3826216	0,6413057	0,4340789	0,7312870	0,5660175	0,5404232	0,5617459	0,4908998	0,0032730	0,5059993	0,4004238
520	0,5668768	0,5574186	0,4706707	0,7931620	0,5934719	0,3994333	0,4479175	0,4134374	0,8327608	0,4564942	0,5630696	0,5482455	0,5611668	0,0002267	0,4966279	0,3114707
540	0,6899188	0,7733219	0,4779728	0,6771537	0,5660120	0,4245309	0,6197471	0,4840835	0,5861742	0,3311927	0,4847374	0,5189025	0,5893383	0,0001611	0,4027627	0,3665120
560	0,5175628	0,6237681	0,4607114	0,7984633	0,6685821	0,3582956	0,5444301	0,3951814	0,8239160	0,3954729	0,4777630	0,4917741	0,4699072	0,0001915	0,3883500	0,3324963
580	0,5731487	0,5332087	0,4848687	0,7457131	0,6736849	0,4336924	0,7390227	0,3219054	0,7703918	0,3686888	0,4526368	0,5648561	0,4535960	0,0080823	0,3364847	0,3317212
