hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD	Time	Experiment
0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	300	2
1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	320	2
1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	340	2
0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	360	2
1	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	380	2
1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	400	2
0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	420	2
0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	440	2
1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	460	2
1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	480	2
1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	500	2
0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	520	2
1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	540	2
0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	560	2
1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	580	2
0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	600	2
1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	620	2
1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	640	2
1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	660	2
0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	680	2
0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	700	2
1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	720	2
0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	740	2
0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	760	2
0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	780	2
1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	800	2
0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	820	2
0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	840	2
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	860	2
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	880	2
1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	900	2
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	920	2
1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	0	940	2
0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	960	2
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	980	2
0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1000	2
0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1020	2
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1040	2
0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1060	2
0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1080	2
0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1100	2
0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3
0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	20	3
1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	40	3
0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	60	3
1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	80	3
1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	100	3
1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	120	3
1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	140	3
1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	160	3
1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	180	3
1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	200	3
1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	220	3
1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	240	3
1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	260	3
0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	280	3
1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	300	3
0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	320	3
0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	340	3
0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	360	3
1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	380	3
1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	400	3
1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	420	3
1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	440	3
0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	460	3
0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	480	3
1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	500	3
1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	520	3
0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	540	3
0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	560	3
0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	580	3
1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	600	3
1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	620	3
1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	640	3
1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	660	3
0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	680	3
0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	700	3
0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	720	3
1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	740	3
0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	760	3
0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	780	3
0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	800	3
0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	820	3
0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	840	3
1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	860	3
0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	880	3
0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	900	3
1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	920	3
0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	940	3
1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	960	3
1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	980	3
0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1000	3
0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1020	3
0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1040	3
0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1060	3
0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1080	3
0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1100	3
0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	4
1	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	20	4
0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	40	4
1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	60	4
1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	80	4
1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	100	4
1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	120	4
1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	140	4
1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	160	4
1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	180	4
1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	200	4
1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	220	4
0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	240	4
1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	260	4
1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	280	4
1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	300	4
1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	320	4
1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	340	4
1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	360	4
1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	380	4
1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	400	4
1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	420	4
0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	440	4
1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	460	4
0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	480	4
1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	500	4
0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	520	4
1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	540	4
1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	560	4
0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	580	4
1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	600	4
0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	620	4
1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	640	4
1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	660	4
1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	680	4
1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	700	4
0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	720	4
1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	740	4
1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	760	4
0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	780	4
1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	800	4
1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	820	4
0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	840	4
1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	860	4
0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	880	4
0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	900	4
0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	920	4
0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	940	4
0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	960	4
0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	980	4
1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1000	4
0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1020	4
1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1040	4
0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1060	4
0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1080	4
1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1100	4
