"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
160	0,2225206	1,0000000	0,4386192	0,3666935	0,0000133	0,4904172	0,0140205	0,0355394	0,0612893	0,0669115	0,1322272	0,3335520	0,1884767	0,0000843	0,1270438	0,0911887
180	0,2225206	1,0000000	0,4386192	0,3666935	0,0000126	0,4904172	0,0140205	0,0355394	0,0609974	0,0655645	0,1322272	0,3335520	0,1930186	0,0000843	0,1281734	0,0911885
200	0,2225206	1,0000000	0,4386192	0,3666935	0,0000121	0,4904172	0,0140205	0,0355394	0,0608109	0,0648303	0,1322272	0,3335520	0,1964030	0,0000843	0,1288924	0,0911884
220	0,2225206	1,0000000	0,4386192	0,3666935	0,0000117	0,4904172	0,0140205	0,0355394	0,0606917	0,0644300	0,1322272	0,3335520	0,1989248	0,0000843	0,1293501	0,0911883
240	0,2225206	1,0000000	0,4386192	0,3666935	0,0000115	0,4904172	0,0140205	0,0355394	0,0606156	0,0642118	0,1322272	0,3335520	0,2008039	0,0000843	0,1296415	0,0911883
260	0,2225206	1,0000000	0,4386192	0,3666935	0,0000112	0,4904172	0,0140205	0,0355394	0,0605670	0,0640928	0,1322272	0,3335520	0,2022040	0,0000843	0,1298270	0,0911882
280	0,2225206	1,0000000	0,4386192	0,3666935	0,0000111	0,4904172	0,0140205	0,0355394	0,0605359	0,0640280	0,1322272	0,3335520	0,2032474	0,0000843	0,1299451	0,0911882
300	0,2225206	1,0000000	0,4386192	0,3666935	0,0000110	0,4904172	0,0140205	0,0355394	0,0605160	0,0639926	0,1322272	0,3335520	0,2040248	0,0000843	0,1300202	0,0911882
320	0,2225206	1,0000000	0,4386192	0,3666935	0,0000109	0,4904172	0,0140205	0,0355394	0,0605033	0,0639733	0,1322272	0,3335520	0,2046040	0,0000843	0,1300681	0,0911882
340	0,2225206	1,0000000	0,4386192	0,3666935	0,0000108	0,4904172	0,0140205	0,0355394	0,0604952	0,0639628	0,1322272	0,3335520	0,2050357	0,0000843	0,1300986	0,0911882
360	0,2225206	1,0000000	0,4386192	0,3666935	0,0000108	0,4904172	0,0140205	0,0355394	0,0604900	0,0639571	0,1322272	0,3335520	0,2053573	0,0000843	0,1301179	0,0911882
380	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604867	0,0639540	0,1322272	0,3335520	0,2055970	0,0000843	0,1301303	0,0911882
400	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604846	0,0639523	0,1322272	0,3335520	0,2057755	0,0000843	0,1301381	0,0911882
420	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604833	0,0639513	0,1322272	0,3335520	0,2059086	0,0000843	0,1301431	0,0911882
440	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604824	0,0639508	0,1322272	0,3335520	0,2060077	0,0000843	0,1301463	0,0911882
460	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604818	0,0639506	0,1322272	0,3335520	0,2060816	0,0000843	0,1301484	0,0911882
480	0,2225206	1,0000000	0,4386192	0,3666935	0,0000107	0,4904172	0,0140205	0,0355394	0,0604815	0,0639504	0,1322272	0,3335520	0,2061367	0,0000843	0,1301496	0,0911882
500	0,2225206	1,0000000	0,4386192	0,3666935	0,0000106	0,4904172	0,0140205	0,0355394	0,0604813	0,0639503	0,1322272	0,3335520	0,2061777	0,0000843	0,1301505	0,0911882
520	0,2225206	1,0000000	0,4386192	0,3666935	0,0000106	0,4904172	0,0140205	0,0355394	0,0604811	0,0639503	0,1322272	0,3335520	0,2062083	0,0000843	0,1301510	0,0911882
540	0,2225206	1,0000000	0,4386192	0,3666935	0,0000106	0,4904172	0,0140205	0,0355394	0,0604810	0,0639503	0,1322272	0,3335520	0,2062310	0,0000843	0,1301513	0,0911882
560	0,2225206	1,0000000	0,4386192	0,3666935	0,0000106	0,4904172	0,0140205	0,0355394	0,0604810	0,0639502	0,1322272	0,3335520	0,2062480	0,0000843	0,1301515	0,0911882
580	0,2225206	1,0000000	0,4386192	0,3666935	0,0000161	0,4904172	0,0140205	0,0355394	0,0709912	0,2366457	0,1322272	0,3335520	0,1584667	0,0000843	0,0882697	0,0911882
600	0,2225206	1,0000000	0,4386192	0,3666935	0,0000202	0,4904172	0,0140205	0,0355394	0,0777064	0,3307891	0,1322272	0,3335520	0,1228633	0,0000843	0,0616079	0,0911882
620	0,2225206	1,0000000	0,4386192	0,3666935	0,0000232	0,4904172	0,0140205	0,0355394	0,0819968	0,3821106	0,1322272	0,3335520	0,0963340	0,0000843	0,0446351	0,0911882
640	0,2225206	1,0000000	0,4386192	0,3666935	0,0000255	0,4904172	0,0140205	0,0355394	0,0847380	0,4100881	0,1322272	0,3335520	0,0765661	0,0000843	0,0338303	0,0911882
660	0,2225206	1,0000000	0,4386192	0,3666935	0,0000271	0,4904172	0,0140205	0,0355394	0,0864894	0,4253398	0,1322272	0,3335520	0,0618364	0,0000843	0,0269520	0,0911882
680	0,2225206	1,0000000	0,4386192	0,3666935	0,0000284	0,4904172	0,0140205	0,0355394	0,0876084	0,4336542	0,1322272	0,3335520	0,0508607	0,0000843	0,0225734	0,0911882
700	0,2225206	1,0000000	0,4386192	0,3666935	0,0000293	0,4904172	0,0140205	0,0355394	0,0883234	0,4381867	0,1322272	0,3335520	0,0426824	0,0000843	0,0197860	0,0911882
720	0,2225206	1,0000000	0,4386192	0,3666935	0,0000300	0,4904172	0,0140205	0,0355394	0,0887802	0,4406575	0,1322272	0,3335520	0,0365885	0,0000843	0,0180115	0,0911882
740	0,2225206	1,0000000	0,4386192	0,3666935	0,0000305	0,4904172	0,0140205	0,0355394	0,0890721	0,4420045	0,1322272	0,3335520	0,0320477	0,0000843	0,0168819	0,0911882
760	0,2225206	1,0000000	0,4386192	0,3666935	0,0000309	0,4904172	0,0140205	0,0355394	0,0892586	0,4427388	0,1322272	0,3335520	0,0286642	0,0000843	0,0161629	0,0911882
780	0,2225206	1,0000000	0,4386192	0,3666935	0,0000312	0,4904172	0,0140205	0,0355394	0,0893777	0,4431390	0,1322272	0,3335520	0,0261430	0,0000843	0,0157051	0,0911882
800	0,2225206	1,0000000	0,4386192	0,3666935	0,0000314	0,4904172	0,0140205	0,0355394	0,0894539	0,4433573	0,1322272	0,3335520	0,0242644	0,0000843	0,0154137	0,0911882
820	0,2225206	1,0000000	0,4386192	0,3666935	0,0000316	0,4904172	0,0140205	0,0355394	0,0895025	0,4434762	0,1322272	0,3335520	0,0228646	0,0000843	0,0152282	0,0911882
840	0,2225206	1,0000000	0,4386192	0,3666935	0,0000317	0,4904172	0,0140205	0,0355394	0,0895336	0,4435411	0,1322272	0,3335520	0,0218216	0,0000843	0,0151101	0,0911882
860	0,2225206	1,0000000	0,4386192	0,3666935	0,0000318	0,4904172	0,0140205	0,0355394	0,0895535	0,4435764	0,1322272	0,3335520	0,0210444	0,0000843	0,0150350	0,0911882
880	0,2225206	1,0000000	0,4386192	0,3666935	0,0000318	0,4904172	0,0140205	0,0355394	0,0895661	0,4435957	0,1322272	0,3335520	0,0204653	0,0000843	0,0149871	0,0911882
900	0,2225206	1,0000000	0,4386192	0,3666935	0,0000319	0,4904172	0,0140205	0,0355394	0,0895743	0,4436062	0,1322272	0,3335520	0,0200337	0,0000843	0,0149567	0,0911882
920	0,2225206	1,0000000	0,4386192	0,3666935	0,0000319	0,4904172	0,0140205	0,0355394	0,0895794	0,4436119	0,1322272	0,3335520	0,0197122	0,0000843	0,0149373	0,0911882
940	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895828	0,4436150	0,1322272	0,3335520	0,0194726	0,0000843	0,0149249	0,0911882
960	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895849	0,4436167	0,1322272	0,3335520	0,0192941	0,0000843	0,0149171	0,0911882
980	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895862	0,4436177	0,1322272	0,3335520	0,0191610	0,0000843	0,0149121	0,0911882
1000	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895871	0,4436182	0,1322272	0,3335520	0,0190619	0,0000843	0,0149089	0,0911882
1020	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895876	0,4436185	0,1322272	0,3335520	0,0189881	0,0000843	0,0149069	0,0911882
1040	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895880	0,4436186	0,1322272	0,3335520	0,0189330	0,0000843	0,0149056	0,0911882
1060	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895882	0,4436187	0,1322272	0,3335520	0,0188920	0,0000843	0,0149048	0,0911882
1080	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895884	0,4436187	0,1322272	0,3335520	0,0188614	0,0000843	0,0149042	0,0911882
1100	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140205	0,0355394	0,0895885	0,4436188	0,1322272	0,3335520	0,0188387	0,0000843	0,0149039	0,0911882

0	0,2225206	1,0000000	0,4386192	0,3666935	0,0000393	0,4904181	0,0140205	0,0355394	0,0895915	0,4436188	0,1322273	0,3335521	0,0187737	0,0000843	0,0149094	0,0912021
20	0,0689777	0,8819711	0,4426273	0,2890120	0,0421962	0,4875679	0,0140206	0,0355394	0,0847945	0,4457873	0,1349610	0,3405314	0,0187733	0,0000872	0,1379093	0,0924428
40	0,0215710	0,8078322	0,4589779	0,2437795	0,0736073	0,4744582	0,0140250	0,0355394	0,0903596	0,4548600	0,1478311	0,3759069	0,0187732	0,0001049	0,2235127	0,1177125
60	0,0070140	0,7612625	0,4822159	0,2199947	0,0970810	0,4523045	0,0140525	0,0355396	0,1075150	0,4688362	0,1708659	0,4444872	0,0187756	0,0001454	0,2931330	0,2025955
80	0,0026171	0,7320101	0,5045328	0,2092164	0,1147295	0,4260778	0,0141311	0,0355405	0,1332208	0,4841731	0,2000631	0,5318392	0,0187886	0,0002349	0,3539543	0,3279819
100	0,0013464	0,7136354	0,5218896	0,2056830	0,1281066	0,4004445	0,0142775	0,0355426	0,1629534	0,4983863	0,2309057	0,6180708	0,0188245	0,0004352	0,4064288	0,4556777
120	0,0010214	0,7020935	0,5336970	0,2057907	0,1383346	0,3784041	0,0144868	0,0355462	0,1928263	0,5102947	0,2600777	0,6912208	0,0188938	0,0008236	0,4501301	0,5659629
140	0,0009691	0,6948436	0,5410250	0,2074552	0,1462182	0,3612142	0,0147378	0,0355512	0,2203468	0,5196355	0,2857842	0,7480991	0,0190007	0,0014501	0,4853605	0,6540780
160	0,0009857	0,6902896	0,5452984	0,2095662	0,1523369	0,3488687	0,0150047	0,0355571	0,2443048	0,5266383	0,3074048	0,7902196	0,0191420	0,0023122	0,5130668	0,7217219
180	0,0010124	0,6874290	0,5477051	0,2115908	0,1571123	0,3406686	0,0152655	0,0355633	0,2643803	0,5317238	0,3250313	0,8206118	0,0193098	0,0033604	0,5344745	0,7725332
200	0,0010346	0,6856322	0,5490536	0,2133158	0,1608555	0,3356682	0,0155056	0,0355694	0,2807672	0,5353346	0,3391054	0,8422822	0,0194939	0,0045207	0,5508173	0,8102439
220	0,0010505	0,6845035	0,5498283	0,2146915	0,1637994	0,3329465	0,0157175	0,0355749	0,2939031	0,5378582	0,3501904	0,8576897	0,0196844	0,0057167	0,5631967	0,8380553
240	0,0010611	0,6837946	0,5502940	0,2157431	0,1661204	0,3317345	0,0158987	0,0355798	0,3043030	0,5396034	0,3588461	0,8686774	0,0198729	0,0068838	0,5725316	0,8585101
260	0,0010679	0,6833493	0,5505876	0,2165237	0,1679537	0,3314501	0,0160505	0,0355839	0,3124684	0,5408025	0,3655708	0,8765669	0,0200530	0,0079758	0,5795566	0,8735501
280	0,0010723	0,6830695	0,5507787	0,2170908	0,1694038	0,3316843	0,0161757	0,0355874	0,3188452	0,5416239	0,3707824	0,8822836	0,0202205	0,0089643	0,5848424	0,8846244
300	0,0010751	0,6828938	0,5509045	0,2174960	0,1705520	0,3321677	0,0162777	0,0355902	0,3238094	0,5421865	0,3748189	0,8864687	0,0203728	0,0098363	0,5888248	0,8928004
320	0,0010769	0,6827834	0,5509868	0,2177819	0,1714620	0,3327347	0,0163602	0,0355925	0,3276680	0,5425728	0,3779471	0,8895651	0,0205089	0,0105900	0,5918322	0,8988582
340	0,0010780	0,6827141	0,5510399	0,2179814	0,1721835	0,3332913	0,0164266	0,0355944	0,3306662	0,5428394	0,3803748	0,8918797	0,0206286	0,0112309	0,5941105	0,9033653
360	0,0010787	0,6826706	0,5510735	0,2181194	0,1727558	0,3337902	0,0164798	0,0355959	0,3329969	0,5430245	0,3822625	0,8936264	0,0207326	0,0117687	0,5958425	0,9067341
380	0,0010792	0,6826432	0,5510945	0,2182143	0,1732100	0,3342129	0,0165223	0,0355971	0,3348105	0,5431542	0,3837336	0,8949560	0,0208221	0,0122155	0,5971644	0,9092642
400	0,0010794	0,6826260	0,5511075	0,2182790	0,1735705	0,3345575	0,0165562	0,0355981	0,3362238	0,5432459	0,3848825	0,8959756	0,0208983	0,0125834	0,5981772	0,9111739
420	0,0010796	0,6826152	0,5511155	0,2183230	0,1738567	0,3348305	0,0165832	0,0355989	0,3373270	0,5433114	0,3857818	0,8967627	0,0209629	0,0128843	0,5989563	0,9126224
440	0,0010797	0,6826085	0,5511205	0,2183528	0,1740840	0,3350420	0,0166047	0,0355995	0,3381895	0,5433588	0,3864872	0,8973735	0,0210171	0,0131291	0,5995579	0,9137262
460	0,0010798	0,6826042	0,5511236	0,2183728	0,1742645	0,3352031	0,0166219	0,0355999	0,3388649	0,5433934	0,3870415	0,8978496	0,0210625	0,0133273	0,6000240	0,9145712
480	0,0010798	0,6826015	0,5511255	0,2183862	0,1744079	0,3353239	0,0166355	0,0356003	0,3393949	0,5434190	0,3874778	0,8982223	0,0211002	0,0134872	0,6003864	0,9152209
500	0,0010799	0,6825998	0,5511267	0,2183952	0,1745217	0,3354135	0,0166463	0,0356006	0,3398112	0,5434381	0,3878218	0,8985147	0,0211314	0,0136159	0,6006689	0,9157223
520	0,0010799	0,6825988	0,5511275	0,2184012	0,1746122	0,3354793	0,0166549	0,0356009	0,3401389	0,5434525	0,3880933	0,8987448	0,0211572	0,0137192	0,6008898	0,9161107
540	0,0010799	0,6825981	0,5511280	0,2184052	0,1746840	0,3355271	0,0166617	0,0356011	0,3403970	0,5434634	0,3883078	0,8989262	0,0211783	0,0138019	0,6010629	0,9164126
