"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
740	0,8423459	0,5640894	0,4683626	0,3658841	0,9973318	0,3393714	0,7248559	0,3581550	0,5170335	0,9974164	0,2696829	0,0320621	0,0062908	0,3294365	0,2126675	0,3091971
760	0,8544054	0,5612324	0,4593035	0,3425956	0,9985259	0,3023614	0,7285262	0,3518518	0,4887609	0,9985013	0,2569503	0,0298181	0,0049745	0,3219299	0,1966624	0,3040446
780	0,8630271	0,5604115	0,4527269	0,3251265	0,9991856	0,2778041	0,7330386	0,3498050	0,4633177	0,9991093	0,2454821	0,0286102	0,0042489	0,3152114	0,1829275	0,2990937
800	0,8691697	0,5602129	0,4480064	0,3121959	0,9995501	0,2611588	0,7370426	0,3497686	0,4411675	0,9994483	0,2356174	0,0279597	0,0038455	0,3094599	0,1716020	0,2945963
820	0,8735380	0,5600817	0,4446409	0,3027140	0,9997514	0,2495974	0,7401327	0,3505219	0,4224208	0,9996361	0,2274373	0,0276040	0,0036186	0,3047083	0,1625463	0,2906681
840	0,8766422	0,5598845	0,4422504	0,2958077	0,9998627	0,2414154	0,7423531	0,3514757	0,4069319	0,9997392	0,2208504	0,0274046	0,0034891	0,3008938	0,1554761	0,2873333
860	0,8788474	0,5596425	0,4405555	0,2908022	0,9999241	0,2355693	0,7438970	0,3523839	0,3943936	0,9997949	0,2156700	0,0272898	0,0034141	0,2979019	0,1500573	0,2845620
880	0,8804144	0,5594041	0,4393547	0,2871876	0,9999581	0,2313859	0,7449630	0,3531648	0,3844181	0,9998246	0,2116726	0,0272225	0,0033699	0,2955990	0,1459642	0,2822965
900	0,8815281	0,5592018	0,4385039	0,2845847	0,9999768	0,2284026	0,7457057	0,3538063	0,3765972	0,9998399	0,2086350	0,0271829	0,0033433	0,2938536	0,1429078	0,2804683
920	0,8823200	0,5590464	0,4379008	0,2827143	0,9999872	0,2262865	0,7462312	0,3543209	0,3705416	0,9998475	0,2063555	0,0271597	0,0033271	0,2925470	0,1406464	0,2790083
940	0,8828833	0,5589348	0,4374730	0,2813723	0,9999929	0,2247928	0,7466082	0,3547272	0,3659021	0,9998510	0,2046620	0,0271464	0,0033171	0,2915787	0,1389854	0,2778523
960	0,8832842	0,5588579	0,4371693	0,2804107	0,9999961	0,2237421	0,7468811	0,3550439	0,3623797	0,9998524	0,2034141	0,0271390	0,0033107	0,2908669	0,1377726	0,2769434
980	0,8835696	0,5588058	0,4369537	0,2797224	0,9999978	0,2230037	0,7470790	0,3552877	0,3597260	0,9998528	0,2025008	0,0271349	0,0033066	0,2903471	0,1368913	0,2762330
1000	0,8837728	0,5587705	0,4368004	0,2792299	0,9999988	0,2224847	0,7472223	0,3554731	0,3577401	0,9998527	0,2018358	0,0271327	0,0033039	0,2899695	0,1362534	0,2756806
1020	0,8839175	0,5587464	0,4366914	0,2788779	0,9999993	0,2221190	0,7473255	0,3556127	0,3562624	0,9998525	0,2013538	0,0271316	0,0033021	0,2896963	0,1357931	0,2752529
1040	0,8840207	0,5587295	0,4366138	0,2786264	0,9999996	0,2218608	0,7473995	0,3557166	0,3551684	0,9998522	0,2010057	0,0271310	0,0033009	0,2894994	0,1354617	0,2749230
1060	0,8840941	0,5587176	0,4365586	0,2784467	0,9999998	0,2216780	0,7474523	0,3557934	0,3543619	0,9998519	0,2007549	0,0271306	0,0033001	0,2893577	0,1352237	0,2746694
1080	0,8841465	0,5587090	0,4365193	0,2783184	0,9999999	0,2215484	0,7474899	0,3558498	0,3537696	0,9998516	0,2005747	0,0271305	0,0032995	0,2892561	0,1350530	0,2744751
1100	0,8841838	0,5587028	0,4364913	0,2782268	0,9999999	0,2214563	0,7475166	0,3558911	0,3533360	0,9998514	0,2004454	0,0271304	0,0032991	0,2891833	0,1349308	0,2743265

0	0,8842762	0,5586871	0,4364222	0,2780186	1,0000000	0,2212335	0,7475818	0,3559967	0,3523417	0,9998509	0,2001396	0,0271303	0,0032983	0,2890099	0,1346429	0,2740337
20	0,8842763	0,5586871	0,2262956	0,2780115	1,0000000	0,2212318	0,4707855	0,3559976	0,3413813	0,7449268	0,1361822	0,0271303	0,0019413	0,2833069	0,1276584	0,2739881
40	0,8842764	0,5586871	0,1400055	0,2780069	1,0000000	0,2212308	0,3264661	0,3559982	0,2978287	0,6009186	0,0920488	0,0271303	0,0012153	0,2594063	0,1048058	0,2739544
60	0,8842764	0,5586871	0,1045698	0,2780040	1,0000000	0,2212302	0,2512192	0,3559986	0,2439380	0,5193531	0,0597471	0,0271302	0,0008270	0,2227686	0,0802740	0,2739295
80	0,8842764	0,5586871	0,0900178	0,2780020	1,0000000	0,2212298	0,2119861	0,3559988	0,2001271	0,4724514	0,0376470	0,0271302	0,0006193	0,1836659	0,0620243	0,2739111
100	0,8842764	0,5586871	0,0840419	0,2780008	1,0000000	0,2212296	0,1915303	0,3559990	0,1693444	0,4436986	0,0236062	0,0271302	0,0005081	0,1492813	0,0503440	0,2738976
120	0,8842764	0,5586871	0,0815879	0,2780000	1,0000000	0,2212294	0,1808648	0,3559991	0,1487215	0,4229536	0,0151140	0,0271302	0,0004487	0,1224595	0,0433532	0,2738875
140	0,8842764	0,5586871	0,0805801	0,2779995	1,0000000	0,2212294	0,1753039	0,3559992	0,1351301	0,4047460	0,0101218	0,0271302	0,0004169	0,1031096	0,0392989	0,2738802
160	0,8842764	0,5586871	0,0801663	0,2779991	1,0000000	0,2212293	0,1724045	0,3559992	0,1262294	0,3874663	0,0072329	0,0271302	0,0003999	0,0898644	0,0369838	0,2738747
180	0,8842764	0,5586871	0,0799963	0,2779989	1,0000000	0,2212293	0,1708928	0,3559992	0,1204170	0,3716803	0,0055750	0,0271302	0,0003908	0,0811218	0,0356718	0,2738707
200	0,8842764	0,5586871	0,0799265	0,2779988	1,0000000	0,2212293	0,1701046	0,3559992	0,1166268	0,3583108	0,0046276	0,0271302	0,0003859	0,0754994	0,0349310	0,2738677
220	0,8842764	0,5586871	0,0798979	0,2779987	1,0000000	0,2212293	0,1696936	0,3559993	0,1141573	0,3477718	0,0040871	0,0271302	0,0003833	0,0719526	0,0345135	0,2738655
240	0,8842764	0,5586871	0,0798861	0,2779986	1,0000000	0,2212293	0,1694794	0,3559993	0,1125491	0,3399284	0,0037790	0,0271302	0,0003819	0,0697476	0,0342782	0,2738639
260	0,8842764	0,5586871	0,0798813	0,2779986	1,0000000	0,2212292	0,1693677	0,3559993	0,1115022	0,3343424	0,0036033	0,0271302	0,0003812	0,0683925	0,0341455	0,2738627
280	0,8842764	0,5586871	0,0798793	0,2779985	1,0000000	0,2212292	0,1693094	0,3559993	0,1108209	0,3304951	0,0035030	0,0271302	0,0003808	0,0675671	0,0340707	0,2738618
300	0,8842764	0,5586871	0,0798785	0,2779985	1,0000000	0,2212292	0,1692790	0,3559993	0,1103776	0,3279124	0,0034457	0,0271302	0,0003806	0,0670682	0,0340285	0,2738612
320	0,8842764	0,5586871	0,0798781	0,2779985	1,0000000	0,2212292	0,1692632	0,3559993	0,1100893	0,3262131	0,0034129	0,0271302	0,0003804	0,0667683	0,0340046	0,2738607
340	0,8842764	0,5586871	0,0798780	0,2779985	1,0000000	0,2212292	0,1692549	0,3559993	0,1099018	0,3251125	0,0033942	0,0271302	0,0003804	0,0665891	0,0339911	0,2738603
