"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
740	0,7714652	0,4876473	0,6482018	0,1843096	0,5955437	0,0976900	0,3213106	0,6831484	0,0481783	0,1931131	0,6727040	0,1077178	0,6410400	0,3819075	0,4290242	0,6732970
760	0,7620121	0,5078844	0,7008722	0,2070024	0,5948193	0,0729918	0,3025926	0,6167175	0,0508395	0,2086305	0,6637532	0,1221179	0,5461095	0,4619305	0,6125231	0,7973126
780	0,7294714	0,6032415	0,7804437	0,1696986	0,6778425	0,0880764	0,3460442	0,7088915	0,0764625	0,3077028	0,5135501	0,2021334	0,5491224	0,4227165	0,4468214	0,8062925
800	0,7591807	0,5268616	0,7632482	0,1790848	0,6574988	0,1074075	0,4418445	0,6429319	0,0327196	0,2770358	0,7387299	0,3025466	0,5598880	0,4847982	0,4699459	0,6681741
820	0,5997989	0,5106465	0,7521316	0,1381457	0,6802239	0,1383102	0,3721346	0,7669162	0,0327650	0,2030009	0,7263448	0,3844552	0,5958759	0,5509760	0,4801161	0,6916605
840	0,7272498	0,4956967	0,6548496	0,1348388	0,7671614	0,1011397	0,3473275	0,7347482	0,0575929	0,2044894	0,6116031	0,3144529	0,6424649	0,3731317	0,4587851	0,7275512
860	0,8284606	0,3994658	0,7104764	0,0651329	0,6545490	0,1349693	0,4537938	0,8481429	0,0502799	0,2317587	0,6958929	0,3584773	0,6575842	0,4665395	0,4889992	0,6207129
880	0,6919287	0,4446679	0,7264301	0,0989783	0,6885319	0,1038014	0,3016921	0,8607547	0,0520718	0,2322914	0,6997960	0,4765539	0,6402278	0,3989643	0,5455998	0,6658226
900	0,6530909	0,4504769	0,7304520	0,0733065	0,6731860	0,1079589	0,3233542	0,6825093	0,0429662	0,1772797	0,6304078	0,5675397	0,6022174	0,4289995	0,4129499	0,4962673
920	0,7345543	0,5721409	0,8993748	0,1312698	0,6294507	0,0945972	0,2957154	0,7431496	0,0438659	0,2046609	0,6572235	0,4753880	0,6225416	0,4785134	0,5233811	0,5563280
