"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
420	1,0073362	0,6657014	0,8359950	0,2397861	1,0938049	0,1210637	0,4845647	0,9564696	0,4600566	0,3173051	0,9412587	0,0198681	0,9009649	0,6166711	0,7100673	1,0505483
440	1,0614335	0,6313946	0,8340736	0,2683745	1,0464455	0,1249230	0,4616029	0,9134558	0,4227673	0,3251021	0,9329133	0,0160470	0,8884525	0,6587354	0,7438412	1,0000874
460	1,0406101	0,6311730	0,9294906	0,2749060	1,0541560	0,1236442	0,4795419	0,9626590	0,4095356	0,3112130	0,9909602	0,0157374	0,8851725	0,5273766	0,7501384	1,0006109
480	1,0483289	0,6510413	0,8661746	0,2301298	0,9930868	0,1295108	0,5158836	1,0117811	0,4015094	0,3426831	0,9782416	0,0159650	0,9503740	0,6161703	0,7207925	0,9308760
500	0,9975041	0,6201152	0,8791419	0,2108488	1,0175078	0,1143711	0,5057906	0,9690566	0,4022919	0,3183483	0,8994133	0,0107760	0,9935695	0,6041544	0,7211945	0,9457985
520	1,0050503	0,6256427	0,8480165	0,2198656	1,0431588	0,1206909	0,4924346	0,9521265	0,4272153	0,3515604	0,9394130	0,0280345	0,9724425	0,6359871	0,7302945	0,8690697
540	1,0160217	0,6452086	0,8719005	0,2106520	1,0282426	0,0977192	0,4731417	0,9132237	0,3534048	0,3390368	0,9110713	0,0264584	0,9759540	0,5154746	0,7413379	0,9304831
560	1,0113305	0,6772152	0,8847902	0,2032147	1,0131957	0,1086733	0,4579132	0,9278942	0,3816816	0,2826239	0,9220245	0,0190617	0,9863967	0,6336036	0,7225994	1,0149386
580	1,0523066	0,6862539	0,9480059	0,2180062	1,0097822	0,0998637	0,5277009	0,8933935	0,3003488	0,2844137	0,8790232	0,1907613	0,8937818	0,6070001	0,7428815	0,9946136
600	1,0255370	0,6590300	0,9271463	0,2200388	1,0215552	0,1286428	0,5191338	0,9465626	0,2431235	0,2636084	0,9016072	0,4490280	0,9334680	0,6143652	0,7044084	1,0326442
620	0,9426831	0,7137853	0,9510255	0,2102633	0,9926218	0,1231976	0,5243749	0,9004615	0,1842093	0,2886252	0,9033155	0,5780405	0,9005902	0,6133403	0,7001954	1,0717949
640	0,9450286	0,7112247	0,9352730	0,1976070	0,9770595	0,1242089	0,5356058	0,9717024	0,1236123	0,3442625	0,9413747	0,5699106	0,8772841	0,6449926	0,6933572	1,0769713
660	0,9709610	0,6860114	1,0196961	0,1858304	0,9156645	0,1138079	0,5386662	0,9577141	0,1207069	0,3099656	0,9253761	0,4930292	0,9195452	0,6059269	0,6395105	1,0714834
680	0,9854764	0,6220532	0,9735468	0,1829001	0,9282760	0,1453538	0,5087775	0,9458708	0,0828611	0,2940717	0,9599711	0,6431621	0,8330892	0,6345859	0,6424283	0,9673129
700	1,0002683	0,6336728	1,0311041	0,1805325	0,9599188	0,1465036	0,4815991	1,0331649	0,0829019	0,3027342	1,0153287	0,6440988	0,8461378	0,6194526	0,6351743	0,9369643
720	0,9952079	0,6176828	0,9622253	0,1705005	1,0134716	0,1468945	0,4704573	1,0405726	0,0542447	0,3217301	0,9898852	0,6253880	0,9029623	0,5742271	0,6447693	0,9534231
740	1,0149473	0,6210715	0,9880375	0,1618198	1,0275533	0,1541705	0,4625342	0,9914702	0,0564363	0,3151071	0,9908291	0,7060737	0,8983954	0,5222185	0,6550637	0,9361958
760	1,0319305	0,6135765	1,0135583	0,1586277	1,0326864	0,1463399	0,4772665	0,9196023	0,0480754	0,2580160	0,9606400	0,7211221	0,9300610	0,5824177	0,6668823	0,9225034
780	1,0443758	0,6210760	1,0105349	0,1413223	1,0422213	0,1604672	0,4584312	0,8902787	0,0494082	0,2707694	0,9392467	0,6966265	0,9321694	0,6081201	0,6766218	0,9350235
800	0,9171561	0,6295586	1,0554656	0,1407889	1,0054357	0,1373784	0,4305910	0,9201313	0,0451685	0,2449337	0,9302130	0,6688628	0,9744603	0,5259784	0,6276813	0,9856131
820	0,9431709	0,6427541	1,0073815	0,1649020	1,0152695	0,1558214	0,4299426	0,9349839	0,0339230	0,2517663	0,9723685	0,6807779	0,8444033	0,5672990	0,5911337	1,0139343
840	0,9418371	0,6512138	1,0114733	0,1705061	1,0443025	0,1398360	0,4379004	0,9082653	0,0343167	0,2315017	0,9515080	0,7507212	0,8727384	0,5802649	0,5688022	0,9225266
860	0,9977728	0,6473193	1,0363393	0,1282071	1,0384207	0,1525982	0,4395811	0,9749511	0,0505948	0,2861710	0,9645210	0,7897702	0,8881218	0,6906644	0,5795160	0,9598101
880	1,0129423	0,7320789	1,0153810	0,1302347	1,0368735	0,1679919	0,4678008	0,9652100	0,0376439	0,2854352	0,9713848	0,8255076	0,8959071	0,5989174	0,7062947	0,9862628
900	0,9999200	0,6844092	1,0691341	0,1540892	1,0419319	0,1525323	0,4379939	0,9950961	0,0506322	0,3047451	0,9616328	0,7618045	0,8781777	0,6125166	0,6247414	0,9692106
920	0,9487319	0,7406989	1,0770604	0,1292016	1,1045137	0,1520946	0,4671592	0,9908533	0,0522016	0,2909505	0,9032364	0,7371000	0,8321167	0,6166610	0,6843837	0,9845495
940	0,8806053	0,7436893	1,1102316	0,1284464	1,0479475	0,1827707	0,4244491	1,0247633	0,0645599	0,2916515	0,9517450	0,7616845	0,8261257	0,5973884	0,6827227	0,9472373
960	0,9223157	0,7496317	1,0433705	0,1603196	1,0525740	0,1630255	0,4272777	1,0013391	0,0602514	0,3212928	0,9021506	0,7643033	0,9059225	0,6395903	0,7039613	0,9246185
980	0,9673749	0,7736636	0,9851267	0,1352090	1,0341260	0,1525782	0,4362178	1,0354856	0,0481985	0,2893864	0,9626813	0,7289508	0,9249622	0,6336568	0,7284692	1,0106378
1000	0,9916984	0,7689442	0,9709141	0,1595337	1,0387367	0,1322058	0,4661305	1,0531637	0,0488152	0,2847527	0,9280475	0,7345221	0,9730387	0,6504908	0,7301974	0,9821586
1020	0,9516971	0,7711985	0,9701178	0,1672894	1,0572380	0,1397188	0,4772247	0,9566183	0,0346244	0,2872362	0,9478491	0,8057759	0,9458082	0,6522275	0,7715379	0,9975025
1040	0,9962816	0,7264995	0,9624836	0,1445237	1,1001406	0,1445632	0,4217845	1,0241886	0,0414313	0,3123704	0,9271735	0,7509552	0,9303132	0,6953621	0,8002493	1,0482136
1060	0,9494309	0,6799379	0,9824629	0,1675836	1,0848281	0,1445342	0,4653949	1,0234579	0,0392651	0,3202360	0,9342884	0,6872585	0,9508996	0,6712001	0,8076452	0,9890246
1080	0,9421329	0,6356528	0,9635337	0,1617265	1,1028849	0,1567366	0,4876077	0,9926451	0,0492634	0,3142194	0,9344987	0,7484631	0,9740049	0,6921000	0,7778330	0,9587615
1100	0,9374568	0,6615694	0,9287548	0,1803072	1,0071587	0,1152186	0,4833747	0,9817791	0,0536737	0,2966718	0,9391875	0,7115859	0,9269170	0,6256057	0,7354816	0,9482999

0	0,9495417	0,7226693	0,9912528	0,1941632	0,9943825	0,1853249	0,4784452	0,9821780	0,0620586	0,3138165	0,9778598	0,5020032	0,9254312	0,6149285	0,7509496	1,0951863
20	0,9926899	0,7650035	0,6820322	0,1969642	0,9746217	0,1126785	0,4446951	0,5726041	0,1154943	0,3529134	0,9412446	0,5381111	0,8800138	0,5930399	0,6805822	0,9577410
40	0,9867746	0,7186889	0,5430793	0,2374454	0,9539239	0,1057282	0,4997945	0,2876193	0,1341262	0,3033224	0,9318102	0,5054728	0,8421265	0,5784051	0,7313262	0,9717349
60	0,9742186	0,7534845	0,4522827	0,3094839	0,9648828	0,0840644	0,4831615	0,1916262	0,1528919	0,3149878	0,9521174	0,4387733	0,8337118	0,7142934	0,7422473	0,9888233
80	1,0384336	0,6975895	0,4247756	0,3673198	0,9405411	0,0694812	0,5363816	0,1120422	0,2056501	0,3798267	0,9001058	0,3362254	0,7880376	0,6299313	0,7833943	1,0388517
100	0,9847299	0,6662876	0,3527368	0,4306725	0,9979444	0,0422653	0,5174876	0,0764405	0,2121150	0,4768820	0,9735699	0,2608558	0,7631290	0,6929388	0,7862585	1,0621894
120	0,9436350	0,6761372	0,3297866	0,4574037	1,0075213	0,0276782	0,4977007	0,0528423	0,2395465	0,5391859	0,8986378	0,2170641	0,7883543	0,6902342	0,7913813	1,0164401
140	0,9711146	0,6210419	0,3218665	0,4822491	0,9323767	0,0204046	0,4738037	0,0446340	0,2720395	0,5340314	0,9237269	0,1814645	0,8513760	0,6222345	0,7880729	1,0109498
160	1,0051771	0,5852231	0,3063619	0,5276049	1,0133347	0,0186240	0,4449820	0,0518601	0,2964616	0,5745388	0,8857074	0,1692385	0,8724022	0,6193512	0,7267242	0,9034927
180	0,9762196	0,5956963	0,3329966	0,5258675	1,0386258	0,0140672	0,4836042	0,0304158	0,3182577	0,6818826	0,8885696	0,1410657	0,8812547	0,6006676	0,6793795	0,9311037
200	0,9767935	0,6184906	0,3319298	0,5870776	1,0744773	0,0087637	0,5108242	0,0445255	0,3253905	0,7161400	0,8150091	0,1481489	0,8165288	0,6080559	0,7018157	0,9593362
220	1,0413592	0,6346041	0,3111793	0,6179265	1,0083517	0,0072364	0,5106014	0,0367782	0,3461760	0,7116877	0,8708865	0,1307732	0,7941581	0,6138870	0,7561451	0,9316115
240	1,0443092	0,5810343	0,2978042	0,6502010	0,9981128	0,0046215	0,4748682	0,0365795	0,3784029	0,7000003	0,9172720	0,0857086	0,7336477	0,6156182	0,6782616	0,9101647
260	0,9910792	0,5431141	0,3279339	0,6970463	1,0588350	0,0014711	0,4175070	0,0417457	0,4758768	0,7614696	0,8824674	0,0908590	0,7074942	0,5285412	0,7663870	0,8999157
280	0,9795444	0,5423654	0,3088973	0,7486501	0,9865209	0,0038069	0,4624099	0,0303966	0,4595542	0,7979191	0,8535724	0,0921610	0,7096520	0,5600717	0,7267288	0,9204336
300	1,0542788	0,5773071	0,3392855	0,7948832	1,0224732	0,0008155	0,4461257	0,0399816	0,4708980	0,6892674	0,8845857	0,0613590	0,6727818	0,5212148	0,6912463	0,9557867
320	1,0855695	0,5986421	0,3142584	0,7369345	1,0610439	0,0026040	0,4156298	0,0353053	0,4816568	0,7087980	0,8485496	0,0436583	0,6856660	0,6048676	0,6982403	0,9497572
340	1,1136606	0,5720549	0,3065647	0,6943102	1,0363946	0,0030046	0,4591713	0,0254472	0,4352898	0,7098653	0,8737337	0,0501682	0,6497871	0,5729629	0,6815564	0,9376928
360	1,1178922	0,5788623	0,3065515	0,7120892	0,9911379	0,0014384	0,4130381	0,0200421	0,4135840	0,6658032	0,9208715	0,0608313	0,6567652	0,5628399	0,6957818	0,9737210
380	1,0994222	0,5875832	0,3040850	0,6563094	1,0203146	0,0009270	0,4116694	0,0259855	0,4020443	0,7085668	0,9813425	0,0574391	0,6754858	0,6059364	0,7309940	0,9334357
400	1,0410983	0,5650312	0,2878262	0,6715538	1,0604510	0,0009329	0,4432156	0,0198182	0,4223500	0,7530471	1,0112897	0,0654036	0,6827893	0,6394966	0,7328408	0,9633068
420	1,0093799	0,5616522	0,2638787	0,6983180	1,0243472	0,0016577	0,4711253	0,0187090	0,4658059	0,7260686	0,9491656	0,0437449	0,6481495	0,5139327	0,6950280	0,9452759
440	1,0117298	0,5094834	0,3227926	0,7013387	1,0705075	0,0013350	0,5352195	0,0257033	0,5116587	0,8129247	0,9070930	0,0700661	0,5712498	0,5137960	0,6459494	0,9192475
460	1,0232643	0,4963879	0,3424481	0,6989687	1,0092765	0,0008373	0,4845579	0,0304180	0,5165057	0,8380350	0,9245289	0,0747671	0,6070883	0,5173577	0,5796294	0,9826274
480	1,0180549	0,5665864	0,3326967	0,6875538	1,0170630	0,0003763	0,4746628	0,0328093	0,5603374	0,8385507	0,9451748	0,0868383	0,6030374	0,4803236	0,4988825	0,9640290
500	1,0485165	0,5615385	0,3330235	0,6753529	1,0186046	0,0017841	0,4636813	0,0365519	0,5615832	0,7927702	0,9409982	0,0807085	0,6077679	0,4349119	0,5128823	0,9770590
520	1,0179216	0,4854898	0,3183935	0,6674983	1,0696322	0,0010704	0,4736793	0,0480475	0,5550365	0,8391434	0,8411559	0,0889568	0,7114338	0,4755427	0,4694095	0,9192373
540	1,0205629	0,4906661	0,3201640	0,7002409	1,0398664	0,0030244	0,4886373	0,0353533	0,5312694	0,8987753	0,9452665	0,0612511	0,7231475	0,4539812	0,5280942	0,8816826
