"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
760	0,6504331	0,5417247	0,6751213	0,2071873	0,5469684	0,0993665	0,3159600	0,6855283	0,1191951	0,2861753	0,6807694	0,1213276	0,5534233	0,4070153	0,4608955	0,7767932
780	0,6508272	0,5186121	0,8148802	0,1488341	0,6570005	0,0466691	0,3092417	0,7141026	0,0924057	0,1692408	0,6552337	0,2265966	0,5647945	0,3715731	0,5546647	0,9372056
800	0,6808891	0,4353172	0,7303896	0,1417986	0,6838540	0,0714546	0,3014017	0,6321606	0,0471385	0,2116631	0,7364848	0,2817285	0,5373156	0,4139751	0,4959425	0,8074578
820	0,7173265	0,5272176	0,7163177	0,1377896	0,7766978	0,1329490	0,3282141	0,7389077	0,0652941	0,2018884	0,6535640	0,2341808	0,4990328	0,5436968	0,4950234	0,7720022
840	0,7503379	0,4686341	0,6598050	0,1830893	0,6480089	0,1301520	0,3255888	0,8033190	0,0500537	0,2581952	0,6664000	0,2521011	0,5661816	0,5502026	0,6499865	0,7272515
860	0,7882757	0,3819053	0,6581466	0,1513348	0,6061397	0,1385140	0,2971435	0,7408067	0,0730451	0,1751326	0,5785467	0,2281215	0,5704264	0,4963382	0,4912444	0,7807909
880	0,8180928	0,4224945	0,8074546	0,0981366	0,7507489	0,2035242	0,3029163	0,7190113	0,0646927	0,2512635	0,6532097	0,3690041	0,5947209	0,4299042	0,5675402	0,6089105
900	0,7610461	0,4245575	0,8544843	0,1336095	0,7574174	0,1592939	0,2780770	0,6928360	0,0215540	0,2258697	0,6225749	0,4533948	0,6226082	0,4443510	0,4969509	0,6180973
920	0,8099417	0,5464746	0,7979353	0,1231470	0,7932706	0,0675226	0,3160656	0,7173846	0,0355353	0,2283280	0,6664273	0,3417261	0,7208179	0,4019113	0,4954410	0,6049200
940	0,9034590	0,5716461	0,6799104	0,1099317	0,7276855	0,1032246	0,3439709	0,7191164	0,0611181	0,2476897	0,7229326	0,4662065	0,6369019	0,4150781	0,5633861	0,6623486
960	0,8282359	0,5179278	0,7139253	0,0680539	0,7716044	0,0799135	0,2811971	0,6999082	0,0443704	0,2309356	0,5728320	0,5053716	0,7023858	0,4177818	0,4321746	0,6641812
980	0,7433929	0,5189453	0,7621716	0,0702467	0,7780403	0,0895663	0,5059147	0,7353288	0,0312503	0,1665151	0,5798768	0,5140030	0,6412828	0,4596671	0,4809661	0,6098496
1000	0,7416569	0,5748664	0,6757327	0,1196972	0,7056352	0,0950110	0,2971318	0,6940249	0,0682451	0,1842912	0,5886807	0,5893014	0,6642633	0,4268408	0,5022883	0,6591685
1020	0,7204711	0,5920691	0,7232933	0,1273505	0,6136126	0,1296103	0,3106819	0,6539203	0,0460749	0,2059856	0,5346268	0,5068188	0,6638013	0,3393037	0,6043634	0,5389337
1040	0,6471496	0,5650806	0,6850147	0,0899419	0,5856715	0,1325494	0,3766853	0,7210663	0,0526462	0,2359088	0,6869904	0,5620918	0,7727927	0,5388396	0,4969250	0,6861246
1060	0,7489852	0,4494833	0,6478402	0,1277860	0,6255344	0,1147373	0,3838320	0,6959206	0,0567703	0,2341417	0,7879923	0,4887723	0,7057734	0,3510823	0,5304458	0,7212256
1080	0,8291172	0,4482942	0,6145277	0,0897527	0,6793443	0,1602246	0,4319223	0,6841556	0,0462074	0,2477418	0,6999889	0,5090868	0,7681138	0,4121207	0,4076645	0,5431288
1100	0,6104623	0,4505052	0,7671579	0,0909888	0,7439364	0,1208088	0,4211860	0,5727602	0,0568015	0,2322556	0,5844362	0,6350347	0,6384625	0,4082384	0,4570513	0,6986830

0	0,5789187	0,5176582	0,7663584	0,1385534	0,7655032	0,1276052	0,3514922	0,7197914	0,0330716	0,2645086	0,7012751	0,4786668	0,5765696	0,4265225	0,4524241	0,8138507
20	0,6324352	0,5245890	0,7780779	0,1213284	0,7127153	0,0784126	0,3898872	0,6828725	0,0498849	0,2677912	0,6894173	0,2638072	0,6220653	0,5161049	0,6274390	0,6741193
40	0,6071116	0,5526708	0,7311944	0,1130219	0,6957904	0,0976775	0,3883022	0,8460099	0,1004577	0,2698858	0,7175475	0,2960171	0,6730446	0,5217790	0,4654297	0,5965884
60	0,8226163	0,4539521	0,5923647	0,0947102	0,6502310	0,1178439	0,4302524	0,7780741	0,0966688	0,2455950	0,5845321	0,2590756	0,5728764	0,4923999	0,4871385	0,6217779
80	0,7866584	0,4173357	0,6650726	0,1100065	0,6538911	0,1147077	0,3295359	0,8415252	0,1616087	0,2359880	0,6853759	0,1892897	0,6174151	0,4414399	0,5059393	0,6622496
100	0,6872592	0,4053513	0,7130476	0,2152857	0,6538771	0,0657891	0,3311316	0,8325663	0,1682654	0,1356150	0,7478268	0,0991881	0,5599782	0,4048343	0,5193566	0,6858988
120	0,8002214	0,4265339	0,7361660	0,1129117	0,8358958	0,0617586	0,2988966	0,7475719	0,2423893	0,2907707	0,6468636	0,0914893	0,6933966	0,4696304	0,5279920	0,7091553
140	0,6778720	0,4506701	0,6780533	0,0912189	0,7333105	0,0636106	0,2939935	0,7377544	0,2604452	0,1799120	0,7447659	0,0401714	0,7006394	0,3912066	0,4987163	0,6685308
160	0,7899731	0,5693089	0,6508387	0,1421553	0,8057340	0,1248947	0,3037278	0,7716101	0,3045713	0,1934705	0,5480296	0,0293722	0,6979452	0,4249924	0,4485868	0,6537594
180	0,6550542	0,5205655	0,6676021	0,1462077	0,7062474	0,0810847	0,3031255	0,7892564	0,2876579	0,2965431	0,5755029	0,0141647	0,6133799	0,3860666	0,5623918	0,5774514
200	0,7253896	0,5948958	0,6917979	0,1984674	0,7541793	0,0820863	0,3166694	0,6898411	0,3474105	0,2103330	0,6029071	0,0252621	0,6477822	0,4213288	0,6501635	0,6926170
220	0,6760900	0,5599613	0,5812455	0,1556371	0,7288037	0,0645358	0,3634421	0,7842270	0,2952099	0,2750488	0,6523390	0,0353482	0,6572478	0,4459355	0,4754148	0,7185444
240	0,6642545	0,5208116	0,6601632	0,2054795	0,7103401	0,0959678	0,2635689	0,6425170	0,3014978	0,2076316	0,6382857	0,0442831	0,6153908	0,5315820	0,4252732	0,6724158
260	0,6883437	0,5818630	0,6035631	0,1683964	0,6973988	0,0464011	0,3303692	0,6812117	0,2627666	0,3601515	0,6364099	0,0431585	0,6736879	0,3888789	0,5229173	0,6947706
280	0,7123338	0,3695515	0,5925938	0,1868440	0,7625613	0,0993580	0,3359856	0,7288343	0,2967412	0,2639849	0,5076693	0,0352893	0,6365307	0,4024353	0,5465504	0,7275579
300	0,7260630	0,4622195	0,6107767	0,1662061	0,7444569	0,0734087	0,2949278	0,7759658	0,3240896	0,1905147	0,5929532	0,0221906	0,7399292	0,5095116	0,5149932	0,6545239
320	0,7015381	0,5435549	0,5234338	0,1441693	0,8394866	0,0982764	0,2336378	0,6962636	0,2853716	0,2208327	0,6484720	0,0184779	0,6348044	0,4096172	0,5317286	0,7903193
340	0,6187451	0,4115601	0,5630036	0,1745428	0,6421413	0,0354177	0,2701976	0,7728410	0,2492457	0,2742557	0,6806039	0,0110114	0,7201967	0,4095942	0,5095667	0,6105072
360	0,6091736	0,4682032	0,6879270	0,1726289	0,5953350	0,0554874	0,2990961	0,7671555	0,2295447	0,1921431	0,6451310	0,0157674	0,7044194	0,4719028	0,5375171	0,7950274
380	0,6412815	0,5979631	0,5916170	0,1659597	0,8134804	0,0461401	0,3566818	0,7415766	0,3201960	0,2443924	0,6027630	0,0213449	0,6351013	0,4211210	0,5226621	0,6298336
400	0,7441266	0,4728469	0,5970820	0,2043049	0,8016591	0,0546325	0,3598543	0,7650900	0,3582521	0,2160777	0,6937069	0,0170890	0,7070211	0,4870009	0,5611684	0,7281304
420	0,6694743	0,5980404	0,6393787	0,2232573	0,6633882	0,0660922	0,3950916	0,7967891	0,3455712	0,2409073	0,6818674	0,0117907	0,7600492	0,3779756	0,5806947	0,7233698
440	0,7521123	0,5204757	0,6061490	0,1366841	0,6032208	0,0915893	0,3446394	0,6784167	0,3204899	0,1804035	0,6809719	0,0104443	0,7807635	0,4239412	0,5349924	0,6953587
460	0,6617616	0,5884950	0,7514525	0,1801985	0,6067152	0,1047876	0,3483274	0,6601736	0,3513530	0,2443426	0,7700611	0,0096100	0,6166297	0,3604786	0,5393118	0,6583874
480	0,7707722	0,4807046	0,5928575	0,2014684	0,7063266	0,0781015	0,4013768	0,7691266	0,3024605	0,2779782	0,7000159	0,0093723	0,6408621	0,4358150	0,5619952	0,7245796
500	0,7430661	0,4555857	0,5405981	0,1826649	0,7707179	0,1620103	0,3396794	0,7710249	0,3064542	0,2779943	0,6625549	0,0128694	0,6997671	0,3525472	0,5737830	0,7288889
520	0,8443920	0,4664247	0,5686342	0,1066636	0,6235027	0,0985320	0,3435071	0,6633079	0,2637703	0,1775868	0,5284804	0,0150257	0,6150384	0,3011459	0,5071809	0,7377136
