"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
100	0,7388336	0,4191998	0,6383894	0,1280132	0,5486603	0,8556324	0,8969857	0,2191375	0,4643735	0,4127591	0,9045101	0,3618859	0,4838219	0,5835308	0,4326312	0,0577208
120	0,7239131	0,4428957	0,6415826	0,1419407	0,6027195	0,8075801	0,9291934	0,1376056	0,3825884	0,3966352	0,8990800	0,3432282	0,5357304	0,6052280	0,4307876	0,0557522
140	0,6841544	0,4652152	0,6020596	0,1049442	0,6281601	0,8350782	0,9883052	0,1058300	0,3704123	0,3647677	0,8318154	0,3397890	0,5548868	0,6122090	0,4412891	0,0515726
160	0,6336241	0,4369973	0,6035373	0,0913486	0,7079429	0,7880269	1,0336468	0,0823375	0,3951281	0,3812880	0,7746453	0,3698074	0,5186213	0,6350724	0,4327704	0,0559508
180	0,5465473	0,3870335	0,6516378	0,1630085	0,7161622	0,8103866	1,0522675	0,0686755	0,3673943	0,3938030	0,7689774	0,3916702	0,4845706	0,6846286	0,4079239	0,0505312
200	0,5088656	0,3905212	0,6642178	0,1387761	0,7537424	0,8528714	0,9750333	0,0638137	0,3909119	0,4215151	0,7807969	0,3805896	0,5077346	0,6798534	0,3942738	0,0298894
220	0,5014847	0,4444662	0,6670699	0,1229033	0,8201213	0,8127614	1,0120808	0,0784527	0,3993082	0,4105121	0,8162014	0,3580408	0,4988814	0,7357661	0,4262958	0,0319560
240	0,5394078	0,4441761	0,6844949	0,1355293	0,7896823	0,7879768	1,0481408	0,0669394	0,4803728	0,3773477	0,8588720	0,3622812	0,5363309	0,7487989	0,4392100	0,0252509
260	0,5076909	0,4317086	0,6268554	0,1250117	0,8128461	0,7709186	1,0466656	0,0774243	0,4785631	0,3407373	0,8659962	0,4185203	0,5204885	0,7565743	0,4771769	0,0326613
280	0,5009986	0,4320441	0,5935357	0,0817971	0,7944709	0,7570471	1,0430374	0,0730533	0,4632006	0,3597869	0,8620794	0,4324335	0,5002185	0,7604104	0,4375572	0,0328254
300	0,4670742	0,4235719	0,6214618	0,1166443	0,7736568	0,8038217	1,0204638	0,0632183	0,4860650	0,4062104	0,8146713	0,4651632	0,5127800	0,7596027	0,4340748	0,0380181
320	0,5020911	0,4766362	0,6493390	0,1561393	0,8129635	0,8585547	1,0794318	0,0511834	0,5000715	0,4052522	0,8038467	0,4519110	0,5025934	0,6693433	0,4237944	0,0262171
340	0,4923917	0,4094167	0,6437404	0,1211415	0,8484536	0,8996929	1,0325023	0,0728579	0,4597039	0,3588852	0,8128861	0,3993105	0,5118482	0,6714232	0,4278104	0,0217795
360	0,5042084	0,3999858	0,5987282	0,1441690	0,9064936	0,9063200	1,0146820	0,0602529	0,4259680	0,3591623	0,8180854	0,4062980	0,4554671	0,6886664	0,4026862	0,0276360
380	0,4413607	0,4194693	0,5960513	0,1104940	0,9228831	0,8397025	0,9839284	0,0639907	0,4322265	0,3456878	0,8644449	0,4215505	0,4805115	0,6730802	0,4253305	0,0334517
400	0,4832612	0,3934037	0,6374287	0,1173780	1,0274289	0,8550060	0,9649438	0,0647910	0,4403023	0,3481984	0,8152570	0,3723860	0,4618996	0,6509795	0,4147194	0,0307714
420	0,4931020	0,4048017	0,6521578	0,1325333	0,9698923	0,8201702	0,9431384	0,0891788	0,4272121	0,3521984	0,8120347	0,3640724	0,4401187	0,6517917	0,4407548	0,0334846
440	0,4849241	0,4403330	0,6165657	0,1436728	0,9153806	0,8137916	0,9845491	0,0998768	0,4912358	0,3851722	0,8397074	0,3669773	0,4358882	0,7777264	0,3884412	0,0268630
460	0,4767567	0,3978253	0,6102451	0,1228057	0,9082329	0,7854997	1,0220362	0,1219242	0,4321336	0,4407493	0,8416210	0,3504652	0,4346468	0,7735962	0,4034550	0,0360736
480	0,4212033	0,4230704	0,6843817	0,1073521	0,9217897	0,7973238	0,9803905	0,1039581	0,4034346	0,4544816	0,8193292	0,3594128	0,4664548	0,6957550	0,3793507	0,0248353
500	0,4606764	0,4353685	0,6959289	0,1214342	0,8389817	0,8122184	0,9676453	0,0898893	0,4074330	0,4901045	0,9583456	0,3315921	0,4403648	0,6772140	0,4098911	0,0341090
520	0,4678579	0,3897061	0,6598736	0,1032166	0,9850024	0,7864568	0,9503138	0,0780143	0,4193756	0,4534235	0,9226934	0,3499317	0,4277724	0,7320992	0,3793403	0,0399752
540	0,4683149	0,4210152	0,6579139	0,1390290	1,0194417	0,7568058	0,9789793	0,0704751	0,4559349	0,4671141	0,8203976	0,3783468	0,4166508	0,7534313	0,3507771	0,0402437
560	0,4356999	0,4158576	0,6458581	0,1168768	0,9575652	0,7651896	0,9933244	0,0648120	0,4435213	0,4533164	0,7607999	0,3479297	0,4216073	0,7346915	0,3291956	0,0279567
580	0,4847301	0,3803852	0,6369226	0,1086462	0,9777681	0,7515008	1,0048543	0,1758584	0,5292107	0,3911202	0,7839578	0,3706800	0,4153975	0,6254049	0,3038412	0,0183248
600	0,5184621	0,3882872	0,5531662	0,1088336	0,9757905	0,7203618	1,0493375	0,3184255	0,6347693	0,3961872	0,7707645	0,3895411	0,4916569	0,5375158	0,3047461	0,0227156
620	0,5997863	0,3865328	0,5939776	0,1402194	1,0187317	0,7384401	1,0635570	0,4591238	0,7184187	0,3910826	0,7828143	0,4219351	0,4792056	0,4441750	0,3134466	0,0247734
640	0,6703001	0,4472971	0,6091851	0,1237104	0,8768313	0,7630325	1,0535548	0,5672464	0,7373216	0,4040581	0,8431929	0,4638853	0,5164082	0,3807159	0,3484743	0,0278787
660	0,7667207	0,4348998	0,6645843	0,1367343	0,8343684	0,7574059	1,0606102	0,6542973	0,8167740	0,4245074	0,8428573	0,4261875	0,4806033	0,3318357	0,3334869	0,0285798
680	0,8417478	0,4068587	0,6298359	0,1288369	0,7699164	0,7676634	1,0700002	0,7297587	0,7955382	0,4296887	0,8196590	0,4182690	0,5594612	0,3226959	0,3530369	0,0255445
700	0,8738928	0,4767323	0,6150029	0,1183917	0,7316438	0,8225944	1,0875872	0,7847200	0,7552856	0,4321383	0,7835618	0,4462110	0,4956523	0,2994128	0,3694597	0,0101236
720	0,8698270	0,4291020	0,5944266	0,1453893	0,6920732	0,7927576	1,0614719	0,7813715	0,7924323	0,4289040	0,8243250	0,4346431	0,5005154	0,3248370	0,4015152	0,0139077
740	0,9320739	0,4045857	0,6015209	0,1048179	0,6741979	0,7632225	1,0724397	0,7952903	0,7802408	0,4274618	0,8471457	0,4061407	0,4380126	0,3306620	0,4172876	0,0134333
760	0,9530982	0,3694600	0,6522071	0,1211863	0,6480281	0,7571062	1,0477968	0,7406780	0,7590349	0,4305719	0,9139072	0,4473256	0,4258726	0,3488131	0,4153750	0,0157468
780	0,9483718	0,4019375	0,6020803	0,1289053	0,6422978	0,7568008	1,0744711	0,7810963	0,6935748	0,4006855	0,9289876	0,4425378	0,4043204	0,3232521	0,3924589	0,0233461
800	0,9774912	0,4370929	0,6143998	0,1036258	0,6094325	0,7775072	1,0318096	0,7564683	0,7392949	0,3826442	0,9136061	0,3923425	0,4077055	0,3579712	0,4390894	0,0179088
