"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
800	0,2225206	1,0000000	0,4385789	0,3666935	0,0000320	0,4904172	0,0163305	0,0355394	0,1101167	0,4436188	0,1327837	0,3335520	0,0187721	0,0021489	0,0149033	0,0886094
820	0,2225206	1,0000000	0,4386044	0,3666935	0,0000320	0,4904172	0,0154015	0,0355394	0,1037978	0,4436188	0,1325921	0,3335520	0,0187721	0,0013297	0,0149033	0,0894248
840	0,2225206	1,0000000	0,4386177	0,3666935	0,0000320	0,4904172	0,0148440	0,0355394	0,0993824	0,4436188	0,1324655	0,3335520	0,0187721	0,0008325	0,0149033	0,0899868
860	0,2225206	1,0000000	0,4386221	0,3666935	0,0000320	0,4904172	0,0145105	0,0355394	0,0963139	0,4436188	0,1323822	0,3335520	0,0187721	0,0005323	0,0149033	0,0903724
880	0,2225206	1,0000000	0,4386222	0,3666935	0,0000320	0,4904172	0,0143116	0,0355394	0,0941916	0,4436188	0,1323277	0,3335520	0,0187721	0,0003517	0,0149033	0,0906358
900	0,2225206	1,0000000	0,4386210	0,3666935	0,0000320	0,4904172	0,0141932	0,0355394	0,0927297	0,4436188	0,1322922	0,3335520	0,0187721	0,0002435	0,0149033	0,0908151
920	0,2225206	1,0000000	0,4386199	0,3666935	0,0000320	0,4904172	0,0141228	0,0355394	0,0917265	0,4436188	0,1322691	0,3335520	0,0187721	0,0001789	0,0149033	0,0909367
940	0,2225206	1,0000000	0,4386193	0,3666935	0,0000320	0,4904172	0,0140811	0,0355394	0,0910402	0,4436188	0,1322542	0,3335520	0,0187721	0,0001404	0,0149033	0,0910190
960	0,2225206	1,0000000	0,4386191	0,3666935	0,0000320	0,4904172	0,0140563	0,0355394	0,0905721	0,4436188	0,1322445	0,3335520	0,0187721	0,0001175	0,0149033	0,0910746
980	0,2225206	1,0000000	0,4386191	0,3666935	0,0000320	0,4904172	0,0140417	0,0355394	0,0902536	0,4436188	0,1322383	0,3335520	0,0187721	0,0001039	0,0149033	0,0911120
1000	0,2225206	1,0000000	0,4386191	0,3666935	0,0000320	0,4904172	0,0140330	0,0355394	0,0900375	0,4436188	0,1322343	0,3335520	0,0187721	0,0000959	0,0149033	0,0911372
1020	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140279	0,0355394	0,0898911	0,4436188	0,1322318	0,3335520	0,0187721	0,0000911	0,0149033	0,0911541
1040	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140249	0,0355394	0,0897921	0,4436188	0,1322301	0,3335520	0,0187721	0,0000883	0,0149033	0,0911654
1060	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140231	0,0355394	0,0897254	0,4436188	0,1322291	0,3335520	0,0187721	0,0000866	0,0149033	0,0911730
1080	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140220	0,0355394	0,0896804	0,4436188	0,1322284	0,3335520	0,0187721	0,0000857	0,0149033	0,0911780
1100	0,2225206	1,0000000	0,4386192	0,3666935	0,0000320	0,4904172	0,0140214	0,0355394	0,0896501	0,4436188	0,1322280	0,3335520	0,0187721	0,0000851	0,0149033	0,0911814

0	0,2225206	1,0000000	0,4386192	0,3666939	0,0000472	0,4904199	0,0140205	0,0355394	0,0896105	0,4436188	0,1322287	0,3335990	0,0187759	0,0000843	0,0149414	0,0912592
20	0,2225206	1,0000000	0,4386192	0,3666938	0,0000419	0,4904190	0,0140205	0,0355394	0,0875236	0,3924935	0,1322282	0,3335850	0,0294505	0,0000843	0,0237809	0,0912357
40	0,2225206	1,0000000	0,4386192	0,3666937	0,0000363	0,4904184	0,0140205	0,0355394	0,0832742	0,3051464	0,1322278	0,3335751	0,0520535	0,0000843	0,0415424	0,0912199
60	0,2225206	1,0000000	0,4386192	0,3666936	0,0000310	0,4904180	0,0140205	0,0355394	0,0786517	0,2271514	0,1322276	0,3335682	0,0777635	0,0000843	0,0605257	0,0912093
80	0,2225206	1,0000000	0,4386192	0,3666936	0,0000266	0,4904177	0,0140205	0,0355394	0,0744505	0,1691169	0,1322275	0,3335633	0,1022889	0,0000843	0,0774664	0,0912023
100	0,2225206	1,0000000	0,4386192	0,3666935	0,0000229	0,4904175	0,0140205	0,0355394	0,0709501	0,1295548	0,1322274	0,3335599	0,1238130	0,0000843	0,0913229	0,0911976
120	0,2225206	1,0000000	0,4386192	0,3666935	0,0000200	0,4904174	0,0140205	0,0355394	0,0681797	0,1039400	0,1322273	0,3335576	0,1418184	0,0000843	0,1020872	0,0911944
140	0,2225206	1,0000000	0,4386192	0,3666935	0,0000178	0,4904173	0,0140205	0,0355394	0,0660604	0,0879088	0,1322273	0,3335559	0,1564256	0,0000843	0,1101692	0,0911923
160	0,2225206	1,0000000	0,4386192	0,3666935	0,0000160	0,4904173	0,0140205	0,0355394	0,0644779	0,0781135	0,1322272	0,3335547	0,1680307	0,0000843	0,1160918	0,0911909
180	0,2225206	1,0000000	0,4386192	0,3666935	0,0000147	0,4904173	0,0140205	0,0355394	0,0633173	0,0722343	0,1322272	0,3335539	0,1771144	0,0000843	0,1203542	0,0911900
200	0,2225206	1,0000000	0,4386192	0,3666935	0,0000137	0,4904172	0,0140205	0,0355394	0,0624780	0,0687538	0,1322272	0,3335533	0,1841471	0,0000843	0,1233788	0,0911894
