"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
180	0,7040699	0,3196912	0,3422716	0,5410450	0,6789564	0,2149746	0,8115667	0,4758660	0,6127111	0,9783528	0,7079394	0,1901129	0,7772415	0,2486216	0,8102850	0,2896207
200	0,6627860	0,3301145	0,3936545	0,5614735	0,7317136	0,2173583	0,8675969	0,5394504	0,5743851	0,9888823	0,7286850	0,1874929	0,8354180	0,2412484	0,8160167	0,2799679
220	0,7458826	0,3871762	0,4225603	0,6404398	0,7284623	0,2376566	0,8127454	0,5283196	0,5309879	0,9901282	0,7039585	0,1671422	0,8077990	0,1953665	0,7550838	0,2923233
240	0,6947290	0,3724707	0,3504890	0,7108546	0,7275352	0,2747142	0,7676021	0,5691711	0,6041619	0,9177519	0,7548798	0,1783825	0,7572348	0,2475565	0,7335054	0,3400382
260	0,7201433	0,3794407	0,3155973	0,7238990	0,7514629	0,2743609	0,7686002	0,5556225	0,6822738	0,9209596	0,7702683	0,1577582	0,7188935	0,2795773	0,7288744	0,3271063
280	0,7745411	0,3461274	0,3988322	0,6610449	0,7475766	0,2673772	0,7880488	0,5836942	0,6560328	0,9640850	0,7229912	0,1572362	0,6839518	0,2775468	0,7645194	0,3162642
300	0,7772580	0,3618716	0,4120472	0,6689518	0,7218949	0,2044041	0,7447648	0,6069025	0,6375510	1,0612829	0,6728433	0,1553152	0,6464943	0,2523368	0,7187179	0,3170888
320	0,6986766	0,3893113	0,4105989	0,6738454	0,7518265	0,2270294	0,7513755	0,6129736	0,5955297	0,9905590	0,7358134	0,1366826	0,6341739	0,2408897	0,7224870	0,2980821
340	0,7187608	0,3822621	0,3183378	0,6909304	0,6988433	0,2714187	0,7416349	0,6124342	0,6469635	1,0219242	0,7727012	0,1186884	0,6680794	0,2410180	0,6560769	0,3027059
360	0,7411360	0,3352269	0,3342692	0,6926951	0,7196702	0,2641590	0,8013573	0,6374795	0,6390895	0,9903321	0,7373680	0,1100304	0,6870888	0,2384789	0,7111540	0,2561441
380	0,7227518	0,3225591	0,3560935	0,6574711	0,7105916	0,2125121	0,8300137	0,6105362	0,6487513	1,0365968	0,7067961	0,1123413	0,7473273	0,2889298	0,7302395	0,2875530
400	0,6952565	0,2901657	0,3877012	0,6061868	0,7140551	0,2359372	0,7971874	0,5587448	0,6549111	0,9775324	0,7291069	0,1450325	0,8241133	0,2841938	0,7361714	0,3027590
420	0,7723906	0,3013197	0,3015863	0,5817170	0,6918832	0,2118787	0,8092577	0,5753988	0,6928550	0,9858801	0,6662670	0,1402408	0,7744100	0,2766463	0,7215645	0,3012750
440	0,6775434	0,2734872	0,3162845	0,5785888	0,7155644	0,1912250	0,7514505	0,5956793	0,6996855	0,9901254	0,7144821	0,1429253	0,7923131	0,3098175	0,6928965	0,2866294
460	0,6222051	0,2916640	0,3245602	0,5939294	0,7337799	0,1912317	0,7396767	0,5605957	0,6651571	1,0271656	0,7843560	0,1734224	0,7724534	0,2464198	0,7021868	0,2675301
480	0,6432084	0,2553542	0,3037672	0,5208396	0,7673365	0,2227140	0,7658828	0,5494970	0,6267279	0,9873639	0,7859679	0,1556866	0,7699788	0,1969546	0,7420717	0,2583819
