"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
740	0,8280626	0,5851846	0,4956118	0,4445658	0,9419182	0,4872221	0,7427881	0,4552603	0,5607170	0,9841569	0,2871479	0,0588893	0,0336171	0,3410412	0,2392280	0,3220782
760	0,8440536	0,5758523	0,4820313	0,4101046	0,9580229	0,4156672	0,7350854	0,4196194	0,5325006	0,9901650	0,2749672	0,0475735	0,0233562	0,3341140	0,2225817	0,3160748
780	0,8555905	0,5696765	0,4709351	0,3810588	0,9697589	0,3617774	0,7331414	0,3952251	0,5049734	0,9939233	0,2628415	0,0401501	0,0164883	0,3271123	0,2068097	0,3104285
800	0,8638557	0,5658500	0,4621755	0,3573159	0,9782665	0,3222330	0,7341894	0,3791483	0,4792870	0,9962514	0,2514743	0,0353576	0,0119326	0,3204642	0,1926148	0,3051371
820	0,8697524	0,5635258	0,4554323	0,3383617	0,9844094	0,2936139	0,7364165	0,3689078	0,4561707	0,9976811	0,2413145	0,0323002	0,0089310	0,3144515	0,1803584	0,3002658
840	0,8739496	0,5620812	0,4503378	0,3235095	0,9888319	0,2730284	0,7388202	0,3625971	0,4359894	0,9985524	0,2325782	0,0303658	0,0069635	0,3092218	0,1701254	0,2958790
860	0,8769337	0,5611333	0,4465430	0,3120440	0,9920086	0,2582521	0,7409478	0,3588462	0,4188202	0,9990796	0,2253006	0,0291487	0,0056788	0,3048163	0,1618123	0,2920135
880	0,8790544	0,5604723	0,4437465	0,3032994	0,9942864	0,2476524	0,7426612	0,3567169	0,4045340	0,9993964	0,2193948	0,0283858	0,0048424	0,3012025	0,1552083	0,2886741
900	0,8805616	0,5599908	0,4417025	0,2966960	0,9959176	0,2400546	0,7439731	0,3555884	0,3928718	0,9995854	0,2147056	0,0279090	0,0042991	0,2983032	0,1500575	0,2858390
920	0,8816328	0,5596334	0,4402178	0,2917504	0,9970846	0,2346168	0,7449509	0,3550602	0,3835079	0,9996974	0,2110494	0,0276117	0,0039466	0,2960204	0,1461006	0,2834681
940	0,8823946	0,5593682	0,4391445	0,2880718	0,9979187	0,2307336	0,7456701	0,3548790	0,3760961	0,9997632	0,2082415	0,0274269	0,0037183	0,2942510	0,1430990	0,2815111
960	0,8829365	0,5591736	0,4383714	0,2853516	0,9985147	0,2279677	0,7461961	0,3548877	0,3703021	0,9998015	0,2061124	0,0273125	0,0035704	0,2928979	0,1408458	0,2799138
980	0,8833221	0,5590327	0,4378161	0,2833498	0,9989402	0,2260026	0,7465798	0,3549909	0,3658213	0,9998236	0,2045151	0,0272418	0,0034747	0,2918747	0,1391690	0,2786229
