"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
80	1,0000000	0,5385552	0,2358792	0,9146012	0,3440370	0,7902305	0,4966579	0,8153052	0,2778240	0,6107317	0,3643295	0,4809345	0,0680092	0,1694403	0,1626214	0,0401952
100	1,0000000	0,5385560	0,2358787	0,9146011	0,3440369	0,8024567	0,5112717	0,8571002	0,2778227	0,6408551	0,3643299	0,5311980	0,0488067	0,1694405	0,1626191	0,0401948
120	1,0000000	0,5385563	0,2358784	0,9146011	0,3440369	0,8086783	0,5183373	0,8821248	0,2778218	0,6587918	0,3643301	0,5680697	0,0375183	0,1694405	0,1626174	0,0401945
140	1,0000000	0,5385564	0,2358783	0,9146011	0,3440369	0,8118443	0,5217535	0,8971083	0,2778213	0,6694721	0,3643302	0,5951175	0,0308824	0,1694406	0,1626163	0,0401943
160	1,0000000	0,5385563	0,2358783	0,9146011	0,3440369	0,8134555	0,5234051	0,9060796	0,2778209	0,6758316	0,3643302	0,6149589	0,0269814	0,1694405	0,1626155	0,0401942
180	1,0000000	0,5385563	0,2358783	0,9146011	0,3440369	0,8142753	0,5242036	0,9114512	0,2778206	0,6796184	0,3643302	0,6295139	0,0246881	0,1694405	0,1626149	0,0401941
200	1,0000000	0,5385562	0,2358783	0,9146011	0,3440369	0,8146925	0,5245897	0,9146674	0,2778205	0,6818731	0,3643301	0,6401910	0,0233401	0,1694405	0,1626144	0,0401940
220	1,0000000	0,5385561	0,2358783	0,9146011	0,3440369	0,8149048	0,5247764	0,9165931	0,2778204	0,6832157	0,3643301	0,6480233	0,0225476	0,1694405	0,1626141	0,0401940
240	1,0000000	0,5385561	0,2358783	0,9146011	0,3440369	0,8150129	0,5248667	0,9177462	0,2778203	0,6840152	0,3643301	0,6537688	0,0220817	0,1694405	0,1626139	0,0401940
260	1,0000000	0,5385561	0,2358783	0,9146011	0,3440369	0,8150678	0,5249103	0,9184365	0,2778202	0,6844912	0,3643300	0,6579836	0,0218078	0,1694405	0,1626138	0,0401939
280	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8150958	0,5249314	0,9188499	0,2778202	0,6847746	0,3643300	0,6610753	0,0216468	0,1694405	0,1626137	0,0401939
300	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151101	0,5249416	0,9190974	0,2778202	0,6849434	0,3643300	0,6633434	0,0215522	0,1694405	0,1626136	0,0401939
320	1,0000000	0,5385561	0,2358784	0,9146011	0,3440369	0,8151173	0,5249465	0,9192456	0,2778202	0,6850439	0,3643300	0,6650071	0,0214966	0,1694405	0,1626136	0,0401939
