"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
280	0,7197168	0,0430632	0,3562367	0,1842466	0,7430264	0,7870243	0,8597967	0,7527948	0,2231297	0,0528051	0,0531969	0,2267174	0,0098334	0,2217490	0,1081003	0,2050271
300	0,6640669	0,0546544	0,3744049	0,2105136	0,8223463	0,7755455	0,6671846	0,6583661	0,2508314	0,0696062	0,0554175	0,2199867	0,0015648	0,2234169	0,1331769	0,1965361
320	0,7636075	0,0648860	0,3727941	0,1624137	0,8527592	0,8039093	0,7242920	0,7855538	0,2082369	0,0833890	0,0787860	0,3079935	0,0074289	0,2551166	0,0859920	0,2201917
340	0,6023467	0,0542446	0,3639600	0,1767784	0,8612231	0,6394486	0,8044169	0,8521308	0,2580669	0,0524422	0,0605220	0,3297596	0,0006778	0,1888696	0,0761605	0,2156293
360	0,6252125	0,0089436	0,4109147	0,1538946	0,7794062	0,7283947	0,7679663	0,6874825	0,2389147	0,0447290	0,0684052	0,2189457	0,0051848	0,2141745	0,0859372	0,2203236
380	0,6554692	0,0164060	0,3093450	0,1582734	0,7712260	0,7266598	0,7050430	0,7729824	0,2134685	0,0323656	0,0573465	0,2470773	0,0191483	0,2298855	0,0716949	0,1742473
400	0,4924649	0,0499039	0,3333638	0,2162548	0,7638098	0,7402799	0,8002770	0,8073981	0,1469427	0,0365749	0,0549427	0,2395568	0,0359461	0,1800592	0,0922275	0,2326027
420	0,6721551	0,0505956	0,4390559	0,2548960	0,7930552	0,7189344	0,7129997	0,8645904	0,1914981	0,0377105	0,0357530	0,2470053	0,0135903	0,1782179	0,0975325	0,2001863
440	0,5709040	0,0277803	0,4500329	0,1653222	0,7021462	0,7562426	0,8616322	0,7567048	0,3440237	0,0467752	0,0287418	0,2180881	0,0041889	0,1507980	0,1231641	0,2419694
460	0,7158620	0,0576943	0,4916852	0,2059806	0,6236195	0,7831878	0,7824851	0,7351230	0,1797241	0,0738991	0,0185861	0,2742153	0,0036764	0,2366820	0,1130554	0,2189918
480	0,5722509	0,0634958	0,4615461	0,1824564	0,6791698	0,7486217	0,7971401	0,7879891	0,1906259	0,0503885	0,0500882	0,1651609	0,0063970	0,1952371	0,1271825	0,2223643
500	0,7035557	0,0591405	0,4220038	0,2528406	0,8839548	0,6615411	0,6482819	0,6822365	0,2720469	0,0423574	0,0517650	0,2301215	0,0091296	0,2399447	0,1335343	0,2839226
520	0,6664897	0,0447583	0,3269707	0,2416714	0,7783057	0,7405726	0,8059637	0,7527239	0,2631794	0,0275813	0,0767160	0,2869093	0,0075243	0,2175750	0,1031147	0,2533890
540	0,8089628	0,0212246	0,2860748	0,2111504	0,6404378	0,7452891	0,7874652	0,7643708	0,2982505	0,0392736	0,0818521	0,3555403	0,0061407	0,3204671	0,1306183	0,2569685
