"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
680	0,6094652	0,5770366	0,2242386	0,9166434	0,9293372	0,9118263	0,1084862	0,5499850	0,9516295	0,5612081	0,9707227	0,9809315	0,1581768	0,7890118	0,5462670	0,9935441	0,8340188	0,8313131	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,7677502	0,5147052	0,3219203	0,6320954	0,5059088	0,5831013	0,4776067
700	0,6094652	0,5770366	0,2242386	0,9159691	0,9294637	0,9366189	0,1084862	0,5732058	0,9251226	0,5870014	0,9716086	0,9814354	0,1631380	0,7968764	0,5607996	0,9936261	0,8350995	0,8435750	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,8237209	0,5286399	0,3804487	0,6365756	0,6113926	0,6201611	0,4940850
720	0,6094652	0,5770366	0,2242386	0,9155057	0,9306350	0,9549218	0,1084862	0,5883282	0,8978688	0,6128885	0,9725333	0,9819389	0,1678484	0,8039567	0,5739578	0,9937647	0,8357764	0,8497440	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,8658234	0,5405139	0,4382770	0,6445231	0,6991377	0,6512427	0,5079634
740	0,6094652	0,5770366	0,2242386	0,9151881	0,9321928	0,9682081	0,1084862	0,5980017	0,8726706	0,6376010	0,9734213	0,9824154	0,1720975	0,8100214	0,5852594	0,9939183	0,8361933	0,8527943	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,8969295	0,5501141	0,4922535	0,6541500	0,7692183	0,6760671	0,5193271
760	0,6094652	0,5770366	0,2242386	0,9149709	0,9337702	0,9777301	0,1084862	0,6041047	0,8511243	0,6603435	0,9742230	0,9828491	0,1757829	0,8150237	0,5945864	0,9940644	0,8364468	0,8542827	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9195934	0,5575603	0,5406335	0,6642805	0,8236066	0,6952035	0,5283531
780	0,6094652	0,5770366	0,2242386	0,9148224	0,9351887	0,9844864	0,1084862	0,6079130	0,8337537	0,6806986	0,9749134	0,9832319	0,1788820	0,8190300	0,6020487	0,9941924	0,8365994	0,8550015	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9359237	0,5631466	0,5827074	0,6741732	0,8649387	0,7095666	0,5353170
800	0,6094652	0,5770366	0,2242386	0,9147209	0,9363809	0,9892424	0,1084862	0,6102683	0,8203703	0,6985258	0,9754865	0,9835618	0,1814234	0,8221642	0,6078739	0,9942990	0,8366906	0,8553457	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9475841	0,5672252	0,6184550	0,6833925	0,8958579	0,7201252	0,5405505
820	0,6094652	0,5770366	0,2242386	0,9146516	0,9373402	0,9925689	0,1084862	0,6117142	0,8104198	0,7138722	0,9759484	0,9838404	0,1834649	0,8245696	0,6123315	0,9943846	0,8367447	0,8555095	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9558475	0,5701371	0,6482726	0,6917132	0,9187125	0,7277591	0,5443934
840	0,6094652	0,5770366	0,2242386	0,9146043	0,9380887	0,9948832	0,1084862	0,6125964	0,8032294	0,7269015	0,9763120	0,9840716	0,1850767	0,8263867	0,6156872	0,9944517	0,8367766	0,8555869	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9616664	0,5721771	0,6727758	0,6990502	0,9354527	0,7332039	0,5471586
860	0,6094652	0,5770366	0,2242386	0,9145719	0,9386596	0,9964863	0,1084862	0,6131317	0,7981527	0,7378405	0,9765928	0,9842606	0,1863304	0,8277412	0,6181793	0,9945032	0,8367954	0,8556234	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9657417	0,5735838	0,6926665	0,7054074	0,9476303	0,7370435	0,5491138
880	0,6094652	0,5770366	0,2242386	0,9145498	0,9390876	0,9975928	0,1084862	0,6134552	0,7946362	0,7469416	0,9768061	0,9844132	0,1872935	0,8287395	0,6200087	0,9945421	0,8368064	0,8556405	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9685824	0,5745405	0,7086492	0,7108412	0,9564444	0,7397253	0,5504752
