"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
560	0,4537895	0,2271310	0,4734793	0,6575922	0,7974457	0,7966169	0,7436141	0,5487599	0,5927567	0,7275046	0,9626238	0,8413176	0,8922251	1,0457062	0,8815371	0,5890760	0,4186386	0,6763291	0,0567236	0,2745505	0,6754423	0,4568475	0,0063380	0,1599400	0,5784506	0,1537588	0,7323042	0,2057388	0,1311659	1,0097125	0,8728747	0,1171388
580	0,4423990	0,1906227	0,4405221	0,6410774	0,7062587	0,7970514	0,7541715	0,6364017	0,6592366	0,6908711	0,9610757	0,9002656	0,8541698	1,0364108	0,8769034	0,5976362	0,3905810	0,6206403	0,1359454	0,2973190	0,6569994	0,3783520	0,0017054	0,1611254	0,6452029	0,1713259	0,7427507	0,2316288	0,1402201	1,0516615	0,8614613	0,2328308
600	0,4205073	0,1700345	0,4247005	0,6350138	0,7105023	0,8143980	0,8021767	0,6928265	0,6232107	0,6117924	0,9153866	0,8376124	0,8026994	1,0784707	0,7832676	0,5334509	0,3590617	0,5471668	0,3265062	0,2853437	0,5848966	0,4228157	0,0035824	0,1673963	0,6199908	0,2416817	0,7298783	0,2716757	0,1687761	1,0081785	0,8037082	0,4006252
620	0,4823140	0,1528850	0,4593017	0,5897877	0,7249260	0,9002005	0,7834509	0,7443070	0,5269592	0,6862405	0,9116388	0,7431947	0,7217409	0,9876858	0,8281765	0,5631745	0,3469184	0,4465726	0,5307348	0,2920975	0,5443731	0,3669048	0,0073225	0,1711463	0,6261658	0,2744186	0,7431306	0,2564181	0,1667219	1,0000696	0,7730106	0,6481910
640	0,4688896	0,1539139	0,5548717	0,5889069	0,6889506	1,0157859	0,7601261	0,7333694	0,5282394	0,7542733	0,9355659	0,7599728	0,6775466	1,0019349	0,8831668	0,5615611	0,3976409	0,3598148	0,6889983	0,3139399	0,4455701	0,3760876	0,0050622	0,1565549	0,6368136	0,3175761	0,7350694	0,2932674	0,1515198	0,9990591	0,9045896	0,8396617
660	0,4091660	0,1692643	0,5082952	0,6033250	0,6847351	1,0965983	0,8077415	0,7439654	0,5176161	0,7775460	0,9593582	0,7794798	0,6673619	1,0248896	0,8519510	0,5224509	0,3524841	0,2926252	0,7565254	0,3048714	0,4401840	0,3979556	0,0104052	0,1973305	0,6519828	0,3752926	0,6817165	0,3263351	0,1633988	0,9924813	0,8566508	0,9545244
680	0,4879989	0,1551405	0,4656955	0,6554859	0,7805590	1,0710484	0,8137622	0,6931068	0,5066957	0,7961279	0,9427264	0,8332971	0,6770697	1,0856212	0,8030873	0,6032673	0,3330233	0,2130779	0,8636930	0,2807079	0,4198919	0,3526552	0,0106923	0,1876160	0,6536807	0,4068254	0,6873151	0,3918989	0,1954133	0,9190975	0,8216416	0,9175984
700	0,5142725	0,1639819	0,4767444	0,6258473	0,7815494	1,0188197	0,8201294	0,7548701	0,5379427	0,8408874	0,9730093	0,8101829	0,6931210	1,1230847	0,8599827	0,5778891	0,3524905	0,1866733	0,9342607	0,2719125	0,4173121	0,3818399	0,0120775	0,1547324	0,6275167	0,4600994	0,7272536	0,3483138	0,1927163	0,9433836	0,8287831	1,0075032
720	0,5167205	0,1833373	0,4576481	0,6353758	0,8276606	1,0033011	0,8497816	0,8438938	0,5047437	0,8489182	1,0645381	0,8304948	0,6556630	1,0336615	0,8506417	0,5851801	0,3625920	0,1541123	0,9387259	0,3131616	0,4717555	0,4077775	0,0095547	0,1579838	0,5560623	0,4742526	0,7603802	0,3487419	0,2210290	0,9376452	0,7994859	0,9540702
740	0,4713057	0,1738717	0,4729889	0,6549204	0,8281824	0,9972701	0,8114185	0,7945331	0,4741184	0,8557820	1,1261413	0,8514768	0,6683791	0,9905369	0,7961508	0,5595517	0,3849357	0,1431463	0,9117997	0,2754413	0,4592335	0,5017428	0,0049198	0,1540666	0,5649823	0,4875299	0,7442940	0,3935628	0,1954202	0,9071734	0,7430726	1,0079705
