"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
760	0,4475273	0,6356436	0,6364269	0,6448092	0,8286475	0,1838601	0,4760488	0,4676238	0,7495124	0,7017525	0,0367959	0,5945739	0,1669014	0,2466691	0,8219113	0,7567691	0,2937264	0,6684277	0,6510373	0,1662523	0,5460945	0,2961035	0,4103210	0,6482827	0,5597290	0,6294504	0,3747309	0,6086210	0,4590774	0,5720024	0,7573913	0,3156105
780	0,5054181	0,6369455	0,5414176	0,4972690	0,6774035	0,1787036	0,4573392	0,4119201	0,6638795	0,6906355	0,0626024	0,6106252	0,1890920	0,2623752	0,6105852	0,6166292	0,1943195	0,5972765	0,5793983	0,1919336	0,5425832	0,2987819	0,3973347	0,7128531	0,4423974	0,8685620	0,2724477	0,7530282	0,3809635	0,6036047	0,6597677	0,3983631
800	0,3677569	0,7179856	0,5322024	0,7026812	0,7727619	0,2030035	0,4402995	0,4951649	0,5583782	0,7113324	0,0404306	0,6689639	0,1505521	0,1833595	0,5391544	0,6055351	0,2596014	0,5144604	0,6484632	0,2023075	0,5320017	0,3022164	0,4218031	0,6501580	0,4314162	0,7586687	0,3078758	0,6541588	0,3984405	0,5880809	0,7399849	0,4606265
820	0,3315330	0,7302278	0,6067604	0,7049401	0,7962739	0,2319931	0,5043421	0,5047067	0,5833956	0,7374266	0,0677599	0,7229189	0,1788477	0,2201833	0,7175233	0,6256547	0,2206799	0,5915785	0,5426598	0,2133151	0,4691655	0,2926162	0,4195904	0,7282283	0,4848720	0,6923376	0,3634202	0,5960050	0,3499679	0,6726675	0,6608148	0,3559076
840	0,3877069	0,7553721	0,5521933	0,6991157	0,8635346	0,1824898	0,5397262	0,4597750	0,6293322	0,6960436	0,0547294	0,6292387	0,2579007	0,2459917	0,6935626	0,6627464	0,2673577	0,6051348	0,6290053	0,1788719	0,5687183	0,3392913	0,5675580	0,6923921	0,5881063	0,6988208	0,3583783	0,6608128	0,4392132	0,5330138	0,8873592	0,3003984
860	0,3709615	0,7342149	0,6255717	0,7956798	0,8026650	0,1768367	0,5418190	0,4868506	0,6270987	0,6105860	0,0463765	0,5214943	0,2250013	0,2071478	0,6821100	0,6647928	0,2753878	0,6946387	0,7868109	0,2421456	0,6665335	0,2932485	0,4465795	0,7849954	0,4961700	0,8348360	0,3147505	0,7087031	0,3931255	0,5681127	0,6682930	0,3574113
880	0,5183452	0,6911971	0,5725307	0,6457930	0,8357441	0,1996575	0,5968481	0,5888304	0,6466510	0,6571567	0,0491980	0,5965169	0,1792159	0,2713636	0,7340698	0,7235072	0,2330445	0,5971112	0,6729106	0,2263989	0,6444185	0,2335877	0,4020528	0,7494945	0,5835076	0,7553516	0,3099213	0,7398287	0,3566155	0,4955751	0,6298599	0,4690680
900	0,4547105	0,7252463	0,6045670	0,6634171	0,7798009	0,2226950	0,4842744	0,4486843	0,6515082	0,7694615	0,0369476	0,6012627	0,2433495	0,2084764	0,7012298	0,6649014	0,3315933	0,5819369	0,5377961	0,2952274	0,4835211	0,2569907	0,4439016	0,6967109	0,6330674	0,6224103	0,4019195	0,6013658	0,3630351	0,5008378	0,7630206	0,4968649
920	0,3687357	0,7910624	0,4151017	0,7016679	0,6988786	0,2212035	0,5024432	0,4728792	0,5865437	0,6490388	0,0486645	0,7023147	0,1995361	0,3732053	0,6082028	0,6295586	0,3027906	0,5888190	0,6595073	0,2595215	0,5886650	0,2890025	0,4134580	0,6206015	0,6158628	0,6352610	0,3026158	0,6137683	0,3523296	0,5179619	0,7016009	0,3674511
940	0,4266801	0,6853122	0,5945611	0,7048809	0,6212040	0,2427819	0,4833572	0,5647348	0,6331109	0,6698729	0,0708028	0,4892485	0,1479914	0,3382729	0,5758731	0,7937992	0,3195333	0,5115207	0,6211179	0,2232169	0,7331161	0,3732955	0,3838993	0,6381176	0,4907806	0,6924501	0,3453531	0,6122155	0,4054486	0,5786985	0,7361863	0,4163626
960	0,3606201	0,5443153	0,5115320	0,6692388	0,6178364	0,2230653	0,4307518	0,5183271	0,7532751	0,6548232	0,0351888	0,5919982	0,1649495	0,2210789	0,7286881	0,5615339	0,3046378	0,5108744	0,7168392	0,2428385	0,6356624	0,2667077	0,3377027	0,6292337	0,4298524	0,5942147	0,2794249	0,6051527	0,4530401	0,8723696	0,6563875	0,4083562
980	0,4680923	0,7407695	0,5749941	0,6545210	0,7584039	0,2105580	0,5140591	0,5606990	0,5963034	0,8131968	0,0659972	0,7435437	0,1183492	0,2498533	0,7800072	0,6555922	0,3070409	0,5986248	0,7415982	0,1902254	0,5050472	0,4112465	0,4211395	0,6654634	0,4662177	0,6797927	0,3148734	0,6552461	0,5038055	0,7421922	0,7984545	0,3676953
1000	0,3566688	0,7394614	0,5314086	0,6651537	0,6182485	0,2727360	0,5245982	0,5561450	0,7428381	0,7013203	0,0575240	0,7434182	0,0965020	0,2884360	0,7438264	0,7251225	0,2660639	0,4873546	0,8435355	0,2796045	0,5083079	0,3777418	0,3587370	0,6556494	0,5295211	0,7415318	0,3989295	0,7591362	0,4899095	0,5834805	0,8085777	0,4808053
1020	0,5026654	0,7801724	0,5225351	0,7825779	0,6538043	0,2586705	0,4532765	0,5131724	0,6033583	0,7397594	0,0348364	0,7613469	0,1201024	0,2130955	0,7305802	0,7508271	0,2791763	0,6341536	0,6295628	0,2418011	0,6597495	0,2750491	0,5022571	0,7290618	0,5879701	0,7227222	0,3527065	0,7118491	0,4475671	0,5876292	0,6897550	0,5494560
1040	0,4894653	0,6220372	0,6935995	0,8682334	0,6270061	0,1947218	0,4552618	0,4365555	0,5835479	0,6951095	0,0538278	0,7595703	0,1268425	0,2373207	0,6240812	0,6539800	0,3435828	0,4706708	0,6264662	0,2331056	0,6291014	0,1777713	0,4965101	0,6895715	0,4916270	0,6599993	0,3912588	0,7229102	0,3877705	0,5516050	0,6947554	0,5062627
1060	0,3690452	0,6062470	0,5759024	0,7306753	0,8462787	0,2163090	0,5612571	0,4780015	0,5454172	0,7049530	0,0997948	0,7680681	0,1108155	0,2380443	0,7290686	0,6342968	0,3045443	0,5556795	0,5717785	0,2743944	0,6796436	0,3515291	0,3736966	0,7873203	0,5990065	0,7056550	0,4509297	0,7946425	0,2854563	0,7130014	0,7481473	0,4297548
1080	0,3872657	0,7139137	0,5781102	0,6811886	0,5759830	0,2075903	0,4932678	0,3496996	0,6121552	0,7512165	0,0900625	0,7047362	0,1812969	0,2299047	0,7241138	0,7485938	0,2223255	0,6002048	0,6662865	0,2655430	0,6216061	0,2994142	0,3755263	0,7255728	0,4741851	0,7628558	0,3963670	0,8184079	0,3915314	0,4939368	0,6152954	0,4260050
