"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB
460	0,7134739	0,6894349	0,6270506	0,8772167	0,0482311	0,3710954	0,0166122	0,0434259	0,4429101	0,5801744	0,0440327	0,0204557	0,2941106	0,0718831	0,1134536	0,0952267	0,5666530	0,1936307	0,5230635	0,0078261	0,6608953	0,3695607	0,0629603	0,4856009	0,0308439	0,0970936	0,0588889	0,8414541	0,0128910	0,6901990	0,0586872	0,2118299
480	0,7715373	0,8414293	0,6145352	0,6655247	0,0492911	0,2946669	0,0187977	0,0207733	0,4498332	0,5681460	0,0325657	0,0305291	0,2704266	0,0443696	0,1122034	0,1136609	0,4338598	0,3104937	0,5250568	0,0020202	0,7113540	0,3268883	0,0547568	0,5903308	0,0253890	0,0835417	0,0419114	0,7485833	0,0421475	0,7011789	0,0144774	0,2414729
500	0,6329893	0,7350456	0,5914445	0,6604974	0,0680799	0,3784909	0,0206745	0,0237451	0,4742100	0,4221150	0,0518379	0,0261737	0,3301111	0,0363076	0,0903223	0,0744758	0,5346192	0,2499437	0,4325860	0,0100578	0,7101912	0,2720962	0,0914486	0,6369920	0,0298643	0,1032245	0,0378741	0,6950283	0,0360933	0,6370509	0,0169290	0,2370098
520	0,7420442	0,6453645	0,5031123	0,7033607	0,0499000	0,3934021	0,0118085	0,0238768	0,4655297	0,4996649	0,0256723	0,0131131	0,3177348	0,0563044	0,0786661	0,1004690	0,5807879	0,1934902	0,4902060	0,0023195	0,7995112	0,2643846	0,1084610	0,5313580	0,0436694	0,1116319	0,0339208	0,6912750	0,0114918	0,6940363	0,0108278	0,3287261
540	0,6899701	0,6007764	0,5689406	0,6498299	0,0616338	0,3401107	0,0072137	0,0404101	0,4804695	0,5057713	0,0291443	0,0361788	0,3200593	0,0350379	0,0972512	0,0765956	0,5613385	0,2396985	0,5285927	0,0084550	0,6307350	0,3055502	0,0429676	0,5999259	0,0289541	0,0973006	0,0627159	0,8003836	0,0256072	0,6189125	0,0100540	0,1470249
560	0,6454851	0,7347668	0,6239826	0,7205925	0,0603796	0,4213788	0,0389598	0,0433687	0,5943261	0,5403589	0,0220975	0,0313872	0,3077752	0,0621600	0,0982579	0,1091771	0,5404367	0,2716867	0,5029132	0,0030012	0,9217847	0,2548752	0,0861496	0,5749945	0,0356353	0,0794354	0,0159514	0,6372397	0,0135812	0,5882390	0,0153249	0,1484735
580	0,5581193	0,7359751	0,6757109	0,7147492	0,0885811	0,3897128	0,0176653	0,0191729	0,5238696	0,4141243	0,0424621	0,0164424	0,2276524	0,0545597	0,1272109	0,1850399	0,4017600	0,4069318	0,5535902	0,0136630	0,6542917	0,2540173	0,0885851	0,4953281	0,0365733	0,0820373	0,0490142	0,7366653	0,0384222	0,6215676	0,0191636	0,1351350
600	0,6268105	0,5932692	0,6531216	0,6965897	0,0549956	0,4073109	0,0081592	0,0229148	0,4087711	0,4088706	0,0444067	0,0291112	0,3223073	0,1397214	0,1050497	0,2112992	0,5487681	0,5156507	0,5731946	0,0087918	0,7154947	0,2491448	0,0838733	0,4525259	0,0226100	0,1259495	0,0400445	0,6926281	0,0253337	0,6201089	0,0297408	0,1847140
620	0,6940675	0,6122001	0,5769533	0,7545333	0,0923314	0,4661407	0,0058498	0,0344787	0,5607500	0,4501658	0,0241717	0,0287003	0,2350679	0,1490888	0,0552632	0,2482869	0,4533692	0,5917916	0,4361382	0,0064716	0,7156219	0,3208236	0,0647806	0,4442394	0,0219192	0,0882931	0,0333941	0,5897138	0,0142135	0,4349350	0,0278219	0,2208935
640	0,6677684	0,7225525	0,5783335	0,8815307	0,0740071	0,4288371	0,0051817	0,0406167	0,5695771	0,4669744	0,0305320	0,0065317	0,3282569	0,1459692	0,0772420	0,3130328	0,5870630	0,5636425	0,5448567	0,0074988	0,6927558	0,3554763	0,0302660	0,4521744	0,0097007	0,0864328	0,0436302	0,7256057	0,0179005	0,4899063	0,0113168	0,1701740
