"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
460	0,4235481	0,3677189	0,2547593	0,3952235	0,4135478	0,8191418	0,1800426	0,6315408	0,9387146	0,9569123	0,5756186	1,0000000	0,1932842	0,6142267	0,6801245	0,8078001	0,8540536	0,6943167	0,5823132	0,4338559	0,3464542	0,6487849	0,9102857	0,1346916	0,9622607	0,1567997	0,7104162	0,8158894	0,0877625	0,0303819	0,0619936	0,4735391
480	0,4235481	0,3677189	0,2547593	0,3952223	0,4135493	0,8191390	0,1800438	0,6315408	0,9387146	0,9569123	0,5756191	1,0000000	0,1932842	0,6142267	0,6801239	0,8078001	0,8540573	0,6943165	0,5823132	0,4338627	0,3464542	0,6487880	0,9102846	0,1346946	0,9622607	0,1567997	0,7104182	0,8158894	0,0877625	0,0303819	0,0619936	0,4735392
500	0,4235481	0,3677189	0,2547593	0,3952212	0,4135507	0,8191366	0,1800449	0,6315408	0,9387146	0,9569123	0,5756196	1,0000000	0,1932842	0,6142267	0,6801233	0,8078001	0,8540605	0,6943163	0,5823132	0,4338673	0,3464543	0,6487899	0,9102836	0,1346972	0,9622607	0,1567997	0,7104199	0,8158894	0,0877625	0,0303819	0,0619936	0,4735392
520	0,4235481	0,3677189	0,2547593	0,3952203	0,4135519	0,8191345	0,1800459	0,6315408	0,9387146	0,9569123	0,5756200	1,0000000	0,1932842	0,6142267	0,6801228	0,8078001	0,8540634	0,6943161	0,5823132	0,4338703	0,3464543	0,6487912	0,9102828	0,1346995	0,9622607	0,1567997	0,7104214	0,8158894	0,0877625	0,0303819	0,0619936	0,4735392
540	0,4235481	0,3677189	0,2547593	0,3952194	0,4135530	0,8191327	0,1800467	0,6315408	0,9387146	0,9569123	0,5756204	1,0000000	0,1932842	0,6142267	0,6801224	0,8078001	0,8540659	0,6943159	0,5823132	0,4338723	0,3464542	0,6487920	0,9102820	0,1347016	0,9622607	0,1567997	0,7104227	0,8158894	0,0877625	0,0303819	0,0619936	0,4735392
560	0,4235481	0,3677189	0,2547593	0,3952187	0,4135539	0,8191311	0,1800475	0,6315408	0,9387146	0,9569123	0,5756207	1,0000000	0,1932842	0,6142267	0,6801220	0,8078001	0,8540681	0,6943157	0,5823132	0,4338736	0,3464542	0,6487926	0,9102813	0,1347033	0,9622607	0,1567997	0,7104238	0,8158894	0,0877625	0,0303819	0,0619936	0,4735392
580	0,4235481	0,3677189	0,2547593	0,3952180	0,4135547	0,8191296	0,1800481	0,6315408	0,9387146	0,9569123	0,5756210	0,9999517	0,1932842	0,6142267	0,6801216	0,8314561	0,8540700	0,6943155	0,5823132	0,3444244	0,3464541	0,4364246	0,9102807	0,1347049	0,9622607	0,5006140	0,7104248	0,8158894	0,0877625	0,0303819	0,1636657	0,4735392
600	0,4235481	0,3677189	0,2547593	0,3952174	0,4135554	0,8191284	0,1800487	0,6315408	0,9387146	0,9569123	0,5756213	0,9999206	0,1932842	0,6142267	0,6801213	0,8442120	0,8540717	0,6943154	0,5823132	0,2851768	0,3464541	0,3062504	0,9102802	0,1347063	0,9622607	0,6393303	0,7104257	0,8158894	0,0877625	0,0303819	0,2161708	0,4735392
620	0,4235481	0,3677189	0,2547593	0,3952169	0,4135560	0,8191273	0,1800492	0,6315408	0,9387146	0,9569123	0,5756215	0,9999006	0,1932842	0,6142267	0,6801210	0,8510903	0,8540732	0,6943153	0,5823132	0,2459335	0,3464540	0,2264582	0,9102797	0,1347075	0,9622607	0,6952972	0,7104265	0,8158894	0,0877625	0,0303819	0,2432853	0,4735392
640	0,4235481	0,3677189	0,2547593	0,3952165	0,4135566	0,8191263	0,1800496	0,6315408	0,9387146	0,9569123	0,5756217	0,9998876	0,1932842	0,6142267	0,6801208	0,8547993	0,8540746	0,6943151	0,5823132	0,2199402	0,3464540	0,1775484	0,9102793	0,1347086	0,9622607	0,7178778	0,7104272	0,8158894	0,0877625	0,0303819	0,2572877	0,4735392
