"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
460	0,2646982	0,3051548	0,1739274	0,2879527	0,3273066	0,5829738	0,1447522	0,4507868	0,7438950	0,6062259	0,3890475	0,8139944	0,2028682	0,5648438	0,5053454	0,6022999	0,4794480	0,4284944	0,4621196	0,3135853	0,1551348	0,4285110	0,7157936	0,0891353	0,7792431	0,1255113	0,5459766	0,5593672	0,0338577	0,0426407	0,0865169	0,5157212
480	0,3450737	0,3545410	0,1896559	0,3332040	0,2383247	0,6773487	0,1621331	0,4433451	0,7885004	0,6975629	0,4061214	0,7704133	0,2209905	0,4612530	0,4656763	0,6277827	0,6457595	0,5164525	0,4397409	0,3020638	0,1647965	0,4009556	0,6141980	0,0900386	0,7082944	0,1620687	0,4741270	0,5640603	0,0561187	0,0295747	0,0847190	0,4871256
500	0,3495810	0,3035180	0,1642119	0,3379064	0,2704733	0,7001286	0,1635415	0,4280431	0,5972888	0,8682033	0,3858295	0,6997462	0,1390331	0,3841326	0,5260956	0,5254143	0,6675445	0,6039109	0,4288159	0,2789831	0,2210535	0,5207008	0,5480628	0,1366469	0,8466852	0,1192375	0,4397016	0,7021763	0,0588385	0,0087665	0,0287421	0,3553992
520	0,3566844	0,3105106	0,2095191	0,2601453	0,3148125	0,6475151	0,1832114	0,5018579	0,5997735	0,6971209	0,3990533	0,7148661	0,1317974	0,4827713	0,4564073	0,5283584	0,5301518	0,5181288	0,4338270	0,2241272	0,2742092	0,5400332	0,6838667	0,0928722	0,7804485	0,1209284	0,5013629	0,6620873	0,0566656	0,0271706	0,0323489	0,2512087
540	0,3498552	0,2412959	0,1829384	0,2469811	0,4239581	0,5464303	0,2469597	0,5090100	0,7519679	0,6841557	0,5655501	0,7785600	0,0981150	0,3956719	0,5683323	0,4236386	0,6401499	0,4338008	0,4349709	0,2519263	0,2199255	0,4551640	0,6583992	0,0853368	0,6331624	0,0851957	0,4117733	0,5915122	0,0494659	0,0232202	0,0343461	0,4280813
560	0,3863314	0,3283106	0,1874498	0,2746803	0,2629278	0,5619925	0,2529676	0,5311350	0,6510680	0,6977200	0,5098569	0,6630119	0,1107345	0,4480563	0,5377724	0,5639151	0,6472280	0,4337069	0,4942716	0,2926084	0,2685953	0,4362466	0,8279302	0,1090228	0,6116010	0,0670326	0,5018352	0,6109602	0,0637629	0,0552163	0,0414606	0,3132306
580	0,3236534	0,2760479	0,2039153	0,2470740	0,3158289	0,5418395	0,1591709	0,4397006	0,5933811	0,7211947	0,4527520	0,7225050	0,1555176	0,3470110	0,4374290	0,5393095	0,6561580	0,3552431	0,4035182	0,2117926	0,2042174	0,3964198	0,6482703	0,1219931	0,7195280	0,1054352	0,5747785	0,5907405	0,0568047	0,0120163	0,0419634	0,2851352
600	0,3482264	0,2586133	0,2274685	0,2859243	0,2917783	0,5715301	0,1690320	0,5490656	0,7424930	0,5347366	0,3579403	0,6223511	0,1839409	0,4113693	0,4622011	0,7040001	0,6918499	0,5073592	0,4162148	0,2692731	0,2512743	0,3924496	0,6376259	0,0922868	0,7353932	0,2398209	0,5595155	0,5424550	0,0540698	0,0370628	0,0622628	0,3369076
620	0,3113452	0,2592050	0,2213611	0,2718002	0,3097776	0,5704802	0,1445835	0,4832160	0,6111553	0,5787091	0,4607466	0,6688017	0,1650148	0,3743386	0,4451543	0,5540622	0,5878708	0,5967532	0,4349514	0,1629972	0,3139501	0,2866408	0,6582337	0,0930084	0,7864248	0,3599782	0,4756381	0,5820680	0,0986857	0,0264599	0,1234465	0,3317213
640	0,3196195	0,2441013	0,2048861	0,2607660	0,3010993	0,5158865	0,1459424	0,5847701	0,5830321	0,5860623	0,3539195	0,7700898	0,1913184	0,4879944	0,5161259	0,4993767	0,6298272	0,5251559	0,4108639	0,1879244	0,2564089	0,2755242	0,6746740	0,1076661	0,6364061	0,4632295	0,4813303	0,5905487	0,0539439	0,0379787	0,1439676	0,3486278
660	0,2946358	0,2612579	0,1506679	0,3260022	0,2888017	0,5464523	0,1139808	0,3481943	0,8876747	0,5909695	0,4063059	0,7045119	0,1256066	0,5083249	0,5685339	0,5793211	0,6827778	0,5159268	0,3543979	0,1631723	0,2948867	0,1960078	0,6752413	0,1223558	0,7608148	0,5296556	0,6107197	0,6212262	0,0471344	0,0187075	0,1033729	0,3987394
680	0,2796509	0,2794174	0,1594889	0,3094300	0,3191366	0,5325775	0,0919279	0,4802343	0,6117432	0,5941204	0,3518676	0,8239771	0,1205951	0,2991880	0,4832994	0,6163316	0,6447526	0,4128539	0,5218367	0,1768559	0,3015771	0,1782831	0,5651409	0,1159028	0,6730044	0,5208280	0,4983287	0,6698678	0,0617911	0,0172001	0,2399805	0,3549530
700	0,2963726	0,2928194	0,1442877	0,2714634	0,2696324	0,5104878	0,1224332	0,4122124	0,6842978	0,6434062	0,3975482	0,7557816	0,1046696	0,3998209	0,4401780	0,6760611	0,5647973	0,3920201	0,4019212	0,1736027	0,2631027	0,1487343	0,6411964	0,1065112	0,7331899	0,5341784	0,4621340	0,6224552	0,0804855	0,0260633	0,2318917	0,3213766
720	0,3230495	0,2072295	0,1697736	0,3421412	0,2792045	0,5350084	0,1335526	0,4504495	0,6058343	0,5762806	0,3362996	0,7404888	0,1067471	0,3223472	0,5145442	0,6004549	0,5618523	0,5073562	0,4183050	0,1742615	0,2427395	0,1218793	0,5932514	0,1412838	0,6948984	0,6528970	0,4830206	0,5922376	0,0808686	0,0160026	0,2124317	0,2737292
740	0,2791887	0,2204350	0,2320001	0,2977191	0,2943227	0,6519461	0,2203664	0,4814174	0,6804635	0,6907662	0,3714323	0,7999914	0,0974457	0,4155086	0,4702152	0,6370598	0,6431166	0,5121965	0,3841503	0,1083899	0,2242003	0,1084492	0,6658444	0,1173922	0,5097730	0,5725840	0,6144355	0,5930177	0,0751749	0,0236173	0,2220949	0,2895747
760	0,3688904	0,2417100	0,2012910	0,3913455	0,2824599	0,6342495	0,1504188	0,4637946	0,6376602	0,6195831	0,4692460	0,7939119	0,1266034	0,4753156	0,4339501	0,5999433	0,5803376	0,5516873	0,3215768	0,1052363	0,2734608	0,0932783	0,5115811	0,1003644	0,5696605	0,5492039	0,5650230	0,6458506	0,0389629	0,0624464	0,1858861	0,3040673
780	0,3569232	0,1943948	0,1927081	0,2626554	0,3731745	0,6135191	0,1010678	0,4819840	0,7077073	0,6777614	0,4463894	0,7349887	0,1270485	0,3702109	0,4139125	0,6220493	0,6019449	0,4584952	0,4163865	0,1432665	0,2600673	0,1345217	0,5237971	0,1332210	0,6155985	0,4032521	0,5570864	0,6467544	0,1107595	0,0560853	0,1974239	0,2865597
800	0,2806945	0,2426927	0,1989704	0,3639483	0,3310968	0,6218833	0,1467124	0,5169288	0,6779303	0,7934859	0,3453039	0,7900114	0,1097384	0,4544649	0,4924800	0,6228145	0,6257664	0,5502330	0,3813051	0,1338026	0,3463125	0,1070552	0,6586290	0,1385068	0,6471942	0,4169407	0,5857998	0,5340017	0,0681340	0,0276767	0,1660510	0,2772767
820	0,3160219	0,2652519	0,2636624	0,3427498	0,3686102	0,6924466	0,1249054	0,3617829	0,7739393	0,7616569	0,3871668	0,7570250	0,1290495	0,4167277	0,6556408	0,7321272	0,5798053	0,5932590	0,3895640	0,2271704	0,3318831	0,1890033	0,5565200	0,1038216	0,8039176	0,6003664	0,5577651	0,6499543	0,1014207	0,0144419	0,2155641	0,3594709
840	0,3297722	0,2317866	0,1386563	0,2682665	0,3103590	0,6863604	0,0969148	0,4892669	0,6798303	0,6325345	0,4709654	0,6071424	0,1895487	0,5350955	0,4579700	0,6827384	0,5648896	0,4842402	0,4612213	0,2292356	0,3182757	0,1141699	0,5546701	0,1111721	0,5901103	0,4321311	0,4930805	0,5343867	0,1063277	0,0646521	0,1915141	0,2644316
860	0,2406675	0,2641589	0,2499906	0,2310412	0,3984211	0,6823250	0,1164038	0,4842099	0,6873662	0,8011794	0,4136166	0,7740204	0,1540534	0,3880173	0,4206345	0,6903032	0,7237983	0,5142565	0,4803528	0,1638750	0,3170639	0,0745848	0,6376916	0,1705542	0,6731038	0,5037341	0,5475519	0,5932255	0,0573634	0,0218131	0,1434331	0,2774578
880	0,2863304	0,2775259	0,2192813	0,3113048	0,2645786	0,6555577	0,1329492	0,3637144	0,7134319	0,6232693	0,5059653	0,6457050	0,1457663	0,4633960	0,4132261	0,6981444	0,6487889	0,5761549	0,4168843	0,1888237	0,2965655	0,1074839	0,6168329	0,1043009	0,7792910	0,4809856	0,4918353	0,6062954	0,0804722	0,0235505	0,2177161	0,3344496
900	0,2881965	0,2993542	0,1733525	0,2819635	0,3258787	0,6493611	0,1263381	0,3925397	0,6803745	0,7771394	0,3605989	0,7791852	0,0872663	0,4630236	0,5557626	0,5257839	0,8359988	0,4420645	0,3839399	0,1852431	0,2428597	0,1081122	0,5227440	0,1152332	0,7082552	0,4346992	0,5686191	0,4445640	0,0873812	0,0146714	0,1928994	0,3543538
920	0,3177608	0,2035387	0,1443711	0,3082420	0,2945063	0,5212013	0,0812123	0,4285303	0,5606609	0,6850837	0,4120572	0,6971833	0,1801211	0,3274338	0,4961809	0,5195797	0,6739797	0,4939965	0,3784418	0,1709940	0,2441576	0,1328600	0,6928020	0,0962884	0,7395739	0,6079283	0,5658941	0,5159069	0,0416652	0,0151193	0,2253122	0,2896369
940	0,2819738	0,2276736	0,1685203	0,2628205	0,3874347	0,6166120	0,1296504	0,5348429	0,6571842	0,6198998	0,4264265	0,7634669	0,1588161	0,3336120	0,4136647	0,5103609	0,7594670	0,5512550	0,4189637	0,2276229	0,2821835	0,0776415	0,6650830	0,0927990	0,7172854	0,6538380	0,5568446	0,6505947	0,0544603	0,0303916	0,1931843	0,3969067
960	0,2394836	0,2142738	0,1831123	0,2672561	0,2548950	0,6252213	0,1334809	0,4705228	0,6745121	0,5542127	0,4478009	0,8755454	0,1336000	0,3798326	0,4721512	0,5071875	0,6766361	0,5746117	0,4640532	0,2400722	0,2870977	0,1158398	0,7686375	0,1374399	0,7591819	0,5923943	0,5073864	0,6677115	0,0366279	0,0211791	0,2368298	0,3150746
980	0,2976098	0,2363120	0,2525287	0,3318738	0,3595672	0,5294502	0,1049950	0,5466671	0,6870831	0,7109356	0,4569770	0,7262118	0,0942104	0,4788386	0,5912088	0,7292784	0,7234950	0,5413229	0,3872773	0,2042406	0,2314770	0,0970223	0,7300090	0,1666489	0,6558517	0,5309726	0,4639091	0,5356801	0,0507544	0,0328142	0,2614161	0,3242776
1000	0,1740210	0,3143006	0,2493663	0,3328354	0,2614570	0,5119368	0,0821283	0,4598938	0,6609900	0,7845402	0,3524897	0,7377947	0,1671373	0,5010545	0,6033345	0,5748335	0,6158436	0,6158377	0,4544805	0,1868204	0,2418761	0,0701481	0,7480522	0,0740264	0,5771407	0,5956751	0,4204898	0,6393886	0,0970767	0,0232512	0,1768557	0,3196099
1020	0,1946492	0,2468418	0,1847637	0,3523286	0,2318739	0,5248061	0,0591776	0,4062084	0,7499714	0,6188452	0,3214778	0,7264921	0,1774484	0,4968479	0,4015890	0,6427073	0,6582523	0,5618463	0,3222494	0,1595759	0,2056049	0,0949878	0,5547127	0,0855165	0,7236533	0,6311718	0,4665023	0,6238438	0,0701543	0,0331510	0,1838847	0,3343155
1040	0,2220278	0,2256793	0,1805019	0,2546294	0,3671091	0,5094616	0,0943155	0,4373937	0,6712451	0,7405862	0,3344083	0,8365408	0,1799352	0,4315783	0,4799545	0,5942854	0,6018045	0,6014576	0,4394664	0,2073120	0,2404075	0,0789963	0,6071688	0,0615623	0,7411386	0,6083392	0,4907702	0,6611597	0,1051520	0,0185555	0,1605441	0,5351874
1060	0,3012626	0,2828793	0,2300487	0,3376003	0,2671279	0,5483176	0,1372958	0,4124116	0,6929764	0,6726646	0,3145356	0,6274333	0,1684280	0,4977974	0,4217187	0,5922950	0,6333945	0,4973979	0,4598806	0,1909652	0,2296634	0,0818564	0,6441087	0,0737371	0,6142711	0,5645787	0,6291565	0,6075017	0,0953128	0,0342607	0,1519131	0,3723298
1080	0,3087188	0,2315802	0,1475005	0,2051900	0,2711700	0,5749257	0,0950781	0,4368428	0,5739084	0,6235374	0,3226847	0,6930451	0,1306616	0,4856743	0,5113823	0,5745552	0,6180232	0,5242177	0,5038660	0,1482417	0,2519633	0,0887989	0,6460775	0,0516523	0,7299275	0,5218461	0,6232372	0,7081057	0,0672623	0,0360211	0,1997305	0,4273844
1100	0,3374272	0,2750995	0,2224855	0,2445341	0,3305157	0,5408384	0,1405984	0,5204045	0,6140070	0,7042430	0,4403531	0,7780265	0,1602985	0,4767214	0,5497061	0,5689126	0,6412019	0,5640900	0,4201706	0,1385107	0,3021220	0,0702215	0,6450939	0,1019417	0,7086719	0,5314230	0,6158832	0,7898448	0,0408380	0,0331815	0,1909589	0,4645771

0	0,3052783	0,2685798	0,1366929	0,2763361	0,2551349	0,7537534	0,1154469	0,4331243	0,5931698	0,6288269	0,4722102	0,7229494	0,1707434	0,4851377	0,5082514	0,6075615	0,6581777	0,4643518	0,3674335	0,1289650	0,2218966	0,1441478	0,7083181	0,1175972	0,6826004	0,6580558	0,5079291	0,8126336	0,0450387	0,0283244	0,2035193	0,5022902
20	0,3333272	0,2250921	0,1483556	0,3248958	0,2315032	0,6067568	0,1182684	0,5054139	0,6572262	0,4713996	0,3703998	0,8704161	0,1230793	0,4093690	0,5805395	0,5941609	0,6527783	0,4212415	0,4582240	0,0965055	0,2611120	0,1182360	0,6438354	0,0962906	0,7676108	0,5504987	0,5889665	0,5892707	0,0843833	0,0261328	0,1570894	0,2853584
40	0,3543572	0,2453285	0,1215418	0,3361449	0,3412825	0,6613552	0,1704656	0,3781626	0,7061264	0,5342247	0,4131028	0,6862568	0,1727724	0,4040042	0,5233473	0,6917093	0,5367705	0,6409955	0,4720145	0,1023272	0,2077779	0,1537277	0,5063007	0,1894512	0,6381122	0,6371529	0,4813850	0,7731581	0,0414615	0,0193686	0,1474596	0,2513569
60	0,2684308	0,2533417	0,1859378	0,2991505	0,3001825	0,5678242	0,1089718	0,3290092	0,5567472	0,4337369	0,3802333	0,6356870	0,1445536	0,4116647	0,4953492	0,7075618	0,5649526	0,6765219	0,4713897	0,0840213	0,2156740	0,1553739	0,6568491	0,2683471	0,5822909	0,6900724	0,5252027	0,5887032	0,1385257	0,0365855	0,1614828	0,1680449
80	0,3246163	0,2731972	0,1698658	0,3291525	0,2623694	0,7386778	0,1031198	0,3124850	0,5238236	0,4096070	0,3562555	0,7956387	0,2028025	0,5101259	0,5512548	0,5423291	0,4828108	0,6735752	0,4797611	0,1173791	0,3020163	0,2541952	0,5526860	0,2477756	0,5854081	0,6326861	0,4753336	0,6749161	0,0813092	0,0080393	0,1397403	0,2071058
100	0,3681680	0,2307784	0,1269282	0,2836367	0,2950699	0,5681142	0,1305347	0,2160507	0,6151162	0,3062550	0,3511183	0,7668570	0,2575674	0,4597687	0,4830992	0,6275899	0,5873860	0,5560283	0,4605532	0,1131902	0,2916816	0,3067532	0,5382295	0,3218243	0,6040577	0,5777365	0,4631982	0,6852141	0,0575517	0,0089921	0,1385655	0,1635425
120	0,3311242	0,2873639	0,1176681	0,2933913	0,3890393	0,5610343	0,1646960	0,2122735	0,7045743	0,2117737	0,3537734	0,7473626	0,2593718	0,3681335	0,4697091	0,5476502	0,4923535	0,6560725	0,4315663	0,1210111	0,1985379	0,3116609	0,6579735	0,3143449	0,6561965	0,6882038	0,5652650	0,6097798	0,0450815	0,0208826	0,1781764	0,0937419
140	0,2877016	0,1648041	0,1483621	0,2694641	0,2809762	0,5408959	0,1829182	0,1529375	0,6294336	0,1881547	0,3411453	0,6232426	0,2504995	0,3146420	0,5329919	0,6218966	0,4520534	0,7636448	0,4951436	0,1274555	0,2515075	0,3672090	0,6466043	0,3399002	0,5440880	0,6313525	0,4495152	0,5922715	0,0920923	0,0101869	0,1739063	0,0975501
160	0,2712675	0,2304713	0,2775549	0,3166554	0,1767968	0,5800935	0,1267723	0,1688288	0,6357494	0,1280696	0,3812228	0,6131390	0,2590926	0,3856277	0,5653649	0,6838755	0,5432502	0,5681130	0,5645446	0,1253088	0,1728808	0,4116328	0,6170198	0,3092086	0,5235502	0,6025703	0,4851407	0,6408856	0,0791254	0,0234282	0,1954840	0,0774012
180	0,3348063	0,2242056	0,1596280	0,2734558	0,2723804	0,5320624	0,1719721	0,1948348	0,6059844	0,2267801	0,4738102	0,8552826	0,2532549	0,4222771	0,6443541	0,5409312	0,5677763	0,6486072	0,5316687	0,1367254	0,2128840	0,4103365	0,5979700	0,4669843	0,4698239	0,5779551	0,4112751	0,6288281	0,0900529	0,0048370	0,2555928	0,0435301
200	0,3640657	0,2043939	0,1992074	0,2952916	0,1643461	0,6153768	0,1382733	0,2147012	0,7378704	0,1300402	0,4063514	0,5685587	0,2578560	0,3629780	0,6398892	0,5465918	0,4898226	0,5495775	0,4997800	0,2626826	0,1514617	0,4643015	0,6065821	0,4100868	0,4843841	0,5331895	0,4404092	0,8581948	0,1287944	0,0006886	0,3476003	0,0646032
220	0,2548553	0,1801913	0,1631744	0,2191699	0,2142335	0,5705330	0,1040746	0,1814784	0,7898478	0,1866448	0,4166556	0,6725403	0,3643715	0,5103800	0,6601274	0,5242907	0,6505491	0,6152811	0,5594674	0,2441861	0,1793415	0,4288409	0,6151917	0,4494991	0,5231149	0,5371166	0,5172877	0,7827109	0,2148617	0,0011950	0,2732300	0,0621917
240	0,2648760	0,2076396	0,1377936	0,2501642	0,2298111	0,5457426	0,1391950	0,2259543	0,6601348	0,1506915	0,3431183	0,6942522	0,3557776	0,5192923	0,5976579	0,4896857	0,4731795	0,6944185	0,5204164	0,2185431	0,1391893	0,4050896	0,5241533	0,3376795	0,5529781	0,6204913	0,3361152	0,8964139	0,2077097	0,0002349	0,2288114	0,0567374
260	0,2691094	0,2394430	0,2111836	0,2044262	0,1921943	0,6348070	0,0805708	0,2821898	0,6081904	0,1637126	0,3380754	0,6811432	0,4203233	0,4611138	0,6730876	0,6562330	0,5006558	0,8107824	0,5271764	0,2852158	0,1679239	0,4065974	0,6477456	0,3567489	0,4636476	0,4940469	0,4870844	0,8031793	0,3309004	0,0003461	0,2538679	0,0595231
