"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
460	0,4441088	0,4413051	0,1586756	0,7282237	0,7796183	0,4536177	0,0370931	0,1182542	0,7588717	0,3645170	0,6821960	0,6455151	0,1478652	0,4971831	0,4381804	0,7718481	0,5654934	0,1589143	0,6851124	0,4395628	0,4517481	0,5282252	0,3454266	0,4358604	0,7475159	0,1471838	0,2596539	0,1403171	0,5334986	0,1246669	0,2829455	0,2299534
480	0,3453160	0,3598931	0,1585864	0,5399108	0,6658915	0,5403290	0,0618820	0,1208402	0,5712164	0,4264366	0,7670136	0,6348068	0,0961667	0,4979227	0,4480136	0,7101903	0,5865745	0,2147894	0,7532050	0,4751991	0,4496036	0,5264074	0,3391778	0,3798835	0,6135386	0,1652510	0,3035574	0,1291513	0,6650409	0,1075885	0,3097283	0,2462742
500	0,3990367	0,4304951	0,1358413	0,6196227	0,7354076	0,4276398	0,0384462	0,1061853	0,6540540	0,4310916	0,6786919	0,6314413	0,0955892	0,4956719	0,3564584	0,6116384	0,5320544	0,1848332	0,8074210	0,3945630	0,4638525	0,5221109	0,3231156	0,3207384	0,5688515	0,1524656	0,3197648	0,1910418	0,5365035	0,0879639	0,3062092	0,2309566
520	0,3996238	0,4378777	0,1484162	0,6184868	0,6838705	0,4382338	0,0518454	0,1184649	0,6879058	0,3589164	0,6576265	0,8280884	0,0960615	0,5742813	0,4305161	0,5372562	0,5758166	0,2447784	0,7135393	0,5400915	0,5617392	0,5041140	0,3465001	0,3241921	0,6963780	0,1916024	0,2901530	0,2176681	0,5731215	0,1091827	0,3201435	0,1894814
540	0,4119615	0,4201802	0,1030499	0,6463799	0,6376516	0,4577262	0,0532451	0,1069241	0,5927551	0,4790067	0,6254810	0,6232629	0,0816097	0,5071023	0,3835341	0,7929084	0,5620195	0,1875684	0,7423895	0,3898937	0,4976008	0,5478652	0,3584627	0,3031749	0,6482081	0,1478527	0,3496317	0,1426988	0,5985688	0,0790462	0,2195893	0,3485407
560	0,4093217	0,3608830	0,1311315	0,5704475	0,6928713	0,4515793	0,0576796	0,1641344	0,7115499	0,4805714	0,6639468	0,7756436	0,0963230	0,4640834	0,4132845	0,6253031	0,5358578	0,2489433	0,6831969	0,5430809	0,5614425	0,5149080	0,2946391	0,3333356	0,6746619	0,1961003	0,3939162	0,1647678	0,6060621	0,0793676	0,3379294	0,2508184
580	0,4486544	0,3379398	0,1666474	0,6129210	0,6428202	0,5396664	0,0910464	0,1356676	0,6645878	0,4524768	0,6268417	0,6801012	0,0990384	0,5305916	0,2900103	0,9260072	0,4869952	0,2741427	0,6791752	0,5174404	0,5141155	0,5371928	0,4024062	0,2740394	0,6648608	0,1915953	0,3139078	0,1141131	0,4285602	0,0731455	0,3776928	0,2427618
600	0,4472499	0,4557413	0,1109619	0,5470533	0,7112190	0,5904348	0,0924832	0,1964998	0,7644856	0,3513029	0,7482261	0,5574485	0,0757796	0,5606406	0,3625253	0,7641346	0,5785882	0,3389060	0,6994660	0,5718152	0,6361451	0,6028551	0,2873665	0,4847750	0,7597582	0,2757937	0,3943218	0,1830618	0,5381383	0,1272498	0,2498045	0,2322034
620	0,5084457	0,4211283	0,1291660	0,6351265	0,5194501	0,6197840	0,0687327	0,2434472	0,7122376	0,3373882	0,7221193	0,6283335	0,1137209	0,5853896	0,4038797	0,7344208	0,5293091	0,5897354	0,6602003	0,4490531	0,5864241	0,4633096	0,3446330	0,4002138	0,7524394	0,3952400	0,3588041	0,1857524	0,5655751	0,1644966	0,2664492	0,2869746
640	0,4392858	0,4424530	0,2207224	0,6358132	0,7317678	0,4881311	0,0808617	0,3118084	0,6340277	0,3005509	0,7400852	0,6357318	0,1357153	0,5343359	0,3378396	0,6973846	0,5142369	0,4067686	0,6617872	0,5285749	0,5670123	0,4875391	0,3401688	0,4472113	0,8361532	0,4109642	0,3411545	0,1844351	0,4188948	0,2259269	0,2970263	0,3190763
