"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
500	0,6460831	0,6301621	0,2190801	0,8922806	1,0653088	0,6496355	0,1250122	0,1671323	0,9371302	0,5483329	0,9586016	1,0503399	0,1234061	0,7237400	0,4946965	1,0196859	0,8088968	0,2904690	1,0617299	0,6343116	0,9061692	0,7037156	0,4659283	0,5593615	0,9934194	0,2354756	0,4856778	0,2395044	0,8625412	0,1634232	0,4192772	0,3630618
520	0,6193805	0,5539981	0,1960879	0,8768348	1,0657552	0,6976578	0,1063373	0,1512262	0,9683803	0,5631123	0,9262040	1,0649719	0,1163988	0,7188463	0,4962808	1,0310260	0,7649454	0,3008330	1,0461070	0,6674764	0,7970857	0,6978235	0,4707670	0,4754376	1,0724869	0,2330692	0,4784675	0,2034099	0,8746698	0,1465567	0,3908168	0,4099802
540	0,6290858	0,5626321	0,2425800	0,8598131	1,0531510	0,6774533	0,1110145	0,1552624	0,9399494	0,5291550	0,8773229	1,0544762	0,1167956	0,7388457	0,4781475	1,0477131	0,7767344	0,2648576	1,0601087	0,6743803	0,8061136	0,6741384	0,5062836	0,4421945	1,0731444	0,2063915	0,4319439	0,2214840	0,9866797	0,1298670	0,3794315	0,3651852
560	0,6112213	0,5178193	0,2427811	0,9211210	1,0090254	0,7010916	0,1264542	0,1774214	1,0075082	0,5008812	0,9382085	0,9843942	0,1205240	0,7394992	0,5075784	1,0157143	0,7704516	0,2257522	1,0551563	0,7461649	0,8608853	0,6479451	0,4993211	0,4811875	1,0388273	0,1989338	0,4424204	0,1970692	0,8240211	0,1311533	0,4035510	0,3364865
580	0,5986605	0,5401067	0,2413859	0,9545253	0,9090176	0,7840983	0,1128061	0,3760416	0,9740652	0,5101012	1,0419983	1,0100526	0,1338024	0,7114824	0,5247944	1,0417114	0,8419876	0,5960586	1,0103669	0,6818340	0,8255221	0,6740787	0,4449586	0,5072335	1,0476704	0,4970442	0,4796683	0,1614173	0,6387089	0,1295891	0,4418323	0,3696382
600	0,5917748	0,5527350	0,2268649	0,9033327	0,9185576	0,8173637	0,1228337	0,4838258	1,0897383	0,5334754	1,1127758	0,9853141	0,1516791	0,7808303	0,5121438	1,0831453	0,8418320	0,7071030	1,0149412	0,7345084	0,8134780	0,6850985	0,4626627	0,5608790	1,1134985	0,6761429	0,4669107	0,1894156	0,6689914	0,2065188	0,4311225	0,3993476
620	0,5979722	0,5600057	0,2586799	0,8783118	0,9163758	0,8684087	0,1285136	0,5017562	0,9680245	0,5457444	1,0133706	0,9546278	0,1920978	0,8084923	0,5405328	1,0290730	0,8108694	0,7060305	1,0259628	0,7449432	0,7347158	0,6990638	0,4664809	0,5893587	1,0045740	0,8230890	0,4535127	0,3083355	0,6001790	0,3770275	0,4432924	0,4187880
640	0,5897805	0,6297494	0,2690226	0,9028457	0,9552528	0,8296683	0,1221799	0,5524666	0,9928299	0,5536131	1,0464189	1,0032822	0,1780462	0,8144112	0,4805318	1,0141739	0,7505819	0,7483228	1,0163860	0,6419849	0,6908999	0,6244821	0,4539979	0,5255508	0,9649871	0,8544327	0,4311594	0,3824966	0,5876413	0,5426105	0,5350704	0,4000430
660	0,5244017	0,6308885	0,2286356	0,9345246	0,8794810	0,8553182	0,1045801	0,5707407	0,9808525	0,5665672	1,0572947	1,0059748	0,1815461	0,8917077	0,5342548	0,9619139	0,7374942	0,7796837	1,0737291	0,6897380	0,6719134	0,6442918	0,4416897	0,5807761	0,9831107	0,9361985	0,4369430	0,4062400	0,6732904	0,6264357	0,6183653	0,4030026
680	0,5466886	0,5617146	0,2061413	0,9166187	0,9452330	0,8822648	0,1003223	0,5854033	1,0000643	0,5529959	1,0243562	0,9726249	0,1994938	0,8474015	0,5686605	0,9805259	0,8013301	0,8445896	0,9908538	0,5828572	0,7820450	0,6476002	0,4207767	0,5430117	0,9167011	0,8677025	0,4690894	0,5135857	0,6941965	0,7261029	0,6243116	0,4030013
700	0,6179949	0,5964817	0,2087998	0,8893637	0,9373365	0,9694403	0,1038595	0,5624757	0,9628277	0,6385113	1,0291641	1,0098055	0,1751065	0,8515266	0,5498069	0,9494428	0,7790034	0,8642731	0,9493009	0,5933632	0,7617083	0,6157033	0,4155265	0,4931845	0,9040052	0,8373910	0,4883780	0,5463324	0,6255974	0,8107988	0,6823906	0,4664091
