"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
720	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4206175	0,5241859	0,3183038	0,7084634	0,1166429	0,5972402	0,5787500	0,5504500	0,3129366	0,3085485	0,9833966	0,0515829	0,9747399	0,0270946	0,0503956	0,3813368	0,8494479	0,0567970	0,9980365	0,7831964	0,9940771	0,0267539	0,9879834	0,3796094
740	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4248722	0,5230687	0,3183038	0,7084634	0,1139997	0,5911972	0,5787500	0,5455581	0,3129366	0,3085485	0,9827686	0,0515829	0,9747399	0,0270946	0,0503956	0,3673607	0,8466190	0,0567970	0,9980096	0,7821356	0,9940717	0,0161778	0,9879834	0,3796094
760	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4277517	0,5215303	0,3183038	0,7084634	0,1120455	0,5859900	0,5787500	0,5418355	0,3129366	0,3085485	0,9823228	0,0515829	0,9747399	0,0270946	0,0503956	0,3580353	0,8446640	0,0567970	0,9979930	0,7814392	0,9940688	0,0100181	0,9879834	0,3796094
780	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4296774	0,5201583	0,3183038	0,7084634	0,1106256	0,5816278	0,5787500	0,5391615	0,3129366	0,3085485	0,9820096	0,0515829	0,9747399	0,0270946	0,0503956	0,3518620	0,8433273	0,0567970	0,9979828	0,7809867	0,9940673	0,0064708	0,9879834	0,3796094
800	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4309521	0,5191778	0,3183038	0,7084634	0,1096085	0,5780554	0,5787500	0,5373353	0,3129366	0,3085485	0,9817915	0,0515829	0,9747399	0,0270946	0,0503956	0,3477998	0,8424213	0,0567970	0,9979766	0,7806952	0,9940664	0,0044467	0,9879834	0,3796094
820	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4317882	0,5185995	0,3183038	0,7084634	0,1088883	0,5751837	0,5787500	0,5361408	0,3129366	0,3085485	0,9816406	0,0515829	0,9747399	0,0270946	0,0503956	0,3451391	0,8418115	0,0567970	0,9979729	0,7805086	0,9940659	0,0033005	0,9879834	0,3796094
840	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4323320	0,5183353	0,3183038	0,7084634	0,1083836	0,5729109	0,5787500	0,5353851	0,3129366	0,3085485	0,9815368	0,0515829	0,9747399	0,0270946	0,0503956	0,3434024	0,8414036	0,0567970	0,9979706	0,7803898	0,9940657	0,0026556	0,9879834	0,3796094
860	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4326829	0,5182732	0,3183038	0,7084634	0,1080331	0,5711356	0,5787500	0,5349160	0,3129366	0,3085485	0,9814657	0,0515829	0,9747399	0,0270946	0,0503956	0,3422721	0,8411321	0,0567970	0,9979693	0,7803145	0,9940656	0,0022948	0,9879834	0,3796094
880	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4329077	0,5183163	0,3183038	0,7084634	0,1077916	0,5697645	0,5787500	0,5346242	0,3129366	0,3085485	0,9814173	0,0515829	0,9747399	0,0270946	0,0503956	0,3415380	0,8409521	0,0567970	0,9979685	0,7802670	0,9940655	0,0020939	0,9879834	0,3796094
900	0,0152137	0,6187873	0,0381285	0,0299583	0,2699592	0,6042141	1,0000000	0,5599390	0,4330506	0,5183967	0,3183038	0,7084634	0,1076265	0,5687159	0,5787500	0,5344377	0,3129366	0,3085485	0,9813844	0,0515829	0,9747399	0,0270946	0,0503956	0,3410621	0,8408332	0,0567970	0,9979680	0,7802371	0,9940654	0,0019825	0,9879834	0,3796094
