"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
820	0,6094652	0,5770366	0,2242386	0,9145387	0,9385125	0,9978816	0,1084862	0,6137620	0,7943318	0,7437777	0,9764635	0,9844308	0,1874317	0,8280430	0,6183366	0,9945094	0,8368046	0,8556499	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9714936	0,5732889	0,7428692	0,7127895	0,9599774	0,7380176	0,5490418
840	0,6094652	0,5770366	0,2242386	0,9145271	0,9389917	0,9985704	0,1084862	0,6138420	0,7917544	0,7521363	0,9767132	0,9845577	0,1881832	0,8289913	0,6201739	0,9945484	0,8368119	0,8556532	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9726508	0,5743658	0,7499920	0,7174548	0,9655587	0,7404745	0,5504713
860	0,6094652	0,5770366	0,2242386	0,9145192	0,9393417	0,9990352	0,1084862	0,6138857	0,7901371	0,7589215	0,9768998	0,9846552	0,1887304	0,8296707	0,6214901	0,9945767	0,8368161	0,8556545	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9734146	0,5750815	0,7549988	0,7212346	0,9694668	0,7421434	0,5514363
880	0,6094652	0,5770366	0,2242386	0,9145138	0,9395949	0,9993489	0,1084862	0,6139097	0,7891334	0,7644096	0,9770377	0,9847295	0,1891257	0,8301541	0,6224262	0,9945972	0,8368185	0,8556550	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9739189	0,5755526	0,7584998	0,7242893	0,9722167	0,7432711	0,5520805
900	0,6094652	0,5770366	0,2242386	0,9145101	0,9397766	0,9995606	0,1084862	0,6139228	0,7885159	0,7688364	0,9771386	0,9847857	0,1894095	0,8304960	0,6230880	0,9946119	0,8368199	0,8556553	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9742517	0,5758600	0,7609371	0,7267535	0,9741627	0,7440296	0,5525065
920	0,6094652	0,5770366	0,2242386	0,9145076	0,9399062	0,9997035	0,1084862	0,6139299	0,7881387	0,7724000	0,9772118	0,9848277	0,1896120	0,8307366	0,6235534	0,9946224	0,8368206	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9744715	0,5760593	0,7626274	0,7287384	0,9755487	0,7445377	0,5527859
940	0,6094652	0,5770366	0,2242386	0,9145059	0,9399981	0,9997999	0,1084862	0,6139338	0,7879097	0,7752643	0,9772645	0,9848590	0,1897558	0,8309052	0,6238793	0,9946298	0,8368211	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9746166	0,5761875	0,7637958	0,7303353	0,9765428	0,7448768	0,5529678
960	0,6094652	0,5770366	0,2242386	0,9145047	0,9400629	0,9998650	0,1084862	0,6139360	0,7877713	0,7775641	0,9773022	0,9848822	0,1898575	0,8310228	0,6241065	0,9946351	0,8368214	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9747124	0,5762696	0,7646012	0,7316190	0,9772612	0,7451024	0,5530855
980	0,6094652	0,5770366	0,2242386	0,9145039	0,9401084	0,9999089	0,1084862	0,6139372	0,7876881	0,7794090	0,9773291	0,9848992	0,1899290	0,8311046	0,6242644	0,9946388	0,8368215	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9747757	0,5763218	0,7651551	0,7326501	0,9777845	0,7452521	0,5531612
1000	0,6094652	0,5770366	0,2242386	0,9145034	0,9401402	0,9999385	0,1084862	0,6139378	0,7876382	0,7808882	0,9773481	0,9849117	0,1899791	0,8311613	0,6243738	0,9946414	0,8368216	0,8556554	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9748174	0,5763550	0,7655351	0,7334777	0,9781688	0,7453512	0,5532097
