"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
1060	0,0969903	0,0635412	0,6437330	1,0460016	1,0537608	0,1300218	0,9380248	0,0342370	0,2587722	1,0599730	0,6689996	0,9146690	0,7861007	0,6577866	0,8002583	0,0435831	0,1079621	0,4396751	0,0979524	0,0098470	0,8117336	0,5728312	0,5711145	0,0103077	0,1457551	0,9167662	0,4318544	1,0499002	0,0372592	0,6221234	0,0909931	0,0104942
1080	0,0973992	0,0527712	0,6934285	1,0435447	1,0390572	0,1208603	0,8981032	0,0352865	0,2807734	1,0446218	0,6272361	0,9215539	0,8011320	0,6465398	0,7888972	0,0385829	0,0767409	0,4453426	0,0889309	0,0106972	0,7461076	0,5377790	0,5558718	0,0082621	0,1393769	0,8660020	0,3783450	1,0237575	0,0357159	0,5800129	0,1055020	0,0148544
1100	0,0912198	0,0532711	0,7679286	0,9550478	1,0045818	0,1509553	0,9095429	0,0417249	0,3216597	1,0499944	0,5616615	0,8847329	0,8122003	0,6227874	0,7149279	0,0395289	0,0573027	0,4066857	0,0957904	0,0104896	0,7011026	0,4972908	0,5266275	0,0050360	0,1322878	0,9128512	0,3218610	1,0385864	0,0335709	0,6116975	0,0867481	0,0068422

0	0,0767886	0,0357004	0,6727772	1,0103464	1,0400017	0,1408464	1,0835462	0,0485554	0,3303267	1,0022847	0,6806680	1,0762769	0,8776689	0,5832873	0,8412342	0,0355475	0,0745678	0,4388190	0,0896362	0,0149703	0,7846062	0,4990938	0,4940103	0,0054235	0,1405700	0,9263564	0,3830469	1,0458554	0,0579018	0,4824618	0,1325240	0,0015083
20	0,0613452	0,0339338	0,6751153	0,9624206	0,8927044	0,1265512	1,0072071	0,0350227	0,2775306	0,8136567	0,6215886	0,9912463	0,8769024	0,5908674	0,7679114	0,0465748	0,0904837	0,3915840	0,0852094	0,0197603	0,7568576	0,4763567	0,5866027	0,0049338	0,1260145	1,0093518	0,3166315	1,0419813	0,0936472	0,6696988	0,3215772	0,0236260
40	0,0613285	0,0400140	0,6406301	0,9989508	0,7613291	0,1626727	0,9559440	0,0362448	0,2999805	0,5601245	0,5859997	1,0284083	0,9196272	0,6184504	0,8398472	0,0779092	0,0858473	0,5099444	0,0950836	0,0165556	0,7750050	0,4691093	0,5727097	0,0151192	0,1276435	0,9525923	0,3281099	1,0224848	0,1494040	0,7712680	0,6115041	0,0405453
60	0,0527268	0,0481527	0,5917308	0,9825164	0,6575736	0,1302869	0,9010234	0,0339074	0,3401127	0,3739829	0,5692349	1,0674963	0,8969285	0,6192926	0,7794183	0,1009925	0,0931836	0,5406270	0,0932058	0,0175116	0,8161794	0,5467637	0,5696565	0,0220446	0,1624895	1,0128751	0,3244032	0,9988770	0,2282270	0,7995842	0,8210020	0,0916948
80	0,0610795	0,0528418	0,6349703	1,0461690	0,5542483	0,1879584	0,8333180	0,0379780	0,4210040	0,2636714	0,5908747	1,0700476	0,8834540	0,6196353	0,7771145	0,1062170	0,0690322	0,6264054	0,1047350	0,0201162	0,8169910	0,5230175	0,5273016	0,0297775	0,2032477	0,9728162	0,3509667	0,9304331	0,3346746	0,7725309	0,8650981	0,1044423
100	0,0756984	0,0451938	0,6435084	1,0587263	0,5124892	0,2488419	0,8498945	0,0472773	0,4241232	0,1932464	0,6172876	1,1438806	0,8652776	0,6011304	0,7733252	0,1462672	0,0749540	0,7318969	0,0932654	0,0197244	0,8281160	0,5436348	0,5150934	0,0308472	0,2756465	0,9294240	0,3327002	0,9051870	0,3646314	0,7927418	0,8789619	0,1071492
120	0,0652635	0,0509786	0,6943567	1,0457792	0,4097584	0,2935570	0,7979626	0,0379817	0,4705847	0,1321152	0,6653199	1,1476842	0,8793399	0,5979326	0,8296816	0,1893477	0,0637427	0,7692990	0,0809274	0,0339593	0,8239156	0,5659569	0,5365284	0,0178381	0,2854684	0,9147192	0,2748610	0,9115727	0,4174596	0,8279198	0,9385100	0,1115808
