"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
740	0,0622996	0,0352051	0,5134953	0,7867130	0,8445418	0,0690970	0,7810099	0,0225324	0,2821044	0,6712247	0,4545771	0,7969461	0,7480395	0,4156700	0,4367296	0,0331156	0,1032637	0,3619725	0,0518474	0,0125420	0,7533151	0,3840608	0,3584742	0,0548013	0,1378440	0,7272459	0,2817421	0,6574757	0,0221414	0,4546349	0,0828455	0,0049752
760	0,0402123	0,0225438	0,4708056	0,6675324	0,7783346	0,1265607	0,6224774	0,0306432	0,1791126	0,7276141	0,4573046	0,6494688	0,6746940	0,4201227	0,3945077	0,0070118	0,0408873	0,2677693	0,0374921	0,0164633	0,5467466	0,6120707	0,3475812	0,0400572	0,2053748	0,7947522	0,1997676	0,6626741	0,0373160	0,3857851	0,0889496	0,0077492
780	0,0832450	0,0570655	0,5281311	0,8846153	0,7055700	0,1221236	0,8394870	0,0358059	0,1796448	0,7968266	0,5465179	0,7778519	0,6553989	0,4258423	0,4469000	0,0036310	0,0624515	0,2993513	0,0477780	0,0073102	0,6854512	0,4421758	0,4057785	0,0904187	0,1296571	0,6911537	0,2530120	0,7164041	0,0331740	0,3553276	0,0907907	0,0014400
800	0,0464871	0,0341393	0,4765057	0,7420901	0,7572306	0,0983261	0,8625716	0,0300075	0,2173178	0,7905312	0,4196626	0,7831343	0,7260941	0,3724677	0,6511061	0,0161043	0,1095986	0,3208634	0,0309637	0,0099751	0,5462459	0,5148454	0,3315085	0,0327248	0,1487286	0,8228145	0,2664534	0,7017293	0,0211980	0,3380537	0,1182344	0,0034688
820	0,0991443	0,0278281	0,4390367	0,6720671	0,7956469	0,0910854	0,7752993	0,0238730	0,1481136	0,8021627	0,4296166	0,7299480	0,7472554	0,4489431	0,5786163	0,0182759	0,0718853	0,3187680	0,0255898	0,0133646	0,5754662	0,4880542	0,4303295	0,0089939	0,1604402	0,7464885	0,3561269	0,6971969	0,0285757	0,3060268	0,1032647	0,0029686
840	0,0700013	0,0450763	0,6319486	0,6621441	0,8834301	0,0858052	0,7477096	0,0148840	0,2785296	0,8635331	0,4391198	0,7620156	0,5819230	0,3461319	0,6127819	0,0199777	0,0899650	0,3481484	0,0301116	0,0254185	0,6815266	0,3311334	0,3996547	0,0325460	0,0987738	0,8139568	0,3106636	0,8270779	0,0331913	0,3953879	0,1415343	0,0010056
860	0,0835123	0,0269649	0,6006130	0,7377431	0,8291453	0,1174027	0,6788716	0,0138432	0,2259266	0,6528142	0,4481199	0,7103509	0,5942766	0,4584201	0,6630154	0,0280401	0,0322422	0,3654321	0,0735102	0,0160864	0,6514810	0,3239748	0,3937850	0,0074027	0,0894380	0,7831742	0,2225306	0,6614488	0,0121124	0,3806503	0,0958557	0,0020475
880	0,0652557	0,0586695	0,4228138	0,8029860	0,8619702	0,0584080	0,8196907	0,0302402	0,2267700	0,7241574	0,3530624	0,7039633	0,5876727	0,4643756	0,6247542	0,0184527	0,0526532	0,3166392	0,0742488	0,0231522	0,7595908	0,4096911	0,4001375	0,0285512	0,0753017	0,7312508	0,3107742	0,7353993	0,0192564	0,3918440	0,0908751	0,0022843
900	0,0446166	0,0198760	0,5685240	0,8204868	0,8555771	0,0924779	0,9791305	0,0310527	0,2304786	0,8026764	0,4664971	0,6415513	0,6801907	0,4489659	0,6115438	0,0149743	0,1154958	0,2748595	0,0537721	0,0116184	0,6774202	0,3915936	0,5065793	0,0043049	0,1232118	0,7351298	0,2791682	0,8296528	0,0044737	0,3978910	0,0838872	0,0006896
920	0,0547758	0,0400741	0,4914076	0,6396251	0,8738697	0,1115483	0,7330323	0,0280197	0,3102733	0,8124652	0,4967669	0,7203993	0,7187651	0,4647211	0,6184347	0,0147914	0,1039537	0,2933729	0,0550736	0,0258032	0,5387506	0,4257525	0,4134277	0,0154252	0,0878400	0,6380032	0,2206403	0,7246900	0,0089064	0,3411669	0,0932632	0,0068003
940	0,0506366	0,0536655	0,6302866	0,6247283	0,8516894	0,0918283	0,7935730	0,0315294	0,1962455	0,6895263	0,4838043	0,8536791	0,5907635	0,4027927	0,5501505	0,0165386	0,1361650	0,2847024	0,0941454	0,0076701	0,5842102	0,4259558	0,3903330	0,0061562	0,1018867	0,6528657	0,2379130	0,7255462	0,0247633	0,3790397	0,1051708	0,0111095
960	0,0751142	0,0307418	0,5841142	0,8552872	0,6791791	0,1096396	0,8596761	0,0241202	0,2336989	0,7436765	0,4299632	0,6836758	0,7040655	0,5502786	0,5486406	0,0138127	0,1118031	0,3945138	0,0893883	0,0141912	0,7461628	0,4300276	0,3098516	0,0084980	0,0873472	0,5875030	0,3473753	0,7085357	0,0059207	0,4730578	0,0864713	0,0010336
980	0,0798225	0,0343885	0,5831034	0,8921941	0,7600999	0,0916983	0,8771103	0,0444608	0,2176027	0,7668690	0,4664367	0,7200383	0,6465546	0,5081026	0,4859003	0,0318797	0,0814954	0,3756905	0,0659369	0,0143119	0,6349682	0,3959165	0,3712511	0,0111793	0,1074016	0,6655426	0,2766387	0,7156097	0,0150187	0,4339763	0,0603360	0,0021767
1000	0,0507643	0,0495536	0,4086548	0,7088772	0,7598093	0,0890165	0,8207086	0,0287197	0,1764246	0,7296421	0,4365854	0,6834630	0,7389846	0,4483383	0,4418507	0,0465452	0,1179078	0,2913849	0,0632550	0,0096856	0,7083013	0,4663742	0,3797213	0,0208271	0,0938213	0,7834905	0,2384540	0,6120796	0,0172290	0,3457340	0,0921287	0,0017740
1020	0,0652881	0,0421429	0,4915303	0,7547047	0,8190153	0,1236763	0,7552782	0,0353138	0,1581909	0,8233096	0,4366618	0,6938812	0,6119077	0,4647520	0,4853147	0,0391794	0,1070014	0,3455600	0,1319947	0,0085479	0,5557223	0,4519395	0,5304426	0,0214935	0,0899542	0,6471836	0,3702516	0,7943872	0,0142813	0,4858935	0,0790930	0,0064183
