"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
780	0,3378667	0,3154300	0,1801843	0,1891846	0,4363081	0,3660841	0,1797726	0,4174283	0,6316306	0,7931168	0,4593203	0,9042109	0,2098096	0,4861929	0,4920652	0,6254072	0,6157263	0,4331711	0,3775739	0,0976174	0,1643620	0,1091429	0,5834324	0,3111781	0,6868850	0,5500006	0,5462116	0,6679332	0,0869658	0,0223965	0,1620968	0,3741751
800	0,2960897	0,2814957	0,1101366	0,1947645	0,3553297	0,4281958	0,1791815	0,4842614	0,6433599	0,5390546	0,3980595	0,8006973	0,1282874	0,4973916	0,5360994	0,6903269	0,6185660	0,4553481	0,3173831	0,1053549	0,1905585	0,1092653	0,5623944	0,3268942	0,6711164	0,6195496	0,6451438	0,6953096	0,0676184	0,0193293	0,2321512	0,3875326
820	0,3766410	0,3705695	0,1647130	0,1949492	0,4239466	0,3483041	0,1816675	0,4122572	0,6585282	0,5194639	0,4211236	0,7217531	0,1846388	0,4742356	0,5050368	0,6456172	0,6139529	0,5076293	0,3992357	0,0753941	0,1940079	0,0739737	0,6754627	0,3654926	0,6457781	0,5895924	0,6669370	0,6259591	0,0773380	0,0400416	0,2201930	0,3552576
840	0,2956044	0,2565011	0,2052638	0,2445802	0,3777074	0,5020037	0,3041514	0,3694289	0,6176421	0,5492606	0,4792250	0,7697471	0,1252555	0,4280216	0,5099386	0,6678764	0,7202710	0,4717155	0,4530434	0,0790785	0,2098464	0,1515178	0,6013683	0,2883438	0,6108259	0,5898556	0,6796032	0,4863782	0,0497628	0,0079579	0,2367024	0,3189385
860	0,3930765	0,2529087	0,1568031	0,2313606	0,3379827	0,5603340	0,1578024	0,4208954	0,7060665	0,5628037	0,4750331	0,7516716	0,1292806	0,3682029	0,4319278	0,6892163	0,7483932	0,5222131	0,3895797	0,1013897	0,1940393	0,1130240	0,5781566	0,2899834	0,5304261	0,6225980	0,7227279	0,5590636	0,0835002	0,0252636	0,2223279	0,3462296
880	0,3201686	0,2495556	0,2138207	0,1917531	0,3643279	0,4932351	0,1603422	0,4567743	0,6714446	0,5908656	0,4550930	0,8214353	0,1804927	0,4928149	0,4294371	0,6941868	0,6002508	0,5279479	0,4491781	0,0861071	0,1880063	0,1152789	0,6891449	0,3692595	0,6734368	0,5692466	0,6541252	0,6535778	0,0680188	0,0252799	0,2722568	0,3229107
900	0,3180549	0,2880063	0,1905035	0,2269825	0,3085335	0,4679162	0,1868120	0,3888625	0,7327634	0,5844694	0,4941717	0,7783103	0,1160614	0,4246932	0,5318936	0,6949797	0,6644885	0,5062271	0,3907853	0,1140262	0,2070012	0,0930408	0,6667513	0,2539071	0,6535875	0,6733740	0,5578953	0,5327664	0,0682117	0,0191620	0,2032077	0,3556347
920	0,4078684	0,2782773	0,1776790	0,2544696	0,2945145	0,5795031	0,1969042	0,4653870	0,7557799	0,6582923	0,4725538	0,7306444	0,1413395	0,3683188	0,5285354	0,6099863	0,7009260	0,4384220	0,3889643	0,1198710	0,2164153	0,0821682	0,6123199	0,1755942	0,8026190	0,6727334	0,6065637	0,5175219	0,0685900	0,0245748	0,1997818	0,5042562
940	0,2981546	0,2635500	0,1431941	0,2244846	0,4109643	0,5161068	0,1621665	0,4245832	0,7111032	0,5958871	0,4983361	0,6779987	0,1495086	0,5052347	0,4744352	0,6131663	0,5844186	0,5661212	0,2950636	0,1338388	0,2185493	0,0658980	0,6545925	0,2857215	0,7280540	0,5954817	0,7268752	0,7411930	0,0408586	0,0241537	0,3105645	0,4794851
960	0,3521670	0,2394180	0,1407089	0,3027341	0,3538453	0,4735381	0,1451193	0,5677699	0,7800857	0,8211727	0,4143070	0,7564164	0,1690270	0,5174146	0,5042475	0,5185590	0,6454902	0,4912200	0,4374066	0,1342197	0,2841872	0,1166710	0,5904302	0,2173811	0,6395757	0,5376783	0,5452308	0,6192666	0,0363946	0,0217039	0,2595296	0,3815022
980	0,3228771	0,2042027	0,2341831	0,2824083	0,3251647	0,6050957	0,1616716	0,5354379	0,7889047	0,6978159	0,3815759	0,7800029	0,0875202	0,4649122	0,4539235	0,6722183	0,6613450	0,4884042	0,3654095	0,1184912	0,2669379	0,1114616	0,6348012	0,2027818	0,6104772	0,5413301	0,7269876	0,6292257	0,0521147	0,0478240	0,2433078	0,4836206
1000	0,2906606	0,2201835	0,1836008	0,3056847	0,3888158	0,3994283	0,2093245	0,5012597	0,6369490	0,7009943	0,3809989	0,7148228	0,1859818	0,3906645	0,4724847	0,5740609	0,6766724	0,4736283	0,3310882	0,1195923	0,2681056	0,0850148	0,6803095	0,2423286	0,6920566	0,6745638	0,5282104	0,5687088	0,0496544	0,0248530	0,1578609	0,3323421
1020	0,2411084	0,2111373	0,1905974	0,2435363	0,3076625	0,5111767	0,1455452	0,4107114	0,6632486	0,7133662	0,4308174	0,7152204	0,1660009	0,5212282	0,5116165	0,5499649	0,6578411	0,6209087	0,4788011	0,1465598	0,2362753	0,1075386	0,6512310	0,2205000	0,6997503	0,5412003	0,5857772	0,6927536	0,0875097	0,0110995	0,1062848	0,3103189
1040	0,2678270	0,2472761	0,1716585	0,2014628	0,3234985	0,4438526	0,1699312	0,3888461	0,5900718	0,6177083	0,5114275	0,6480460	0,1889775	0,4427967	0,5041749	0,7000077	0,5557894	0,4587868	0,4320860	0,1612861	0,2388493	0,0661231	0,7801031	0,1588259	0,6429680	0,3955633	0,5747929	0,6038632	0,0723530	0,0181467	0,2189957	0,3905616
1060	0,3226345	0,2813481	0,1857536	0,2907112	0,3396095	0,6775240	0,1068071	0,3480566	0,7799906	0,7566352	0,3799568	0,7164125	0,1114103	0,4215226	0,5588570	0,6868561	0,5509043	0,5821538	0,4845317	0,1594064	0,2325253	0,0576732	0,7161505	0,1297898	0,6317268	0,5714000	0,6482646	0,6379704	0,0632928	0,0305579	0,2044252	0,3150837
1080	0,2049213	0,3258440	0,2190330	0,2458735	0,3137453	0,5021963	0,1535098	0,3717438	0,5484867	0,6216217	0,4125556	0,7255222	0,1856390	0,4716465	0,4848524	0,7524940	0,7242118	0,5651769	0,4633840	0,2143779	0,2453906	0,1060923	0,5975116	0,1107917	0,6162613	0,6109817	0,6362154	0,6189159	0,0552708	0,0262703	0,2012140	0,3364906
1100	0,2557957	0,2073135	0,2069865	0,2575909	0,2690496	0,5572371	0,1160786	0,5183871	0,7484664	0,5914382	0,3973954	0,6734068	0,1458523	0,4155735	0,5627480	0,6352451	0,6389091	0,6073850	0,4320266	0,1600662	0,1721899	0,0986397	0,6697213	0,0934544	0,6943187	0,5814236	0,4992042	0,6480184	0,0871974	0,0225975	0,2180709	0,4077861

0	0,3162058	0,3024902	0,1798277	0,2442736	0,3248868	0,6268764	0,1512480	0,4055007	0,7262359	0,6677674	0,4612319	0,6920404	0,1733188	0,5427513	0,4196404	0,6116719	0,6444994	0,4145153	0,3291380	0,1406159	0,3212417	0,0660094	0,7712655	0,0941417	0,6000064	0,5342744	0,5068891	0,6214929	0,0500761	0,0131132	0,1999997	0,3096500
20	0,3185968	0,2970356	0,1595363	0,5559117	0,2951775	0,4026257	0,1616921	0,5347981	0,6416585	0,6694646	0,3809845	0,8339653	0,1551411	0,4882977	0,5392378	0,4904494	0,7366216	0,4134293	0,5443660	0,1407371	0,3125481	0,0893293	0,7905470	0,2649111	0,7227175	0,6715063	0,4511828	0,3610900	0,0154542	0,0355104	0,1876372	0,2596659
40	0,3415269	0,2882129	0,2178071	0,5114962	0,3553194	0,3196219	0,1272413	0,3517576	0,7269116	0,7308076	0,3839241	0,7751525	0,1533290	0,3595292	0,4390579	0,6187352	0,6112102	0,5634336	0,5127503	0,0487666	0,3053572	0,0653107	0,7658034	0,3755010	0,5898016	0,5101470	0,5149274	0,2602417	0,0273719	0,0574379	0,1483390	0,2380094
60	0,3447899	0,3127133	0,2054613	0,6086750	0,2947358	0,2728155	0,1244071	0,3441610	0,7799505	0,6310883	0,2449545	0,7145156	0,1330966	0,5237810	0,5043818	0,5540208	0,6916897	0,5059737	0,5883084	0,0683561	0,2127972	0,0859371	0,9411977	0,4792145	0,6101621	0,5568747	0,4465135	0,1857238	0,0046096	0,0180107	0,1692890	0,2736909
80	0,2976433	0,2630535	0,2280027	0,6483523	0,3126242	0,2417947	0,1045324	0,4348162	0,7104647	0,6558212	0,2715065	0,7230664	0,1075053	0,4275813	0,5427881	0,6628165	0,5443275	0,4414119	0,6331095	0,0673430	0,2202344	0,0940948	0,7458491	0,5233457	0,6738745	0,5718509	0,5167539	0,1720009	0,0017545	0,0240464	0,1927745	0,2700738
100	0,3314552	0,2641448	0,2340098	0,5671671	0,2435066	0,2117167	0,1323697	0,4872484	0,5953178	0,7723233	0,2376844	0,6678129	0,1449904	0,4623368	0,4331335	0,6658777	0,6711404	0,5525862	0,7010054	0,1264257	0,1684774	0,1046054	0,7380205	0,4772912	0,6581613	0,5023664	0,5522640	0,0911110	0,0011971	0,0400985	0,1728427	0,2231216
120	0,3222529	0,2910566	0,1457501	0,5838273	0,2086994	0,2022280	0,1261555	0,4303616	0,6093565	0,7888487	0,2204501	0,6417868	0,1359625	0,4053839	0,4209042	0,6199084	0,7680964	0,5158125	0,6717953	0,1278086	0,1054229	0,0835399	0,6209481	0,4947205	0,7714609	0,4742014	0,4429238	0,0785224	0,0003800	0,0379330	0,2375500	0,3183678
140	0,3196270	0,3649368	0,2006635	0,5247237	0,2328201	0,2179751	0,1181577	0,4287589	0,6631041	0,9607169	0,2177357	0,7062222	0,1141998	0,3992870	0,3552643	0,5665145	0,5874151	0,3571562	0,6157334	0,1214951	0,1138164	0,0529464	0,5392312	0,5080212	0,8093157	0,4904729	0,5947338	0,0720590	0,0018268	0,0166601	0,1829633	0,2631614
160	0,2952850	0,2914511	0,1513805	0,5456938	0,2291327	0,2279164	0,1229332	0,4712659	0,7526751	0,7211500	0,1702619	0,7214745	0,0976045	0,4059308	0,3838077	0,7213324	0,5807894	0,3496969	0,6826850	0,1087389	0,0466667	0,0363292	0,5413807	0,5196820	0,7552505	0,5102930	0,4240273	0,0717285	0,0006082	0,0307796	0,1839849	0,2851464
180	0,2928100	0,2371195	0,1654175	0,5746333	0,2141294	0,2137783	0,1293897	0,3897239	0,7561450	0,6573279	0,1698115	0,7303076	0,1278052	0,3861678	0,3461394	0,5622665	0,5271823	0,2727302	0,6922307	0,0844611	0,0908687	0,0906147	0,6899962	0,5234880	0,5931658	0,6290027	0,4909597	0,0967949	0,0030183	0,0124691	0,1883789	0,2898694
200	0,2969389	0,2404316	0,1689538	0,5207998	0,1410854	0,1955519	0,0604615	0,4767049	0,7519349	0,6244680	0,1610251	0,7739885	0,1270424	0,3636358	0,3215334	0,6511850	0,5701531	0,4374450	0,7722991	0,1259867	0,0583643	0,0513116	0,6729919	0,5058025	0,7891646	0,5923555	0,5632640	0,0472020	0,0002121	0,0162860	0,2219017	0,3431068
220	0,3557455	0,2837758	0,1798097	0,6608347	0,1970285	0,2256127	0,0952733	0,4381659	0,6076385	0,7098375	0,1341638	0,7494307	0,1107123	0,4190476	0,3209662	0,5760084	0,5397244	0,2477958	0,8832298	0,1244988	0,0534773	0,0629297	0,5961422	0,5418141	0,7228310	0,6734173	0,5747422	0,0556538	0,0003355	0,0313978	0,2144295	0,2774454
240	0,3440711	0,2704481	0,1620194	0,6035815	0,1752905	0,2711877	0,0602158	0,3818346	0,7604574	0,7487702	0,1064733	0,6777388	0,1095814	0,4263994	0,2632507	0,6758158	0,3938928	0,2741561	0,8061792	0,1390194	0,0564868	0,0433610	0,5615480	0,5142260	0,7435834	0,7283399	0,4911460	0,0448276	0,0011856	0,0109973	0,1706247	0,3450915
260	0,2681103	0,2888117	0,1799367	0,5858475	0,1236004	0,3069945	0,0944913	0,4213566	0,6696527	0,7384130	0,1230449	0,6865626	0,1433209	0,5494649	0,2540231	0,8273518	0,3950285	0,2942833	0,6955981	0,1037635	0,0687888	0,0678950	0,5210349	0,6011798	0,7510441	0,6813496	0,4790170	0,0138488	0,0000000	0,0119162	0,1577485	0,4565834
280	0,2731872	0,3220737	0,2060375	0,6387053	0,1339033	0,1986566	0,0763833	0,3542261	0,7561323	0,7067600	0,0808160	0,7516293	0,1215666	0,4089965	0,2773696	0,6499124	0,3978221	0,3174283	0,6081400	0,1369515	0,0738314	0,0652604	0,4929069	0,4440020	0,7140433	0,6885105	0,4301499	0,0435983	0,0007275	0,0177692	0,1791709	0,3599546
300	0,3084159	0,3506239	0,1689801	0,6698748	0,1885820	0,2604715	0,0813405	0,3995660	0,6412541	0,7603254	0,0843799	0,7172446	0,1956202	0,4772210	0,3118832	0,6908705	0,4589000	0,2785202	0,8288833	0,1747078	0,0573813	0,0408898	0,5758937	0,6193710	0,7397018	0,5921760	0,4296452	0,0625422	0,0001317	0,0373236	0,1651450	0,3326840
