"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
500	0,6052116	0,9941021	0,8148889	0,9941741	0,9545106	0,2815510	0,9481968	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7100140	0,9999999	0,9978306	0,4171789	0,8911200	0,9136299	0,2975150	0,3437868	0,4401772	0,5338338	0,9997564	0,7933179	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044508
520	0,6052116	0,9941021	0,8148901	0,9941741	0,9545106	0,2815510	0,9481976	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7100179	0,9999999	0,9978306	0,4171826	0,8911201	0,9136299	0,2975150	0,3437858	0,4401772	0,5338332	0,9997568	0,7933189	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044508
540	0,6052116	0,9941021	0,8148910	0,9941741	0,9545106	0,2815510	0,9481981	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7100205	0,9999999	0,9978306	0,4171852	0,8911201	0,9136299	0,2975150	0,3437852	0,4401772	0,5338328	0,9997571	0,7933196	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044508
560	0,6052116	0,9941021	0,8148916	0,9941741	0,9545106	0,2815510	0,9481984	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,7100222	0,9999999	0,9978306	0,4171870	0,8911202	0,9136299	0,2975150	0,3437848	0,4401772	0,5338325	0,9997574	0,7933201	0,9955902	0,5077841	0,9999687	0,9154615	0,8488814	0,9989052	0,6044508
580	0,6052116	0,9941021	0,8147780	0,9801265	0,9545106	0,2815510	0,8690880	0,6982800	0,9351674	0,9997091	0,0935867	0,9391186	0,2388242	0,5929382	0,9999999	0,9978306	0,4052144	0,8404991	0,9136299	0,2975150	0,5323897	0,4401772	0,5526044	0,9996229	0,7932291	0,9955902	0,5077841	0,9999686	0,7228526	0,8488814	0,9987898	0,6044508
600	0,6052116	0,9941021	0,8142904	0,9733700	0,9545106	0,2815510	0,8203740	0,6982800	0,9351674	0,9997091	0,0935867	0,9391184	0,2388242	0,5154401	0,9999999	0,9978306	0,3964975	0,8103671	0,9136299	0,2975150	0,6483290	0,4401772	0,5650204	0,9994766	0,7928178	0,9955902	0,5077841	0,9999685	0,6349306	0,8488814	0,9987133	0,6044508
620	0,6052116	0,9941021	0,8135251	0,9701204	0,9545106	0,2815510	0,7891772	0,6982800	0,9351674	0,9997091	0,0935867	0,9391180	0,2388242	0,4641439	0,9999999	0,9978306	0,3898088	0,7924312	0,9136299	0,2975150	0,7195992	0,4401772	0,5732326	0,9992961	0,7921343	0,9955902	0,5077841	0,9999682	0,5947959	0,8488814	0,9986625	0,6044508
640	0,6052116	0,9941021	0,8126679	0,9685573	0,9545106	0,2815510	0,7685284	0,6982800	0,9351674	0,9997091	0,0935867	0,9391176	0,2388242	0,4301909	0,9999999	0,9978306	0,3845773	0,7817550	0,9136299	0,2975150	0,7634104	0,4401772	0,5786643	0,9990793	0,7913263	0,9955902	0,5077841	0,9999678	0,5764753	0,8488814	0,9986289	0,6044508
660	0,6052116	0,9941021	0,8118525	0,9678055	0,9545106	0,2815510	0,7545097	0,6982800	0,9351674	0,9997091	0,0935867	0,9391171	0,2388242	0,4077173	0,9999999	0,9978306	0,3804849	0,7754000	0,9136299	0,2975150	0,7903421	0,4401772	0,5822569	0,9988361	0,7905184	0,9955902	0,5077841	0,9999675	0,5681123	0,8488814	0,9986065	0,6044508
680	0,6052116	0,9941021	0,8111465	0,9674439	0,9545106	0,2815510	0,7448192	0,6982800	0,9351674	0,9997091	0,0935867	0,9391167	0,2388242	0,3928420	0,9999999	0,9978306	0,3773108	0,7716172	0,9136299	0,2975150	0,8068975	0,4401772	0,5846332	0,9985818	0,7897871	0,9955902	0,5077841	0,9999671	0,5642948	0,8488814	0,9985917	0,6044508
