"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
460	0,4876604	0,1942335	0,4594849	0,6480036	0,7346528	0,8828010	0,8291050	0,6043191	0,5756077	0,6895704	0,9571223	0,8459400	0,9208244	0,9965919	0,8636455	0,5626358	0,3700761	0,6036096	0,0639894	0,2913529	0,6661676	0,4513846	0,0095969	0,1436273	0,6550922	0,1551490	0,7170330	0,2426959	0,1510085	0,9734289	0,8917749	0,1205516
480	0,4876604	0,1942336	0,4594848	0,6480068	0,7342245	0,8828010	0,8291050	0,6043186	0,5756284	0,6895232	0,9569307	0,8457894	0,9206459	0,9965861	0,8636187	0,5625478	0,3700761	0,6036228	0,0639780	0,2913529	0,6661679	0,4513846	0,0095969	0,1436273	0,6550935	0,1551436	0,7169951	0,2425493	0,1507828	0,9734189	0,8918010	0,1205511
500	0,4876604	0,1942336	0,4594848	0,6480095	0,7338714	0,8828010	0,8291050	0,6043183	0,5756416	0,6894905	0,9567704	0,8456650	0,9204964	0,9965814	0,8635966	0,5624746	0,3700761	0,6036315	0,0639707	0,2913529	0,6661680	0,4513846	0,0095969	0,1436273	0,6550944	0,1551401	0,7169669	0,2424452	0,1506200	0,9734115	0,8918183	0,1205509
520	0,4876604	0,1942336	0,4594847	0,6480118	0,7335803	0,8828010	0,8291050	0,6043181	0,5756499	0,6894678	0,9566365	0,8455622	0,9203715	0,9965774	0,8635783	0,5624139	0,3700761	0,6036372	0,0639661	0,2913529	0,6661681	0,4513846	0,0095969	0,1436273	0,6550950	0,1551378	0,7169460	0,2423715	0,1505029	0,9734061	0,8918297	0,1205508
540	0,4876604	0,1942337	0,4594847	0,6480137	0,7333403	0,8828010	0,8291050	0,6043180	0,5756551	0,6894520	0,9565249	0,8454773	0,9202675	0,9965742	0,8635633	0,5623635	0,3700761	0,6036410	0,0639631	0,2913529	0,6661682	0,4513846	0,0095969	0,1436273	0,6550953	0,1551363	0,7169304	0,2423194	0,1504190	0,9734022	0,8918372	0,1205507
560	0,4876604	0,1942337	0,4594847	0,6480153	0,7331424	0,8828010	0,8291050	0,6043179	0,5756584	0,6894410	0,9564320	0,8454072	0,9201810	0,9965715	0,8635508	0,5623217	0,3700761	0,6036435	0,0639612	0,2913529	0,6661682	0,4513846	0,0095969	0,1436273	0,6550956	0,1551353	0,7169188	0,2422827	0,1503590	0,9733993	0,8918421	0,1205506
580	0,4876604	0,1942337	0,4594846	0,6480167	0,7347158	0,9402996	0,8291050	0,6917333	0,5707965	0,6984954	0,9565998	0,8469147	0,7980536	0,9965701	0,8261719	0,5625307	0,3700761	0,4140983	0,4005272	0,2913529	0,5641382	0,4513846	0,0095969	0,1543279	0,6276890	0,2782360	0,7175429	0,2458921	0,1523478	0,9453994	0,8892871	0,5129123
600	0,4876604	0,1942337	0,4594846	0,6480178	0,7420487	0,9695891	0,8291050	0,7435215	0,5513157	0,7316002	0,9576182	0,8526766	0,7186074	0,9965738	0,8043980	0,5635477	0,3700761	0,2890792	0,6156546	0,2913529	0,5055039	0,4513846	0,0095969	0,1554442	0,6098847	0,3578724	0,7201372	0,2615070	0,1613997	0,9306248	0,8775689	0,7290859
620	0,4876604	0,1942337	0,4594846	0,6480188	0,7537150	0,9845089	0,8291050	0,7742027	0,5234840	0,7735074	0,9593522	0,8604196	0,6683747	0,9965882	0,7926043	0,5651911	0,3700761	0,2066199	0,7531606	0,2913529	0,4718081	0,4513846	0,0095969	0,1555606	0,5983183	0,4093384	0,7240145	0,2866782	0,1770547	0,9245960	0,8577837	0,8483634
640	0,4876604	0,1942337	0,4594846	0,6480196	0,7670111	0,9921089	0,8291050	0,7923794	0,4952506	0,8105586	0,9614649	0,8680022	0,6378548	0,9966168	0,7867313	0,5671122	0,3700761	0,1522319	0,8410521	0,2913529	0,4524439	0,4513846	0,0095969	0,1555728	0,5908043	0,4425950	0,7282127	0,3161760	0,1971408	0,9232859	0,8343523	0,9142251
660	0,4876604	0,1942337	0,4594846	0,6480203	0,7800338	0,9959803	0,8291050	0,8031479	0,4708058	0,8384122	0,9636862	0,8745356	0,6204722	0,9966587	0,7841752	0,5690540	0,3700761	0,1163590	0,8972309	0,2913529	0,4413157	0,4513846	0,0095969	0,1555740	0,5859229	0,4640880	0,7321557	0,3457325	0,2193196	0,9241741	0,8112205	0,9506108
680	0,4876604	0,1942338	0,4594846	0,6480208	0,7917837	0,9979524	0,8291050	0,8095276	0,4514099	0,8577016	0,9658402	0,8798457	0,6116777	0,9967103	0,7833713	0,5708627	0,3700761	0,0926982	0,9331395	0,2913529	0,4349206	0,4513846	0,0095969	0,1555742	0,5827518	0,4779812	0,7355888	0,3725855	0,2414649	0,9258818	0,7907495	0,9707222
700	0,4876604	0,1942338	0,4594846	0,6480213	0,8018761	0,9989570	0,8291050	0,8133071	0,4368289	0,8704858	0,9678259	0,8840388	0,6083300	0,9967667	0,7834230	0,5724605	0,3700761	0,0770921	0,9560916	0,2913528	0,4312455	0,4513846	0,0095969	0,1555742	0,5806917	0,4869638	0,7384449	0,3953668	0,2619784	0,9277208	0,7738835	0,9818442
720	0,4876604	0,1942338	0,4594846	0,6480217	0,8102762	0,9994687	0,8291050	0,8155463	0,4262589	0,8787556	0,9695944	0,8872999	0,6082823	0,9968232	0,7838391	0,5738206	0,3700761	0,0667988	0,9707623	0,2913528	0,4291335	0,4513846	0,0095969	0,1555742	0,5793533	0,4927726	0,7407512	0,4137463	0,2799175	0,9293855	0,7606586	0,9879984
740	0,4876604	0,1942338	0,4594845	0,6480221	0,8171223	0,9997294	0,8291050	0,8168729	0,4187946	0,8840329	0,9711305	0,8898153	0,6100947	0,9968767	0,7843649	0,5749475	0,3700761	0,0600096	0,9801395	0,2913528	0,4279198	0,4513846	0,0095969	0,1555742	0,5784839	0,4965297	0,7425755	0,4280243	0,2949201	0,9307699	0,7506528	0,9914059
760	0,4876604	0,1942338	0,4594845	0,6480224	0,8226222	0,9998621	0,8291050	0,8176588	0,4136267	0,8873750	0,9724400	0,8917471	0,6128279	0,9969252	0,7848786	0,5758628	0,3700761	0,0555316	0,9861333	0,2913528	0,4272223	0,4513846	0,0095969	0,1555742	0,5779191	0,4989603	0,7439972	0,4387990	0,3070348	0,9318648	0,7432819	0,9932938
780	0,4876604	0,1942338	0,4594845	0,6480226	0,8269963	0,9999298	0,8291050	0,8181243	0,4101039	0,8894826	0,9735401	0,8932281	0,6158911	0,9969676	0,7853297	0,5765954	0,3700761	0,0525780	0,9899644	0,2913528	0,4268215	0,4513846	0,0095969	0,1555742	0,5775522	0,5005330	0,7450930	0,4467477	0,3165487	0,9327026	0,7379621	0,9943404
800	0,4876604	0,1942338	0,4594845	0,6480228	0,8304506	0,9999642	0,8291050	0,8184002	0,4077323	0,8908084	0,9744537	0,8943633	0,6189315	0,9970037	0,7857039	0,5771756	0,3700761	0,0506299	0,9924132	0,2913528	0,4265911	0,4513846	0,0095969	0,1555742	0,5773138	0,5015508	0,7459305	0,4525063	0,3238537	0,9333287	0,7341838	0,9949211
820	0,4876604	0,1942338	0,4594845	0,6480230	0,8331646	0,9999818	0,8291050	0,8185636	0,4061521	0,8916415	0,9752053	0,8952341	0,6217542	0,9970340	0,7860043	0,5776313	0,3700761	0,0493450	0,9939784	0,2913528	0,4264587	0,4513846	0,0095969	0,1555742	0,5771590	0,5022096	0,7465665	0,4566176	0,3293602	0,9337887	0,7315345	0,9952436
840	0,4876604	0,1942338	0,4594845	0,6480232	0,8352894	0,9999907	0,8291050	0,8186604	0,4051083	0,8921647	0,9758189	0,8959030	0,6242662	0,9970589	0,7862405	0,5779874	0,3700761	0,0484975	0,9949789	0,2913528	0,4263827	0,4513846	0,0095969	0,1555742	0,5770584	0,5026361	0,7470471	0,4595173	0,3334476	0,9341221	0,7296961	0,9954227
860	0,4876604	0,1942338	0,4594845	0,6480233	0,8369487	0,9999953	0,8291050	0,8187178	0,4044239	0,8924931	0,9763167	0,8964174	0,6264374	0,9970792	0,7864238	0,5782645	0,3700761	0,0479385	0,9956184	0,2913528	0,4263389	0,4513846	0,0095969	0,1555742	0,5769930	0,5029123	0,7474089	0,4615417	0,3364426	0,9343614	0,7284312	0,9955223
880	0,4876604	0,1942338	0,4594845	0,6480234	0,8382420	0,9999976	0,8291050	0,8187518	0,4039779	0,8926993	0,9767183	0,8968138	0,6282747	0,9970955	0,7865649	0,5784796	0,3700761	0,0475698	0,9960271	0,2913528	0,4263138	0,4513846	0,0095969	0,1555742	0,5769506	0,5030911	0,7476803	0,4629429	0,3386130	0,9345317	0,7275671	0,9955778
900	0,4876604	0,1942338	0,4594845	0,6480235	0,8392487	0,9999988	0,8291050	0,8187719	0,4036889	0,8928289	0,9770409	0,8971195	0,6298046	0,9971086	0,7866730	0,5786462	0,3700761	0,0473266	0,9962884	0,2913528	0,4262994	0,4513846	0,0095969	0,1555742	0,5769230	0,5032069	0,7478836	0,4639054	0,3401708	0,9346521	0,7269803	0,9956087
920	0,4876604	0,1942338	0,4594845	0,6480235	0,8400316	0,9999994	0,8291050	0,8187838	0,4035025	0,8929102	0,9772989	0,8973556	0,6310628	0,9971189	0,7867557	0,5787752	0,3700761	0,0471663	0,9964554	0,2913528	0,4262911	0,4513846	0,0095969	0,1555742	0,5769051	0,5032820	0,7480354	0,4645622	0,3412797	0,9347368	0,7265838	0,9956259
940	0,4876604	0,1942338	0,4594845	0,6480236	0,8406401	0,9999997	0,8291050	0,8187909	0,4033827	0,8929613	0,9775046	0,8975381	0,6320875	0,9971271	0,7868188	0,5788749	0,3700761	0,0470605	0,9965621	0,2913528	0,4262863	0,4513846	0,0095969	0,1555742	0,5768934	0,5033306	0,7481487	0,4650079	0,3420633	0,9347960	0,7263171	0,9956355
960	0,4876604	0,1942338	0,4594845	0,6480237	0,8411127	0,9999998	0,8291050	0,8187951	0,4033061	0,8929935	0,9776681	0,8976793	0,6329152	0,9971336	0,7868671	0,5789520	0,3700761	0,0469907	0,9966304	0,2913528	0,4262836	0,4513846	0,0095969	0,1555742	0,5768859	0,5033621	0,7482332	0,4653088	0,3426134	0,9348373	0,7261383	0,9956409
980	0,4876604	0,1942338	0,4594845	0,6480237	0,8414797	0,9999999	0,8291050	0,8187975	0,4032573	0,8930137	0,9777978	0,8977885	0,6335797	0,9971387	0,7869039	0,5790116	0,3700761	0,0469447	0,9966740	0,2913528	0,4262820	0,4513846	0,0095969	0,1555742	0,5768809	0,5033825	0,7482960	0,4655110	0,3429974	0,9348660	0,7260188	0,9956439
1000	0,4876604	0,1942338	0,4594845	0,6480237	0,8417646	1,0000000	0,8291050	0,8187990	0,4032262	0,8930264	0,9779003	0,8978732	0,6341101	0,9971426	0,7869322	0,5790577	0,3700761	0,0469143	0,9967018	0,2913528	0,4262811	0,4513846	0,0095969	0,1555742	0,5768778	0,5033957	0,7483428	0,4656463	0,3432640	0,9348860	0,7259392	0,9956456
1020	0,4876604	0,1942338	0,4594845	0,6480238	0,8419858	1,0000000	0,8291050	0,8187999	0,4032065	0,8930344	0,9779813	0,8979388	0,6345318	0,9971457	0,7869538	0,5790934	0,3700761	0,0468943	0,9967197	0,2913528	0,4262806	0,4513846	0,0095969	0,1555742	0,5768757	0,5034043	0,7483776	0,4657365	0,3434483	0,9348997	0,7258863	0,9956465
1040	0,4876604	0,1942338	0,4594845	0,6480238	0,8421574	1,0000000	0,8291050	0,8188004	0,4031940	0,8930394	0,9780451	0,8979896	0,6348657	0,9971481	0,7869704	0,5791210	0,3700761	0,0468811	0,9967311	0,2913528	0,4262803	0,4513846	0,0095969	0,1555742	0,5768743	0,5034098	0,7484034	0,4657965	0,3435752	0,9349092	0,7258512	0,9956470
1060	0,4876604	0,1942338	0,4594845	0,6480238	0,8422905	1,0000000	0,8291050	0,8188007	0,4031861	0,8930426	0,9780953	0,8980290	0,6351294	0,9971500	0,7869832	0,5791423	0,3700761	0,0468724	0,9967383	0,2913528	0,4262801	0,4513846	0,0095969	0,1555742	0,5768735	0,5034134	0,7484226	0,4658362	0,3436621	0,9349158	0,7258279	0,9956473
1080	0,4876604	0,1942338	0,4594845	0,6480238	0,8423939	1,0000000	0,8291050	0,8188009	0,4031812	0,8930446	0,9781348	0,8980595	0,6353370	0,9971515	0,7869930	0,5791588	0,3700761	0,0468666	0,9967430	0,2913528	0,4262800	0,4513846	0,0095969	0,1555742	0,5768729	0,5034157	0,7484369	0,4658624	0,3437216	0,9349203	0,7258126	0,9956475
1100	0,4876604	0,1942338	0,4594845	0,6480239	0,8424741	1,0000000	0,8291050	0,8188010	0,4031781	0,8930459	0,9781658	0,8980832	0,6355001	0,9971526	0,7870005	0,5791716	0,3700761	0,0468628	0,9967460	0,2913528	0,4262799	0,4513846	0,0095969	0,1555742	0,5768725	0,5034173	0,7484474	0,4658797	0,3437620	0,9349234	0,7258024	0,9956476

0	0,4876555	0,1941916	0,4595439	0,6469937	0,8424405	1,0000000	0,8291040	0,8187942	0,4031944	0,8930290	0,9781013	0,8980726	0,6353967	0,9971521	0,7869989	0,5791661	0,3700958	0,0468565	0,9967515	0,2913821	0,4263165	0,4514275	0,0095969	0,1555879	0,5769732	0,5034227	0,7483318	0,4658169	0,3436135	0,9348957	0,7258238	0,9956473
20	0,4197236	0,1934115	0,4589613	0,6463792	0,8733819	1,0000000	0,7111977	0,6321709	0,2573063	0,8839596	0,9779949	0,8978284	0,7455013	0,9971292	0,7862908	0,7262386	0,3689835	0,1332818	0,7857238	0,2908983	0,4248306	0,4497459	0,4221666	0,1556258	0,5780478	0,5029968	0,7482976	0,6072572	0,3394011	0,9334835	0,7357581	0,9954855
