"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
460	0,4196002	0,2509946	0,2032252	0,3413724	0,1762546	0,1468603	0,0742743	0,1881532	0,4085876	0,6212580	0,0643888	0,1666242	0,4833381	0,0798045	0,2610731	0,2481809	0,3111474	0,1734137	0,7823329	0,7874927	0,6494369	0,2490256	0,3797534	0,3485287	0,7288790	0,4974032	0,6828084	0,0823242	0,2835149	0,3817476	0,2038464	0,3588481
480	0,4015473	0,2142265	0,2066679	0,3202562	0,1452361	0,1232138	0,0662236	0,2000908	0,4354138	0,4681480	0,0755226	0,2234462	0,5351174	0,0778638	0,1933048	0,1587166	0,3274471	0,1585450	0,6902998	0,7575732	0,5074028	0,1898397	0,4678941	0,2914632	0,6276377	0,5141777	0,6497230	0,0606800	0,3188081	0,4040250	0,2215233	0,4621982
500	0,4279656	0,2487794	0,1416237	0,3213737	0,2521770	0,1426154	0,0390547	0,2521823	0,5510187	0,5372189	0,1041135	0,1654744	0,4255081	0,0337878	0,2022099	0,2242308	0,2618895	0,1998971	0,8958512	0,8667623	0,5620030	0,1287968	0,4996609	0,2277678	0,7110768	0,4924376	0,6917180	0,0970760	0,2387238	0,4292421	0,1529064	0,4123424
520	0,4720888	0,2967783	0,1586687	0,2425735	0,1598265	0,0987408	0,0579594	0,2161902	0,5962710	0,5509735	0,0645829	0,1327877	0,5091708	0,0377344	0,2395502	0,1640951	0,2817878	0,1622275	0,5466435	0,7785993	0,6081780	0,1761526	0,3487269	0,2760773	0,7102053	0,6191255	0,6933514	0,0965178	0,2711253	0,3940317	0,2030045	0,4797584
540	0,4749205	0,2745617	0,1560752	0,3286984	0,1927814	0,0824102	0,0300515	0,1273859	0,5836853	0,4185191	0,0462475	0,1987489	0,4977878	0,0670387	0,3393754	0,1302795	0,2809988	0,2012454	0,7203634	0,7472004	0,5049399	0,1695177	0,4323210	0,2830229	0,6630996	0,5915723	0,6740118	0,1477388	0,2655086	0,3921472	0,1876731	0,3542080
560	0,4546349	0,3618370	0,1201500	0,3407805	0,1445406	0,0860698	0,0363197	0,1117828	0,4859918	0,5556770	0,0629738	0,1672551	0,3976837	0,0916331	0,2425747	0,1838315	0,3080663	0,2433096	0,6944268	0,7291417	0,6129981	0,1471552	0,4461842	0,2255119	0,6487662	0,5717167	0,7712925	0,1441452	0,4052322	0,4717035	0,1642467	0,4038954
580	0,4224233	0,2172808	0,1331945	0,2669987	0,1445768	0,1339053	0,0677733	0,2419796	0,5322943	0,5517777	0,0614974	0,1732985	0,4410051	0,0737304	0,2675275	0,1741320	0,2655774	0,2920582	0,8279161	0,5221729	0,5508888	0,0952317	0,4282892	0,2471431	0,5247148	0,5689898	0,7907933	0,1049791	0,2973746	0,4826661	0,1696064	0,4370665
600	0,3594982	0,2614050	0,1798762	0,4522949	0,1979089	0,1443306	0,0704968	0,2631925	0,4561522	0,5062813	0,0408988	0,1836931	0,3865159	0,0471881	0,2652932	0,1704565	0,2162081	0,2987374	0,5854113	0,5921036	0,6360400	0,1830854	0,4326655	0,2252135	0,4387428	0,4777528	0,7242549	0,2263590	0,3026738	0,4769933	0,1481640	0,4506576
620	0,4322767	0,3153062	0,1612783	0,3587456	0,1599099	0,1684658	0,0705635	0,3052942	0,4195864	0,5362752	0,0593725	0,1391144	0,4807693	0,0318849	0,1862479	0,1610363	0,1712731	0,4015582	0,5407518	0,3375009	0,6758636	0,1809177	0,4488086	0,2420711	0,3364151	0,5946663	0,6158468	0,2892865	0,2654507	0,6344424	0,1372219	0,3717104
640	0,3074731	0,2348651	0,1917333	0,3712814	0,1458369	0,1505203	0,0872996	0,3139297	0,5000775	0,4983070	0,1989514	0,1998462	0,7089661	0,0951743	0,1295961	0,1517399	0,1746638	0,3397463	0,6597861	0,3786968	0,5732286	0,1750372	0,4725767	0,2714667	0,2740129	0,5301563	0,7659903	0,3816085	0,3700035	0,4885500	0,1268528	0,4854424
660	0,3297409	0,2874868	0,2087055	0,2585760	0,1403250	0,1521796	0,1117690	0,3987374	0,4735465	0,6156954	0,3448864	0,1728674	0,5279269	0,0474789	0,1005978	0,1546137	0,2177162	0,4087315	0,6027734	0,1820474	0,5868284	0,2300758	0,4875824	0,2697745	0,2360746	0,4486516	0,7610538	0,4437309	0,3048093	0,5714628	0,1753272	0,4140943
680	0,3753846	0,3209482	0,2472370	0,3016432	0,1765846	0,1496911	0,1068590	0,3493866	0,4284771	0,4581749	0,2957320	0,1598207	0,5717392	0,0608702	0,1037588	0,1373401	0,2266420	0,3506198	0,7814392	0,1933130	0,5637349	0,2681825	0,5491733	0,3727435	0,2180769	0,6063553	0,6904355	0,5231150	0,2303765	0,4988564	0,2247788	0,4012324
700	0,3766096	0,3365667	0,2781584	0,3569943	0,1281918	0,2141247	0,1830327	0,3742633	0,3450560	0,4437067	0,3794855	0,1966608	0,4181761	0,0411922	0,0792197	0,1885762	0,2550523	0,3800502	0,7356280	0,1882294	0,5127241	0,3511297	0,5340401	0,3255093	0,2016974	0,3542054	0,6171098	0,5482356	0,2035736	0,5620074	0,3483763	0,4182993
720	0,3783662	0,2918949	0,2977218	0,3524987	0,1339965	0,1789509	0,1313480	0,3594844	0,4027596	0,5573584	0,5619615	0,1580742	0,5299899	0,0995517	0,0305927	0,1221643	0,2692811	0,4029244	0,7139655	0,1412864	0,5097950	0,2746965	0,4207043	0,3234006	0,1969766	0,4411219	0,5921828	0,5278338	0,2406315	0,6530856	0,3101057	0,4866438
740	0,4652654	0,2874021	0,2302516	0,3064840	0,1981100	0,1757198	0,1337884	0,4038817	0,4212231	0,6002554	0,4671934	0,1564211	0,5125870	0,0842941	0,0343882	0,1145963	0,3747055	0,3576659	0,7889749	0,1039567	0,4631224	0,3326567	0,4527619	0,3478467	0,1372071	0,4393898	0,6781557	0,7654912	0,2274095	0,6016012	0,3124589	0,4388434
760	0,5161900	0,3058715	0,3053702	0,4052602	0,1691804	0,2142780	0,1512598	0,3806855	0,5129603	0,6480554	0,6726394	0,1611013	0,5022104	0,1292199	0,0496390	0,1261761	0,2938702	0,3409472	0,6731166	0,0683291	0,5003025	0,2410388	0,4180095	0,3798614	0,1277153	0,3179635	0,7935258	0,6801468	0,1987829	0,5143858	0,1809400	0,4583123
780	0,4318889	0,2473224	0,2599172	0,3250117	0,1561536	0,1656540	0,1686539	0,3842229	0,4375326	0,5660614	0,6855878	0,0957712	0,5024476	0,0989012	0,0698203	0,1259658	0,2931639	0,3049629	0,6593692	0,0542813	0,5728792	0,2436286	0,4983736	0,3598676	0,1318042	0,3859217	0,6231030	0,5774261	0,2062308	0,7238714	0,1958712	0,5393227
800	0,5179115	0,2550500	0,3150766	0,2256353	0,1257582	0,1121946	0,1588577	0,2962378	0,5262544	0,6219632	0,7060948	0,1818705	0,4366409	0,0771054	0,0462855	0,1055126	0,2777085	0,3077114	0,5046497	0,0596488	0,6187957	0,2056617	0,4830828	0,3709971	0,1687792	0,2371258	0,7406304	0,5693236	0,2316560	0,5924491	0,2095344	0,4606386
820	0,5330209	0,2498655	0,2140179	0,2078604	0,2018300	0,1090353	0,1511896	0,3366908	0,4061495	0,5020077	0,6540820	0,1470723	0,5377588	0,0943173	0,0323956	0,0948131	0,3573136	0,3456025	0,5952095	0,0864768	0,5142148	0,1790707	0,5136254	0,5903978	0,1429909	0,2287075	0,5338440	0,5878540	0,2523893	0,5228946	0,1894339	0,3719622
840	0,4974626	0,2790306	0,2089185	0,2315102	0,1816383	0,1588933	0,1278146	0,4399189	0,4337251	0,5839989	0,6310463	0,1453410	0,5298218	0,0998918	0,0606721	0,0529520	0,3147589	0,3946414	0,7178277	0,0979757	0,5482982	0,1737934	0,4402130	0,5398318	0,1175997	0,3504684	0,6526130	0,5098612	0,3106975	0,5214849	0,2082638	0,4211050
860	0,5204907	0,3512127	0,2415093	0,3115716	0,1976330	0,1401084	0,1887358	0,3480388	0,5220074	0,5525734	0,6324975	0,1643271	0,4716255	0,0834624	0,0713883	0,1302806	0,3602249	0,4484404	0,5600259	0,0939214	0,6658140	0,1725111	0,3731526	0,4297420	0,0893756	0,3951013	0,6719527	0,5875650	0,2665575	0,6325567	0,2380311	0,4614878
880	0,5489719	0,3133011	0,1704817	0,3238992	0,1459610	0,1196744	0,1036222	0,4282166	0,4088263	0,5892760	0,7691851	0,1787721	0,4537627	0,0922580	0,0487626	0,1626519	0,3448024	0,3005586	0,6458870	0,1175291	0,5762463	0,1973660	0,3548204	0,5601446	0,1241529	0,3582757	0,7156861	0,5595182	0,3750515	0,6461995	0,2559632	0,5654713
900	0,4698898	0,3745580	0,1946827	0,3593498	0,1098497	0,0949638	0,1178954	0,4782089	0,4445230	0,4901115	0,6963407	0,1684571	0,5277131	0,0910112	0,0639486	0,1163516	0,4184890	0,3981613	0,6545712	0,1343220	0,6003449	0,1501983	0,4340702	0,6201230	0,1442426	0,4136656	0,6266915	0,6110781	0,2260407	0,5391815	0,1985642	0,4517712
920	0,5411072	0,3252802	0,1844739	0,3109550	0,1194623	0,1276809	0,1395821	0,3308026	0,4725414	0,5361020	0,8051556	0,1608636	0,4974099	0,1172239	0,0625259	0,1980561	0,4315962	0,2955221	0,6237649	0,1010661	0,5421368	0,1255760	0,3611600	0,5405890	0,1353105	0,4249320	0,6670018	0,6175575	0,2918732	0,5493645	0,2521332	0,5415395
940	0,4924018	0,3335407	0,2345711	0,2663841	0,1852867	0,1580361	0,1548114	0,4758048	0,5087676	0,4741343	0,6068822	0,1794172	0,5050752	0,1389120	0,0795049	0,0947482	0,3491246	0,3287680	0,7618957	0,1402001	0,5868667	0,1440146	0,4716035	0,6461449	0,1040414	0,4642612	0,7579387	0,7172612	0,2232633	0,5573213	0,2970736	0,4408514
960	0,5696267	0,3043000	0,2685703	0,3173962	0,1876114	0,1541718	0,1311487	0,3056153	0,4156233	0,4075771	0,5982128	0,0945642	0,5624524	0,0903050	0,0656699	0,1072057	0,4469843	0,3266843	0,6287381	0,0682704	0,4881110	0,1784625	0,3540107	0,5340984	0,1173225	0,5031255	0,6426606	0,5781523	0,2493573	0,6216087	0,1835677	0,4554184
980	0,5730954	0,3972565	0,1831760	0,3545919	0,1170817	0,1708595	0,1219143	0,3881276	0,5233365	0,4289034	0,6157531	0,1178716	0,5395574	0,1241062	0,0662133	0,1258415	0,3640381	0,3686399	0,6927967	0,0825659	0,6659807	0,2037359	0,3870646	0,5337872	0,1223993	0,4182167	0,6539753	0,6478285	0,2508864	0,5209233	0,2195159	0,4714002
1000	0,5543004	0,2766167	0,2203124	0,3222457	0,1672026	0,1073437	0,1518898	0,4144416	0,4936538	0,4643961	0,6490127	0,1346108	0,6117956	0,1417790	0,0593774	0,1009124	0,4052799	0,3481751	0,5803272	0,0786351	0,5895327	0,1335855	0,3641504	0,5051992	0,1014906	0,4349436	0,6373229	0,7475049	0,2585798	0,4943421	0,2035353	0,5687413
1020	0,4991384	0,2424407	0,1899908	0,3149334	0,1743677	0,1259421	0,0981458	0,5536837	0,6201009	0,5377411	0,7265312	0,1170336	0,6999704	0,1277646	0,0617963	0,1673468	0,3711781	0,3852654	0,7213348	0,0412068	0,5074011	0,1190659	0,4835056	0,3913753	0,1100591	0,4810612	0,6825519	0,6888293	0,2383474	0,4654920	0,2124558	0,4083842
1040	0,4371267	0,2952255	0,1843846	0,3636623	0,2040709	0,1238103	0,1052242	0,4155853	0,4658942	0,5883999	0,6648168	0,1230454	0,4805148	0,1452931	0,0695553	0,1063942	0,3149027	0,3197368	0,6152591	0,0748015	0,5811956	0,1580507	0,4842179	0,5169175	0,1281726	0,5097903	0,6611338	0,8220710	0,2591104	0,4905393	0,1886196	0,4968658
