"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
460	0,0158249	0,3998190	0,0302197	0,0267361	0,2204353	0,3771313	0,7636219	0,4730252	0,1678811	0,2900937	0,2598060	0,4587166	0,1118528	0,3446712	0,3792566	0,3452498	0,2429679	0,2415853	0,5273329	0,0450017	0,7963192	0,0088188	0,0555330	0,7310831	0,6821869	0,0463190	0,7829106	0,5426192	0,7100612	0,5385990	0,8808453	0,2941206
480	0,0427728	0,3845242	0,0650361	0,0197460	0,1786375	0,4000459	0,7010203	0,3378894	0,1773162	0,2523294	0,2757079	0,5830814	0,0675907	0,3216253	0,4624236	0,4044486	0,2109777	0,2546600	0,6237182	0,0597911	0,8243533	0,0198711	0,0431323	0,6973144	0,5556752	0,0172107	0,7662790	0,5346017	0,6589592	0,5668442	0,7774869	0,4226998
500	0,0191141	0,4512543	0,0582102	0,0304984	0,2789813	0,3096402	0,7666064	0,3648299	0,1498111	0,2714487	0,2316533	0,4288162	0,1311364	0,4581292	0,3574801	0,4574177	0,2469212	0,2907572	0,7705300	0,0675717	0,6148276	0,0167868	0,0229355	0,7446175	0,6202392	0,0522662	0,6897218	0,5209989	0,6405515	0,5423663	0,7246335	0,4084692
520	0,0202515	0,3782505	0,0226255	0,0293798	0,2040313	0,3360511	0,6446488	0,4043030	0,2787247	0,2570307	0,2350992	0,5457902	0,1293571	0,4655494	0,4594015	0,5082269	0,2219211	0,2073591	0,6255710	0,0477042	0,7337077	0,0148066	0,0532591	0,7626838	0,6058042	0,0448636	0,7051389	0,6721535	0,6338321	0,3985066	0,6016257	0,2438023
540	0,0180807	0,3776868	0,0321752	0,0128565	0,2248108	0,3902412	0,7201251	0,4161099	0,2829604	0,3076350	0,2424588	0,5627933	0,1177629	0,4011346	0,4309441	0,4885416	0,1306352	0,3192304	0,8286051	0,0384046	0,8267818	0,0276153	0,0792157	0,6190243	0,6453271	0,0466243	0,7212061	0,6253658	0,7976505	0,4568404	0,7338892	0,2398486
560	0,0045257	0,3421013	0,0957688	0,0386376	0,2823552	0,3856412	0,5945895	0,4237686	0,2862115	0,2824028	0,2631631	0,5591062	0,1278816	0,4448655	0,4037458	0,4909161	0,2136649	0,2895980	0,8787101	0,0378577	0,5703076	0,0109603	0,0432597	0,6137221	0,8092800	0,0575244	0,6847551	0,4513856	0,7608081	0,6328581	0,6856090	0,2548713
580	0,0034699	0,4144871	0,0513344	0,0190042	0,2361608	0,3440356	0,6398799	0,4575464	0,2135427	0,2063315	0,2285251	0,5532073	0,1084339	0,5016929	0,4386753	0,5095113	0,2235729	0,2397547	0,7961549	0,0739000	0,8785826	0,0133737	0,0424310	0,4531721	0,5707818	0,0683574	0,8123525	0,6792114	0,6746531	0,5733915	0,9184893	0,2941849
600	0,0101066	0,3425839	0,0438179	0,0344305	0,2917868	0,4240495	0,6711353	0,3945365	0,2451624	0,3212007	0,2844361	0,6455908	0,1536464	0,3839366	0,3552930	0,4359273	0,2400898	0,2600222	0,6765318	0,0487368	0,6554225	0,0301449	0,0313591	0,4547473	0,7086005	0,0226995	0,8239095	0,6272998	0,8680991	0,2797092	0,6444087	0,2961493
620	0,0083053	0,3563104	0,0330120	0,0346998	0,2978426	0,4433422	0,6513231	0,3879258	0,3894058	0,3483402	0,2706534	0,6120611	0,1200394	0,4216682	0,4018048	0,4277463	0,2694941	0,3049962	0,6602157	0,0362083	0,6301705	0,0663398	0,0334344	0,4370237	0,7691418	0,0506488	0,6567168	0,4794298	0,8715271	0,1974663	0,6916665	0,2566705
640	0,0208212	0,4849040	0,0313971	0,0488042	0,1850151	0,4110126	0,7507940	0,4743527	0,3244476	0,3185205	0,2534480	0,5894831	0,0984017	0,5472124	0,4613134	0,3425963	0,2872106	0,2161925	0,7459005	0,0394077	0,7664220	0,0213951	0,0562773	0,4188901	0,6308337	0,0673280	0,6747585	0,6173334	0,7891658	0,1574327	0,6979427	0,2393050
660	0,0087791	0,3733621	0,0225068	0,0280776	0,1590701	0,4053928	0,5726995	0,4259713	0,2892355	0,3873391	0,2005823	0,5427922	0,1210523	0,4227934	0,4568338	0,4149556	0,2992298	0,2999253	0,6806338	0,0509945	0,7354153	0,0315154	0,0840477	0,3208292	0,5610680	0,0591523	0,6738363	0,6045952	0,7074774	0,0925166	0,7362769	0,3186939
680	0,0101071	0,3341110	0,0098862	0,0548071	0,1923205	0,3891537	0,7232992	0,3318218	0,3557353	0,4088835	0,1862206	0,4910517	0,0823827	0,3833800	0,4222316	0,3601112	0,1661395	0,2304006	0,8045971	0,0472358	0,7390890	0,0147039	0,0214877	0,2596812	0,5850620	0,0381723	0,6685779	0,5210407	0,6732672	0,0698079	0,7061557	0,2706657
700	0,0204478	0,4140260	0,0212347	0,0439399	0,1585317	0,4933942	0,7445719	0,3531640	0,3638122	0,4329892	0,2728897	0,5976255	0,0656016	0,3904157	0,5045163	0,3589246	0,2013527	0,2181848	0,8137955	0,0270116	0,6933257	0,0245457	0,0728425	0,2584287	0,6710727	0,0475001	0,6601731	0,5174584	0,8105045	0,0341953	0,7394256	0,2705677
720	0,0339213	0,5506829	0,0648520	0,0257567	0,1878123	0,4492598	0,7533423	0,4449537	0,3272253	0,3740429	0,2154820	0,6720268	0,0553986	0,3780480	0,4352625	0,3112800	0,2028152	0,2771600	0,6358473	0,0362052	0,7099652	0,0232899	0,0472330	0,2407860	0,5137489	0,0475728	0,5695691	0,4689703	0,7009641	0,0406143	0,6390810	0,2336548
740	0,0098273	0,5817833	0,0306253	0,0276119	0,2325238	0,4013526	0,7245028	0,3867744	0,3656623	0,3207202	0,1679511	0,5202654	0,0562709	0,4807566	0,5229751	0,4484645	0,2561809	0,2173896	0,7618892	0,0281752	0,7141713	0,0360735	0,0110478	0,1784806	0,5533098	0,0339288	0,6647987	0,5362645	0,6331008	0,0039800	0,7176701	0,3617290
760	0,0256479	0,5991472	0,0299289	0,0280525	0,2309205	0,4924549	0,7546733	0,3455783	0,3457464	0,2827801	0,2609618	0,4187424	0,0449011	0,4623557	0,3611630	0,3966226	0,2379963	0,2178660	0,7639769	0,0458165	0,5746167	0,0459638	0,0225346	0,1995329	0,5561475	0,0368267	0,8015545	0,5559353	0,6790467	0,0012931	0,7198555	0,2890943
780	0,0195064	0,5550702	0,0147236	0,0117474	0,2251012	0,3678965	0,6953672	0,2968960	0,3170725	0,3968757	0,2394295	0,5222554	0,0483990	0,3744360	0,4582930	0,4308302	0,2423448	0,1689344	0,7034486	0,0275910	0,6061313	0,0572812	0,0199135	0,2682250	0,5445746	0,0181869	0,6489472	0,5816980	0,7098591	0,0100127	0,8913423	0,2505664
800	0,0247079	0,4349316	0,0349700	0,0254816	0,1515490	0,4092494	0,6364263	0,4234520	0,3052150	0,3137064	0,1921477	0,5144448	0,0878799	0,4848759	0,3931794	0,2928804	0,1981663	0,2316053	0,6895053	0,0314204	0,6585535	0,0412317	0,0147780	0,2391048	0,5216917	0,0340112	0,8147780	0,4600005	0,6546650	0,0059025	0,6974436	0,2115125
820	0,0092357	0,4344814	0,0221294	0,0282290	0,1978791	0,5175868	0,5638682	0,3838754	0,2791075	0,4547390	0,2162285	0,4804724	0,0730674	0,4275820	0,4207093	0,3491694	0,1870974	0,1820803	0,6376557	0,0303256	0,6019671	0,0525302	0,0416723	0,2594402	0,5787195	0,0274851	0,8191837	0,5075003	0,7575101	0,0047194	0,7079148	0,3418491
840	0,0189135	0,3962909	0,0310802	0,0076166	0,1306039	0,3989633	0,7070262	0,3617961	0,3771663	0,3928859	0,2234006	0,5126069	0,0597083	0,3609327	0,4122930	0,4827963	0,2219805	0,3081426	0,6349672	0,0291173	0,5894394	0,0307287	0,0097789	0,2293517	0,6737619	0,0614380	0,7076913	0,4702403	0,8358015	0,0024165	0,6605614	0,3088573
860	0,0075488	0,3733982	0,0260514	0,0116668	0,2059181	0,3453438	0,5957899	0,3144238	0,2816145	0,3825867	0,2103612	0,5617753	0,0875845	0,4561871	0,3456906	0,3722486	0,1763267	0,2802700	0,6294775	0,0166348	0,6353877	0,0232799	0,0121185	0,3092420	0,6682405	0,0426446	0,7378067	0,5843894	0,7855177	0,0015591	0,6997123	0,2364492
880	0,0060473	0,4380813	0,0432319	0,0341647	0,2862128	0,5204782	0,6730423	0,2719072	0,2293381	0,2697962	0,1897389	0,5980706	0,1050236	0,4972497	0,3919521	0,4012579	0,2953960	0,1998429	0,7387764	0,0169236	0,6070619	0,0526759	0,0231714	0,2242404	0,5779598	0,0288679	0,7827197	0,5867043	0,6819556	0,0078937	0,6836794	0,2587879
900	0,0109362	0,4922932	0,0269485	0,0185115	0,2092511	0,5066575	0,7812649	0,2844493	0,3096867	0,4124914	0,2266347	0,5987365	0,0783910	0,3817572	0,4226537	0,3871059	0,2177541	0,2233655	0,7180337	0,0549710	0,6326832	0,0355165	0,0242094	0,2334221	0,5801227	0,0290268	0,7912003	0,5759669	0,7170204	0,0007187	0,6022001	0,2812034
920	0,0138964	0,4429658	0,0117344	0,0126759	0,2397608	0,4828463	0,7460155	0,3666861	0,2364367	0,3346503	0,2032387	0,4867202	0,0897350	0,3568497	0,5387913	0,3830041	0,1919124	0,2633379	0,6877795	0,0287074	0,6614066	0,0079757	0,0289914	0,2720139	0,6504100	0,0255128	0,6131203	0,5468899	0,6157925	0,0030126	0,6430666	0,2749439
