"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
560	0,2753741	0,1179705	0,2760938	0,4182486	0,5334756	0,5526353	0,6069412	0,4436713	0,4975076	0,4951628	0,6602383	0,5763127	0,5211177	0,8634932	0,7281966	0,3981047	0,2996244	0,5146062	0,0420987	0,1668086	0,4755869	0,3095616	0,0089744	0,1132500	0,4371053	0,1293384	0,5675588	0,1666717	0,0983132	0,7350153	0,5850382	0,0999021
580	0,3798000	0,1060343	0,3244640	0,4816904	0,5171051	0,5857424	0,5822943	0,5491493	0,4175108	0,6320049	0,7997978	0,5923998	0,6852861	0,6582750	0,6329481	0,3117836	0,2392936	0,2428218	0,2557895	0,2172771	0,4295013	0,3176736	0,0058155	0,1072653	0,4891223	0,1836789	0,6394873	0,1292188	0,1426469	0,6280220	0,6287458	0,3694873
600	0,3203520	0,1110849	0,3192529	0,4692174	0,4281520	0,7806927	0,5370970	0,5683172	0,5101003	0,5824066	0,6735869	0,5304875	0,4941739	0,7283880	0,5292382	0,3506606	0,2514307	0,2479651	0,5251269	0,2243661	0,3156990	0,2793655	0,0081844	0,0946612	0,4357955	0,2412381	0,5041073	0,1470993	0,0903058	0,6606088	0,5938999	0,5431009
620	0,4048588	0,1223262	0,3593495	0,4444324	0,5294295	0,8562902	0,5737423	0,6265153	0,4079868	0,5952045	0,7047216	0,5527407	0,4365553	0,6731138	0,4562594	0,3171542	0,2436137	0,1719000	0,4865412	0,1465572	0,3057628	0,2982781	0,0147979	0,1138374	0,4048495	0,2721747	0,5373794	0,2909849	0,1642001	0,6292848	0,5447804	0,5667859
640	0,4065370	0,1190138	0,3737276	0,4391793	0,4464575	0,6511393	0,5714306	0,5240450	0,3673245	0,6130482	0,6916795	0,5732143	0,5501538	0,8982708	0,4643257	0,3742102	0,2737385	0,1012431	0,5786112	0,2395869	0,3847500	0,3335969	0,0075544	0,1570313	0,3770806	0,3612189	0,4979183	0,2779434	0,1540852	0,7243631	0,6149453	0,5897542
660	0,3161535	0,0773884	0,3346226	0,4036271	0,5500142	0,8334952	0,6713338	0,5175935	0,2884887	0,4831534	0,6875766	0,5001102	0,4683688	0,6772156	0,5228660	0,3826979	0,2452343	0,1050372	0,4980973	0,2037863	0,2501629	0,2814416	0,0102118	0,0804486	0,4269840	0,2834287	0,5301424	0,1945412	0,1677299	0,6323173	0,5411214	0,6049810
680	0,4391488	0,0883684	0,3395348	0,5176537	0,5387237	0,7116011	0,5619891	0,5319317	0,3063870	0,5317396	0,7442777	0,5823205	0,4305110	0,7075612	0,5380138	0,4709496	0,2481598	0,0800636	0,7139270	0,1856773	0,3530174	0,2326752	0,0197501	0,1338460	0,5062506	0,3098708	0,4211233	0,3551009	0,1049265	0,6963099	0,5773228	0,7069030
700	0,3537391	0,1242037	0,3586587	0,5090520	0,6801568	0,6990231	0,6474942	0,6158685	0,2934671	0,5818520	0,7607803	0,6681157	0,5727413	0,6451943	0,5193154	0,4992443	0,2870145	0,0370922	0,6728584	0,2452612	0,2791680	0,2638974	0,0094355	0,1245992	0,3644235	0,3335172	0,5229802	0,2451144	0,1540914	0,7189427	0,5662307	0,6172328
720	0,2996453	0,0961614	0,3499054	0,4439065	0,7374122	0,7739707	0,6832234	0,5410666	0,3467341	0,5784532	0,8101974	0,6655342	0,4489788	0,8207959	0,6505823	0,4599554	0,2373043	0,0469675	0,5671568	0,1866526	0,3506913	0,3342655	0,0089203	0,1318388	0,4054516	0,3276671	0,5724094	0,3138790	0,2073863	0,7541089	0,5971486	0,6884787
740	0,2914512	0,1333355	0,3313934	0,3498574	0,7102175	0,7292427	0,8027713	0,6460389	0,3695652	0,6222543	0,8026051	0,6044372	0,4504760	0,8478706	0,7259281	0,4529288	0,2848220	0,0520848	0,7218256	0,1766065	0,2830121	0,3174292	0,0073700	0,0902331	0,3778008	0,4092237	0,5123370	0,3230305	0,1517398	0,7038123	0,6105099	0,7468142
760	0,2909477	0,1125252	0,3344533	0,3743254	0,5312599	0,7954753	0,6192704	0,5918596	0,4263500	0,7371381	0,7691252	0,7242363	0,4252316	0,7689685	0,5419721	0,6059472	0,3036478	0,0338947	0,6820659	0,2170658	0,3070848	0,4127309	0,0021177	0,0897739	0,3438409	0,3658282	0,5769511	0,3733946	0,2186417	0,6077526	0,5947321	0,6535668
780	0,4490943	0,1596660	0,2645286	0,4440672	0,5158861	0,8255722	0,5260791	0,4745582	0,2279223	0,6769990	0,7734336	0,6868663	0,5325384	0,7394905	0,5688887	0,3922858	0,2570046	0,0628333	0,5603309	0,1685261	0,2987650	0,2866212	0,0100314	0,1218095	0,3785229	0,3077132	0,6060714	0,3191708	0,3525555	0,8010164	0,5298228	0,6296342
800	0,3408412	0,1976700	0,3029800	0,3072939	0,5408486	0,7761968	0,4949873	0,5039458	0,3105697	0,5383156	0,7714164	0,6765856	0,4898405	0,7677102	0,6288468	0,4317129	0,2854612	0,0322659	0,5788855	0,2597606	0,3261381	0,3487087	0,0091902	0,1049211	0,4443458	0,4169871	0,5277974	0,3181488	0,2113467	0,6788714	0,5050122	0,6763046
820	0,3811983	0,1447821	0,3056515	0,3593625	0,5883504	0,8644565	0,5825536	0,5254060	0,2533973	0,6630231	0,7634125	0,6578158	0,4737065	0,6804372	0,7131964	0,4123557	0,3213789	0,0495203	0,6891386	0,1765068	0,2479854	0,4042732	0,0084006	0,1206974	0,4549938	0,3462223	0,5765135	0,3771778	0,1809829	0,5772536	0,5082289	0,6348443
840	0,3479077	0,1312457	0,2935951	0,4162594	0,7170454	0,6486409	0,6570776	0,5588967	0,2812627	0,6426838	0,7239372	0,6470821	0,6180349	0,7552490	0,5177946	0,4500436	0,2372882	0,0197382	0,6865092	0,2298042	0,2353429	0,3604077	0,0118735	0,1056837	0,4787036	0,3398888	0,5920774	0,2470270	0,1507764	0,6273866	0,5704780	0,6778555
860	0,3887216	0,1828480	0,3308948	0,5352615	0,6045929	0,6944650	0,6245159	0,5808777	0,2631183	0,5652661	0,7482400	0,5110328	0,5239613	0,7422273	0,5405363	0,4547454	0,2364051	0,0596437	0,7187342	0,2027391	0,2758251	0,3928108	0,0022601	0,0939327	0,3378332	0,3635202	0,5280461	0,2899126	0,2230575	0,7214590	0,6377107	0,6522131
880	0,3215761	0,1669155	0,3092999	0,4320989	0,6375893	0,7414899	0,6401614	0,5714834	0,3202395	0,5232109	0,6705161	0,6704572	0,6442019	0,7229112	0,5651585	0,4878602	0,3181645	0,0399620	0,8057700	0,1675763	0,3177591	0,2504901	0,0078396	0,0832309	0,3811845	0,4199527	0,5494629	0,2404431	0,2399435	0,6228870	0,6088122	0,6784218
900	0,3653741	0,1575468	0,3157077	0,3945412	0,6455556	0,6073144	0,6845759	0,4805979	0,3631265	0,4854801	0,6879674	0,6274687	0,4881735	0,6154400	0,5773975	0,4513216	0,1848030	0,0158958	0,7433367	0,1496435	0,3275399	0,2554531	0,0040884	0,1167030	0,4281181	0,3663705	0,5276546	0,3088945	0,1518127	0,5993399	0,5293276	0,7690872
920	0,3958842	0,1372791	0,2350848	0,4820746	0,6485209	0,7251095	0,6461473	0,6607595	0,2296580	0,7072612	0,5439992	0,6450483	0,4766634	0,7287639	0,7063863	0,3515643	0,2351674	0,0342936	0,7081336	0,1860016	0,2854744	0,2929803	0,0083324	0,1280787	0,4979505	0,3068182	0,5195043	0,3360119	0,1582947	0,6364737	0,5254398	0,7024503
940	0,4466484	0,1286569	0,3102996	0,4261184	0,7040156	0,6671801	0,6548382	0,5335843	0,2291222	0,5894242	0,7884141	0,6266335	0,4328815	0,8637834	0,5443185	0,4440361	0,1744195	0,0419728	0,7563651	0,1631376	0,3396478	0,3029405	0,0080100	0,0805974	0,4453476	0,2779248	0,5638359	0,2671090	0,2410471	0,7049148	0,6053253	0,7762512
960	0,3390485	0,1446355	0,3286884	0,4446913	0,6826797	0,5804664	0,5380551	0,6607459	0,3043142	0,7457925	0,7747386	0,6703636	0,4403297	0,7270213	0,5401640	0,3222945	0,2347635	0,0217463	0,8317802	0,2326087	0,3646124	0,3233139	0,0049166	0,1489691	0,4637250	0,3896547	0,3870961	0,5187676	0,2363175	0,7555671	0,5723424	0,8281470
980	0,3198325	0,1898878	0,3270273	0,5432727	0,8164777	0,5624973	0,5989411	0,6624548	0,3426716	0,6412348	0,7601821	0,6756160	0,4912162	0,9385025	0,6753913	0,4302689	0,2214746	0,1008469	0,8965408	0,2112132	0,3313591	0,3508190	0,0061639	0,1129514	0,4400814	0,3769930	0,5226712	0,3387427	0,2614053	0,7126131	0,4302156	0,6646024
