"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
780	0,4197503	0,4410821	0,1313151	0,5170698	0,6228765	0,7118930	0,0417639	0,3453613	0,5458993	0,4651887	0,6718288	0,8175077	0,1323759	0,7364375	0,4364363	0,6629165	0,5942035	0,6184481	0,6606385	0,4506096	0,5309902	0,5007031	0,2675501	0,3632041	0,7058940	0,5933844	0,3883957	0,4950554	0,4211577	0,5116817	0,4721597	0,3214371
800	0,3572467	0,4361050	0,1235464	0,5398125	0,6738323	0,6406090	0,0610569	0,4149386	0,5143902	0,6052045	0,8303890	0,7069659	0,1814024	0,4988623	0,4163694	0,7333108	0,5759154	0,5608973	0,5639193	0,5093548	0,4752799	0,4825519	0,2195954	0,4175687	0,6651356	0,6877943	0,3415115	0,5598372	0,5326552	0,6009753	0,5458156	0,3153567
820	0,4746147	0,3901913	0,1446753	0,7076877	0,5943338	0,6373956	0,0904223	0,3244067	0,4513479	0,4646378	0,6441746	0,7301737	0,1740364	0,5239882	0,3461807	0,7344994	0,6159242	0,5614612	0,5956084	0,6344809	0,5589804	0,4425803	0,2612002	0,2872274	0,5777980	0,4684530	0,4235693	0,5448837	0,4057835	0,6617644	0,4740970	0,3549930
840	0,3704467	0,3072341	0,1775576	0,6471123	0,6351231	0,6323290	0,0789102	0,3677008	0,4801308	0,6140620	0,6773951	0,6336251	0,1938166	0,5328285	0,4409374	0,7074290	0,5876436	0,6296445	0,7663294	0,6162236	0,4310867	0,4720496	0,3047520	0,3491714	0,6729485	0,5605172	0,4731089	0,5632101	0,5623356	0,6834778	0,3869899	0,2735506
860	0,4996976	0,3904527	0,1363416	0,5284405	0,5752233	0,7361511	0,0698513	0,3914001	0,4902957	0,5092327	0,6279009	0,7042549	0,1030813	0,6203341	0,4418107	0,6659426	0,6827415	0,5540895	0,7275205	0,5925197	0,5390803	0,5683516	0,3160561	0,2962979	0,7226601	0,5741234	0,4239881	0,5301196	0,5483565	0,6090892	0,4038237	0,3108209
880	0,3317882	0,3025677	0,1621488	0,6089546	0,6764043	0,6667846	0,0377692	0,5345119	0,5121577	0,5534268	0,7508526	0,7631559	0,1208245	0,6212129	0,4073503	0,6520737	0,5879965	0,6049730	0,6401337	0,4378129	0,5002538	0,4405434	0,4001710	0,3910192	0,7249298	0,7361042	0,4559614	0,5634046	0,5275767	0,6663496	0,4641411	0,3551803
900	0,4422114	0,4016838	0,1412263	0,6263031	0,6726777	0,6354562	0,0725637	0,4261509	0,4665980	0,5383462	0,6960323	0,6383467	0,0974294	0,5611701	0,3548869	0,7748797	0,5630802	0,6070751	0,7567085	0,4433174	0,6770248	0,4472228	0,2463774	0,3242562	0,7022702	0,6505681	0,5067686	0,5189764	0,5415147	0,7708271	0,4447926	0,3427911
920	0,5301247	0,3249033	0,1647849	0,5076783	0,6398390	0,5924129	0,0842264	0,4499496	0,4801873	0,4490310	0,6950846	0,5849045	0,0897146	0,4806239	0,4299067	0,6716856	0,6188049	0,5659495	0,6902928	0,4035887	0,5340924	0,4054298	0,3147089	0,2750349	0,7249642	0,6713086	0,4154763	0,4516880	0,5449096	0,6933125	0,4925180	0,4497972
940	0,4676444	0,2532973	0,1712445	0,5826591	0,5913958	0,6947308	0,0918836	0,4293844	0,4631836	0,4902311	0,7910536	0,7523187	0,0829547	0,5622056	0,3829676	0,7204106	0,6273395	0,6521317	0,5963556	0,3573091	0,5459836	0,5489870	0,3373910	0,2699144	0,6135250	0,5745118	0,4770474	0,4599309	0,5562688	0,5256493	0,5129777	0,3432714
960	0,4866842	0,2790712	0,2476997	0,6606272	0,6866150	0,7061992	0,0853361	0,4162338	0,5198271	0,4952717	0,5551122	0,6467953	0,1168150	0,5358707	0,4321380	0,7588679	0,4972518	0,5989059	0,6100626	0,3739161	0,5842925	0,5181237	0,2953823	0,2693067	0,5565311	0,5833960	0,3717951	0,4771230	0,5932795	0,7000041	0,3668042	0,3499309
980	0,4719277	0,4668299	0,1258882	0,6750168	0,6068564	0,6827357	0,0973651	0,4129792	0,5662376	0,5863473	0,6170230	0,6717501	0,1257232	0,6304518	0,3392891	0,7192425	0,5955566	0,6595606	0,6095770	0,4580022	0,5806644	0,4111878	0,3343712	0,2836831	0,6871204	0,6435977	0,4310647	0,5313317	0,5082157	0,6241560	0,3670100	0,3959924
1000	0,4782874	0,3838789	0,1974282	0,6160441	0,6612231	0,6458853	0,0736397	0,3446243	0,6007346	0,4849799	0,7176462	0,6321019	0,1206070	0,6688300	0,3962319	0,8306398	0,5763663	0,5497965	0,5682294	0,6054757	0,5789683	0,3744984	0,3656027	0,4144309	0,6441743	0,6872207	0,2969009	0,6071698	0,5925861	0,6347979	0,5660655	0,3852621
1020	0,3978025	0,3718197	0,1884250	0,6356477	0,6926121	0,6430153	0,0539419	0,3947059	0,6071944	0,5679599	0,7159465	0,7327774	0,1870966	0,6335262	0,4252366	0,8085730	0,6042005	0,6617503	0,5884015	0,4696710	0,5623471	0,4929197	0,4104859	0,3114282	0,6507416	0,7045224	0,4102639	0,6186198	0,5030728	0,7519936	0,5979572	0,3501978
1040	0,4200098	0,3668870	0,1039409	0,5773548	0,6637944	0,6346829	0,0462035	0,3749899	0,5856262	0,4227469	0,6825004	0,6596202	0,1174441	0,5307847	0,4321725	0,8201645	0,5077310	0,6960123	0,7503266	0,3825430	0,4373732	0,5985049	0,4101799	0,2997866	0,5883371	0,7409260	0,4101717	0,4763970	0,4623268	0,8047985	0,4874941	0,3243540
