Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
580	0.305652	0.2446207	0.1855071	0.3843241	0.2782716	0.6532984	0.1472078	0.4989191	0.5700309	0.6564915	0.363639	0.7713784	0.1541822	0.3787885	0.4911023	0.5775058	0.7076159	0.5597501	0.356391	0.2157908	0.2159996	0.1872199	0.6682579	0.1145549	0.7436129	0.2993888	0.5392448	0.5738991	0.0941327	0.0246226	0.0599162	0.270845
600	0.3134165	0.2737356	0.2301847	0.2056065	0.2974351	0.5767098	0.1216324	0.4436625	0.7325825	0.7638537	0.4117758	0.7416622	0.1157924	0.4680733	0.4541157	0.6146732	0.6970507	0.4677355	0.4149932	0.188068	0.2422217	0.1944797	0.7318559	0.0989532	0.7496847	0.5034284	0.5380785	0.70838	0.0466485	0.038296	0.1395591	0.3575679
620	0.2743365	0.2216411	0.2009097	0.2322755	0.3127147	0.6787194	0.1649189	0.4945527	0.7212697	0.6557537	0.43527	0.715275	0.1364774	0.4423824	0.6345236	0.63434	0.5757471	0.4575118	0.4327888	0.2025829	0.2456438	0.1914145	0.6941517	0.1499233	0.797606	0.5035412	0.5368615	0.6474638	0.1096168	0.0372192	0.1848962	0.3419089
640	0.2621902	0.2240702	0.2103293	0.2705858	0.2923724	0.6857346	0.1212793	0.4267275	0.7299198	0.6710438	0.4312616	0.6829849	0.1084187	0.4647924	0.4619626	0.5881181	0.7575917	0.470075	0.3878916	0.1756029	0.2484417	0.1322695	0.5471304	0.0737432	0.593417	0.4996779	0.5647952	0.6261904	0.0548791	0.0360875	0.1868832	0.2961348
660	0.3442236	0.1995832	0.135106	0.3534952	0.243428	0.6209677	0.1439145	0.4952373	0.6720272	0.8075412	0.3766337	0.728321	0.0831391	0.4885879	0.5989691	0.6745931	0.6488422	0.4558463	0.4395905	0.1619644	0.1998891	0.1769468	0.5425952	0.1088477	0.697077	0.6885784	0.6618951	0.6262301	0.1026555	0.0112257	0.2000463	0.3428038
680	0.3614809	0.228319	0.1588737	0.3207987	0.2656211	0.6086285	0.1170549	0.4862066	0.6470268	0.6833626	0.3503583	0.7126275	0.0936424	0.4795495	0.5543238	0.5728143	0.544726	0.5665494	0.3822034	0.1766952	0.2969081	0.0931118	0.6009006	0.0788994	0.5959465	0.5910861	0.6269939	0.5617036	0.0868509	0.013409	0.117201	0.342235
700	0.3729151	0.2550783	0.2060605	0.3062696	0.371251	0.5202725	0.1188355	0.3824518	0.6929677	0.7049397	0.4645356	0.7261736	0.0859412	0.5017266	0.482433	0.5738213	0.6484287	0.4858532	0.4457861	0.090179	0.2638174	0.0837982	0.5935328	0.1431127	0.6648613	0.5179216	0.5557314	0.5688631	0.0768314	0.0188402	0.1866783	0.3432279
720	0.3250279	0.2418881	0.1728876	0.3325245	0.311868	0.5785247	0.2041633	0.4531493	0.6302507	0.6325971	0.4570473	0.6245775	0.1323398	0.4138385	0.4253785	0.6618945	0.5866659	0.5791781	0.3658367	0.1455473	0.2640154	0.0772195	0.6221525	0.0780607	0.6598911	0.4799093	0.4877671	0.4884395	0.136426	0.0353202	0.2568919	0.3989409
740	0.2749235	0.2571542	0.1748362	0.315692	0.3115812	0.6652186	0.1296423	0.5302542	0.695235	0.6368313	0.4044168	0.6941998	0.1286851	0.4587648	0.5249462	0.7131437	0.6279453	0.5303314	0.4056798	0.1522847	0.2910467	0.0869547	0.5452802	0.1144704	0.6901859	0.4888654	0.551137	0.5791059	0.0774402	0.0450505	0.1876121	0.3172198
760	0.2631251	0.2471054	0.2150904	0.3999554	0.3143859	0.6334481	0.1248776	0.4697866	0.5957695	0.6264866	0.396228	0.7385267	0.1126104	0.4462541	0.6221617	0.7050672	0.656096	0.4275067	0.4371809	0.1888173	0.2576719	0.0940312	0.5442995	0.0942152	0.7620308	0.3878377	0.6175819	0.5326482	0.0930723	0.0256231	0.1669971	0.3290981
780	0.3719844	0.2813535	0.1621281	0.3326914	0.3998423	0.5944867	0.1417019	0.520472	0.7075267	0.759216	0.5209261	0.6595869	0.1325378	0.4507674	0.4850695	0.5979876	0.5344255	0.5729358	0.403504	0.1515421	0.243262	0.0745583	0.6746638	0.1091813	0.5914159	0.5110459	0.5406978	0.5140494	0.072419	0.0321012	0.2375488	0.3344608
