"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
600	0,6052116	0,9941021	0,8147696	0,9862152	0,9545106	0,2815510	0,8824156	0,6982800	0,9351674	0,9997091	0,0935867	0,9391185	0,2388242	0,6032146	0,9999999	0,9978306	0,4098470	0,8501610	0,9136299	0,2975150	0,4569071	0,4401772	0,5530624	0,9996474	0,7931986	0,9955902	0,5077841	0,9999686	0,7975607	0,8488814	0,9987981	0,6044508
620	0,6052116	0,9941021	0,8144862	0,9812309	0,9545106	0,2815510	0,8422348	0,6982800	0,9351674	0,9997091	0,0935867	0,9391184	0,2388242	0,5384026	0,9999999	0,9978306	0,4039635	0,8255768	0,9136299	0,2975150	0,5374983	0,4401772	0,5637092	0,9995325	0,7929068	0,9955902	0,5077841	0,9999685	0,7284489	0,8488814	0,9987338	0,6044508
640	0,6052116	0,9941021	0,8140258	0,9771698	0,9545106	0,2815510	0,8096788	0,6982800	0,9351674	0,9997091	0,0935867	0,9391183	0,2388242	0,4866649	0,9999999	0,9978306	0,3980827	0,8063398	0,9136299	0,2975150	0,6093785	0,4401772	0,5717620	0,9993806	0,7924277	0,9955902	0,5077841	0,9999683	0,6749194	0,8488814	0,9986828	0,6044508
660	0,6052116	0,9941021	0,8134410	0,9741140	0,9545106	0,2815510	0,7850286	0,6982800	0,9351674	0,9997091	0,0935867	0,9391180	0,2388242	0,4484150	0,9999999	0,9978306	0,3926431	0,7925262	0,9136299	0,2975150	0,6681586	0,4401772	0,5774661	0,9991940	0,7918147	0,9955902	0,5077841	0,9999680	0,6366351	0,8488814	0,9986453	0,6044508
680	0,6052116	0,9941021	0,8127992	0,9719135	0,9545106	0,2815510	0,7669600	0,6982800	0,9351674	0,9997091	0,0935867	0,9391177	0,2388242	0,4212829	0,9999999	0,9978306	0,3878429	0,7830907	0,9136299	0,2975150	0,7138256	0,4401772	0,5813801	0,9989797	0,7911391	0,9955902	0,5077841	0,9999677	0,6104336	0,8488814	0,9986187	0,6044508
700	0,6052116	0,9941021	0,8121589	0,9703709	0,9545106	0,2815510	0,7539277	0,6982800	0,9351674	0,9997091	0,0935867	0,9391173	0,2388242	0,4025021	0,9999999	0,9978306	0,3837445	0,7768517	0,9136299	0,2975150	0,7481263	0,4401772	0,5840217	0,9987487	0,7904646	0,9955902	0,5077841	0,9999674	0,5929757	0,8488814	0,9986004	0,6044508
720	0,6052116	0,9941021	0,8115614	0,9693081	0,9545106	0,2815510	0,7446021	0,6982800	0,9351674	0,9997091	0,0935867	0,9391170	0,2388242	0,3896986	0,9999999	0,9978306	0,3803330	0,7728184	0,9136299	0,2975150	0,7732804	0,4401772	0,5857886	0,9985129	0,7898371	0,9955902	0,5077841	0,9999671	0,5815429	0,8488814	0,9985879	0,6044508
740	0,6052116	0,9941021	0,8110304	0,9685843	0,9545106	0,2815510	0,7379533	0,6982800	0,9351674	0,9997091	0,0935867	0,9391167	0,2388242	0,3810551	0,9999999	0,9978306	0,3775511	0,7702536	0,9136299	0,2975150	0,7914012	0,4401772	0,5869647	0,9982832	0,7892830	0,9955902	0,5077841	0,9999668	0,5741418	0,8488814	0,9985795	0,6044508
760	0,6052116	0,9941021	0,8105757	0,9680952	0,9545106	0,2815510	0,7332199	0,6982800	0,9351674	0,9997091	0,0935867	0,9391164	0,2388242	0,3752575	0,9999999	0,9978306	0,3753213	0,7686426	0,9136299	0,2975150	0,8042768	0,4401772	0,5877453	0,9980682	0,7888132	0,9955902	0,5077841	0,9999666	0,5693885	0,8488814	0,9985739	0,6044508
780	0,6052116	0,9941021	0,8101973	0,9677666	0,9545106	0,2815510	0,7298513	0,6982800	0,9351674	0,9997091	0,0935867	0,9391162	0,2388242	0,3713855	0,9999999	0,9978306	0,3735600	0,7676405	0,9136299	0,2975150	0,8133261	0,4401772	0,5882627	0,9978734	0,7884273	0,9955902	0,5077841	0,9999664	0,5663525	0,8488814	0,9985701	0,6044508
800	0,6052116	0,9941021	0,8098894	0,9675467	0,9545106	0,2815510	0,7274537	0,6982800	0,9351674	0,9997091	0,0935867	0,9391160	0,2388242	0,3688069	0,9999999	0,9978306	0,3721866	0,7670218	0,9136299	0,2975150	0,8196300	0,4401772	0,5886052	0,9977017	0,7881185	0,9955902	0,5077841	0,9999662	0,5644209	0,8488814	0,9985676	0,6044508
