"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
480	0,5851757	0,9571911	0,7132252	1,0645924	0,9325090	0,2712355	0,9229648	0,7056534	0,9012886	0,9852675	0,0979964	0,9415769	0,2922522	0,7199840	0,9812913	1,0390543	0,3932677	0,9233698	0,8126018	0,2722144	0,3349071	0,4431764	0,5474278	0,9737139	0,7725908	1,0217822	0,4732764	1,0649239	0,8981301	0,8277362	0,9832471	0,5918817
500	0,5631654	0,9237884	0,7196029	1,0439323	0,9303717	0,2434300	0,9730182	0,7107804	0,9631787	1,0014280	0,0875776	0,8879555	0,2495829	0,7369115	0,9700562	0,9917326	0,4189374	0,9125107	0,8275221	0,3219057	0,3635067	0,4082732	0,5857314	0,9811020	0,8018777	1,0000008	0,4406400	1,0252966	0,9063801	0,8405789	1,0657456	0,5768390
520	0,5743388	0,9398791	0,7370424	1,0966575	1,0097147	0,2481525	0,9910575	0,7141558	0,9094293	1,0090845	0,0822601	0,9196809	0,2469404	0,7251001	1,0023324	0,9978605	0,4139559	0,9137441	0,8574501	0,2977894	0,3617140	0,4130973	0,6120829	0,9899235	0,8157364	0,9757007	0,4352698	0,9546966	0,9665716	0,8942044	1,0526888	0,5747145
540	0,6118368	0,9448878	0,7780806	1,0080723	1,0184398	0,2651944	1,0453838	0,7248408	0,9924044	1,0754782	0,0991911	0,8662206	0,2771244	0,7193522	1,0613854	1,0909558	0,3846274	0,9261127	0,8487485	0,3119901	0,4006482	0,4496987	0,6152235	1,0069415	0,8051583	0,9737231	0,4972335	0,9858983	0,8988948	0,8502650	1,0638792	0,5451926
560	0,6164520	0,9630044	0,8451975	1,1000598	1,0527518	0,2674662	0,9752575	0,6994505	0,9943239	1,1274035	0,0920984	0,9423014	0,3224636	0,7613072	0,9970615	1,0311392	0,3816143	0,9231567	0,8837562	0,3153355	0,4125069	0,4659514	0,5451149	0,9628829	0,7333387	0,9801987	0,4947246	0,9647332	0,9233827	0,8357625	1,0431663	0,5823187
580	0,6049427	1,0002564	0,8300633	1,0440527	1,0500574	0,2802949	0,9528033	0,6708931	0,9423810	0,9798556	0,1046317	0,9359140	0,3333392	0,6185005	0,9948275	1,0233834	0,3352843	0,8840713	0,9161084	0,3048840	0,6016176	0,4334961	0,5271016	0,9704559	0,7677797	0,9480363	0,5925345	0,9115734	0,7333600	0,7904918	1,0125050	0,6128752
600	0,6110485	0,9809899	0,7934145	1,0507280	1,0020656	0,3203793	0,8781030	0,6600826	0,8852815	0,9606976	0,0812496	0,8796434	0,3170965	0,5285224	0,9983955	0,9766381	0,3552427	0,7819838	0,9292707	0,2917646	0,7730827	0,4199604	0,5476630	0,9634349	0,7605523	1,0120682	0,5342483	0,9273042	0,6972085	0,8528320	0,9814687	0,6506832
620	0,6109088	0,9460818	0,7822652	0,9816075	0,9566037	0,3453653	0,7627198	0,7382460	0,7970708	0,9834071	0,1077543	0,8710843	0,2743470	0,4947792	1,0200747	0,9442515	0,3360815	0,7526662	0,9529042	0,2812315	0,7918024	0,3896917	0,5930609	0,9199155	0,8020526	1,0647045	0,5319406	0,9077611	0,6383263	0,8635965	0,9447108	0,6036073
640	0,5741402	0,9462609	0,8210709	0,9436978	0,9177911	0,3434434	0,7600846	0,7980271	0,9144496	1,0657569	0,1045408	0,9876985	0,2390006	0,4584249	1,0420449	0,8908677	0,3405116	0,7309730	0,9341653	0,2682480	0,8168673	0,4740000	0,6044652	0,9347261	0,8076798	1,0614130	0,5514389	0,8982654	0,6066850	0,8550878	0,9864983	0,5880072
660	0,5842686	0,9519155	0,8955179	0,9436115	0,9716486	0,3425960	0,7434633	0,6638492	1,0176262	1,0416735	0,1012329	0,9417597	0,2358188	0,4146231	1,0534079	0,9213099	0,3669494	0,7923172	0,9033488	0,2917147	0,8296822	0,5067441	0,5822888	0,9017899	0,8335606	1,0418288	0,5303847	0,8991763	0,5716012	0,8172733	0,9466547	0,6115443
680	0,5772700	0,9878551	0,8999460	1,0486534	0,9423832	0,3067989	0,7801181	0,5924295	0,9626045	1,0270216	0,0682041	0,9363826	0,2205570	0,3865363	1,0023044	0,9035526	0,3541093	0,7345528	0,9479913	0,2939813	0,7813360	0,4642161	0,5969568	0,9118623	0,7961762	0,9834160	0,5104371	0,9050982	0,5512433	0,8056589	0,9784686	0,6042424
700	0,5974119	0,9889458	0,7835768	0,9728041	0,8856027	0,2972929	0,7247570	0,6339124	0,8919995	1,0285423	0,1107189	0,9051038	0,1841921	0,3509200	1,0401845	0,9255973	0,3327033	0,6776865	1,0001066	0,3122289	0,7603096	0,4438449	0,5564912	0,9400422	0,7587719	0,9705898	0,4947891	0,9446020	0,5564602	0,8557380	0,9859768	0,6014809
720	0,6826523	0,9556160	0,8500109	0,9216009	0,9370134	0,2825528	0,7173148	0,6839850	0,8797156	1,0143448	0,0914848	0,9022478	0,1807664	0,3714899	0,9989927	0,9102432	0,3483708	0,7043740	0,9442446	0,2950113	0,7304340	0,4082797	0,5590654	0,9747136	0,7407523	0,9134453	0,5024987	0,9127102	0,5614165	0,8505038	0,9882767	0,5930137
740	0,6320267	0,9269696	0,7968643	0,9635611	1,0183940	0,2625396	0,7076157	0,6992967	0,9801903	0,9513855	0,0626151	0,8832321	0,2005771	0,3215937	1,0958518	0,9266499	0,3253656	0,7653981	0,9410012	0,3177910	0,7168318	0,3976152	0,5896617	1,0131621	0,7436555	0,9345430	0,5133540	0,9024540	0,5789055	0,8149928	0,9825110	0,5625840
760	0,6236602	0,9240541	0,7714378	0,9874181	1,0111454	0,2500458	0,6919494	0,6669271	1,0209508	0,9847258	0,0509212	0,9150910	0,2261494	0,3108052	1,0512925	1,0085063	0,3342367	0,7842392	0,8963852	0,2894253	0,7744328	0,3804716	0,6172028	0,9843777	0,7253624	0,9886450	0,4479370	0,9496526	0,5740943	0,7930326	0,9984083	0,5719504
780	0,5824601	0,9370688	0,8207655	0,9349786	0,9747272	0,2606730	0,7123742	0,6717951	1,0133851	0,9864161	0,0459988	0,9297944	0,2635779	0,3212325	0,9866943	0,9608449	0,3292571	0,7704135	0,8585681	0,2873313	0,7234374	0,3585477	0,6360960	1,0115441	0,6907342	0,9970939	0,4247754	0,9780942	0,5509299	0,7946367	1,0071633	0,5625354
800	0,6045192	0,9921950	0,7693579	0,9589834	1,0373690	0,2917130	0,7086456	0,6703388	0,9224319	1,0208811	0,0706734	0,9519730	0,2676557	0,3153248	0,9531448	0,9208440	0,3445650	0,7623087	0,8587871	0,3462865	0,7045418	0,3707791	0,6668766	0,9861908	0,7447093	1,0342341	0,4355409	1,0075702	0,5498511	0,7957165	1,0047363	0,5495009
820	0,6017647	0,9987946	0,7824960	0,9219593	1,1065299	0,2593007	0,6662195	0,7008530	0,8742317	1,0421263	0,0747214	0,9936140	0,2989979	0,3354605	0,9405648	0,9344490	0,3320742	0,7808387	0,9133687	0,3168428	0,7207289	0,4122340	0,5923275	0,9772746	0,7436473	0,9246948	0,4341462	0,9790450	0,5867529	0,8694308	0,9932995	0,5448093
