"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
580	0,0860084	0,0425735	0,6186109	1,0061188	1,0458273	0,0651750	0,9854825	0,0304939	0,3371811	1,0394284	0,7755903	1,0517703	0,9095910	0,7689894	0,7925972	0,0488353	0,1270956	0,7386046	0,1030650	0,0170159	0,8081246	0,8104007	0,5490112	0,4559486	0,1411487	0,9424201	0,4788263	1,0025787	0,0209122	0,5208590	0,1150633	0,0115964
600	0,1078664	0,0262950	0,6623605	0,9643248	0,9760923	0,1053940	0,9744023	0,0459382	0,3340129	1,0346846	0,6936146	1,0767274	0,9332945	0,6914552	0,7485907	0,0371551	0,0967323	0,6576985	0,0882585	0,0215573	0,7757727	0,6976659	0,5330995	0,2894742	0,1477627	1,0231422	0,4535493	1,0136958	0,0233718	0,5530457	0,0994305	0,0094805
620	0,1022722	0,0336105	0,6602537	1,0456458	0,9588548	0,1169167	1,0434842	0,0306017	0,3868332	0,9680626	0,6661889	1,1039833	0,9077181	0,5902977	0,7426464	0,0305164	0,1211851	0,5961568	0,0949534	0,0148948	0,8280031	0,6035863	0,5228699	0,2021065	0,1620550	0,9606575	0,3902442	0,9868109	0,0347032	0,5619256	0,0921020	0,0040387
640	0,0997335	0,0489523	0,6016605	1,1372726	0,9676016	0,1234474	1,0796007	0,0284731	0,3174015	1,0040520	0,6920393	1,0145181	0,8988006	0,6275052	0,7562295	0,0332419	0,1070887	0,5027305	0,0960152	0,0168708	0,7454048	0,5433788	0,4980431	0,1419289	0,1539719	1,0246593	0,4053647	1,0207635	0,0279900	0,5949557	0,1124082	0,0028514
660	0,0938166	0,0551797	0,6377703	1,0805297	1,0048485	0,1306245	0,9984772	0,0476360	0,3272844	0,9057307	0,7113467	0,9681139	0,9207372	0,6100496	0,7749448	0,0238594	0,0705897	0,4507803	0,0851209	0,0179006	0,7560956	0,4876056	0,5124427	0,0883912	0,1609869	1,0443549	0,3537234	1,0135507	0,0299997	0,5833037	0,1447893	0,0090715
680	0,0882364	0,0479485	0,6598901	1,0844296	1,0233943	0,1305130	0,9627656	0,0520530	0,3497633	1,0541579	0,6689453	0,9712105	0,8718108	0,5957759	0,7766365	0,0195942	0,0824753	0,4503445	0,0809940	0,0200291	0,8087349	0,4882664	0,5247257	0,0764437	0,1557797	0,9964819	0,3445012	1,0117052	0,0278377	0,5926049	0,1174510	0,0066916
700	0,1104675	0,0540201	0,7007557	1,0414407	0,9790922	0,1414129	0,9640356	0,0667913	0,2879304	1,0218645	0,7223388	0,9307781	0,8632922	0,6197203	0,7726317	0,0265343	0,0669009	0,4314406	0,0688458	0,0134819	0,8454029	0,5575452	0,5460994	0,0501500	0,1400540	0,9673680	0,3791112	1,0330350	0,0250946	0,5616579	0,1008916	0,0063422
720	0,0992560	0,0478625	0,7203151	1,0534261	0,9903280	0,1421219	1,0518760	0,0610410	0,3340912	0,9081604	0,6579320	0,9651119	0,7999831	0,5614695	0,7855948	0,0233138	0,0729314	0,3853182	0,0771417	0,0124695	0,8436029	0,5404173	0,4805578	0,0414866	0,1436512	0,9423674	0,3204119	1,0086868	0,0203380	0,5194733	0,0989848	0,0051425
740	0,0974118	0,0398032	0,7256798	1,0425767	0,9612824	0,1569669	1,1142283	0,0474086	0,3474161	1,0400660	0,6531709	0,9636164	0,7974577	0,5772777	0,8144933	0,0233565	0,0710533	0,3620271	0,0787772	0,0138862	0,8788963	0,5754251	0,4916381	0,0416725	0,1479634	1,0421594	0,3398249	1,0147305	0,0193601	0,5432226	0,1080774	0,0037933
760	0,1062801	0,0400763	0,6886921	1,0397082	0,9628678	0,1310418	1,0910143	0,0553191	0,3314403	1,0185441	0,5987177	1,0378108	0,7992341	0,6077158	0,8447556	0,0153437	0,0931836	0,4025040	0,0764505	0,0171263	0,8949481	0,5739559	0,5009291	0,0206932	0,1317627	1,0278549	0,3070088	0,9729616	0,0189508	0,5676733	0,1190549	0,0111878
