"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA
520	0,6848435	0,6708398	0,6331234	0,1306215	0,8604588	0,6210314	0,6400573	0,3940388	0,3955130	0,6799295	0,9766549	0,6007901	0,9025179	0,9642169	0,7196451	0,7461039	0,0589337	0,8934101	0,6971189	0,7797417	0,1408768	0,2448675	0,2034754	0,8176183	0,7712341	0,2852469	0,1571693	0,7379632	0,9413558	0,3959834	0,5228320	0,5281859
540	0,6855023	0,6708398	0,6331234	0,1305278	0,8604579	0,6210314	0,6400573	0,3940365	0,3955130	0,6798450	0,9766517	0,6007801	0,9025060	0,9642238	0,7196036	0,7460493	0,0589336	0,8933822	0,6970439	0,7796228	0,1408768	0,2449170	0,2034117	0,8176153	0,7712434	0,2855425	0,1571676	0,7379620	0,9413550	0,3958097	0,5228319	0,5281784
560	0,6860265	0,6708398	0,6331234	0,1304483	0,8604575	0,6210314	0,6400573	0,3940343	0,3955130	0,6797727	0,9766493	0,6007747	0,9024980	0,9642272	0,7195690	0,7460016	0,0589335	0,8933601	0,6969816	0,7795213	0,1408768	0,2449534	0,2033603	0,8176130	0,7712497	0,2857781	0,1571666	0,7379611	0,9413543	0,3956636	0,5228319	0,5281733
580	0,6841827	0,7717062	0,6310432	0,1304676	0,8762388	0,6210314	0,6400573	0,3938939	0,3955130	0,6797978	0,9766968	0,6008422	0,9025446	0,9529102	0,7198100	0,7450731	0,0589304	0,8934396	0,7042322	0,7795082	0,1402283	0,2445862	0,2019736	0,8176697	0,7702520	0,2858187	0,2324140	0,7380604	0,9414157	0,3956263	0,5228347	0,5288327
600	0,6693073	0,8849646	0,6162348	0,1310719	0,9028693	0,6210314	0,6400573	0,3927991	0,3955130	0,6804911	0,9771590	0,6015115	0,9030249	0,9292359	0,7220238	0,7391573	0,0589124	0,8942623	0,7191534	0,7801012	0,1358993	0,2415582	0,1925725	0,8181859	0,7625324	0,2850187	0,3674883	0,7388469	0,9419064	0,3963050	0,5228528	0,5336216
620	0,6417804	0,9485293	0,5892584	0,1324218	0,9265767	0,6210314	0,6400573	0,3904968	0,3955130	0,6821613	0,9780122	0,6033309	0,9042754	0,9028944	0,7270393	0,7285856	0,0588831	0,8962157	0,7357423	0,7816910	0,1282939	0,2350594	0,1750520	0,8194248	0,7467865	0,2833383	0,4950503	0,7404712	0,9429264	0,3981859	0,5228848	0,5430538
640	0,6085154	0,9783111	0,5601990	0,1342708	0,9444014	0,6210314	0,6400573	0,3875530	0,3955130	0,6845287	0,9790159	0,6064124	0,9062805	0,8785138	0,7339879	0,7164644	0,0588517	0,8990634	0,7512999	0,7841610	0,1201996	0,2262301	0,1543340	0,8212303	0,7273897	0,2810489	0,5956000	0,7424826	0,9441872	0,4012032	0,5229221	0,5548031
660	0,5745753	0,9911724	0,5363208	0,1363273	0,9568728	0,6210314	0,6400573	0,3846165	0,3955130	0,6871455	0,9800026	0,6104972	0,9088072	0,8579051	0,7415507	0,7051416	0,0588238	0,9023516	0,7647562	0,7871538	0,1136925	0,2165350	0,1344541	0,8232794	0,7089357	0,2783561	0,6682949	0,7444032	0,9453753	0,4050135	0,5229581	0,5666261
680	0,5425832	0,9964840	0,5198042	0,1383852	0,9653029	0,6210314	0,6400573	0,3820826	0,3955130	0,6896648	0,9808905	0,6151409	0,9115663	0,8414169	0,7487062	0,6957477	0,0588014	0,9056779	0,7758586	0,7903080	0,1095311	0,2070830	0,1175085	0,8252859	0,6939989	0,2753818	0,7182608	0,7459719	0,9463179	0,4092270	0,5229895	0,5771841
700	0,5136018	0,9986193	0,5097631	0,1403290	0,9709085	0,6210314	0,6400573	0,3800897	0,3955130	0,6918989	0,9816494	0,6198845	0,9143065	0,8287126	0,7548965	0,6885598	0,0587844	0,9087724	0,7847429	0,7933563	0,1075166	0,1985255	0,1041573	0,8270707	0,6832278	0,2722011	0,7514894	0,7471267	0,9469775	0,4135104	0,5230153	0,5859332
720	0,4878658	0,9994629	0,5043047	0,1421061	0,9746101	0,6210314	0,6400573	0,3786169	0,3955130	0,6937848	0,9822757	0,6243617	0,9168495	0,8191945	0,7599360	0,6833975	0,0587720	0,9114911	0,7917042	0,7961383	0,1070166	0,1911508	0,0942561	0,8285568	0,6761379	0,2688687	0,7730824	0,7479163	0,9473936	0,4176191	0,5230355	0,5928268
740	0,4652243	0,9997925	0,5016530	0,1437008	0,9770492	0,6210314	0,6400573	0,3775744	0,3955130	0,6953326	0,9827785	0,6283384	0,9190922	0,8122209	0,7638669	0,6798943	0,0587632	0,9137832	0,7970775	0,7985795	0,1073638	0,1850104	0,0873047	0,8297366	0,6718264	0,2654324	0,7868781	0,7484279	0,9476318	0,4213963	0,5230508	0,5980674
760	0,4453758	0,9999202	0,5005279	0,1451167	0,9786568	0,6210314	0,6400573	0,3768585	0,3955130	0,6965851	0,9831731	0,6317057	0,9209929	0,8072071	0,7668409	0,6776534	0,0587572	0,9156572	0,8011803	0,8006633	0,1080529	0,1800232	0,0827077	0,8306409	0,6693977	0,2619376	0,7955790	0,7487462	0,9477541	0,4247583	0,5230623	0,6019474
780	0,4279835	0,9999694	0,5001410	0,1463663	0,9797173	0,6210314	0,6400573	0,3763775	0,3955130	0,6975936	0,9834766	0,6344497	0,9225532	0,8036626	0,7690426	0,6763206	0,0587530	0,9171534	0,8042887	0,8024078	0,1087800	0,1760471	0,0799045	0,8313159	0,6681419	0,2584275	0,8010116	0,7489386	0,9478081	0,4276772	0,5230706	0,6047627
800	0,4127263	0,9999883	0,5000643	0,1474653	0,9804176	0,6210314	0,6400573	0,3760594	0,3955130	0,6984062	0,9837058	0,6366170	0,9238013	0,8011968	0,7706487	0,6756112	0,0587502	0,9183265	0,8066312	0,8038484	0,1094016	0,1729216	0,0784211	0,8318097	0,6675641	0,2549420	0,8043764	0,7490527	0,9478255	0,4301628	0,5230767	0,6067736
820	0,3993172	0,9999955	0,5000918	0,1484300	0,9808802	0,6210314	0,6400573	0,3758517	0,3955130	0,6990637	0,9838763	0,6382853	0,9247781	0,7995089	0,7718092	0,6753107	0,0587483	0,9192331	0,8083906	0,8050270	0,1098756	0,1704922	0,0778811	0,8321653	0,6673503	0,2515165	0,8064469	0,7491197	0,9478257	0,4322478	0,5230810	0,6081921
840	0,3875075	0,9999983	0,5001378	0,1492758	0,9811858	0,6210314	0,6400573	0,3757174	0,3955130	0,6995986	0,9840013	0,6395422	0,9255290	0,7983735	0,7726438	0,6752655	0,0587471	0,9199260	0,8097101	0,8059855	0,1102109	0,1686207	0,0779970	0,8324184	0,6673154	0,2481811	0,8077142	0,7491590	0,9478194	0,4339770	0,5230841	0,6091824
860	0,3770844	0,9999993	0,5001743	0,1500168	0,9813876	0,6210314	0,6400573	0,3756317	0,3955130	0,7000363	0,9840918	0,6404721	0,9260974	0,7976250	0,7732437	0,6753695	0,0587462	0,9204511	0,8106997	0,8067625	0,1104358	0,1671897	0,0785556	0,8325968	0,6673575	0,2449602	0,8084864	0,7491823	0,9478117	0,4353990	0,5230862	0,6098681
880	0,3678669	0,9999998	0,5001970	0,1506658	0,9815207	0,6210314	0,6400573	0,3755776	0,3955130	0,7003965	0,9841567	0,6411494	0,9265219	0,7971437	0,7736759	0,6755526	0,0587457	0,9208465	0,8114431	0,8073915	0,1105808	0,1661023	0,0794017	0,8327217	0,6674247	0,2418729	0,8089552	0,7491965	0,9478050	0,4365613	0,5230877	0,6103396
900	0,3597006	0,9999999	0,5002090	0,1512340	0,9816084	0,6210314	0,6400573	0,3755440	0,3955130	0,7006943	0,9842027	0,6416361	0,9268353	0,7968443	0,7739891	0,6757700	0,0587454	0,9211429	0,8120031	0,8079008	0,1106716	0,1652802	0,0804241	0,8328086	0,6674930	0,2389328	0,8092389	0,7492054	0,9477998	0,4375075	0,5230887	0,6106617
920	0,3524537	1,0000000	0,5002145	0,1517315	0,9816659	0,6210314	0,6400573	0,3755237	0,3955130	0,7009416	0,9842351	0,6419817	0,9270644	0,7966670	0,7742181	0,6759942	0,0587452	0,9213645	0,8124268	0,8083139	0,1107273	0,1646616	0,0815441	0,8328688	0,6675525	0,2361491	0,8094101	0,7492112	0,9477963	0,4382761	0,5230895	0,6108808
940	0,3460132	1,0000000	0,5002165	0,1521668	0,9817036	0,6210314	0,6400573	0,3755119	0,3955130	0,7011476	0,9842577	0,6422242	0,9272302	0,7965701	0,7743871	0,6762094	0,0587450	0,9215299	0,8127491	0,8086497	0,1107610	0,1641979	0,0827068	0,8329104	0,6676008	0,2335272	0,8095132	0,7492152	0,9477941	0,4388998	0,5230900	0,6110290
960	0,3402820	1,0000000	0,5002170	0,1525478	0,9817282	0,6210314	0,6400573	0,3755054	0,3955130	0,7013198	0,9842734	0,6423928	0,9273494	0,7965249	0,7745134	0,6764075	0,0587450	0,9216534	0,8129958	0,8089234	0,1107811	0,1638515	0,0838742	0,8329391	0,6676383	0,2310689	0,8095752	0,7492180	0,9477929	0,4394061	0,5230903	0,6111290
980	0,3351761	1,0000000	0,5002169	0,1528812	0,9817441	0,6210314	0,6400573	0,3755022	0,3955130	0,7014639	0,9842842	0,6425086	0,9274343	0,7965122	0,7746090	0,6765849	0,0587449	0,9217457	0,8131860	0,8091473	0,1107931	0,1635936	0,0850205	0,8329588	0,6676667	0,2287734	0,8096124	0,7492202	0,9477923	0,4398176	0,5230905	0,6111962
1000	0,3306224	1,0000000	0,5002167	0,1531730	0,9817544	0,6210314	0,6400573	0,3755011	0,3955130	0,7015848	0,9842917	0,6425874	0,9274944	0,7965189	0,7746823	0,6767409	0,0587449	0,9218148	0,8133337	0,8093311	0,1108002	0,1634019	0,0861286	0,8329725	0,6676877	0,2266378	0,8096347	0,7492218	0,9477922	0,4401525	0,5230907	0,6112412
1020	0,3265577	1,0000000	0,5002165	0,1534282	0,9817610	0,6210314	0,6400573	0,3755012	0,3955130	0,7016863	0,9842968	0,6426404	0,9275366	0,7965366	0,7747392	0,6768762	0,0587449	0,9218668	0,8134493	0,8094824	0,1108045	0,1632599	0,0871873	0,8329819	0,6677031	0,2246575	0,8096480	0,7492231	0,9477924	0,4404257	0,5230908	0,6112713
1040	0,3229265	1,0000000	0,5002164	0,1536516	0,9817651	0,6210314	0,6400573	0,3755019	0,3955130	0,7017717	0,9843002	0,6426756	0,9275660	0,7965596	0,7747839	0,6769927	0,0587449	0,9219061	0,8135406	0,8096074	0,1108071	0,1631549	0,0881901	0,8329883	0,6677143	0,2228266	0,8096560	0,7492241	0,9477927	0,4406492	0,5230909	0,6112913
1060	0,3196802	1,0000000	0,5002164	0,1538469	0,9817677	0,6210314	0,6400573	0,3755030	0,3955130	0,7018436	0,9843026	0,6426985	0,9275864	0,7965846	0,7748195	0,6770922	0,0587449	0,9219359	0,8136132	0,8097110	0,1108086	0,1630774	0,0891332	0,8329929	0,6677224	0,2211383	0,8096607	0,7492250	0,9477931	0,4408326	0,5230909	0,6113047
1080	0,3167763	1,0000000	0,5002163	0,1540179	0,9817692	0,6210314	0,6400573	0,3755042	0,3955130	0,7019041	0,9843041	0,6427131	0,9276003	0,7966095	0,7748481	0,6771769	0,0587449	0,9219587	0,8136714	0,8097971	0,1108095	0,1630202	0,0900155	0,8329960	0,6677281	0,2195852	0,8096636	0,7492257	0,9477935	0,4409833	0,5230910	0,6113135
1100	0,3141770	1,0000000	0,5002163	0,1541674	0,9817701	0,6210314	0,6400573	0,3755054	0,3955130	0,7019552	0,9843052	0,6427222	0,9276098	0,7966330	0,7748712	0,6772488	0,0587449	0,9219763	0,8137184	0,8098688	0,1108100	0,1629782	0,0908369	0,8329982	0,6677321	0,2181596	0,8096652	0,7492262	0,9477939	0,4411077	0,5230910	0,6113194

0	0,2935006	1,0000000	0,5002163	0,1551229	0,9817716	0,6210314	0,6400573	0,3755086	0,3955130	0,7020779	0,9843074	0,6427402	0,9276313	0,7966949	0,7749254	0,6774241	0,0587449	0,9220179	0,8138291	0,8100403	0,1108108	0,1628631	0,0985862	0,8330028	0,6677415	0,2054770	0,8096677	0,7492276	0,9477949	0,4414087	0,5230910	0,6113308
20	0,2905456	1,0000000	0,5002163	0,1551339	0,9641618	0,6210314	0,6400573	0,3756415	0,3955130	0,7020376	0,9843063	0,6426667	0,9275868	0,7966869	0,7746763	0,6774513	0,0587449	0,9219583	0,8138083	0,8142976	0,1108108	0,1595042	0,0907203	0,8329507	0,6591114	0,2053248	0,8096677	0,7491529	0,9568463	0,4812369	0,5536135	0,6113308
40	0,2846231	1,0000000	0,5002163	0,1551436	0,9344828	0,6210314	0,6400573	0,3767102	0,3955130	0,7014781	0,9842920	0,6419830	0,9271640	0,7964694	0,7725036	0,6774107	0,0587447	0,9213639	0,8134447	0,8219465	0,1108108	0,1521602	0,0750685	0,8324696	0,6413429	0,2050671	0,8096677	0,7485263	0,9708285	0,5600294	0,6155087	0,6113308
