"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF
540	0,5837017	0,5800724	0,1864036	0,8428961	0,9775443	0,6752336	0,0962484	0,1501732	0,9388624	0,5846385	0,8777548	1,0496040	0,1098119	0,7387510	0,5314574	1,1010840	0,7584886	0,3328310	0,9971426	0,6901320	0,8141639	0,7764459	0,4913345	0,4661054	1,0185205	0,2104977	0,5030106	0,2595481	0,8368160	0,1303201	0,3827488	0,3882576
560	0,6317167	0,5430761	0,2152388	0,8321719	1,0175764	0,6941012	0,1218766	0,1452172	0,9483026	0,5659631	0,8645209	1,1209574	0,1214370	0,7262816	0,4564275	1,0381726	0,7731847	0,2618501	0,9440483	0,7383145	0,8574498	0,6921595	0,4982124	0,4799924	1,0384781	0,1787465	0,4772866	0,2446286	0,8211188	0,1295614	0,4018684	0,3778805
580	0,6440231	0,5666310	0,2275707	0,8741122	0,9907411	0,7024212	0,1288173	0,2195789	1,0017666	0,5211713	0,9408370	1,0531418	0,1258481	0,7527509	0,4444305	1,0459750	0,7361426	0,3503025	1,0363940	0,7543357	0,8671549	0,7375653	0,4904231	0,4662382	1,0753948	0,2339675	0,4645642	0,2155810	0,7424659	0,1399546	0,4248852	0,3542147
600	0,6559200	0,5942820	0,2299443	0,8902744	0,8863973	0,7032267	0,1391923	0,3213335	1,0576089	0,5258895	1,0143851	0,9705057	0,1020299	0,7876849	0,4893174	1,0447803	0,7694215	0,4808646	0,8931214	0,7313947	0,8185019	0,7501497	0,4137530	0,5607829	1,0033844	0,4028456	0,5381191	0,2307926	0,7191234	0,1649391	0,4008657	0,3458612
620	0,6783115	0,5865325	0,2226562	0,9031535	0,9003972	0,7156702	0,1426629	0,3719306	0,9947130	0,4697088	1,0637320	1,0475767	0,1448323	0,7898651	0,4821721	1,1082932	0,7831855	0,7230781	0,9770798	0,7166007	0,8128504	0,7293264	0,4551939	0,5961690	1,0613264	0,4855836	0,4559804	0,2636081	0,6985935	0,2240627	0,4448269	0,3811165
640	0,6538554	0,6037037	0,2745193	0,8301960	0,9488015	0,7427327	0,1608028	0,3725356	0,9557651	0,4844988	1,0552466	1,0333253	0,1825735	0,7856272	0,4933706	1,0390741	0,7658511	0,7442284	1,0241921	0,7191148	0,7842282	0,7379460	0,4337817	0,5809200	1,0851000	0,6001445	0,4588568	0,2781437	0,6127607	0,3251584	0,4489923	0,3996195
660	0,6479923	0,6105816	0,2739333	0,8877840	0,9432307	0,8161286	0,1503887	0,4511185	0,9382502	0,5170735	1,0492283	1,0251528	0,1948491	0,8153614	0,5545648	0,9717774	0,7341941	0,8186045	1,0427562	0,6669781	0,7582965	0,6836841	0,4906108	0,5474687	1,0226012	0,7155142	0,4273004	0,3062454	0,6057600	0,4287465	0,5737494	0,3481235
680	0,6174736	0,5814357	0,2551896	0,9326823	0,9176016	0,8235014	0,1240818	0,4646462	0,9291797	0,5778848	1,0148628	1,0408355	0,1986229	0,8035071	0,5263256	0,9374487	0,7107926	0,8493922	1,0355266	0,6987361	0,7115386	0,6564350	0,4747270	0,6158794	0,9657478	0,7665352	0,4568260	0,3265795	0,6658878	0,4982503	0,5913867	0,3326627
700	0,5928536	0,5894672	0,2007548	0,9093718	0,8553402	0,8448501	0,0909695	0,5159187	0,9609320	0,5579725	1,0546862	1,0171906	0,1692900	0,7340076	0,5586144	0,9526953	0,7019867	0,7881446	1,0590410	0,6073339	0,7378035	0,6625594	0,4741538	0,5980436	0,9768495	0,7905378	0,4710096	0,3662354	0,6125197	0,5903620	0,6204408	0,3704642
720	0,5944692	0,5990855	0,2002413	0,9207482	0,8601428	0,9167471	0,1329958	0,5219297	0,9467144	0,5839340	1,0759727	1,0124891	0,1812113	0,7560406	0,5330318	0,9647522	0,7266680	0,8290210	1,0635896	0,5481557	0,7305551	0,6119152	0,4297742	0,6076187	0,9650718	0,8104262	0,4728023	0,4120413	0,6334978	0,6944972	0,6271920	0,4251696
