"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
720	0,6868485	0,3419539	0,3943516	0,4284497	0,1921216	0,2373482	0,1679015	0,5479796	0,6715728	0,6882893	0,8144072	0,1689010	0,6912000	0,1538626	0,0867453	0,1347896	0,4782578	0,4122537	0,8790210	0,1021513	0,7916887	0,3798129	0,6598345	0,5789801	0,1896864	0,5047979	0,8869645	0,8816350	0,3693894	0,8116706	0,3094355	0,6194979
740	0,6624371	0,3341179	0,4192118	0,4301319	0,1747230	0,1982926	0,1936354	0,5628100	0,6865165	0,7366114	0,8000563	0,1842238	0,6724097	0,1559856	0,0937157	0,1547024	0,4457041	0,4164105	0,8600906	0,0780215	0,7432238	0,3364884	0,6139288	0,5631484	0,1751872	0,4790161	0,8699195	0,8960558	0,3606219	0,8213120	0,2902192	0,6512878
760	0,6973696	0,3334055	0,3307065	0,3669821	0,1747159	0,2024177	0,1625884	0,5549028	0,7018165	0,7593123	0,9069926	0,1907250	0,6789038	0,1464551	0,0963580	0,1414663	0,4102801	0,4543051	0,8336138	0,0942878	0,7727450	0,3026540	0,6312585	0,5622769	0,1496604	0,4344838	0,9359093	0,8602942	0,3917253	0,7786502	0,3426194	0,6101816
780	0,6947529	0,3362559	0,2938360	0,3232523	0,2078240	0,2238407	0,1927828	0,5124612	0,6903384	0,6843032	0,8767155	0,2172114	0,7371926	0,1590433	0,0833158	0,1466271	0,4218431	0,4214214	0,8518858	0,1151886	0,7843625	0,2425420	0,6243279	0,6140636	0,1502542	0,4045518	0,9474493	0,8307714	0,3840787	0,7298723	0,3539717	0,5763213
800	0,7286291	0,3393098	0,2770029	0,3643442	0,2624891	0,2271128	0,1803486	0,5120120	0,5986285	0,7137042	0,8680588	0,2013844	0,7645194	0,1546968	0,0802276	0,1785949	0,4773280	0,3780039	0,8799755	0,1144976	0,7743009	0,2219097	0,6047639	0,6750198	0,1824308	0,3976562	0,9332174	0,8268908	0,3779830	0,7466296	0,3025857	0,5356617
820	0,6104900	0,3791927	0,2744120	0,3493863	0,2647338	0,1974210	0,1434064	0,5132740	0,5715232	0,7259615	0,8255372	0,1665478	0,7119405	0,1652215	0,0689802	0,1791478	0,4663577	0,4364719	0,9313801	0,1139816	0,7452190	0,2150997	0,5292807	0,6721672	0,1535321	0,4106331	0,8714100	0,8324108	0,4006474	0,7171562	0,3171559	0,5704296
840	0,6328688	0,3537421	0,2861093	0,3514552	0,2323613	0,1532956	0,1521692	0,5973099	0,6503225	0,7297877	0,7939546	0,2188658	0,7107724	0,1556714	0,0790576	0,1736404	0,4848776	0,5387486	0,9252502	0,1292118	0,7756870	0,2002753	0,5161913	0,6351721	0,1652706	0,4325983	0,9300478	0,8313417	0,3729844	0,7459151	0,3282818	0,6035964
860	0,6835941	0,3638406	0,2385617	0,3690877	0,2502424	0,1420626	0,1596265	0,5808862	0,6302567	0,7288571	0,9139064	0,2329137	0,7641846	0,1439770	0,0938579	0,1676754	0,4945379	0,5034170	0,9376348	0,1106978	0,7950216	0,1803628	0,5185749	0,7080135	0,1318265	0,5310203	1,0245157	0,8346416	0,3686799	0,7723765	0,4085657	0,6087057
880	0,6857480	0,3575690	0,2138507	0,3868982	0,2177249	0,1712029	0,1405148	0,5057049	0,6219957	0,6546665	0,9403783	0,2432365	0,7212340	0,1654004	0,0920177	0,1992257	0,5191382	0,5291145	0,9862636	0,1308049	0,8046993	0,1915901	0,5204477	0,7313814	0,1608848	0,5564077	1,0558073	0,8313104	0,3936904	0,7639584	0,4086981	0,5936872
900	0,6833699	0,3995929	0,2505995	0,4046209	0,2097408	0,2173397	0,1599659	0,5110793	0,6411956	0,7036457	0,9659701	0,1927734	0,7250430	0,1527238	0,1122275	0,2131834	0,5474700	0,4965656	0,9730900	0,0941472	0,8249505	0,1667299	0,4265216	0,7564201	0,1818286	0,6510202	1,0257550	0,8917323	0,3961733	0,7399453	0,3919166	0,6367014
