"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU
700	0,0107198	0,7083448	0,0310634	0,0218341	0,2696017	0,5356512	1,0547709	0,5716008	0,4314627	0,4962500	0,3215743	0,7790689	0,0953950	0,5490380	0,6699032	0,4962471	0,3484418	0,2795379	1,0469619	0,0424318	1,0306311	0,0370086	0,0598523	0,3098540	0,7920219	0,0569122	1,0806286	0,7406187	1,0090848	0,0103446	0,9498600	0,3688966
720	0,0218944	0,6678203	0,0567929	0,0217590	0,3152172	0,5921237	0,9700676	0,5066199	0,4201483	0,5292198	0,3585619	0,6919681	0,0991310	0,5579352	0,6439590	0,4784366	0,3067871	0,2947858	1,0222050	0,0435453	0,9845239	0,0434945	0,0523142	0,3151649	0,7449110	0,0390211	1,0271941	0,7030092	1,0248945	0,0046936	0,9907895	0,3432164
740	0,0102354	0,6147478	0,0406287	0,0170784	0,3062206	0,6382469	1,0199959	0,5165827	0,4124890	0,5723326	0,3339525	0,6808470	0,1678363	0,5493982	0,5915875	0,4727385	0,3084571	0,3039523	0,9815747	0,0556134	0,9139990	0,0564131	0,0451793	0,3200199	0,7832206	0,0272807	1,0746277	0,6822357	1,0022678	0,0017744	0,9047980	0,3515224
760	0,0103159	0,5827313	0,0318436	0,0210420	0,2879889	0,6230416	0,9447352	0,5650890	0,4768946	0,5804173	0,3669759	0,6742543	0,0997772	0,5908289	0,5857136	0,5385607	0,2952477	0,3020436	0,9523690	0,0589600	0,9410328	0,0579149	0,0454593	0,2815720	0,8062981	0,0481692	1,0689209	0,7433773	0,9622683	0,0030423	0,9545059	0,3884177
780	0,0164073	0,5513739	0,0265435	0,0271526	0,2672685	0,5762661	0,9110913	0,5532635	0,5183482	0,5718931	0,3224149	0,6950587	0,1124109	0,5894594	0,6025197	0,5331785	0,3031667	0,2704526	0,9319995	0,0457605	0,9256737	0,0462839	0,0425085	0,2817791	0,7835913	0,0554478	0,9981321	0,7528271	1,0282121	0,0009100	0,9609939	0,3916099
800	0,0087879	0,5687961	0,0322755	0,0308258	0,2575224	0,5937817	0,9181498	0,5889064	0,4425022	0,5287322	0,3206078	0,7281655	0,0825200	0,5466327	0,5802684	0,5876714	0,3218400	0,2736782	0,9874177	0,0479620	0,8883784	0,0301986	0,0386008	0,3328592	0,7860892	0,0607569	1,0023120	0,7787963	1,0136568	0,0031702	1,0033513	0,4137595
820	0,0299227	0,5947280	0,0290014	0,0274504	0,2670790	0,6028848	0,9430650	0,5925557	0,4259819	0,5538826	0,2750619	0,6878926	0,1038652	0,5446491	0,5404301	0,5403425	0,3118588	0,2730862	0,9937290	0,0404715	0,8360363	0,0382294	0,0424149	0,3635760	0,8484148	0,0825449	0,9931632	0,6657823	1,0897693	0,0015393	1,0133603	0,4082558
840	0,0182442	0,6087580	0,0349290	0,0224684	0,3032372	0,5903670	0,9953952	0,5933962	0,4407599	0,5232168	0,2652214	0,7043147	0,1158419	0,5372050	0,5775657	0,5534423	0,2980780	0,3232403	0,9611536	0,0444769	0,8250581	0,0316530	0,0418945	0,3517764	0,8349045	0,0765923	1,0306730	0,6802649	1,0023147	0,0003619	0,9229248	0,4029387
860	0,0204027	0,6084233	0,0303724	0,0252550	0,3032320	0,5915036	0,9948413	0,5907971	0,4472601	0,4475950	0,3002027	0,6726211	0,1218832	0,5245314	0,5805310	0,5605559	0,2925140	0,3286432	0,9388155	0,0410484	0,7963939	0,0270754	0,0456234	0,3345908	0,8543557	0,0602924	1,1015542	0,6687052	0,9642763	0,0011716	1,0218027	0,3686874
880	0,0167366	0,6097979	0,0347890	0,0456016	0,3086841	0,6383400	1,0542306	0,5792139	0,4227794	0,4928038	0,3065524	0,7102850	0,1448032	0,5833452	0,6136953	0,5415088	0,2987665	0,3017391	0,9240581	0,0257986	0,7851543	0,0278927	0,0456671	0,3149235	0,8286896	0,0441259	1,0918725	0,6606452	1,0178622	0,0029147	0,9988241	0,3618658
900	0,0036829	0,6129028	0,0264839	0,0354422	0,2962371	0,5874598	0,9863618	0,5461450	0,4650707	0,5247829	0,3341157	0,7249368	0,1337743	0,6237313	0,6684442	0,5432381	0,2711988	0,2774273	0,9416828	0,0388890	0,8671810	0,0253166	0,0408641	0,3361150	0,8730240	0,0447709	1,0496855	0,7797389	0,9479018	0,0023614	0,9876730	0,3432477
920	0,0025971	0,6100754	0,0428308	0,0243632	0,3100215	0,5820449	1,0148997	0,5949835	0,4029439	0,5143134	0,3044306	0,7211734	0,1338451	0,5999096	0,6671861	0,5495842	0,2555842	0,2793228	0,8505612	0,0340634	0,8906050	0,0173188	0,0391718	0,2778185	0,8820906	0,0511314	1,0549324	0,7925720	0,9850562	0,0081501	1,0392824	0,3321676
940	0,0114256	0,6552329	0,0449909	0,0262921	0,3035713	0,5988406	0,9763667	0,5071092	0,4383190	0,4959469	0,3208953	0,7429193	0,1102018	0,6122731	0,5378816	0,5289972	0,3139472	0,2950055	0,9434138	0,0369699	0,9339029	0,0256235	0,0503580	0,3136397	0,9472134	0,0608287	0,9912833	0,7842903	0,9822432	0,0058552	1,0197639	0,3509679
960	0,0220664	0,6734535	0,0367902	0,0187118	0,2533461	0,6377202	0,9200775	0,5308071	0,4484756	0,5438707	0,3290890	0,7397404	0,1106322	0,5818800	0,5015428	0,5146136	0,3009526	0,3654417	1,0024357	0,0448495	0,9618917	0,0242863	0,0477424	0,3147638	0,8668686	0,0602826	0,9823639	0,7475565	1,0330983	0,0005723	1,0259466	0,3894407
980	0,0185138	0,6839930	0,0372751	0,0315282	0,2357279	0,5875934	0,9317926	0,6091221	0,4038019	0,5630404	0,3093337	0,7509725	0,1115356	0,5990557	0,5479700	0,5106076	0,3223009	0,3349811	0,9921450	0,0397665	0,9619946	0,0247529	0,0442122	0,3399182	0,9101235	0,0582761	0,9690661	0,7211486	1,0233028	0,0015843	1,0270430	0,3857976
1000	0,0117974	0,5907704	0,0447197	0,0496039	0,2406784	0,5557979	0,9649866	0,5901960	0,3915636	0,5327524	0,3285585	0,7764994	0,1238597	0,6128979	0,5042879	0,5291734	0,3434478	0,3305149	0,9380005	0,0339458	0,9492178	0,0343182	0,0455680	0,3785305	0,9531447	0,0559505	0,9562831	0,7274981	1,0357940	0,0000477	0,9737026	0,3651032
1020	0,0184086	0,5735640	0,0355922	0,0343498	0,2611974	0,5916458	1,0041550	0,5524927	0,4111208	0,5032855	0,3509404	0,7663195	0,1319840	0,6117538	0,5349028	0,4757734	0,2982887	0,2995554	0,9670749	0,0425590	0,9433679	0,0393949	0,0570513	0,3430957	0,8716247	0,0422081	0,9227707	0,6709215	0,9685164	0,0032762	0,9596038	0,3366460
